rule_uid	file_id	perseus_author	perseus_title	period	criteria	rule	group	resource	directionality	verbatim	reasoning	contemporary	factuality	confidence	resource_materiality	materiality_reasoning	resource_generality	generality_reasoning	resource_persistence	persistence_reasoning	group_immutability	immutability_reasoning	rule_contemporarity	contemporarity_reasoning	opinion_vs_fact	opinion_vs_fact_reasoning	tautology	tautology_reasoning	year	genre
tlg0086.tlg035.perseus-eng2::63	tlg0086.tlg035.perseus-eng2	Aristotle	Politics	Late Classical (354–165 BCE)	['Age']	Minor exclusion from full citizenship	Minors	Right to share office in the government	LESS	['For it is true that not all the persons indispensable for the existence of a state are to be deemed citizens, since even the sons of citizens are not citizens in the same sense as the adults: the latter are citizens in the full sense, the former only by presumption—they are citizens, but incomplete ones.']	Aristotle notes that while sons of citizens are technically part of the citizen body, their age prevents them from exercising the full rights (honors/offices) of a complete citizen.	1	1.0	9	3	Right to share office is access to a role with political power.	4	Covers the broad category of political rights/citizenship.	3	The status of 'incomplete' citizen lasts until adulthood is reached.	5	Age (at any given point) is an immutable biological status.	0	Aristotle describes a current general principle of citizenship.	5	Verbatim defines the factual status of minors in the state.	1	Being a minor is defined by being an 'incomplete' or non-adult person.	-348	treatise
tlg0086.tlg035.perseus-eng2::125	tlg0086.tlg035.perseus-eng2	Aristotle	Politics	Late Classical (354–165 BCE)	['Gender', 'Wealth / Properties']	Elite women supervision exemption	Rich women	Freedom from state supervision	MORE	['But a Superintendent of Children and a Superintendent of Women, and any other magistrates that exercise a similar sort of supervision, are an aristocratic feature, and not democratic (for how is it possible to prevent the wives of the poor from going out of doors?) nor yet oligarchic (for the wives of oligarchic rulers are luxurious).']	Aristotle explains why oligarchies do not have superintendents of women: because the wives of the rulers are 'luxurious' and cannot be easily constrained by such supervision, effectively enjoying more freedom from state interference than in an aristocratic system.	1	1.0	8	4	Freedom from state-mandated 'supervision' has a direct effect on the legal and physical autonomy of elite individuals.	4	State supervision is a broad category of social and legal control over a large segment of the population.	5	Exemption is structural and lasts for the duration of one's life as a member of the elite class.	5	Defined by sex and wealth/status of the household, which are fixed birth or structural traits.	0	Aristotle is analyzing contemporary Greek political structures and their existing administrative offices.	4	Reported as a logical consequence of political forms (aristocracy vs. democracy) observed by the author.	0	Being 'rich' or 'female' does not inherently define one as 'exempt from state superintendents'.	-348	treatise
tlg0086.tlg035.perseus-eng2::92	tlg0086.tlg035.perseus-eng2	Aristotle	Politics	Late Classical (354–165 BCE)	['Nobility', 'Lineage']	Protection from ostracism for the exceptionally virtuous	Individuals of outstanding excellence	Protection from banishment or ostracism	MORE	['For it is not seemly to put to death or banish, nor yet obviously to ostracize, such a man, nor is it seemly to call upon him to take his turn as a subject; for it is not in the order of nature for the part to overtop the whole, but the man that is so exceptionally outstanding has come to overtop the whole community.']	The author argues that according to the principles of justice in his society, a person who is 'exceptionally outstanding' in virtue should be exempt from standard democratic protections like ostracism or exile.	1	0.0	8	5	Protection from death, banishment, or ostracism is a fundamental protection of life and person.	5	Covers basic bodily integrity and legal existence within a community.	5	Once granted, this protection is structural and lifelong for the individual.	5	Defined by 'outstanding excellence', an innate, immutable trait in this context.	0	Aristotle reasons within the context of contemporary Greek political theory and practice.	1	Verbatim is an ideal proposal/normative claim about what is 'seemly'.	0	Excellence does not automatically provide legal immunity from ostracism.	-348	treatise
tlg0086.tlg035.perseus-eng2::151	tlg0086.tlg035.perseus-eng2	Aristotle	Politics	Late Classical (354–165 BCE)	['Wealth / Properties']	Economic exclusion from magistracies	The poor	Right to hold office	LESS	['for the poor will not want to hold office because of making nothing out of it, but rather to attend to their own affairs']	The text describes a situation where removing the ability to make a profit from office results in the poor choosing not to hold office, effectively creating a system where they lack this political resource.	1	1.0	8	4	Access to magistracies provides political power and potential financial gain.	5	Relates to the general right to hold office, a foundational civic right.	4	Eligibility for office is a long-term status based on status/wealth.	3	Wealth-based group.	0	Observation of how incentive structures work in contemporary Greek cities.	3	A socio-political observation about behavioral incentives in offices.	0	Poverty is not defined by a lack of political office.	-348	treatise
tlg0086.tlg035.perseus-eng2::108	tlg0086.tlg035.perseus-eng2	Aristotle	Politics	Late Classical (354–165 BCE)	['Wealth / Properties']	Property qualification for assembly membership	The poor	Right to vote in the assembly	LESS	['democracies permit membership of the assembly on no property-qualification at all or a quite small one, oligarchies on a large property-qualification, but the combination clearly is to have neither principle, but one which lies in the middle between either of these two qualifications.']	Aristotle describes the standard regulatory mechanism in Greek city-states where access to the primary political assembly was contingent upon meeting a specific wealth or property threshold, particularly in oligarchic systems.	1	1.0	10	4	Voting and assembly membership are concrete legal rights with material effects.	5	Access to the assembly is a foundational axis of political life.	5	Once property requirements are met, membership is usually lifelong.	3	Determined by wealth, which is a durable but potentially changeable status.	0	Discusses common contemporary constitutional requirements.	5	Directly reports on the variation of statutes in different constitutions.	0	Being poor does not inherently define one's legal right to vote.	-348	treatise
tlg0086.tlg035.perseus-eng2::136	tlg0086.tlg035.perseus-eng2	Aristotle	Politics	Late Classical (354–165 BCE)	['Ethnicity']	Exclusion of secondary settlers	Metics	Right to remain in the colony	LESS	['Achaeans settled at Sybaris jointly with Troezenians, and afterwards the Achaeans having become more numerous expelled the Troezenians, which was the Cause of the curse that fell on the Sybarites; and at Thurii Sybarites quarrelled with those who had settled there with them, for they claimed to have the larger share in the country as being their own, and were ejected.']	The text lists several historical/contemporary instances where groups defined by different geographic/ethnic origins (Trozenians, Sybarites at Thurii) were forcibly expelled by the dominant group of original colonists.	0	1.0	9	5	Right to remain reflects protection from displacement, which involves land and livelihood.	4	Exclusion and expulsion are broad, high-consequence life outcomes.	5	Expulsion is typically a permanent loss of home and belonging.	5	Ethnic/geographic origin (Achaean, Troezenian) is strictly immutable.	1	Describes historical founding events and subsequent conflicts in Sybaris and Thurii.	5	The verbatim reports historical episodes as objective case studies in civil strife.	0	Being a secondary settler does not definitionally include being expelled.	-348	treatise
tlg0086.tlg003.perseus-eng1::19	tlg0086.tlg003.perseus-eng1	Aristotle	Athenian Constitution	Late Classical (354–165 BCE)	['Citizenship', 'Lineage']	Family-based exclusion from the city	Athenians of 'polluted' lineage	Right to reside in Attica	LESS	['On this Cleisthenes retired from the country, and Cleomenes, entering Attica with a small force, expelled, as polluted, seven hundred Athenian families.']	The text describes a general application of the religious/political concept of 'pollution' to expel a large group (700 families) rather than a single individual, showing that entire lineages could lose their right to reside in the territory based on ancestral status.	0	1.0	9	5	Expulsion from territory is a total loss of residence and property access.	4	Broad penalty affecting residency and membership.	5	Exile of families was usually perpetual or long-term.	5	Defined by lineage ('polluted families').	1	Describes the Cleisthenic period (late 6th century BC).	5	Reports a massive historical expulsion as fact.	0	Being of a certain lineage doesn't define one as being in exile.	-348	
tlg0062.tlg047.perseus-eng2::3	tlg0062.tlg047.perseus-eng2	Lucian of Samosata	The Eunuch	High Roman Empire (135–205 CE)	['Health', 'Gender']	Eunuch immunity from adultery charges	Eunuchs	Immunity from adultery prosecution	MORE	['As a matter of fact, gentlemen, if this fellow, so smooth of jowl, effeminate in voice, and otherwise similar to a eunuch, should strip, you would find him very masculine. . . At that time he secured his acquittal by resorting to the name of eunuch and finding sanctuary in it, since the judges on that occasion discredited the accusation from the very look of him.']	The text mentions a specific previous trial where a defendant avoided conviction for adultery by claiming he was a eunuch, implying that the physical incapacity associated with the group legally precluded the possibility of committing the act as defined by the law.	1	1.0	9	4	Immunity from criminal prosecution for adultery.	3	Relates to a specific but common legal offense.	5	Eunuchism is a permanent physical status.	5	Eunuchism is an immutable physical condition.	0	Refers to a recent/relevant court case.	4	Reports a factual legal strategy and outcome from a trial.	1	Adultery usually requires male capacity; exclusion logically follows the definition.	155	satire
tlg0540.tlg012.perseus-eng2::12	tlg0540.tlg012.perseus-eng2	Lysias	Against Eratosthenes	Classical (500–360 BCE)	['Citizenship', 'Religion']	Citizen right to customary burial	Citizens	Right to customary burial	LESS	['and next, that you were formally banished from the city which your fathers bequeathed to you, and when you were in exile they demanded your persons from the various cities. In return you should feel the same anger as when you were exiles, and remember besides the other injuries that you suffered from these men, who with violent hands snatched some from the market-place, and some from the temples, and put them to death; while others they tore from their children, their parents and their wives, and compelled to self-slaughter, and then did not even allow them to be given the customary burial']	The author explicitly states that the ruling power denied the dead the right to a customary burial, a standard religious and civic resource for citizens.	1	1.0	9	4	Burial is a concrete legal/religious right with direct physical implications for the body.	3	Customary burial is a specific, recurring legal and religious practice.	5	Post-mortem treatment is permanent and structural for the individual's legacy.	4	Citizenship is a legal status typically acquired at birth.	0	Describes contemporary actions of the Thirty against Athenian citizens.	5	Verbatim recounts the denial of burial as an attested factual event.	0	The definition of citizen does not include burial rights by necessity.	-409	rhetoric
tlg0540.tlg012.perseus-eng2::6	tlg0540.tlg012.perseus-eng2	Lysias	Against Eratosthenes	Classical (500–360 BCE)	['Citizenship']	Citizen protection from execution without trial	Citizens	Right to a legal trial	MORE	['and then, once established in power, admit that of their own free will they put to death many of the citizens without a trial,—if these men, I say, and their children are not to be visited by you with the extreme penalty of the law!']	The text identifies the execution of citizens without a trial as a monstrous violation of established law and norms, implying that under the standard Athenian constitution, citizens possess the right to a legal trial before execution.	1	1.0	10	4	The right to a trial is a concrete legal protection against execution.	5	Foundational legal right within the state.	5	Permanent protection of legal personhood.	4	Citizenship is a structural birth-status.	0	Refers to the recent and current Athenian laws.	5	Plain fact about the 'extreme penalty of the law' for violations.	0	A trial is not conceptually part of the word 'citizen'.	-409	rhetoric
tlg0032.tlg015.perseus-eng1::1	tlg0032.tlg015.perseus-eng1	Xenophon	Constitution of the Athenians	Classical (500–360 BCE)	['Citizenship']	Universal right of speech	The poor	Right of speech in assembly	MORE	['The objection may be raised that it was a mistake to allow the universal right of speech and a seat in council. These should have been reserved for the cleverest, the flower of the community. But here, again, it will be found that they are acting with wise deliberation in granting to even the baser sort the right of speech, for supposing only the better people might speak, or sit in council, blessings would fall to the lot of those like themselves, but to the commonalty the reverse of blessings.']	The text explicitly confirms that the 'baser sort' (poor citizens) possess the right to speak and sit in the council, a key immaterial resource in Athenian democracy.	1	1.0	10	3	Speech is a legal practice with material outcomes (voting, legislation), but is conceptually communicative.	5	Speech in the assembly is a foundational societal axis for the Athenian citizen.	5	The right of speech is a lifelong attribute of the citizen's standing.	3	Class ('the baser sort') is a social identity that is moderately durable.	0	Describes the active 'Isegoria' of contemporary Athens.	4	Reports a known institutional right of the Demos.	0	Being poor is defined by wealth, not by the right to speak in a council.	-394	
tlg0086.tlg035.perseus-eng2::18	tlg0086.tlg035.perseus-eng2	Aristotle	Politics	Late Classical (354–165 BCE)	['Citizenship']	Rotational holding of office	Citizens	Right to hold office	MORE	['For even among the free and equal this principle must necessarily obtain, since all cannot govern at once: they must hold office for a year at a time or by some other arrangement or period; and in this manner it does actually come about that all govern']	Aristotle describes the standard practice in Greek poleis where, among the class of 'equals' (citizens), political power is shared through a system of rotation in magistracies.	1	1.0	9	4	Right to hold office is a concrete legal right with direct political power.	4	Access to office is a broad societal right for citizens.	4	The right is lifelong, even if the specific turn is limited to a year.	4	Citizenship is a structural birth-status.	0	Refers to how things 'actually come about' in Greek poleis.	5	Describes the actual procedural reality of Greek democratic rotation.	0	Citizenship doesn't inherently require office rotation (could be lifetime tenure).	-348	treatise
tlg0086.tlg035.perseus-eng2::141	tlg0086.tlg035.perseus-eng2	Aristotle	Politics	Late Classical (354–165 BCE)	['Age', 'Nobility']	Magistracy exclusion by age	Younger brothers	Eligibility for the magistracy	LESS	['for those who did not share in the magistracies raised disturbances until as a first stage the older brothers were admitted, and later the younger ones again (for in some places a father and a son may not hold office together, and in others an elder and a younger brother may not).']	The text explicitly states that in certain oligarchic constitutions, there are rules preventing younger brothers or sons from holding office simultaneously with their elders, restricting their access to political power based on age and kinship status.	1	1.0	10	4	The right to hold office constitutes legal power and social/material influence.	4	Exclusion from the magistracy is a broad political restriction.	3	Bounded to a life stage; younger brothers eventually become older ones.	5	Birth order (younger brother) and kinship relationship (son) are immutable birth facts.	0	Notes specific rules that exist ('in some places') in the current Greek world.	5	Attests to specific legal prohibitions regarding simultaneous office-holding as fact.	0	Being a younger brother does not definitionally exclude one from office.	-348	treatise
tlg0086.tlg035.perseus-eng2::187	tlg0086.tlg035.perseus-eng2	Aristotle	Politics	Late Classical (354–165 BCE)	['Wealth / Properties']	Property qualification for administrative office	The poor	Eligibility for the archonship	LESS	['for it the property-qualifications must be divided into one group of smaller properties and another of larger ones, smaller properties qualifying their owners for the indispensable offices and larger ones for the more important; and a person owning the qualifying property must be allowed to take a share in the government']	Aristotle describes the operational rules of oligarchic constitutions where access to specific magistracies is strictly tied to reaching a defined threshold of property ownership, thereby excluding those without such wealth.	1	1.0	10	4	The archonship is a concrete legal right to hold public office with material influence.	4	Access to magistracies is a broad category of political power.	4	Eligibility holds as long as the property qualification is (or is not) met.	3	Economic status (poverty) is changeable but often persists for an individual.	0	Aristotle describes a standard feature of oligarchic systems of his era.	5	Explicitly describes property-qualification laws as factual constitutional requirements.	0	Being poor (lacking wealth) does not by definition exclude one from the archonship.	-348	treatise
tlg0086.tlg003.perseus-eng1::13	tlg0086.tlg003.perseus-eng1	Aristotle	Athenian Constitution	Late Classical (354–165 BCE)	['Nobility', 'Occupation']	Archonship reserved for specific classes	Eupatridae	Eligibility for the archonship	MORE	['After this it was agreed, as a compromise, to elect ten Archons, five from the Eupatridae, three from the Agroeci, and two from the Demiurgi, and they ruled for the year following Damasias.']	Following the expulsion of Damasias, a formal rule was established allocating a specific number of Archon seats to specific social/hereditary classes (Eupatridae/Nobles, Agroeci/Farmers, Demiurgi/Artisans), granting the Eupatridae a majority of those reserved seats.	0	1.0	10	4	The Archonship is a high office with significant political power and material reach.	3	Specific to a single high office (Archonship).	5	Eligibility is a lifelong structural attribute of the class.	5	Eupatridae are a hereditary noble lineage.	1	Describes a compromise from the early 6th century BC.	5	Reports a formal agreed compromise as historical fact.	0	Eligibility for this specific office is not the definition of nobility.	-348	
tlg0086.tlg003.perseus-eng1::59	tlg0086.tlg003.perseus-eng1	Aristotle	Athenian Constitution	Late Classical (354–165 BCE)	['Citizenship']	Resident alien protection from homicide	Metics	Protection from unlawful killing	MORE	['Cases of unintentional homicide, or of intent to kill, or of killing a slave or a resident alien or a foreigner, are heard by the court of Palladium.']	Metics (resident aliens) are explicitly mentioned as a group whose killing is prosecuted through a specific court, demonstrating a legal resource of physical protection.	1	1.0	10	5	Bodily integrity / protection from death.	5	Foundational human right.	5	Protects the individual throughout their term of residence.	3	Metic status (resident alien) is a durable social/legal identity.	0	Describes current Athenian court duties.	5	Factual listing of cases heard by the court.	0	Protection from killing is not the definition of 'resident alien'.	-348	
tlg0062.tlg034.perseus-eng2::3	tlg0062.tlg034.perseus-eng2	Lucian of Samosata	Anacharsis, or Athletics	High Roman Empire (135–205 CE)	['Citizenship', 'Freedom']	Protection from physical assault	Citizens	Protection from corporal punishment	MORE	['With us Scythians, Solon, if anyone strikes a citizen, or assaults him and throws him down, or tears his clothing, the elders impose severe penalties upon him, even if the offence takes place before just a few witnesses, not to speak of such great assemblies as that at the Isthmus and that at Olympia which you describe.']	Anacharsis contrasts Greek athletics with Scythian law, noting that in his society, citizens are legally protected from physical assault and battery, with the state (elders) punishing violators.	0	1.0	10	5	Protection from physical assault is a core bodily entitlement.	5	Bodily integrity is a foundational societal right.	5	Right persists throughout the individual's life as a citizen.	4	Citizenship is a legal birth-status.	1	Anacharsis describes Scythian laws in an archaic/legendary setting.	4	Reports legal penalties for assault as a matter of fact.	0	Citizen status does not inherently include protection from battery.	155	dialogue
tlg0086.tlg035.perseus-eng2::80	tlg0086.tlg035.perseus-eng2	Aristotle	Politics	Late Classical (354–165 BCE)	['Citizenship', 'Wealth / Properties']	Citizen exclusivity for land ownership	Metics	Right to own land	LESS	['the rich claiming because they have a larger share of the land, and the land is common property, and also as being for the most part more faithful to their covenants; the free and well-born as being closely connected together (for the better-born are citizens to a greater degree than those of claims, low birth']	The text identifies the 'common property' of the land as belonging to the citizens (the free and well-born/rich), implying the exclusion of non-citizens/metics from land ownership as a standard rule of the Greek polis.	1	1.0	8	5	Land ownership is the ultimate tangible property entitlement in an agrarian society.	5	Foundational societal axis for wealth and survival.	5	Land ownership is a lifelong, transgenerational asset.	4	Metic (non-citizen) status is a permanent legal category for foreigners.	0	Refers to the current 'common property' rules of the Greek poleis.	4	Identifies land as the specific claim of citizens, implying non-citizen exclusion.	0	Foreign residency (metic status) does not definitionally preclude land ownership in all legal systems.	-348	treatise
tlg0086.tlg035.perseus-eng2::150	tlg0086.tlg035.perseus-eng2	Aristotle	Politics	Late Classical (354–165 BCE)	['Wealth / Properties']	Protection against property division	The poor	Protection from property confiscation	MORE	['And in democracies it is necessary to be sparing of the wealthy not only by not causing properties to be divided up, but not incomes either']	Aristotle identifies a rule in stable democracies where the property and incomes of the wealthy are protected from redistribution (division), which is a common grievance in more radical periods.	1	0.0	8	5	Protection of assets and income from redistribution is a direct material resource.	5	Covers the general protection of property and income classes.	5	Property rights are a lifelong structural feature.	3	Wealth-based group definition.	0	Presented as a rule for stable contemporary democracies.	2	Advice/theory on constitutional maintenance ('it is necessary to be sparing').	0	Being rich does not define one as being protected from property division.	-348	treatise
tlg0059.tlg008.perseus-eng2::11	tlg0059.tlg008.perseus-eng2	Plato	Statesman	Classical (500–360 BCE)	['Occupation']	Royal access to state management	The royal class	Political power	MORE	['Then if this is the case, would it be a bad thing if you and I first tried to see in another small and partial example the nature of example in general, with the intention of transferring afterwards the same figurative method from lesser things to the most exalted eminence of the king, and trying by means of an example to become acquainted in a scientific way with the management of states, in order that this may be waking knowledge for us, not dream knowledge? [...] Then we must take up our former argument again, and since there are countless others who contend that they, rather than the royal class, have the care of states, we must accordingly remove all these and isolate the king']	The text identifies a specific class (the royal class) as the rightful holder of the management of the state, distinguishing them from other competing groups who claim such authority.	1	1.0	9	4	State management involves control over laws, taxes, and warfare.	5	Foundational societal axis: political sovereignty.	4	Typically held for long terms or life in 'royal classes'.	4	The 'royal class' implies a structural, often hereditary division.	0	Discussing contemporary claims to power in various states.	3	Investigating a 'scientific' understanding of an existing debate.	1	The 'royal class' is defined by its care of the state.	-393	dialogue
tlg0086.tlg035.perseus-eng2::0	tlg0086.tlg035.perseus-eng2	Aristotle	Politics	Late Classical (354–165 BCE)	['Freedom']	Natural slave physical labor obligation	Slaves	Exemption from manual labor	LESS	['for he that can foresee with his mind is naturally ruler and naturally master, and he that can do these things with his body is subject and naturally a slave; so that master and slave have the same interest.']	Aristotle describes the natural and social reality of his time where those classified by their physical capacity rather than mental foresight are assigned the role of 'natural slave,' which entails the obligation to perform labor for a master.	1	1.0	9	5	Labor obligation involves the physical body and lack of ownership of time.	5	Slavery is a foundational axis of ancient society.	5	Regarded as a lifelong / 'natural' state.	4	Slavery is a hard-to-change legal and (here) supposedly natural status.	0	Aristotle is theorizing about the nature of the society he lives in.	2	Deeply theoretical/philosophical argument rather than a report of a statute.	1	Aristotle defines the slave group by the very fact that they are tools for labor.	-348	treatise
tlg0086.tlg035.perseus-eng2::88	tlg0086.tlg035.perseus-eng2	Aristotle	Politics	Late Classical (354–165 BCE)	['Wealth / Properties']	Rich access to political honor	The wealthy	Access to political honors	MORE	['And as men becoming baser began to make money out of the community, it is reasonable to suppose that some such cause as this occasioned the rise of oligarchies; for they brought wealth into honor.']	The text describes the evolution of oligarchies where wealth becomes the primary criterion for accessing political standing and honors, effectively a rule of resource distribution based on material status.	1	1.0	8	4	Access to political honors involves concrete legal rights and roles with material influence.	5	Political honor (participation in office) is a foundational societal axis.	4	Held as long as one maintains the required wealth level and the constitution stands.	3	The wealthy are a wealth bracket; changeable with economic fortune but a durable identity.	0	Describes the structural mechanism of oligarchic states contemporary to the author.	4	Describes a historical-sociological evolution as a factual explanation of oligarchies.	0	Possessing wealth does not by definition mean having political honor.	-348	treatise
tlg0086.tlg003.perseus-eng1::76	tlg0086.tlg003.perseus-eng1	Aristotle	Athenian Constitution	Late Classical (354–165 BCE)	['Gender']	Daughter inheritance via marriage (Epikleros)	Women	Right to inherit property directly	LESS	['When a man died leaving a daughter, but no son, his estate, though not becoming her property, was attached to her, and the nearest of kin could claim her in marriage; and the property went to the sons born of such marriage.']	The text describes the institution of the epikleros, where a daughter without brothers cannot own her father's estate; instead, she is 'attached' to the estate and must marry a kinsman so the property passes to her male offspring.	0	1.0	10	5	Concerns the ownership and transmission of landed estates (property).	5	Inheritance is a foundational structural feature of society.	5	The status of an epikleros and its effect on property is a lifelong structural arrangement.	5	Gender and familial position (lack of brothers) are immutable.	0	Describes current Athenian family law.	5	Factual description of legal institutions.	0	Being a woman or daughter does not naturally entail being unable to inherit property.	-348	
tlg0059.tlg008.perseus-eng2::19	tlg0059.tlg008.perseus-eng2	Plato	Statesman	Classical (500–360 BCE)	['Wealth / Properties', 'Citizenship']	Wealth-based eligibility for magistracies	The rich	Eligibility for the archonship	MORE	['And suppose that rulers of the people are set up annually, whether from the rich or from the whole people, on the principle that whoever is chosen by lot should rule, and that these rulers exercise their authority in commanding the ships or treating the sick in accordance with the written rules.']	The text refers to the contemporary practice in various Greek poleis where eligibility for certain ruling offices (chosen by lot) was sometimes restricted to the wealthy class or shared with the whole people.	1	1.0	8	4	Eligibility for an archonship (political office) is a concrete legal right.	4	Access to high executive and judicial power.	3	Applies for the duration of the annual term (life stage of ruling).	3	The 'rich' is a wealth bracket (durable but changeable).	0	Direct reference to contemporary Greek lotteries for office.	5	Factual description of contemporary political eligibility rules.	0	Wealth is not a part of the definition of an archon.	-393	dialogue
tlg0086.tlg003.perseus-eng1::66	tlg0086.tlg003.perseus-eng1	Aristotle	Athenian Constitution	Late Classical (354–165 BCE)	['Age', 'Wealth / Properties', 'Citizenship']	Juror qualification requirements	Minors	Eligibility for jury service	LESS	['All persons above thirty years of age are qualified to serve as jurors, provided they are not debtors to the state and have not lost their civil rights.']	The rule explicitly bars those under thirty, those in state debt, and those without full civil rights from the resource of participating in the judicial system.	1	1.0	10	4	Exclusion from participation in the legal/judicial system.	4	Eligibility for a central pillar of Athenian democracy (the courts).	3	Restriction lasts until the age of thirty.	5	Minors/Age is an immutable biological/temporal status.	0	Describes current juror qualification statutes.	5	Factual description of legal prerequisites.	0	Exclusion from juries is not how 'minor' is defined.	-348	
tlg0086.tlg035.perseus-eng2::219	tlg0086.tlg035.perseus-eng2	Aristotle	Politics	Late Classical (354–165 BCE)	['Health']	Deformed infant exposure law	Health-impaired infants	Right to life	LESS	['As to exposing or rearing the children born, let there be a law that no deformed child shall be reared; but on the ground of number of children, if the regular customs hinder any of those born being exposed, there must be a limit fixed to the procreation of offspring']	The text explicitly mentions a law (or the proposal of one treated as standard practice for his ideal state based on existing customs) that forbids the rearing of deformed children, effectively denying them the right to life.	1	1.0	10	5	Right to life is the ultimate bodily entitlement.	5	The most foundational societal outcome possible.	5	Death is permanent.	5	Physical deformity at birth is immutable and biological.	0	Reflects common Greek practices (e.g., Sparta).	4	Commands a specific law based on 'regular customs'.	0	Deformed infants are not defined by the law to expose them.	-348	treatise
tlg0540.tlg012.perseus-eng2::13	tlg0540.tlg012.perseus-eng2	Lysias	Against Eratosthenes	Classical (500–360 BCE)	['Citizenship']	Citizen right to residency in the city	Citizens	Right to reside in the city	LESS	['and next, that you were formally banished from the city which your fathers bequeathed to you, and when you were in exile they demanded your persons from the various cities.']	The text describes the formal banishment of a large group of citizens (the Peiraeus party), indicating that their right to reside in their native city was revoked.	1	1.0	10	5	Residency determines access to physically living and working in a specific land.	5	Right to reside/exile is a foundational axis of political and social life.	5	Banishment and residency rights are typically lifelong or long-term structural states.	4	Athenian citizenship is a hard-to-change birth-right status.	0	The author discusses the contemporary banishment of citizens during his lifetime.	5	Formal banishment is reported as a plain, attested historical fact.	0	Residency is a right attached to citizenship, not part of its linguistic definition.	-409	rhetoric
tlg0086.tlg035.perseus-eng2::22	tlg0086.tlg035.perseus-eng2	Aristotle	Politics	Late Classical (354–165 BCE)	['Wealth / Properties']	Neighborly sharing of private property	Citizens	Access to friends' private possessions	MORE	['Such a system exists even now in outline in some states, showing that it is not impracticable, and especially in the ones that are well-administered parts of it are realized already and parts might be realized; for individuals while owning their property privately put their own possessions at the service of their friends and make use of their friends’ possessions as common property; for instance in Sparta people use one another’s slaves as virtually their own, as well as horses and hounds, and also use the produce in the fields throughout the country if they need provisions on a journey.']	Aristotle describes a contemporary social convention in well-governed Greek states, specifically naming Sparta, where private ownership is maintained but social norms grant citizens the right to use the property (slaves, animals, food) of their peers.	1	1.0	10	5	Access to slaves, horses, and food are tangible material resources.	4	Sharing of major categories of property is a broad social axis.	4	A durable social convention that citizens can rely on.	4	Citizenship is a legal birth-status.	0	Explicitly names contemporary Sparta and other states.	5	Provides specific examples of actual social behavior in named states.	0	Citizenship does not mean you own your neighbor's horse.	-348	treatise
tlg0086.tlg003.perseus-eng1::35	tlg0086.tlg003.perseus-eng1	Aristotle	Athenian Constitution	Late Classical (354–165 BCE)	['Wealth / Properties', 'Lineage']	Oligarchical summary execution	The wealthy	Protection from arbitrary execution	LESS	['But so soon as they had got a firmer hold on the city, they spared no class of citizens, but put to death any persons who were eminent for wealth or birth or character. Herein they aimed at removing all whom they had reason to fear, while they also wished to lay hands on their possessions']	The text describes a systematic policy by the Thirty to target 'eminent' individuals for their resources (birth/wealth). This indicates a suspension of the typical protection from arbitrary execution for these specific sub-groups.	0	1.0	9	5	Protection from execution concerns bodily survival and integrity.	5	Bodily integrity and protection from death is a foundational right.	5	Protection of life is a permanent/lifelong requirement.	4	Status of 'eminent for birth' is a hereditary, birth-fixed trait.	1	Describes the actions of the Thirty Tyrants (historical).	5	Describes the pattern of executions as observed historical fact.	0	Possessing wealth does not tautologically entail being executed.	-348	
