rule_uid,file_id,work_name,author,impact_year,polity,criteria,criterion_label,in_group,out_group,resource,resource_std,speaker,verbatim,matched_keywords,rule_category,reasoning,specificity,specificity_reasoning,confidence,extraction_method,extraction_cost_usd,prompt_tokens,completion_tokens,vote,comment
tlg0033.tlg003.perseus-eng2#3,tlg0033.tlg003.perseus-eng2,Nemean Odes,Pindar,-481,,Nobility,Noble praise obligation,Nobles,,Right to public praise and poetic record,Legal standing,MORE,"[§3] I bid you to summon the Muse in honor of Aeacus and his race; consummate justice attends the precept, “praise the noble.”",Access to social recognition,Access to social recognition,Pindar identifies a societal 'precept' or rule of 'justice' that dictates the noble (those of high lineage like the Aeacids) are entitled to public praise and poetic preservation of their deeds.,4,This applies specifically to those of elite lineage or high achievement within the aristocratic class.,8,gemini_v18,,,,,
tlg0059.tlg030.perseus-eng2#56,tlg0059.tlg030.perseus-eng2,The Republic,Plato,-393,,Age,Censorship of children's education,Children,,Access to traditional literature and mythology,Religious access,LESS,"[§51] We must begin, then, it seems, by a censorship over our storymakers, and what they do well we must pass and what not, reject. And the stories on the accepted list we will induce nurses and mothers to tell to the children... But most of the stories they now tell we must reject.",Educational restriction,Educational restriction,"The text mandates a strict censorship of the stories and myths (specifically those of Homer and Hesiod) that children are allowed to hear, removing their access to traditional cultural narratives.",3,This rule applies to all children within the described society during their formative years.,10,gemini_v18,,,,,
tlg0059.tlg034.perseus-eng2#98,tlg0059.tlg034.perseus-eng2,Laws,Plato,-393,,Age,Youth and crowd subjection,Children,,Freedom from corporal punishment,Body integrity,LESS,"[§78] The authority whose duty it was to know these regulations, and, when known, to apply them in its judgments and to penalize the disobedient, was not a pipe nor, as now, the mob’s unmusical shoutings, nor yet the clappings which mark applause: in place of this, it was a rule made by those in control of education that they themselves should listen throughout in silence, while the children and their ushers and the general crowd were kept in order by the discipline of the rod.",Restriction of personal freedom,Restriction of personal freedom,The text describes an historical educational and social norm where children (and the general public) were kept in state of orderly silence through the threat or application of physical force ('the rod') by educational authorities.,3,This rule applied to the entire younger generation and the non-elite 'general crowd' within the civic context of public performances/education.,10,gemini_v18,,,,,
tlg1622.tlg001.perseus-eng1#6,tlg1622.tlg001.perseus-eng1,Epistle of Polycarp to the Philippians,Polycarp,105,,Occupation|Religion,Clerical removal for avarice,Priests,,Right to hold ecclesiastical office,Political power,LESS,"[§40] I am deeply sorry for Valens, who was once made a presbyter among you, that he so little understands the place which was given to him. I advise, therefore, that you keep from avarice, and be pure and truthful. [§41] I am deeply sorry for Valens, who was once made a presbyter among you, that he so little understands the place which was given to him.",Denial of religious office,Denial of religious office,"The text describes a specific individual, Valens, who lost his position as a 'presbyter' (elder/priest) due to 'avarice'. Polycarp's sorrow and the use of the past tense ('was once made') indicate that a violation of financial ethics results in the loss of the right to hold that specific community office.",8,"This rule specifically targets the behavior and status of those within the clerical hierarchy (presbyters), a small subset of the community.",9,gemini_v18,,,,,
tlg0061.tlg001.perseus-eng1#7,tlg0061.tlg001.perseus-eng1,Lucius or The Ass,Pseudo-Lucian,150,,Gender,Female captive surveillance,Women,,Freedom of movement,Freedom,LESS,"[§18] They deposited her in the house on the mattresses, bade her cheer up, and told the old woman to stay inside all the time, and keep watch over her. | [§20] The girl they tied up inside the house, and then they supped and drank heavily.",Restriction of personal freedom,Restriction of personal freedom,"The female captive is systematically denied movement through physical binding and constant domestic surveillance by a female guard, reflecting the vulnerability of female captives to total confinement.",5,Applies to female captives specifically in a state of abduction or war.,9,gemini_v18,,,,,
tlg0011.tlg006.perseus-eng2#25,tlg0011.tlg006.perseus-eng2,Philoctetes,Sophocles,-460,,Occupation,Soldier self-mutilation prohibition,Soldiers,,Protection from self-mutilation and suicide,Body integrity,LESS,"[§35] Philoctetes: But oh, friends, grant me one wish! Chorus: What would you ask? Philoctetes: A sword, if you can find one, or an axe, or any weapon— please, pass it to me! Chorus: That you may execute what scheme? Philoctetes: Mangle all this body, and sever limb from limb with my own hand! Death, death is my thought now!",Restriction of bodily harm,Restriction of bodily harm,"The Chorus's refusal and alarmed questioning when Philoctetes asks for a weapon to 'mangle' his own body reflects a normative constraint against assisting in self-mutilation or suicide, particularly within a military/companion context where the soldier is still viewed as part of the collective body.",5,"The rule against assisting in self-harm applies generally to those in social or military bonds, though the specific request for weapons is context-dependent.",7,gemini_v18,,,,,

# Accuracy by Category
category,up,down,pending,total,accuracy_pct
UNKNOWN,1,0,49,50,100.0
