rule_uid	file_id	perseus_author	perseus_title	period	criteria	rule	group	resource	directionality	verbatim	reasoning	contemporary	factuality	confidence	resource_materiality	materiality_reasoning	resource_generality	generality_reasoning	resource_persistence	persistence_reasoning	group_immutability	immutability_reasoning	rule_contemporarity	contemporarity_reasoning	opinion_vs_fact	opinion_vs_fact_reasoning	tautology	tautology_reasoning	work_author_polity_cliopatria	work_polity	work_polity_reasoning	work_time_reference	work_time_start	work_time_end	work_time_reasoning	rule_polity	rule_polity_reasoning	rule_date	rule_time_reasoning	year	genre
tlg0007.tlg126.perseus-eng3::1	tlg0007.tlg126.perseus-eng3	Plutarch	Concerning the Face which Appears in the Orb Of the Moon	Hellenistic & Early Roman (165 BCE – 105 CE)	['Occupation']	Right to settle after service	Servants of Cronus	Right to settle in a foreign land	MORE	['Nor do any others inhabit it but themselves and those who have been dispatched before them, for, while those who have served the god together for the stint of thirty years are allowed to sail off home, most of them usually choose to settle in the spot, some out of habit and others because without toil or trouble they have all things in abundance while they constantly employ their time in sacrifices and celebrations or with various discourse and philosophy']	Plutarch notes a custom in this specific community where individuals who have completed a thirty-year term of religious service have the right to choose between returning home or settling permanently on the island with access to its resources.	1	1	9.0	5	Right to settle in a foreign land and 'abundance' of things is material/economic.	3	Specifically the right to permanent residence in a given locality.	5	Right to settle 'permanently' is lifelong.	4	Status acquired via a 30-year fixed term of service; structural.	1	Belongs to the mythic description of Cronus's island.	4	Presented as a factual description of the island's social laws.	0	Religious service does not inherently grant the right to settle elsewhere.	Roman Empire;(Roman Empire)	Roman Empire; Greek philosophical tradition (pan-Hellenic)	A dialogue on lunar physics and myth set among Plutarch's contemporaries.	contemporary	70.0	120.0	A contemporary dialogue reflecting the scientific and religious thought of the late 1st century CE.	Roman Empire	This describes a religious fellowship (Servants of Cronus) in the Western Ocean as understood by contemporary Roman-era philosophers.	95	Midpoint of the work's span (70 to 120 CE), representing the era of contemporary scientific/mythological inquiry.	75	biography
tlg0014.tlg017.perseus-eng2::5	tlg0014.tlg017.perseus-eng2	Demosthenes	On the Treaty with Alexander	Late Classical (354–165 BCE)	['Citizenship']	Protection from armed exile incursions	Citizens	Security from hostile exiles	MORE	['For it is laid down that it shall not be lawful for exiles to set out, bearing arms, from the states which are parties to the peace, with hostile intent against any of the states included in the peace; but if they do, then that city from which they set out shall be excluded from the terms of the treaty.']	The treaty contains a formal rule preventing states from allowing armed exiles to launch attacks on other member states, protecting the internal security and territorial integrity of the signatory groups.	1	1	9.0	5	Security from armed attacks is a fundamental bodily/territorial entitlement.	4	Internal security is a broad and foundational resource.	5	A structural protection meant to endure for the life of the treaty.	4	Citizenship of a state is a stable, legal birth-status.	0	Cites an active clause of the League of Corinth treaty.	5	Directly reports a formal rule of the compact.	0	Security from exiles is not part of the definition of citizenship.								League of Corinth	The rule is a provision of the common peace treaty preventing hostile proxy attacks among Greek states.	-335	The speech 'On the Treaty with Alexander' was delivered around 335 BCE to discuss the terms established by the League in 338/7 BCE.	-348	
tlg0062.tlg045.perseus-eng2::13	tlg0062.tlg045.perseus-eng2	Lucian of Samosata	The Dance	High Roman Empire (135–205 CE)	['Lineage', 'Nobility']	Noble participation in Bacchic dance	High-born men	Right to perform in public spectacles	MORE	['And certainly the Bacchic dance that is especially cultivated in Ionia and in Pontus, although it is a satyr-show, nevertheless has so enthralled the people of those countries that when the appointed time comes round they each and all forget everything else and sit the whole day looking at titans, corybantes, satyrs, and rustics. \n\nIndeed, these parts in the dance are performed by the men of the best birth and first rank in every one of their cities, not only without shame but with greater pride in the thing than in family trees and public services and ancestral distinctions.']	The author describes a specific contemporary social norm in Ionia and Pontus where high-status men (best birth/first rank) are permitted and encouraged to perform as dancers in public Bacchic festivals, a role that might otherwise be seen as low-status, framing it as a source of pride and a recognized right of their class.	1	1	10.0	3	The right to perform in festivals provides significant social status and cultural participation.	3	Applies to broad regional festivals and public services.	4	This is a recurring right associated with one's high-born status.	5	Defined as people of 'best birth' and 'first rank' (nobility).	0	Describes contemporary customs in the cities of Ionia and Pontus.	5	States the social practice and the identity of the participants as factual observation.	0	High birth does not entail Bacchic dancing; usually it was the opposite.								Ionia and Pontus	Lucian identifies these specific regions (Ionia and Pontus) as having a unique norm for high-born participants in Bacchic dance.	165	Dated to Lucian's floruit (c. 165 CE), as he describes contemporary regional social customs in the East.	155	
tlg0007.tlg028.perseus-eng2::4	tlg0007.tlg028.perseus-eng2	Plutarch	Titus Flamininus	Hellenistic & Early Roman (165 BCE – 105 CE)	['Freedom']	Magisrate ejection from Senate	Nobility	Right to retain senatorial rank	LESS	['In view of this, when Cato became censor and was purging the senate of its unworthy members, he expelled from it Lucius Flamininus, although he was a man of consular dignity, and although his brother Titus was thought to be involved in his disgrace.']	The text describes the power of the Censor to remove individuals from the Senate for perceived moral or behavioral failures, affecting their access to political power and high social status.	0	1	10.0	4	Senatorial rank is a concrete legal right with massive material influence.	4	A broad category of power and institutional membership.	4	Rank is permanent-till-revoked by a censor.	4	Nobility/consular dignity is a structural birth and career status.	1	Describes the historical censorship of Cato the Elder.	5	Describes the censor's power to purge the senate as a legal fact.	0	Retention of rank is not part of the definition of having reached that rank.	Roman Empire;(Roman Empire)	Middle Roman Republic; Macedonian kingdom	Documents the life of the Roman general who defeated Philip V of Macedon.	past	-229.0	-174.0	Covers the lifetime of Titus Quinctius Flamininus from birth to death.	Middle Roman Republic	The rule describes the powers of the Roman Censor to expel members from the Senate.	-184	Cato the Elder served as Censor in -184 BCE, the year he purged Lucius Flamininus from the Senate.	75	
tlg0004.tlg001.perseus-eng2::127	tlg0004.tlg001.perseus-eng2	Diogenes Laertius	Lives of Eminent Philosophers		['Education', 'Age']	Learning from royal foreign experts	Minors	Access to theological and astronomical education	MORE	['He was a pupil of certain Magians and Chaldaeans. For when King Xerxes was entertained by the father of Democritus he left men in charge, as, in fact, is stated by Herodotus; and from these men, while still a boy, he learned theology and astronomy.']	The text describes a specific educational arrangement where a young male of high standing (Democritus, son of a host to the King) was granted access to specialized knowledge (theology and astronomy) taught by foreign specialists (Magians and Chaldaeans) left by the Persian King. This indicates that boys of wealthy/connected families had access to private, elite tutoring from foreign experts.	0	1	8.0	3	Specialized education leads to social roles with material/elite outcomes.	4	Access to education is a major category of social right.	3	Limited to the life stage of minority/education.	5	Minors represent an immutable age status at that life moment.	1	Describes the education of Democritus (historical).	5	Describes a factual educational arrangement reported by historians.	0	Childhood does not define the presence of foreign tutors.		Greek philosophical tradition (pan-Hellenic)	The work documents the lives and doctrines of major Greek philosophical schools across various poleis.	past	-600.0	300.0	Spans from the Pre-Socratics (c. -600) to the early 3rd century CE, well before the author's likely floruit.	Achaemenid Empire	The rule describes education provided by Persian Magians left by King Xerxes in Abdera.	-480	Xerxes invaded Greece in -480, which is when he entertained Democritus' father according to tradition.	210	
tlg0008.tlg001.perseus-eng2::5	tlg0008.tlg001.perseus-eng2	Athenaeus	The Deipnosophists	High Roman Empire (135–205 CE)	['Freedom']	Slave prohibition of wine	Slaves	Right to drink wine	LESS	['And among the Romans no slave ever drank wine, nor any free woman, nor any youth born of free parents till he was thirty years of age.']	The text describes an ancient Roman sumptuary and social law that restricted access to wine based on both freedom and age criteria.	0	1	9.0	5	Wine is a tangible physical good.	3	Sumptuary law regarding a specific broad category of consumption.	5	For slaves, this was a lifelong prohibition.	4	Slave status is a structural legal status.	1	Refers to ancient Roman social history/customs.	5	Reported as a general historical fact of the Roman state.	0	Abstinence from wine is not the definition of a slave.								Archaic Rome	The verbatim refers to an ancient Roman law prohibiting wine consumption for slaves, women, and the young.	-450	Refers to the quasi-legendary and early Republican legal period of Rome, such as the era of the Twelve Tables (c. -450).	205	
tlg0030.tlg003.perseus-eng2::2	tlg0030.tlg003.perseus-eng2	Hyperides	Against Athenogenes	Classical (500–360 BCE)	['Wealth / Properties']	Testamentary freedom restrictions	Wealthy	Right to bequeath property	LESS	['Moreover the law dealing with wills is very similar to this. It allows a man to bequeath his property as he wishes unless he is affected by old age, illness or insanity, and provided he is not influenced by a woman or imprisoned or otherwise coerced.']	Solonian law on wills (diathekai) is cited, showing that while individuals have the right to bequeath, this resource is restricted if the testator is deemed influenced by specific external factors like illness or the influence of a woman.	1	1	9.0	5	The right to bequeath land and wealth is a core material entitlement.	5	Foundational societal axis: the transfer of wealth across generations.	5	A will has a lifelong and posthumous material effect.	3	Wealthy status is durable but susceptible to economic change.	0	Hyperides discusses the active Athenian law governing wills.	5	Reports well-known legal exceptions for testamentary freedom in Athens.	0	Wealth does not conceptually entail the right to bequeath while under 'female influence'.								Classical Athens	The restrictions on testamentary freedom (the influence of a woman, insanity, etc.) are standard features of Athenian law.	-330	The speech was delivered during Hyperides' career in the mid-4th century BCE.	-360	
tlg0004.tlg001.perseus-eng2::131	tlg0004.tlg001.perseus-eng2	Diogenes Laertius	Lives of Eminent Philosophers		['Wealth / Properties']	Sophist fee for education	Educated elite	Access to specialized instruction	LESS	['He was the first to exact a fee of a hundred minae and the first to distinguish the tenses of verbs... The story is told that once, when he asked Euathlus his disciple for his fee, the latter replied, But I have not won a case yet.']	The text establishes that Protagoras instituted a system where high-level education in rhetoric and dialectic required the payment of a significant fee (100 minae), effectively limiting access to those with substantial wealth.	0	1	9.0	3	Access to instruction is a role/practice with material consequences (fees).	4	Elite education is a broad category of social advantage.	4	The training provides long-term skills for a professional career.	3	Elite/student status is mutable through training and wealth.	1	Relates to the historical practice of the Sophists.	5	Reports a factual business model/fee structure as history.	0	Being educated/elite doesn't define having to pay a set fee.		Greek philosophical tradition (pan-Hellenic)	The work documents the lives and doctrines of major Greek philosophical schools across various poleis.	past	-600.0	300.0	Spans from the Pre-Socratics (c. -600) to the early 3rd century CE, well before the author's likely floruit.	Classical Athens	Protagoras' professional activity and fee-setting were centered in the Athenian intellectual market.	-440	Protagoras began his career as a sophist in the mid-5th century BCE; -440 represents his peak influence.	210	
tlg0059.tlg027.perseus-eng2::0	tlg0059.tlg027.perseus-eng2	Plato	Ion	Classical (500–360 BCE)	['Occupation']	Rhapsode competition eligibility	Rhapsodes	Right to compete in public festivals	MORE	['Soc. Do you mean to say that the Epidaurians honor the god with a contest of rhapsodes also?\n               Ion. Certainly, and of music Music with the Greeks included poetry. in general.\n               Soc. Why then, you were competing in some contest, were you? And how went your competition?\n               Ion. We carried off the first prize, Socrates.\n            \n \n               Soc. Well done: so now, mind that we win too at the Panathenaea. The Athenian festival of the Great Panathenaea was held every fourth year, and the Small Panathenaea probably every year, about July.']	The text establishes that rhapsodes as a professional group have the right and social function of competing for prizes (material and immaterial resources) at major Greek religious festivals like those in Epidaurus and Athens.	1	1	10.0	5	Competition for prizes (first prize often included money or valuables).	3	Specific to the institution of public festivals and rhapsodic contests.	4	The right to compete is a long-term feature of the professional identity.	3	Rhapsode is an occupation acquired through training and professionalization.	0	Plato describes contemporary Greek festivals like the Panathenaea.	5	The verbatim describes actual contests and prizes as observed facts.	0	Being a rhapsode doesn't tautologically require competing in the Panathenaea.								Classical Athens	The verbatim mentions the Panathenaea, the primary state festival of Athens, where rhapsodes competed publicly.	-390	Dated to Plato's early floruit; the Ion describes the professional landscape of performers in Athens and Epidaurus.	-393	dialogue
tlg0004.tlg001.perseus-eng2::16	tlg0004.tlg001.perseus-eng2	Diogenes Laertius	Lives of Eminent Philosophers		['Ethical Behavior']	Public speaker exclusion for profligates	Citizens	Right to speak in the Assembly	LESS	['Lysias, however, in his speech against Nicias ascribes this law to Draco, and to Solon another depriving open profligates of the right to speak in the Assembly.']	Specific moral conduct (defined as profligacy) led to the removal of the immaterial resource of political participation in the Assembly.	0	1	9.0	3	Speaking in the Assembly is a political/social practice with material consequences.	3	Specific to the recurring procedure of speaking in the sovereign body.	4	The deprivation of rights is a long-term or permanent legal state once enacted.	4	Refers to Citizens, a stable structural legal status.	1	Reports laws attributed to Draco and Solon.	5	Factual reporting of a statute as cited by Lysias.	0	Citizenship and morality (not being profligate) are not analytically linked.		Greek philosophical tradition (pan-Hellenic)	The work documents the lives and doctrines of major Greek philosophical schools across various poleis.	past	-600.0	300.0	Spans from the Pre-Socratics (c. -600) to the early 3rd century CE, well before the author's likely floruit.	Archaic Athens (Solonic)	The verbatim cites Lysias ascribing the restriction on public speaking for profligates to Solon in Athens.	-594	Solon's legislation in Athens is traditionally dated to 594 BCE.	210	
tlg0062.tlg008.perseus-eng2::4	tlg0062.tlg008.perseus-eng2	Lucian of Samosata	Demonax	High Roman Empire (135–205 CE)	['Citizenship']	Roman citizenship conferral by Emperor	Uneducated individuals	Roman citizenship	MORE	['A man named Polybius, quite uneducated and ungrammatical, said: “The emperor has honoured ‘me with the Roman citizenslfip.” “Oh, why didn’t he make you a Greek instead of a Roman?” said he.']	The passage confirms that the Emperor has the authority to grant Roman citizenship to individuals, even those lacking in education or Greek culture.	1	1	10.0	4	Roman citizenship is a concrete legal status with direct material/legal effects.	5	Foundational status governing legal personhood and rights across the Empire.	5	Citizenship is a lifelong, permanent legal standing.	3	Uneducated status is changeable through effort, though often a stable identity.	0	Describes the contemporary power of the Roman Emperor in Lucian's time.	4	Reports a specific instance of imperial grant as a factual anecdote.	0	Lack of education does not logically preclude citizenship; the relationship is social.								Roman Empire	The rule describes the granting of Roman citizenship by an Emperor, a prerogative of the Roman state.	165	Lucian is writing about his contemporary world in the 2nd century CE during his floruit.	155	
tlg0014.tlg048.perseus-eng2::3	tlg0014.tlg048.perseus-eng2	Demosthenes	Against Olympiodorus	Late Classical (354–165 BCE)	['Gender']	Invalidation of acts under female influence	Men	Right to have legal acts recognized	LESS	['And Solon established a law that all acts shall be null and void which are done by anyone under the influence of a woman, especially of a woman of her stamp. In this matter the lawgiver made wise provision.']	The speaker cites a specific law attributed to Solon stating that a man's legal actions (like breaking a contract or oath) can be invalidated if it is proven he was under the influence of a woman. This limits the autonomy/validity of a man's legal standing based on gendered interpersonal influence.	1	1	9.0	4	The validity of legal acts directly impacts property and contract rights.	5	Legal personhood/autonomy is a foundational societal axis.	5	This law acts as a permanent ceiling on a man's legal autonomy regarding women.	5	Gender (men) is biologically/socially fixed.	0	Cites a law of Solon currently applied in Athenian courts.	5	Cites a specific statute ('Solon established a law') as the basis for the argument.	0	Being a man does not by definition mean one's acts are void due to a woman.								Archaic Athens (Solonic)	The verbatim explicitly attributes this law to Solon, the 6th-century BCE Athenian lawgiver.	-594	Solon's legislation in Athens is traditionally dated to his archonship in 594 BCE.	-348	
tlg0062.tlg008.perseus-eng2::1	tlg0062.tlg008.perseus-eng2	Lucian of Samosata	Demonax	High Roman Empire (135–205 CE)	['Religion']	Citizen obligation to public sacrifice	Citizens	Exemption from public sacrifice	LESS	"[""Anytus and his Meletus who combined against him and brought the same charges that their predecessors brought against Socrates, asserting that he had never been known to sacrifice and was the only man in the community uninitiated in the Eleusinian mysteries. ... Regarding his never having offered sacrifice to Athena, he said: 'Do not be surprised, men of Athens, that I have not hitherto sacrificed to her: I did not suppose that she had any need of my offerings.'""]"	The Athenian public brought charges against Demonax specifically for failing to sacrifice to Athena. This indicates a general rule where residents/citizens were required to participate in the city's religious life through sacrifice, and omission was treated as a crime or serious social breach.	1	1	9.0	4	Avoiding legal charges for a 'punishable offense' involves bodily freedom/finance.	4	Obligation to public sacrifice is a broad category of civic duty/exemption.	4	Civic religious duty is a lifelong expectation for citizens.	4	Citizenship is a high-immutability birth-status or state-granted role.	0	Reflects the contemporary Athenian legal environment narrated by Lucian.	5	Reports the specific charge brought by 'Anytus and Meletus' as an event fact.	0	Citizenship status is not defined by the act of sacrifice.								Roman Athens	The charge of failing to sacrifice to Athena was brought by the Athenian public against Demonax in the 2nd century CE.	150	Demonax's floruit and the events described by Lucian occurred in the mid-2nd century CE.	155	
tlg0062.tlg045.perseus-eng2::5	tlg0062.tlg045.perseus-eng2	Lucian of Samosata	The Dance	High Roman Empire (135–205 CE)	['Religion']	Mystery cult secrecy obligation	Education	Protection from legal proceedings	LESS	"[""[§71] ...although it behoves me to observe silence about the rites on account of the uninitiate, nevertheless there is one thing that everybody has heard; namely, that those who let out the mysteries in conversation are commonly said to 'dance them out.'""]"	The text refers to the general social and religious rule that initiates of mystery cults are prohibited from speaking about the rites, characterizing disclosure as a violation ('dancing them out').	1	1	8.0	4	Secrecy is a legal/religious obligation with significant material consequences (legal/sacred punishment).	3	Applies to the widely relevant social institution of mystery cults.	5	The obligation of silence regarding the rites is lifelong once initiated.	3	Initiation is a choice that creates a durable, non-trivial social identity.	0	Refers to known contemporary religious norms during the author's lifetime.	4	Reports a widely known social norm ('what everybody has heard').	0	An initiate is not defined by their silence, though the silence is required of them.								Roman Empire	Refers to the general Hellenistic and Roman-era practice regarding secrecy in mystery cults like those at Eleusis.	165	Dated to Lucian's floruit (c. 165 CE), as these mystery cults were active and their secrecy norms were well-known to his audience.	155	
tlg0062.tlg015.perseus-eng4::7	tlg0062.tlg015.perseus-eng4	Lucian	A Feast of Lapithae	High Roman Empire (135–205 CE)	['Freedom', 'Gender']	Slave girl exposure to sexual violence	Flutegirls	Protection from sexual assault	LESS	['When some one came at last with a lamp, Alcidamas was discovered stripping and applying compulsion to the flutegirl, and Dionysodorus proved to have been as incongruously engaged']	The text describes an assault on a flutegirl (typically a slave or low-status hireling) by a guest during a public disorder. The lack of intervention or legal consequence described in this social setting illustrates the lack of protection such a group had regarding bodily autonomy.	1	1	9.0	5	Bodily integrity and protection from assault are high-value material resources.	5	Bodily integrity is a foundational societal rights axis.	5	Vulnerability to assault is a structural feature of their social status.	3	Flutegirl is an occupation, though often overlapping with slave status.	0	Reflects contemporary lack of protections for low-status female workers.	5	Narrates the assault and lack of consequence as an observed event.	0	Being a flutegirl does not definitionally mean being assaulted.								Roman Empire	The treatment of low-status entertainers (flutegirls) as objects of compulsion reflects the lack of legal protection for this class in the 2nd century CE.	165	Dated to Lucian's floruit in the 2nd century CE.	155	
tlg0062.tlg046.perseus-eng2::6	tlg0062.tlg046.perseus-eng2	Lucian of Samosata	Lexiphanes	High Roman Empire (135–205 CE)	['Gender']	Female seclusion during illness	Women	Right to social interaction	LESS	['for some time now his wife is irregular and out of sorts by reason of wanting issue, so that he no longer even knows her; she is unapproachable and uncultivated.']	The text describes a social norm where a woman experiencing reproductive health issues ('wanting issue') is kept 'unapproachable', effectively losing access to social contact even with her husband.	1	1	7.0	3	Exclusion from social interaction and contact has direct material effects on life.	3	Tied to specific health/marital conditions but recurring.	3	Bounded to the duration of the illness/infertility episode.	5	The rule is applied based on sex (woman), which is immutable.	0	Reflects the gendered social norms of the author's era.	4	Reports a specific wife's exclusion as a factual occurrence.	0	Being a woman does not tautologically mean being unapproachable when ill.								Roman Empire	The description reflects the domestic and social norms of the Hellenized upper classes in the Roman Empire.	165	Lucian describes the contemporary social treatment of women within elite households during his floruit.	155	biography, polemical lampoon
tlg0004.tlg001.perseus-eng2::126	tlg0004.tlg001.perseus-eng2	Diogenes Laertius	Lives of Eminent Philosophers		['Freedom']	Freedom from enslavement for philosophers	Philosophers	Right to be manumitted by peers	MORE	['He is believed to have been sold into slavery by [... and to have been set free by] the Pythagoreans Parmeniscus and Orestades: so Favorinus in the first book of his Memorabilia.']	While Xenophanes was sold into slavery, the text indicates a social convention or specific act where members of a philosophical school (Pythagoreans) acted to restore the freedom of a fellow intellectual, suggesting a degree of mutual protection among certain groups.	0	1	7.0	5	Freedom from slavery is the ultimate material resource of bodily autonomy.	5	Legal personhood/freedom is a foundational societal axis.	5	Manumission results in a permanent change in legal status (freedman).	3	Philosopher is a chosen social identity/occupation.	1	Refers to a historical anecdote from the life of Xenophanes.	4	Reported as a factual event ('is believed to have been sold').	0	Being a philosopher does not define one as legally free.		Greek philosophical tradition (pan-Hellenic)	The work documents the lives and doctrines of major Greek philosophical schools across various poleis.	past	-600.0	300.0	Spans from the Pre-Socratics (c. -600) to the early 3rd century CE, well before the author's likely floruit.	Classical Greece	The event involves Pythagorean communities across the Greek world acting to free Xenophanes.	-500	Xenophanes of Colophon lived c. -570 to -475; -500 represents his floruit and period of wandering.	210	
tlg0026.tlg003.perseus-eng2::15	tlg0026.tlg003.perseus-eng2	Aeschines	Against Ctesiphon	Late Classical (354–165 BCE)	['Citizenship']	Magistrate selection and voting rights	Citizens	Eligibility for the archonship	MORE	['It was in the archonship of Theophrastus; 340/39 b.c. Diognetus of Anaphlystus was our hieromnemon; as pylagori you elected Meidias of Anagyrus, whom you all remember—I wish for many reasons he were still living—and Thrasycles of Oeum; I was the third.']	The text identifies specific Athenian citizens by their demes (Anaphlystus, Anagyrus, Oeum) who were elected by the citizen body to high offices (Archon, Hieromnemon, Pylagori). This demonstrates that the resource of holding high political and religious office was reserved for citizens.	1	1	10.0	4	Holding high office grants control over state resources and law.	4	Eligibility for the archonship is a major political right.	5	Eligibility for office is a lifelong structural feature of citizen status.	4	Athenian citizenship is a structural legal birth-status.	0	Describes the contemporary election of officials in recent years.	5	Lists specific individuals and their election as plain historical fact.	0	Office eligibility is an attribute of citizenship, not its definition.								Classical Athens	The text names the Athenian Archon and citizens represented by their specific Athenian demes (Anaphlystus, Anagyrus).	-339	The verbatim explicitly dates the archonship of Theophrastus to 340/339 BCE.	-354	
tlg0004.tlg001.perseus-eng2::71	tlg0004.tlg001.perseus-eng2	Diogenes Laertius	Lives of Eminent Philosophers		['Occupation']	Philosopher right of residence	Philosophers	Right of residence	LESS	['The next year, however, the philosophers returned, as Philo had prosecuted Sophocles for making an illegal proposal. Whereupon the Athenians repealed the law, fined Sophocles five talents, and voted the recall of the philosophers, in order that Theophrastus also might return and live there as before.']	The repeal of Sophocles' law and the subsequent 'recall' of the philosophers confirms that the preceding rule effectively forced the entire group into exile, as they could no longer practice their occupation.	0	1	9.0	5	Freedom of movement and residency in a city (Athens) are material rights.	5	The right of residency is a foundational civil right.	4	Holds as long as the repeal stands and the individuals remain.	3	Occupation identity.	1	Historical account of the repeal of Sophocles' law.	5	Reports the repeal and voting as factual events.	0	Residency is not definitionally tied to philosophy.		Greek philosophical tradition (pan-Hellenic)	The work documents the lives and doctrines of major Greek philosophical schools across various poleis.	past	-600.0	300.0	Spans from the Pre-Socratics (c. -600) to the early 3rd century CE, well before the author's likely floruit.	Classical Athens	The repeal of the law and the recall of the philosophers (including Theophrastus) was an action of the Athenian assembly.	-306	Sophocles' law was repealed and the philosophers were recalled to Athens in the year following its enactment, -306.	210	
tlg0007.tlg093.perseus-eng3::2	tlg0007.tlg093.perseus-eng3	Plutarch	Can Virtue Be Taught?	Hellenistic & Early Roman (165 BCE – 105 CE)	['Freedom']	Enforced slave blinding in Scythia	Slaves	Protection from physical mutilation	LESS	['For the Scythians, as Herodotus says, blind their slaves that these may hand over the cream to themselves; but such a man as this gives Reason, like an eye, as it were, to the subservient and ancillary arts, while denying it to virtue.']	While referencing Herodotus (historical), Plutarch cites this as a known rule/practice of a specific society (the Scythians) where slaves are systematically blinded to serve a domestic function (preventing them from stealing cream). This highlights the lack of physical protection for the slave group.	0	1	10.0	5	Blinding is a permanent physical mutilation and loss of bodily integrity.	4	Protection from mutilation is a major category of physical security.	5	The loss of sight is a permanent, lifelong material state.	4	Slave status is a structural legal condition extremely hard to change.	1	Cites Herodotus regarding a foreign, ancient 'Scythian' custom.	4	Reported as an ethnographic fact (even if likely mythical), used for analogy.	0	Slavery does not inherently mean being blinded; it is a specific cultural rule.	Roman Empire;(Roman Empire)	Classical Greek poleis	A philosophical inquiry into the nature of virtue, heavily citing Classical Greek thinkers.	past	-450.0	-300.0	Focuses on the pedagogical debates of the Sophists and Socratic schools in the 5th-4th centuries BCE.	Scythia	The verbatim explicitly identifies this as a practice of the Scythians, as recorded by Herodotus.	-440	Plutarch cites Herodotus (fl. -440), who recorded Scythian customs during the 5th century BCE.	75	
tlg0007.tlg082b.perseus-eng2::3	tlg0007.tlg082b.perseus-eng2	Plutarch	Sayings of Spartan Women	Hellenistic & Early Roman (165 BCE – 105 CE)	['Citizenship']	Execution of cowards by mothers	Women	Political power	MORE	['Damatria heard that her son had been a coward and unworthy of her, and when he arrived, she made away with him. This is the epigram Referring to her: Sinner against our laws, Damatrius, slain by his mother, Was of the Spartan youth; she was of Sparta too.']	The text describes a mother killing her son for cowardice and frames this action as consistent with being 'of Sparta' and enforcing 'our laws'. This indicates a social norm where women were empowered/expected to enforce the city's military code within the family even unto death.	0	1	9.0	5	Power of life and death is the most concrete material force possible.	3	Specific to military code enforcement and domestic homicide.	2	Action relates to a single episode of cowardice.	5	Gender and ethnicity ('of Sparta') are fixed.	1	Historical anecdote from Sparta's military past.	4	Reports the event as an instantiation of 'our laws'.	0	Motherhood does not include the power to execute offspring.	Roman Empire;(Roman Empire)	Classical Sparta; Archaic Sparta	A collection of sayings attributed to Spartan women, documenting their unique social status and laconic wit.	past	-700.0	-200.0	Documents the traditional sayings of Spartan women from the legendary past through the Hellenistic era.	Classical Sparta	The rule describes the enforcement of Spartan military honor codes (cowardice laws) by family members.	-450	Midpoint of the work's span, representing the peak period of documented rigorous Spartan traditionalism.	75	
tlg0026.tlg001.perseus-eng2::15	tlg0026.tlg001.perseus-eng2	Aeschines	Against Timarchus	Late Classical (354–165 BCE)	['Freedom']	State slave right to sue	Slaves	Right to bring legal suit	MORE	['the fellow, angry at their insolent treatment, brings a suit against each of them. Proceedings in court in behalf of an ordinary slave would be conducted by his master in his own name; but Pittalacus was a state slave (Aeschin. 1.54). Probably he would have to bring suit under the name of some citizen as his protector (προστάτης).']	While regular slaves could not sue, state slaves (demosioi) like Pittalacus had the specific resource of legal recourse against those who harmed them, albeit requiring a citizen protector.	1	1	8.0	4	The right to bring a suit is a concrete legal right with potential material payoffs.	3	A specific legal procedure (bringing suit) for a specific sub-group (state slaves).	4	The status of being a state slave was typically long-term or lifelong.	4	Slave vs. state slave is a structural legal birth-status, very hard to change.	0	Refers to a known contemporary Athenian legal distinction.	5	Verbatim cites the different legal standing of ordinary vs. state slaves as fact.	0	Freedom to sue is not part of the definition of 'slave' (usually the opposite).								Classical Athens	The text discusses the specific legal status of 'demosioi' (state slaves) within the Athenian judicial system.	-345	The speech Against Timarchus was delivered in 345 BCE, describing the contemporary legal standing of state slaves.	-354	
tlg0062.tlg011.perseus-eng2::2	tlg0062.tlg011.perseus-eng2	Lucian of Samosata	Octogenerians	High Roman Empire (135–205 CE)	['Occupation']	Slave obedience to master demands	Servants	Right to refuse service	LESS	['calling his servant and telling him, along with a great and hearty laugh, to give the donkey also a sup of wine, he choked with his laughter and died.']	The text describes a poet (Philemon) commanding a servant to perform a whimsical and non-essential task (giving wine to a donkey), which the servant is expected to obey. This reflects the social rule where individuals of the 'servant' occupation group lack the right to refuse service or exercise autonomy over their labor when commanded by their master.	0	1	7.0	5	Control over one's own labor and body (subsistence) is material.	4	The right to refuse service/autonomy is a broad structural outcome.	5	Slave/servant status is usually lifelong and structural.	4	Servant/slave status is a hard-to-change legal birth-status/condition.	1	Refers to the death of Philemon, a figure from the past.	5	Describes the master-servant dynamic as an unremarkable, observed fact.	1	A servant by definition is one who must obey orders; the rule is tautological.								Classical Athens	Philemon was a 4th-3rd century BCE Athenian playwright; the rule pertains to slave-master relations in that setting.	-262	Dated to the approximate year of Philemon's death, which Lucian is recounting as a historical anecdote.	155	
