rule_uid,file_id,work_name,author,impact_year,polity,criteria,sampled_for,is_contemporary,verbatim_type,factuality,criterion_label,in_group,out_group,resource,resource_std,speaker,verbatim,matched_keywords,rule_category,reasoning,group_generality,generality_reasoning,resource_materiality,materiality_reasoning,resource_generality,resource_generality_reasoning,resource_persistence,persistence_reasoning,group_immutability,immutability_reasoning,tautological,tautology_reasoning,confidence,extraction_method,extraction_cost_usd,prompt_tokens,completion_tokens,vote,comment
tlg0627.tlg010.perseus-eng2#29,tlg0627.tlg010.perseus-eng2,The Art,Hippocrates,-465,,Health,Health,1,fact,3,Maimed child educational assistance,young people,,Access to instructional training,,MORE,"[§52] Those who were children when they met with the accident, and have been properly instructed, stand erect upon the sound leg, but carry about a staff [...] and the smaller the unsound limb, the greater facility have they in walking.",Maimed child educational assistance,,"The text identifies a specific class of people (children with dislocations) who receive 'instruction' on how to walk and stand erect despite their disability, indicating a social provision of rehabilitative training.",5,The group 'young people' is a canonical age-based societal group; the author describes contemporary medical instruction.,3,Access to instructional training is access to a social practice that produces tangible outcomes (mobility).,3,Access to instructional training is a specific but broadly applicable educational resource.,3,Access to instructional training is tied to the period of rehabilitation and childhood.,5,"Young people are defined by age, a strictly immutable biological trait.",0,"Access to instructional training is a social provision, not inherent to the definition of young people.",9.0,gemini_v19_batch4,,,,down,"the group is not well chosen, this had to be mroe specific than young people"
tlg0627.tlg010.perseus-eng2#2,tlg0627.tlg010.perseus-eng2,The Art,Hippocrates,-465,,Health,Health,1,fact,3,Difficulty of reduction for the fleshy,Fleshy persons,,Ease of medical recovery,,LESS,"[§8] The habit of the body also occasions a certain difference, for in those who are in a state of embonpoint and fleshy the joint is rarely dislocated, but is more difficult to reduce; but when they are more attenuated and leaner than usual, then they are subject to dislocations which are more easily reduced.",Difficulty of reduction for the fleshy,,The physical state of the body (embonpoint/fleshy) is treated as a criterion that limits the resource of 'ease of medical reduction' compared to leaner individuals.,4,Broad societal group based on physical state; the author describes contemporary medical observations.,5,Ease of medical recovery impacts bodily protection and health.,3,Ease of medical recovery is a specific but broadly applicable aspect of health.,4,Body habitus and its effect on recovery is long-term but can change with weight.,5,Physical body habitus (fleshy) is a birth-fixed or very hard to change trait.,0,"Ease of medical recovery is a health resource, not inherent in the definition of 'Fleshy persons'.",8.0,gemini_v19_batch4,,,,down,"does not seem right to have medical point of view here, this is related to the progress of medecine, whihc is i,terestn but not sure it fits into the scope"
tlg0627.tlg010.perseus-eng2#0,tlg0627.tlg010.perseus-eng2,The Art,Hippocrates,-465,,Health,Health,1,fact,3,Patient self-reduction of joints,Those subject to frequent dislocations,,Right to perform medical reduction,,MORE,"[§2] Those who are subject to frequent dislocations at the shoulder-joint, are for the most part competent to effect the reduction themselves; for, having introduced the knuckles of the other hand into the armpit, they force the joint upward, and bring the elbow toward the breast.",Patient self-reduction of joints,,The author notes that individuals with chronic joint issues are conventionally expected and able to perform their own medical procedures without a physician's intervention.,4,Broad societal group based on health condition; the author describes contemporary medical practices.,3,Right to perform medical reduction is access to a practice with tangible outcomes.,2,Right to perform medical reduction is tied to a specific medical procedure.,4,The ability to self-reduce dislocations is a long-term skill for those with chronic issues.,5,"Frequent dislocations imply a chronic, likely birth-fixed or very hard to change physical condition.",0,"Right to perform medical reduction is a medical skill/resource, not inherent in the definition of 'Those subject to frequent dislocations'.",9.0,gemini_v19_batch4,,,,down,
tlg0010.tlg019.perseus-eng2#16,tlg0010.tlg019.perseus-eng2,Antidosis,Isocrates,-400,,Health,Health,1,fact,4,Generalship eligibility and robust physique,Men with non-robust physiques,,Eligibility for the generalship,,LESS,"[§115-116] [115] ...some of the generals who have a high reputation among you and are thought to be great fighters have not been able to take even a village, while Timotheus, who lacks a robust physique... [116] For you elect as your generals men who have the most robust bodies and who have served in many campaigns with foreign armies, thinking that under their leadership you will have some success.",Generalship eligibility and robust physique,,"The text explicitly states that the Athenian assembly (the 'you') selects generals based on physical robustness, which functions as a barrier for those, like Timotheus, who lack it, despite his eventual success.",4,The group is broad but specific (men with non-robust physiques); the author describes a contemporary selection criterion.,3,Eligibility for generalship is access to a social role with tangible outcomes.,2,Eligibility for the generalship is tied to a particular office and physical condition.,4,Eligibility for generalship based on physique is a long-term career barrier or enabler.,5,"Physical physique is a biologically fixed trait, strictly immutable.",0,"Eligibility for generalship based on physique is a selection criterion, not inherent in lacking a robust physique.",8.0,gemini_v19_batch4,,,,up,
tlg0086.tlg010.perseus-eng2#219,tlg0086.tlg010.perseus-eng2,Nicomachean Ethics,Aristotle,-348,,Lineage,Lineage,1,fact,3,Paternal prioritization of child welfare,male heirs,,Right to parental care for welfare,,MORE,"[§1084] The relationship of father to sons is regal in type, since a father’s first care is for his children’s welfare. This is why Homer styles Zeus father, for the ideal of kingship is paternal government.",Paternal prioritization of child welfare,,"Aristotle describes the standard Greek familial structure as one where sons are the primary beneficiaries of the father's governance, contrasting it with the Persians who treat sons as slaves.",4,The group 'male heirs' is broad but still societal; Aristotle describes contemporary Greek familial structures.,4,Parental care for welfare directly impacts the material well-being of children.,4,"Parental care for welfare is a broad category of support, spanning many situations.",3,Parental care for welfare is a resource that lasts through childhood and into early adulthood.,5,"Male heirs are defined by birth and lineage, a strictly immutable characteristic.",0,"While fathers care for children, the specific prioritization of male heirs is a social rule, not inherent to 'male heir' definition.",9.0,gemini_v19_batch4,,,,up,
tlg0086.tlg010.perseus-eng2#193,tlg0086.tlg010.perseus-eng2,Nicomachean Ethics,Aristotle,-348,,Lineage,Lineage,1,fact,3,Parental claim to service,Parents,,Right to services and honor,,MORE,"[§1017] ...the friendship between parents and children will be enduring and equitable, when the children render to the parents the services due to the authors of one’s being... These friendships then involve a superiority of benefits on one side, which is why parents receive honor as well as service.",Parental claim to service,,"The text establishes that because parents are the source of existence, they have a social and moral claim to receive services and honor from their offspring.",5,Canonical societal group; the author describes a contemporary social norm.,3,"Receiving 'services' implies tangible actions, while 'honor' is more symbolic. The former dominates.",5,"Right to services and honor is a broad societal good, applicable to many life outcomes.",5,"The claim to service and honor from children is lifelong, stemming from the act of being born.",5,Parental status is a birth-fixed trait; one cannot cease to be a biological parent.,0,"The rule describes a social claim to services and honor, not an inherent part of being a parent.",10.0,gemini_v19_batch4,,,,up,
tlg0086.tlg035.perseus-eng2#151,tlg0086.tlg035.perseus-eng2,Politics,Aristotle,-348,,Lineage,Lineage,1,fact,3,Hereditary office succession,Male heirs,,Right to hold office,,MORE,"[§90] there comes about the third advance in oligarchy, which consists in their keeping the offices in their own hands, but under a law enacting that they are to be hereditary.",Hereditary office succession,,Aristotle identifies a specific rule in advanced oligarchies where political office is restricted to specific families through hereditary law.,4,Broad societal group; Aristotle describes contemporary political structures.,3,Right to hold office is access to a social role with tangible outcomes.,5,The right to hold office is a fundamental aspect of political power.,5,Hereditary right to hold office is a lifelong and intergenerational status.,5,"Being a 'male heir' is a birth-fixed trait, strictly immutable.",0,"Hereditary office succession is a legal mechanism, not an inherent quality of being a 'male heir'.",10.0,gemini_v19_batch4,,,,up,
tlg0086.tlg035.perseus-eng2#147,tlg0086.tlg035.perseus-eng2,Politics,Aristotle,-348,,Lineage,Lineage,1,fact,3,Hereditary magistracy succession,Male heirs,,Political power,,MORE,[§89] another variety of oligarchy is when son succeeds father in office; and a fourth kind is when the hereditary system just mentioned exists and also the magistrates govern and not the law.,Hereditary magistracy succession,,"Lineage is the primary criterion here for the transmission of political office, granting heirs access to power simply by virtue of birth.",4,Broad societal group; Aristotle describes contemporary political structures.,3,Political power is access to a social role with tangible outcomes.,5,Political power is a high-level societal good applicable to many life outcomes.,5,Hereditary political power is a lifelong and intergenerational status.,5,"Being a 'male heir' is a birth-fixed trait, strictly immutable.",0,"Hereditary succession is a legal mechanism, not an inherent quality of being a 'male heir'.",9.0,gemini_v19_batch4,,,,up,
tlg0086.tlg035.perseus-eng2#141,tlg0086.tlg035.perseus-eng2,Politics,Aristotle,-348,,Lineage,Lineage,1,fact,3,Noble monopoly on honors,Noble families,,Eligibility for the archonship,,MORE,"[§85] neither is it a democracy if the free being few govern the majority who are not of free birth, as for instance at Apollonia on the Ionian Gulf and at Thera (for in each of these cities the offices of honor were filled by the specially noble families who had been the first settlers of the colonies, and these were few out of many)",Noble monopoly on honors,,Aristotle cites Apollonia and Thera as examples where lineage (being of the original settler families) granted exclusive access to high offices (honors).,4,Broad societal group; Aristotle describes contemporary political structures.,3,Eligibility for archonship is access to a social role with tangible outcomes.,5,"Eligibility for archonship is a high-level political power, a foundational societal axis.",5,Eligibility for office based on noble birth is a lifelong and inherited status.,5,"Nobility/lineage is a birth-fixed trait, strictly immutable.",0,"Noble monopoly on honors is a specific social/legal rule, not inherent to being from 'noble families'.",9.0,gemini_v19_batch4,,,,up,
tlg0086.tlg035.perseus-eng2#131,tlg0086.tlg035.perseus-eng2,Politics,Aristotle,-348,,Nobility,Nobility,1,fact,3,Exemption from ostracism,Noble heirs,,Protection from exile,,MORE,"[§78] For it is not seemly to put to death or banish, nor yet obviously to ostracize, such a man, nor is it seemly to call upon him to take his turn as a subject; for it is not in the order of nature for the part to overtop the whole, but the man that is so exceptionally outstanding has come to overtop the whole community.",Exemption from ostracism,,"For individuals or families of extreme 'virtue' (nobility/excellence), the usual rules of ostracism or punishment are suspended, granting them a special protection from state-enforced exile.",4,Broad societal group; the author describes a contemporary political exception.,4,Protection from exile is a concrete legal right with direct material effect on freedom of movement.,3,Protection from exile is a specific but broadly applicable legal protection.,5,"Exemption from exile is a lifelong, structural protection for exceptionally virtuous individuals/families.",4,"Noble heirs are defined by lineage, a birth-status, very hard to change.",0,"Protection from exile is a specific legal exemption, not inherent to being a 'noble heir'.",9.0,gemini_v19_batch4,,,,up,
tlg0086.tlg035.perseus-eng2#219,tlg0086.tlg035.perseus-eng2,Politics,Aristotle,-348,,Nobility,Nobility,1,fact,3,Tyrannical suppression of notables,The notables,,Protection from arbitrary execution,,LESS,"[§128] while it copies democracy in making war on the notables and destroying them secretly and openly and banishing them as plotting against it and obstructive to its rule. Hence comes the advice of Periander to Thrasybulus, his docking of the prominent cornstalks, meaning that the prominent citizens must always be made away with.",Tyrannical suppression of notables,,The text describes a political norm in tyrannies where prominent or noble citizens are systematically targeted for removal or death to prevent challenges to power.,4,"The group 'The notables' is broad; Aristotle describes contemporary tyrannical suppression, referencing a historical anecdote.",5,Protection from arbitrary execution is a fundamental bodily entitlement.,5,"Protection from arbitrary execution relates to bodily integrity, a foundational societal axis.",4,"Protection from execution is a long-term status, but can be revoked by tyrannical rule.",5,"Notables are defined by birth/lineage, a strictly immutable trait.",0,Notables are not defined by a lack of protection from execution; it's a specific tyrannical action.,9.0,gemini_v19_batch4,,,,down,"this is in tyranny, we don't really know what is he talking about"
tlg0086.tlg035.perseus-eng2#184,tlg0086.tlg035.perseus-eng2,Politics,Aristotle,-348,,Nobility,Nobility,1,fact,3,Noble access to supreme offices,,,Right to hold office,,MORE,"[§107] and the aristocratic one for the offices to be filled by the notables, and this will be the case when it is impossible to make money from office; for the poor will not want to hold office because of making nothing out of it, but rather to attend to their own affairs, while the wealthy will be able to hold office because they have no need to add to their resources from the public funds.",Noble access to supreme offices,,"Aristotle explains the aristocratic rule where high offices are reserved for the 'notables' or noble-born, effectively excluding the poor from political power despite theoretical rights.",5,Nobility is a canonical societal group; the author describes contemporary political systems.,4,Right to hold office is a concrete legal right with direct material effects on power and status.,4,Right to hold office is a broad category of political participation.,4,"The right to hold office is long-term, often for a career, but can be revoked or lost.",4,"Nobility is a legal/structural birth-status, very hard to change.",0,Noble birth does not inherently mean access to supreme offices; it's a social rule.,9.0,gemini_v19_batch4,,,,up,
tlg0026.tlg001.perseus-eng2#3,tlg0026.tlg001.perseus-eng2,Against Timarchus,Aeschines,-354,,Occupation,Occupation,1,fact,4,Prostitution penalty for male children,male heirs,,Exemption from paternal support obligations,,MORE,"[§13] Moreover the law frees a son, when he has become a man, from all obligation to support or to furnish a home to a father by whom he has been hired out for prostitution; but when the father is dead, the son is to bury him and perform the other customary rites.",Prostitution penalty for male children,,"If a father hires his son out for prostitution, the son is legally granted an exemption from the standard duty to support the father in old age.",4,The group 'male heirs' is broad but specific; the rule describes a contemporary legal exemption.,4,"Exemption from support obligations has a direct, concrete material effect on the son's finances.",4,Exemption from a major societal obligation (paternal support) is a broad category.,5,"This exemption from filial duty would likely last for the son's entire life, as it's a permanent legal status.",5,"Membership is based on biological sex and lineage (son), which are birth-fixed traits.",0,"Exemption from paternal support is a specific legal right, not inherent in being a 'male heir'.",9.0,gemini_v19_batch4,,,,down,"the group is not specific enought, because it is a male heirs that did prostitution. In some ways, the group need to be full describes, not so general, otherwise it misses sometimes."
tlg0026.tlg001.perseus-eng2#10,tlg0026.tlg001.perseus-eng2,Against Timarchus,Aeschines,-354,,Occupation,Occupation,1,fact,4,Military service speaker requirement,Citizens,,Right to address the assembly,,LESS,"[§29] Whom did he, in the second place, forbid to speak? Or the man who has failed to perform all the military service demanded of him, or who has thrown away his shield.",Military service speaker requirement,,Citizens who failed their military obligations or showed cowardice (throwing away shields) were legally barred from advising the state/speaking.,5,Citizens are a canonical societal group; the rule describes a contemporary restriction based on military service.,3,Right to address the assembly is access to a social practice with tangible outcomes.,5,The right to address the assembly is a fundamental aspect of political voice.,4,"This right is revoked due to past military failures and would likely remain revoked for a long time, if not permanently.",4,"Citizenship is a legal status, but the exclusion is based on past actions (military failure).",0,"The right to address the assembly is a specific legal right, not inherent in being a 'citizen'.",10.0,gemini_v19_batch4,,,,down,"same the group is to narrow,n it hsould be based on an action (and thus disqulaified after), but because the group it too narrow we czn't detect it"
tlg0086.tlg035.perseus-eng2#308,tlg0086.tlg035.perseus-eng2,Politics,Aristotle,-348,,Occupation,Occupation,1,fact,3,Vulgar art training exclusion,free men,,Protection from degrading labor,,MORE,"[§185] A task and also an art or a science must be deemed vulgar if it renders the body or soul or mind of free men useless for the employments and actions of virtue. Hence we entitle vulgar all such arts as deteriorate the condition of the body, and also the industries that earn wages; for they make the mind preoccupied and degraded.",Vulgar art training exclusion,,The text identifies a class of 'vulgar' occupations and wages that are culturally and legally separated from the education of free men to protect their capacity for virtue.,4,Broad societal group with a specific status; Aristotle describes contemporary social distinctions.,4,Protection from degrading labor is a concrete legal/social exemption with direct material effect on status.,4,Protection from degrading labor is a broad category of exemption.,4,"Protection from degrading labor is a long-term status for free men, revocable if they engage in such work.",4,'Free men' refers to a legal status (not enslaved) which is very hard to change.,0,"Protection from degrading labor is a social and legal right, not part of the definition of 'free men'.",9.0,gemini_v19_batch4,,,,up,
tlg1419.tlg001.perseus-eng1#128,tlg1419.tlg001.perseus-eng1,The Shepherd of Hermas,Hermas,150,,Occupation,Occupation,1,fact,3,Maiden tower guard duty,Maidens,,Right to remain at the tower during rest,,MORE,"[§653] [1] And the six men commanded all the builders to retire a little and rest, but they commanded the maidens not to go away from the tower. [...] [§672] [3] But the maidens stood round the tower guarding it.",Maiden tower guard duty,,"During the construction pause, a distinction is made between the 'builders' (who are commanded to leave and rest) and the 'maidens' (who are commanded to stay and guard the structure).",5,Canonical societal group based on gender; the author describes a contemporary religious allegory.,3,Remaining at the tower for guard duty is access to a social role with tangible outcomes (security).,2,Right to remain at the tower during rest is tied to a particular institution and setting.,3,The right to remain at the tower is a recurring duty during rest periods.,5,"Maidens are young women, a sex and age-defined group, biologically fixed.",0,"Guard duty is a specific assigned task, not inherent to being 'maidens'.",9.0,gemini_v19_batch4,,,,down,this is way to narrow and specific
tlg0030.tlg004.perseus-eng2#3,tlg0030.tlg004.perseus-eng2,,Hyperides,-360,,Occupation,Occupation,1,fact,4,Private citizen trial protection,private citizens,,Protection from impeachment,,MORE,"[§4] [4] ...which lays it down that impeachments shall be reserved for the orators themselves, when they speak against the interests of the people, but shall not apply to every Athenian. [§9] [9] You would have been insane if you had framed the law in any other way; if, when the orators enjoy both the honors and the profits of speaking, you had exposed the ordinary citizen to the risks that go with them.",Private citizen trial protection,,"The law distinguishes between professional politicians (orators) and private citizens, protecting the latter from the specific high-risk legal mechanism of impeachment (eisangelia) for political speech.",4,Broad societal group; the author describes a contemporary legal distinction.,4,Protection from impeachment is a concrete legal right with direct material effect.,3,Protection from impeachment is a specific but broadly applicable legal protection.,4,"Protection from impeachment is a long-term status for private citizens, but can be revoked.",4,"Being a private citizen is a legal status, often birth-fixed, very hard to change.",0,"Protection from impeachment is a specific legal distinction, not inherent in the definition of a private citizen.",9.0,gemini_v19_batch4,,,,up,
tlg1216.tlg001.perseus-eng1#22,tlg1216.tlg001.perseus-eng1,Epistle of Barnabas,Barnabas,36,,Religion,Religion,1,fact,3,Jewish exclusion from the Temple,Jewish people,,Right to a physical temple,,LESS,"[§178] Again, it was made manifest that the city and the temple and the people of Israel were to be delivered up. For the Scripture says, And it shall come to pass in the last days that the Lord shall deliver the sheep of his pasture, and the sheep-fold, and their tower to destruction.",Jewish exclusion from the Temple,,"The author notes the destruction of the physical temple as a divine decree against the 'people of Israel', removing their access to a physical holy site.",5,Canonical societal group; the author refers to the recent destruction of the Temple.,5,"A physical temple is a tangible property, and its loss has direct material effect.",3,Right to a physical temple is specific but broadly applicable for religious practice.,5,"The destruction of a physical temple is a structural, long-lasting loss of a resource.",5,"Jewish people are defined by birth and lineage, a strictly immutable characteristic.",0,Jewish people are not defined by lacking a physical temple; this is a historical event and theological interpretation.,9.0,gemini_v19_batch4,,,,down,not sure it is about their times though
tlg0557.tlg002.perseus-eng4#6,tlg0557.tlg002.perseus-eng4,Enchiridion of Epictetus,Epictetus,85,,Religion,Religion,1,fact,3,Traditional sacrifice and libation,Citizens,,Freedom of religious practice,,LESS,"[§31] But it also becomes incumbent on every one to offer libations and sacrifices and first-fruits, according to the customs of his country, purely, and not heedlessly nor negligently; not avariciously, nor yet extravagantly.",Traditional sacrifice and libation,,"The author notes that performing specific religious rituals according to national custom is 'incumbent on every one', indicating a social and religious rule governing behavior.",5,Canonical societal group; the rule describes a contemporary religious obligation for citizens.,2,"Freedom of religious practice is primarily symbolic, with some concrete practices but weak material payoff.",4,Freedom of religious practice is a major recognizable right.,5,Freedom of religious practice is a lifelong right/duty for citizens.,4,"Citizenship is a legal/structural birth-status, very hard to change.",0,"Freedom of religious practice is a right, not inherently restricted by the definition of a citizen, though customs may apply.",9.0,gemini_v19_batch4,,,,up,
tlg1443.tlg001.perseus-eng1#34,tlg1443.tlg001.perseus-eng1,Epistle of Ignatius to the Trallians,Ignatius of Antioch,70,,Religion,Religion,1,fact,3,Judaizing teaching restriction,Uncircumcised persons,,Right to teach Judaism in Church,,LESS,[§219] But if anyone interpret Judaism to you do not listen to him; for it is better to hear Christianity from the circumcised than Judaism from the uncircumcised.,Judaizing teaching restriction,,"The text establishes a rule regarding who may provide religious interpretation, specifically barring the uncircumcised from teaching Judaism to the community, thereby restricting their influence and teaching rights.",5,Canonical societal group defined by religious practice; describes a contemporary norm.,3,"Access to a social role (teaching) that produces tangible outcomes (influence, community standing).",3,Right to teach is specific but recurring in religious contexts.,5,The inability to teach Judaism due to being uncircumcised is a lifelong status.,5,"Circumcision status is a birth-fixed or early-life physical trait, very hard to change.",0,Being uncircumcised does not inherently mean one cannot teach Judaism; this is a specific religious restriction.,9.0,gemini_v19_batch4,,,,down,
tlg0031.tlg005.perseus-eng2#24,tlg0031.tlg005.perseus-eng2,,New Testament,100,,Religion,Religion,1,fact,3,Gentile inclusion in baptism,Gentiles,,Right to receive baptism,,MORE,"[§392] ""Can any man forbid the water, that these who have received the Holy Spirit as well as we should not be baptized?"" [§393] He commanded them to be baptized in the name of Jesus Christ.",Gentile inclusion in baptism,,"The passage establishes a shift where Gentiles, previously excluded from the specific rites of the community (implied by the shock of the 'circumcision' group), are now granted the right to baptism based on divine approval.",5,Canonical societal group; the rule describes a contemporary religious practice.,3,Access to baptism is a social practice with tangible outcomes for group membership.,3,The right to receive baptism is a specific but recurring religious rite.,4,"The right to receive baptism grants long-term religious standing, revocable by apostasy.",5,"Gentiles are defined by birth/ethnicity, a strictly immutable characteristic.",0,"Being a Gentile does not inherently mean one cannot be baptized; this is a religious inclusion, not a definition.",9.0,gemini_v19_batch4,,,,up,
tlg0031.tlg005.perseus-eng2#26,tlg0031.tlg005.perseus-eng2,,New Testament,100,,Religion,Religion,1,fact,3,Jewish restriction on commensality,Gentiles,,Right to shared meals,,LESS,"[§397] saying, 'You went in to uncircumcised men, and ate with them!'",Jewish restriction on commensality,,The text describes a contention based on traditional Jewish social boundaries where eating with uncircumcised individuals (Gentiles) was viewed as a violation of social/religious norms.,5,Canonical societal group; the rule describes a contemporary social norm.,3,Right to shared meals is a social practice with tangible outcomes (commensality).,3,The right to shared meals is a specific but broadly applicable social interaction.,4,"The right to shared meals is a long-term social custom, revocable by individual choice or new doctrine.",5,"Gentiles are defined by birth/ethnicity, a strictly immutable characteristic.",0,Being a Gentile does not inherently mean one cannot share meals; this is a specific social/religious norm.,9.0,gemini_v19_batch4,,,,down,"this would be more ""Right to shared meals with jews"""
tlg0086.tlg010.perseus-eng2#261,tlg0086.tlg010.perseus-eng2,Nicomachean Ethics,Aristotle,-348,,Wealth / Properties,Wealth / Properties,1,fact,3,Inherited wealth effort exemption,Wealthy heirs,,Exemption from labor to acquire capital,,MORE,"[§1182] Again, everybody loves a thing more if it has cost him trouble: for instance those who have made money love money more than those who have inherited it. Now to receive a benefit seems to involve no labor, but to confer one is an effort.",Inherited wealth effort exemption,,"The text identifies a group of people who possess money through inheritance rather than through the labor of making it, establishing that specific groups have access to resources (wealth) without the corresponding labor.",4,Broad societal group; author describes a contemporary norm.,5,"Exemption from labor to acquire capital is a direct access to wealth, a tangible property.",5,Exemption from labor to acquire capital relates to wealth and property.,5,Exemption from labor to acquire capital through inheritance is a lifelong structural advantage.,4,Inherited wealth is a status largely determined by birth and family lineage.,0,"Exemption from labor to acquire capital is an economic condition, not inherent in being 'Wealthy heirs'.",9.0,gemini_v19_batch4,,,,up,
tlg0086.tlg010.perseus-eng2#292,tlg0086.tlg010.perseus-eng2,Nicomachean Ethics,Aristotle,-348,,Wealth / Properties,Wealth / Properties,1,opinion,3,Prince and potentate bodily pleasure pursuit,Princes and potentates,,Access to intellectual pleasure,,LESS,"[§1278] But (i) perhaps princes and potentates are not good evidence. Virtue and intelligence, which are the sources of man’s higher activities, do not depend on the possession of power; and if these persons, having no taste for pure and liberal pleasure, have recourse to the pleasures of the body, we must not on that account suppose that bodily pleasures are the more desirable.",Prince and potentate bodily pleasure pursuit,,"The text characterizes the wealthy ruling class as often lacking the 'taste' for higher, liberal pleasures, resulting in a focus on bodily amusements rather than intellectual activities.",4,Broad societal group defined by status; the author describes a contemporary observation about rulers.,2,Access to intellectual pleasure is a role-based access with weak material payoff.,4,Access to intellectual pleasure is a broad category of personal enrichment.,4,"Access to intellectual pleasure is a long-term disposition, but can change with taste.",4,"Princes and potentates implies nobility/social status, which is very hard to change.",0,"Lack of taste for intellectual pleasure is a behavioral observation, not definitional for 'princes and potentates'.",8.0,gemini_v19_batch4,,,,down,"Again,  they could have access to those pleasures, but they don't do it by choice. Choice over the access to a resource is important"
tlg0086.tlg010.perseus-eng2#304,tlg0086.tlg010.perseus-eng2,Nicomachean Ethics,Aristotle,-348,,Wealth / Properties,Wealth / Properties,1,fact,3,Parental authority over household education,male heirs,,Personalized household education,,MORE,"[§1307] Paternal exhortations and family habits have authority in the household, just as legal enactments and national customs have authority in the state... Moreover individual treatment is better than a common system, in education as in medicine.",Parental authority over household education,,"In societies where the community neglects regulation, the rule of the head of household (paternal authority) governs the members (children/friends), providing a specific immaterial resource: education tailored to the individual rather than a generic public system.",4,"The group 'male heirs' is a broad, compound societal group; Aristotle describes a contemporary social arrangement.",3,Personalized household education is access to a social practice with tangible outcomes (education).,3,Personalized household education is a specific but broadly applicable form of upbringing.,3,Household education is typically bounded to the period of childhood/youth within the household.,5,"Male heir is a lineage/birth-fixed trait, strictly immutable.",0,"Personalized household education is a specific form of upbringing, not the definition of a male heir.",7.0,gemini_v19_batch4,,,,up,
tlg0086.tlg035.perseus-eng2#236,tlg0086.tlg035.perseus-eng2,Politics,Aristotle,-348,,Wealth / Properties,Wealth / Properties,1,fact,3,Abolition of property qualifications,Citizens,,Eligibility for the archonship,,MORE,"[§140] ...the following institutions are democratic in character: ... no property-qualification for office, or only a very low one;",Abolition of property qualifications,,This describes a rule in democratic systems where the lack of wealth does not bar a citizen from holding public office.,5,Canonical societal group; the author describes a contemporary democratic institution.,3,Eligibility for archonship is access to a social role with tangible outcomes.,3,Eligibility for the archonship is a specific but recurring political office.,4,Eligibility for office can last for many years but is subject to changes in law.,4,"Citizenship is a legal status, hard to change, often acquired by birth or naturalization.",0,"Eligibility for office is a legal provision, not inherent to being a citizen.",10.0,gemini_v19_batch4,,,,up,
tlg0086.tlg035.perseus-eng2#64,tlg0086.tlg035.perseus-eng2,Politics,Aristotle,-348,,Wealth / Properties,Wealth / Properties,1,fact,3,Exemption from all taxes,Fathers of four sons,,Exemption from all taxes,,MORE,"[§41] for they have a law releasing the man who has been father of three sons from military service, and exempting the father of four from all taxes.",Exemption from all taxes,,"Similar to the military exemption, the law grants a material financial resource (tax exemption) based on meeting the criteria of fathering four sons.",4,"Fathers of four sons is a broad, compound group; Aristotle describes a contemporary Spartan law.",4,Exemption from all taxes is a concrete legal exemption with direct material financial effect.,4,Exemption from all taxes is a major recognizable right or exemption.,4,"Exemption from all taxes is a long-term benefit, potentially lasting for many years.",5,"Fatherhood is a biological/birth-fixed trait, strictly immutable.",0,"Exemption from taxes is a specific legal privilege, not inherent to the definition of 'father of four sons'.",10.0,gemini_v19_batch4,,,,up,

# Accuracy by Category
category,up,down,pending,total,accuracy_pct
Age,2,3,0,5,40.0
Citizenship,5,0,0,5,100.0
Ethnicity,4,1,0,5,80.0
Freedom,5,0,0,5,100.0
Gender,3,2,0,5,60.0
Health,1,4,0,5,20.0
Lineage,5,0,0,5,100.0
Occupation,2,3,0,5,40.0
Religion,2,3,0,5,40.0
Wealth / Properties,4,1,0,5,80.0
Nobility,2,1,0,3,66.7
Education,2,0,0,2,100.0
