rule_uid,file_id,work_name,author,impact_year,polity,criteria,sampled_for,is_contemporary,verbatim_type,factuality,criterion_label,in_group,out_group,resource,resource_std,speaker,verbatim,matched_keywords,rule_category,reasoning,group_generality,generality_reasoning,resource_materiality,materiality_reasoning,resource_generality,resource_generality_reasoning,resource_persistence,persistence_reasoning,group_immutability,immutability_reasoning,tautological,tautology_reasoning,confidence,extraction_method,extraction_cost_usd,prompt_tokens,completion_tokens,vote,comment
tlg0059.tlg027.perseus-eng2::0,tlg0059.tlg027.perseus-eng2,Ion,Plato,-393,,Occupation,gemini_v20_sample60_round4,0,fact,5,Rhapsode competition eligibility,Rhapsodes,,Right to compete in public festivals,,MORE,"Soc. Do you mean to say that the Epidaurians honor the god with a contest of rhapsodes also?
               Ion. Certainly, and of music Music with the Greeks included poetry. in general.
               Soc. Why then, you were competing in some contest, were you? And how went your competition?
               Ion. We carried off the first prize, Socrates.
            
 
               Soc. Well done: so now, mind that we win too at the Panathenaea. The Athenian festival of the Great Panathenaea was held every fourth year, and the Small Panathenaea probably every year, about July.",,,The text establishes that rhapsodes as a professional group have the right and social function of competing for prizes (material and immaterial resources) at major Greek religious festivals like those in Epidaurus and Athens.,,,5,Competition for prizes (first prize often included money or valuables).,3,Specific to the institution of public festivals and rhapsodic contests.,4,The right to compete is a long-term feature of the professional identity.,3,Rhapsode is an occupation acquired through training and professionalization.,0,Being a rhapsode doesn't tautologically require competing in the Panathenaea.,10.0,gemini_v20_core_v1_random100,,,,down,tautology
tlg0004.tlg001.perseus-eng2::16,tlg0004.tlg001.perseus-eng2,Lives of Eminent Philosophers,Diogenes Laertius,210,,Ethical Behavior,gemini_v20_sample60_round4,1,fact,5,Public speaker exclusion for profligates,Citizens,,Right to speak in the Assembly,,LESS,"Lysias, however, in his speech against Nicias ascribes this law to Draco, and to Solon another depriving open profligates of the right to speak in the Assembly.",,,Specific moral conduct (defined as profligacy) led to the removal of the immaterial resource of political participation in the Assembly.,,,3,Speaking in the Assembly is a political/social practice with material consequences.,3,Specific to the recurring procedure of speaking in the sovereign body.,4,The deprivation of rights is a long-term or permanent legal state once enacted.,4,"Refers to Citizens, a stable structural legal status.",0,Citizenship and morality (not being profligate) are not analytically linked.,9.0,gemini_v20_core_v1_random100,,,,up,
tlg0062.tlg008.perseus-eng2::4,tlg0062.tlg008.perseus-eng2,Demonax,Lucian of Samosata,155,,Citizenship,gemini_v20_sample60_round4,0,fact,4,Roman citizenship conferral by Emperor,Uneducated individuals,,Roman citizenship,,MORE,"A man named Polybius, quite uneducated and ungrammatical, said: “The emperor has honoured ‘me with the Roman citizenslfip.” “Oh, why didn’t he make you a Greek instead of a Roman?” said he.",,,"The passage confirms that the Emperor has the authority to grant Roman citizenship to individuals, even those lacking in education or Greek culture.",,,4,Roman citizenship is a concrete legal status with direct material/legal effects.,5,Foundational status governing legal personhood and rights across the Empire.,5,"Citizenship is a lifelong, permanent legal standing.",3,"Uneducated status is changeable through effort, though often a stable identity.",0,Lack of education does not logically preclude citizenship; the relationship is social.,10.0,gemini_v20_core_v1_random100,,,,down,"this is just a statement, not a legal norm or whatsoever"
tlg0014.tlg048.perseus-eng2::3,tlg0014.tlg048.perseus-eng2,Against Olympiodorus,Demosthenes,-348,,Gender,gemini_v20_sample60_round4,0,fact,5,Invalidation of acts under female influence,Men,,Right to have legal acts recognized,,LESS,"And Solon established a law that all acts shall be null and void which are done by anyone under the influence of a woman, especially of a woman of her stamp. In this matter the lawgiver made wise provision.",,,The speaker cites a specific law attributed to Solon stating that a man's legal actions (like breaking a contract or oath) can be invalidated if it is proven he was under the influence of a woman. This limits the autonomy/validity of a man's legal standing based on gendered interpersonal influence.,,,4,The validity of legal acts directly impacts property and contract rights.,5,Legal personhood/autonomy is a foundational societal axis.,5,This law acts as a permanent ceiling on a man's legal autonomy regarding women.,5,Gender (men) is biologically/socially fixed.,0,Being a man does not by definition mean one's acts are void due to a woman.,9.0,gemini_v20_core_v1_random100,,,,down,this is more against the woman
tlg0062.tlg008.perseus-eng2::1,tlg0062.tlg008.perseus-eng2,Demonax,Lucian of Samosata,155,,Religion,gemini_v20_sample60_round4,0,fact,5,Citizen obligation to public sacrifice,Citizens,,Exemption from public sacrifice,,LESS,"Anytus and his Meletus who combined against him and brought the same charges that their predecessors brought against Socrates, asserting that he had never been known to sacrifice and was the only man in the community uninitiated in the Eleusinian mysteries. ... Regarding his never having offered sacrifice to Athena, he said: 'Do not be surprised, men of Athens, that I have not hitherto sacrificed to her: I did not suppose that she had any need of my offerings.'",,,"The Athenian public brought charges against Demonax specifically for failing to sacrifice to Athena. This indicates a general rule where residents/citizens were required to participate in the city's religious life through sacrifice, and omission was treated as a crime or serious social breach.",,,4,Avoiding legal charges for a 'punishable offense' involves bodily freedom/finance.,4,Obligation to public sacrifice is a broad category of civic duty/exemption.,4,Civic religious duty is a lifelong expectation for citizens.,4,Citizenship is a high-immutability birth-status or state-granted role.,0,Citizenship status is not defined by the act of sacrifice.,9.0,gemini_v20_core_v1_random100,,,,up,
tlg0062.tlg045.perseus-eng2::5,tlg0062.tlg045.perseus-eng2,The Dance,Lucian of Samosata,155,,Religion,gemini_v20_sample60_round4,0,fact,4,Mystery cult secrecy obligation,Education,,Protection from legal proceedings,,LESS,"[§71] ...although it behoves me to observe silence about the rites on account of the uninitiate, nevertheless there is one thing that everybody has heard; namely, that those who let out the mysteries in conversation are commonly said to 'dance them out.'",,,"The text refers to the general social and religious rule that initiates of mystery cults are prohibited from speaking about the rites, characterizing disclosure as a violation ('dancing them out').",,,4,Secrecy is a legal/religious obligation with significant material consequences (legal/sacred punishment).,3,Applies to the widely relevant social institution of mystery cults.,5,The obligation of silence regarding the rites is lifelong once initiated.,3,"Initiation is a choice that creates a durable, non-trivial social identity.",0,"An initiate is not defined by their silence, though the silence is required of them.",8.0,gemini_v20_core_v1_random100,,,,down,not a good group
tlg0062.tlg015.perseus-eng4::7,tlg0062.tlg015.perseus-eng4,A Feast of Lapithae,Lucian,155,,Freedom|Gender,gemini_v20_sample60_round4,0,fact,5,Slave girl exposure to sexual violence,Flutegirls,,Protection from sexual assault,,LESS,"When some one came at last with a lamp, Alcidamas was discovered stripping and applying compulsion to the flutegirl, and Dionysodorus proved to have been as incongruously engaged",,,The text describes an assault on a flutegirl (typically a slave or low-status hireling) by a guest during a public disorder. The lack of intervention or legal consequence described in this social setting illustrates the lack of protection such a group had regarding bodily autonomy.,,,5,Bodily integrity and protection from assault are high-value material resources.,5,Bodily integrity is a foundational societal rights axis.,5,Vulnerability to assault is a structural feature of their social status.,3,"Flutegirl is an occupation, though often overlapping with slave status.",0,Being a flutegirl does not definitionally mean being assaulted.,9.0,gemini_v20_core_v1_random100,,,,up,
tlg0062.tlg046.perseus-eng2::6,tlg0062.tlg046.perseus-eng2,Lexiphanes,Lucian of Samosata,155,,Gender,gemini_v20_sample60_round4,0,fact,4,Female seclusion during illness,Women,,Right to social interaction,,LESS,"for some time now his wife is irregular and out of sorts by reason of wanting issue, so that he no longer even knows her; she is unapproachable and uncultivated.",,,"The text describes a social norm where a woman experiencing reproductive health issues ('wanting issue') is kept 'unapproachable', effectively losing access to social contact even with her husband.",,,3,Exclusion from social interaction and contact has direct material effects on life.,3,Tied to specific health/marital conditions but recurring.,3,Bounded to the duration of the illness/infertility episode.,5,"The rule is applied based on sex (woman), which is immutable.",0,Being a woman does not tautologically mean being unapproachable when ill.,7.0,gemini_v20_core_v1_random100,,,,up,
tlg0004.tlg001.perseus-eng2::126,tlg0004.tlg001.perseus-eng2,Lives of Eminent Philosophers,Diogenes Laertius,210,,Freedom,gemini_v20_sample60_round4,1,fact,4,Freedom from enslavement for philosophers,Philosophers,,Right to be manumitted by peers,,MORE,He is believed to have been sold into slavery by [... and to have been set free by] the Pythagoreans Parmeniscus and Orestades: so Favorinus in the first book of his Memorabilia.,,,"While Xenophanes was sold into slavery, the text indicates a social convention or specific act where members of a philosophical school (Pythagoreans) acted to restore the freedom of a fellow intellectual, suggesting a degree of mutual protection among certain groups.",,,5,Freedom from slavery is the ultimate material resource of bodily autonomy.,5,Legal personhood/freedom is a foundational societal axis.,5,Manumission results in a permanent change in legal status (freedman).,3,Philosopher is a chosen social identity/occupation.,0,Being a philosopher does not define one as legally free.,7.0,gemini_v20_core_v1_random100,,,,up,
tlg0026.tlg003.perseus-eng2::15,tlg0026.tlg003.perseus-eng2,Against Ctesiphon,Aeschines,-354,,Citizenship,gemini_v20_sample60_round4,0,fact,5,Magistrate selection and voting rights,Citizens,,Eligibility for the archonship,,MORE,"It was in the archonship of Theophrastus; 340/39 b.c. Diognetus of Anaphlystus was our hieromnemon; as pylagori you elected Meidias of Anagyrus, whom you all remember—I wish for many reasons he were still living—and Thrasycles of Oeum; I was the third.",,,"The text identifies specific Athenian citizens by their demes (Anaphlystus, Anagyrus, Oeum) who were elected by the citizen body to high offices (Archon, Hieromnemon, Pylagori). This demonstrates that the resource of holding high political and religious office was reserved for citizens.",,,4,Holding high office grants control over state resources and law.,4,Eligibility for the archonship is a major political right.,5,Eligibility for office is a lifelong structural feature of citizen status.,4,Athenian citizenship is a structural legal birth-status.,0,"Office eligibility is an attribute of citizenship, not its definition.",10.0,gemini_v20_core_v1_random100,,,,up,
tlg0004.tlg001.perseus-eng2::71,tlg0004.tlg001.perseus-eng2,Lives of Eminent Philosophers,Diogenes Laertius,210,,Occupation,gemini_v20_sample60_round4,1,fact,5,Philosopher right of residence,Philosophers,,Right of residence,,LESS,"The next year, however, the philosophers returned, as Philo had prosecuted Sophocles for making an illegal proposal. Whereupon the Athenians repealed the law, fined Sophocles five talents, and voted the recall of the philosophers, in order that Theophrastus also might return and live there as before.",,,"The repeal of Sophocles' law and the subsequent 'recall' of the philosophers confirms that the preceding rule effectively forced the entire group into exile, as they could no longer practice their occupation.",,,5,Freedom of movement and residency in a city (Athens) are material rights.,5,The right of residency is a foundational civil right.,4,Holds as long as the repeal stands and the individuals remain.,3,Occupation identity.,0,Residency is not definitionally tied to philosophy.,9.0,gemini_v20_core_v1_random100,,,,up,
tlg0007.tlg093.perseus-eng3::2,tlg0007.tlg093.perseus-eng3,Can Virtue Be Taught?,Plutarch,75,,Freedom,gemini_v20_sample60_round4,1,fact,4,Enforced slave blinding in Scythia,Slaves,,Protection from physical mutilation,,LESS,"For the Scythians, as Herodotus says, blind their slaves that these may hand over the cream to themselves; but such a man as this gives Reason, like an eye, as it were, to the subservient and ancillary arts, while denying it to virtue.",,,"While referencing Herodotus (historical), Plutarch cites this as a known rule/practice of a specific society (the Scythians) where slaves are systematically blinded to serve a domestic function (preventing them from stealing cream). This highlights the lack of physical protection for the slave group.",,,5,Blinding is a permanent physical mutilation and loss of bodily integrity.,4,Protection from mutilation is a major category of physical security.,5,"The loss of sight is a permanent, lifelong material state.",4,Slave status is a structural legal condition extremely hard to change.,0,Slavery does not inherently mean being blinded; it is a specific cultural rule.,10.0,gemini_v20_core_v1_random100,,,,up,
tlg0007.tlg082b.perseus-eng2::3,tlg0007.tlg082b.perseus-eng2,Sayings of Spartan Women,Plutarch,75,,Citizenship,gemini_v20_sample60_round4,1,fact,4,Execution of cowards by mothers,Women,,Political power,,MORE,"Damatria heard that her son had been a coward and unworthy of her, and when he arrived, she made away with him. This is the epigram Referring to her: Sinner against our laws, Damatrius, slain by his mother, Was of the Spartan youth; she was of Sparta too.",,,The text describes a mother killing her son for cowardice and frames this action as consistent with being 'of Sparta' and enforcing 'our laws'. This indicates a social norm where women were empowered/expected to enforce the city's military code within the family even unto death.,,,5,Power of life and death is the most concrete material force possible.,3,Specific to military code enforcement and domestic homicide.,2,Action relates to a single episode of cowardice.,5,Gender and ethnicity ('of Sparta') are fixed.,0,Motherhood does not include the power to execute offspring.,9.0,gemini_v20_core_v1_random100,,,,up,
tlg0026.tlg001.perseus-eng2::15,tlg0026.tlg001.perseus-eng2,Against Timarchus,Aeschines,-354,,Freedom,gemini_v20_sample60_round4,0,fact,5,State slave right to sue,Slaves,,Right to bring legal suit,,MORE,"the fellow, angry at their insolent treatment, brings a suit against each of them. Proceedings in court in behalf of an ordinary slave would be conducted by his master in his own name; but Pittalacus was a state slave (Aeschin. 1.54). Probably he would have to bring suit under the name of some citizen as his protector (προστάτης).",,,"While regular slaves could not sue, state slaves (demosioi) like Pittalacus had the specific resource of legal recourse against those who harmed them, albeit requiring a citizen protector.",,,4,The right to bring a suit is a concrete legal right with potential material payoffs.,3,A specific legal procedure (bringing suit) for a specific sub-group (state slaves).,4,The status of being a state slave was typically long-term or lifelong.,4,"Slave vs. state slave is a structural legal birth-status, very hard to change.",0,Freedom to sue is not part of the definition of 'slave' (usually the opposite).,8.0,gemini_v20_core_v1_random100,,,,up,
tlg0062.tlg011.perseus-eng2::2,tlg0062.tlg011.perseus-eng2,Octogenerians,Lucian of Samosata,155,,Occupation,gemini_v20_sample60_round4,1,fact,5,Slave obedience to master demands,Servants,,Right to refuse service,,LESS,"calling his servant and telling him, along with a great and hearty laugh, to give the donkey also a sup of wine, he choked with his laughter and died.",,,"The text describes a poet (Philemon) commanding a servant to perform a whimsical and non-essential task (giving wine to a donkey), which the servant is expected to obey. This reflects the social rule where individuals of the 'servant' occupation group lack the right to refuse service or exercise autonomy over their labor when commanded by their master.",,,5,Control over one's own labor and body (subsistence) is material.,4,The right to refuse service/autonomy is a broad structural outcome.,5,Slave/servant status is usually lifelong and structural.,4,Servant/slave status is a hard-to-change legal birth-status/condition.,1,A servant by definition is one who must obey orders; the rule is tautological.,7.0,gemini_v20_core_v1_random100,,,,up,
tlg0004.tlg001.perseus-eng2::17,tlg0004.tlg001.perseus-eng2,Lives of Eminent Philosophers,Diogenes Laertius,210,,Lineage|Gender,gemini_v20_sample60_round4,1,fact,5,Guardian marriage restriction,Guardians,,Right to marry certain women,,LESS,"Excellent, too, is his provision that the guardian of an orphan should not marry the mother of his ward, and that the next heir who would succeed on the death of the orphans should be disqualified from acting as their guardian.",,,Solonian law restricted the marital choices of guardians and the eligibility for guardianship based on inheritance interests to protect the orphan's resources.,,,4,"Restricting marriage has direct effects on kinship, inheritance, and social status.",3,Right to marry certain people is a specific legal/social boundary.,4,Guardianship is a long-term role during a ward's minority.,2,"Being a 'Guardian' is a role-bound legal appointment, not an immutable trait.",0,The role of guardian does not inherently include marital restrictions.,9.0,gemini_v20_core_v1_random100,,,,up,
tlg0026.tlg001.perseus-eng2::39,tlg0026.tlg001.perseus-eng2,Against Timarchus,Aeschines,-354,,Gender|Citizenship,gemini_v20_sample60_round4,0,fact,4,Prostitute exclusion from public spaces,Men,,Right to enter the market-place and wear garlands,,LESS,"For who will not say, And then do you thrust yourself into the market-place, do you put on a garland, do you attempt to do anything else that the rest of us do? His contract, you see, is of no use to him.",,,"Aeschines describes the social and legal exclusions faced by those who have prostituted themselves; they are barred from the agora (market-place) and from symbolic honors like wearing garlands, which were restricted to citizens in good standing.",,,3,Access to public physical spaces (agora) and symbolic dress (garlands).,3,Scope is limited to specific spaces and ceremonial protocols.,5,This social exclusion for 'prostitutes' was generally permanent.,5,Male sex is fixed; the rule targets male citizens.,0,Male identity does not define access to garlands.,9.0,gemini_v20_core_v1_random100,,,,down,The group is too big here
tlg0540.tlg020.perseus-eng2::1,tlg0540.tlg020.perseus-eng2,For Polystratus,Lysias,-409,,Wealth / Properties,gemini_v20_sample60_round4,0,fact,5,Liturgy obligation for the wealthy,The wealthy,,Right to retain own wealth,,LESS,"Then, when he might well have put his fortune away out of sight and refused to help you, he preferred that you should have cognizance of it, in order that, even if he chose to play the knave, he could have no chance, but must contribute to the special levies and perform his public services.",,,"The passage highlights the requirement for wealthy citizens (those whose fortunes are known to the state) to fund special levies (eisphora) and perform public services (liturgies), effectively reducing their private resources for public benefit.",,,5,Special levies (eisphora) and liturgies are tangible financial extractions.,4,Liturgy obligations are a major recurring structural axis for the wealthy.,4,The obligation persists as long as the member remains within a wealth bracket.,3,Wealth is a durable identity but changeable through loss of property.,0,Wealth does not define the obligation to perform specific state services.,10.0,gemini_v20_core_v1_random100,,,,up,
tlg0535.tlg001.perseus-eng2::2,tlg0535.tlg001.perseus-eng2,On the Twelve Years,Demades,-345,,Citizenship,gemini_v20_sample60_round4,0,fact,5,Legal procedure differentiation,Athenians,,Access to specific judicial venues,,MORE,"Each offence is dealt with in its own particular way some call for the council of the Areopagus, some for lesser courts, others for the Heliaea. All these are distinguished in name, circumstance, time, penalty, procedure, and in the number of the jury.",,,"The text describes the established legal system where different types of offenses are assigned to specific courts (Areopagus, Heliaea), ensuring that the accused (citizens) are processed according to defined jurisdictional rules.",,,4,"Access to specific courts (Heliaea, Areopagus) is a concrete legal right with direct material consequences for the accused.",4,Jurisdictional rules for all offenses cover a broad category of legal protections.,2,Venue access is tied to the duration of a specific legal episode or trial.,4,"Athenian citizenship is a structural birth-status, very difficult to change.",0,The specific jurisdictional mapping is not part of the definition of an Athenian.,10.0,gemini_v20_core_v1_random100,,,,up,
tlg0019.tlg011.perseus-eng1::3,tlg0019.tlg011.perseus-eng1,Plutus,Aristophanes,-409,,Wealth / Properties,gemini_v20_sample60_round4,0,fact,5,Liturgy obligation for the wealthy,The wealthy,,Freedom from compulsory public financing,,LESS,"CARIO. And tell me, is it not you who equip the triremes?",,,"The mention of equipping triremes refers to the Athenian 'trierarchy', a liturgy where wealthy citizens were legally required to fund and maintain a warship.",,,5,"Financing triremes (liturgies) is a direct, substantial wealth-based expenditure.",4,Liturgy obligations were a broad category of public financing in Athens.,4,Obligations last as long as one remains in the requisite wealth bracket.,3,Wealth brackets are durable but changeable identities.,0,Being wealthy does not by definition mean one is legally required to fund warships.,9.0,gemini_v20_core_v1_random100,,,,up,
tlg0014.tlg019.perseus-eng2::2,tlg0014.tlg019.perseus-eng2,On the Embassy,Demosthenes,-348,,Occupation,gemini_v20_sample60_round4,0,fact,5,Death penalty for unauthorized diplomacy,Ambassadors,,Protection from capital punishment,,LESS,"off marched this wise, clever, smooth-tongued gentleman, without waiting for Council or Assembly to reappoint him, on his embassy to the court of the chief malefactor. He forgot that he had sworn that he was too ill to travel; forgot that another ambassador had been chosen in his stead, and that the law visits such conduct with death",,,"Demosthenes cites a specific Athenian law that mandates the death penalty for an individual who acts as an ambassador or continues an embassy without a valid, current appointment or after formally declining the post on oath.",,,5,The resource is life itself (protection from capital punishment/death).,4,The death penalty is a foundational legal consequence of the highest order.,5,Death is a permanent/lifelong consequence once enacted.,2,Ambassador is an episodic role-bound status.,0,The definition of an ambassador does not inherently include the death penalty.,9.0,gemini_v20_core_v1_random100,,,,up,
tlg0059.tlg011.perseus-eng2::3,tlg0059.tlg011.perseus-eng2,Symposium,Plato,-393,,Citizenship|Gender,gemini_v20_sample60_round4,0,fact,4,Lover protection of freeborn women,Women,,Protection from pursuit by popular lovers,,MORE,"Good men, however, voluntarily make this law for themselves, and it is a rule which those popular lovers ought to be forced to obey, just as we force them, so far as we can, to refrain from loving our freeborn women.",,,"Pausanias refers to a social compulsion or 'rule' in Athens that forces men to refrain from pursuing freeborn women, contrasting this established protection with the lack of similar legal protections for boys.",,,5,Protection from sexual pursuit/harassment is an intensely personal bodily entitlement.,4,Covers a foundational entitlement (protection of free women's honor/bodies).,5,The status of being a 'freeborn woman' is a lifelong legal condition.,5,Group is defined by the intersection of biological sex and birth-status.,0,Being freeborn doesn't tautologically entail protection from lovers.,9.0,gemini_v20_core_v1_random100,,,,up,the group could be more specific
tlg0007.tlg013.perseus-eng2::6,tlg0007.tlg013.perseus-eng2,Fabius Maximus,Plutarch,75,,Citizenship,gemini_v20_sample60_round4,1,fact,5,Magistrate command rotation,Consuls,,Right to supreme command,,LESS,"But Terentius, insisting on his right to command a day in turn, and then encamping over against Hannibal by the river Aufidus amid the town called Cannae, at break of day put out the signal for battle,—a scarlet tunic displayed above the general’s tent.",,,The text describes a specific Roman legal/military convention where two colleagues in the consulship alternate supreme command on a daily basis. This limits the individual magistrate's access to the resource of 'supreme command' to every other day.,,,4,Supreme military command involves control over all resources of the state in war.,4,Supreme command is a major category of political/military authority.,2,"The command rotates daily, making it a very transient access.",2,Consuls are annual magistrates; command is even more episodic.,0,"The consulship is defined by shared authority, but not specifically daily rotation.",10.0,gemini_v20_core_v1_random100,,,,down,this is a very specifc rule
tlg0014.tlg053.perseus-eng2::0,tlg0014.tlg053.perseus-eng2,Apollodorus Against Nicostratus,Demosthenes,-348,,Wealth / Properties,gemini_v20_sample60_round4,0,fact,5,Citizen risk for malicious indictment,Wealthy,,Right to indict on own behalf,,LESS,"For, I take it, if I had wished to bring a malicious suit, I should not have listed slaves worth two minae and a half, the sum at which the claimant himself has fixed their value, and myself have run the risk of losing a thousand drachmae, and forfeiting the right ever again to indict anyone on my own behalf.",,,The author refers to a standard legal penalty in the Athenian court system where a prosecutor who fails to obtain a minimum of one-fifth of the votes (implying a malicious or baseless suit) faces a fine and the loss of future right to bring similar indictments.,,,4,The right to indict is a fundamental legal power with material impact.,3,Specific to a particular legal threshold/penalty (1/5th vote).,5,"Loss of the right is phrased as 'ever again', implying permanence.",4,The group is defined by citizenship/legal standing.,0,Being wealthy or a citizen does not mean you have lost the right to indict.,10.0,gemini_v20_core_v1_random100,,,,up,
tlg0007.tlg034.perseus-eng2::2,tlg0007.tlg034.perseus-eng2,Comparison of Lysander and Sulla,Plutarch,75,,Wealth / Properties,gemini_v20_sample60_round4,1,fact,5,Confiscation of wealthy estates,The wealthy,,Right to retain property,,LESS,"In these courses he so mortgaged and emptied the city of her wealth that he sold to allied and friendly cities their freedom and independence for money, although he was daily confiscating and selling at public auction the wealthiest and greatest estates.",,,"During Sulla's rule, the wealthy were targeted for property confiscation to fund the state or reward followers, indicating a loss of property rights based on their wealth status.",,,5,Right to property/estates is a tangible material wealth resource.,5,Wealth/property is a foundational societal axis.,5,Loss of an estate through confiscation is a permanent/structural loss.,3,"The wealthy are defined by a wealth bracket, which can change.",0,Retaining property is not part of the definition of being wealthy.,9.0,gemini_v20_core_v1_random100,,,,up,
tlg0007.tlg034.perseus-eng2::1,tlg0007.tlg034.perseus-eng2,Comparison of Lysander and Sulla,Plutarch,75,,Citizenship,gemini_v20_sample60_round4,1,fact,4,Citizen sumptuary and marriage regulations,Citizens,,Freedom from lifestyle restrictions,,LESS,"But Sulla allowed neither the poverty of his youth to set bounds to his desire; nor the years of his old age, but continued to introduce marriage and sumptuary laws for the citizens, while he himself was living in lewdness and adultery, as Sallust says.",,,The text identifies Sulla's enactment of specific laws (sumptuary and marriage) that restricted the personal freedom and material expenditure of the Roman citizen body.,,,4,Marriage and sumptuary laws have direct material effects on spending/wealth.,4,Covers a broad class of life outcomes (expenditure and family law).,4,Legislation imposes long-term constraints while the laws remain in force.,4,Citizenship is a hard-to-change legal birth-status.,0,Being a citizen does not inherently define one's marriage laws.,10.0,gemini_v20_core_v1_random100,,,,down,not clear
tlg0027.tlg004.perseus-eng2::1,tlg0027.tlg004.perseus-eng2,Against Alcibiades,Andocides,-500,,Citizenship,gemini_v20_sample60_round4,0,fact,5,Ostracism procedure at Athens,Citizens,,Protection from ten-year exile,,LESS,"is to decide whether one who has done the state no wrong is to spend ten years in exile. The competitors for that prize are Alcibiades, Nicias, and myself. Upon one of us the blow must fall. [...] when the person ostracized is to be cut off from his country for so long, no accusation has been made, no defence allowed, and the voting is secret.",,,"The passage describes the legal mechanism of ostracism, which allows the citizen body to exile a person for ten years without a formal accusation or defense, effectively reducing their protection from displacement.",,,4,"Exile involves loss of property, residency, and civic rights.",4,Ostracism is a significant broad-reach political procedure.,4,The exile is specifically mandated for a 10-year term.,4,Citizens are the only group subject to/users of ostracism.,0,"Ostracism is a legal process, not the definition of being a citizen.",10.0,gemini_v20_core_v1_random100,,,,up,
tlg0007.tlg028.perseus-eng2::0,tlg0007.tlg028.perseus-eng2,Titus Flamininus,Plutarch,75,,Age,gemini_v20_sample60_round4,1,fact,4,Military training for young men,Minors,,Access to military education,,MORE,"From his earliest years he was trained in the arts of war, since at that time Rome was carrying on many great contests and her young men from the very outset were taught by service as soldiers how to command soldiers.",,,Plutarch describes a general societal practice during the Roman Republic (specifically during the Second Punic War) where young men were systematically integrated into military service as part of their education and social development.,,,3,Military education leads to professional roles with tangible outcomes.,4,Foundational societal axis for Roman youth development.,3,Resource is bounded to the life stage of youth/young adulthood.,5,Age (minors) is biologically fixed at a given moment.,0,"Military training is a societal right, not part of the definition of 'minor'.",10.0,gemini_v20_core_v1_random100,,,,up,
tlg0540.tlg010.perseus-eng2::1,tlg0540.tlg010.perseus-eng2,Against Theomnestus 1,Lysias,-409,,Citizenship,gemini_v20_sample60_round4,0,fact,5,Slander penalty for specific terms,Citizens,,Protection from slander,,MORE,"if anyone asserts that a man has thrown it [his shield] away, he shall be liable to penalty How monstrous it is, then, that when you have to avenge yourself on your enemies for slander you take the laws in the sense that I do now... you have taken proceedings yourself against Lysitheus for slander, because he said that you had cast your shield: yet there is nothing in the terms of the law about casting, whereas, if anyone says, that a man has thrown away his shield, it imposes a penalty of five hundred drachmae.",,,"The author cites a specific law (dike kakegorias) that protects citizens from certain forbidden terms (aporreta), specifically the accusation of throwing away one's shield in battle. The penalty of five hundred drachmae is explicitly mentioned as the legal resource (monetary redress) for the victim.",,,5,A penalty of 500 drachmae is a tangible monetary transfer.,3,Relates to a specific recurring legal action for slander (dike kakegorias).,2,Applies to the duration of a single trial and its one-time payout.,4,Citizenship is a hard-to-change legal birth-status.,0,Protection from slander is not part of the definition of citizenship.,10.0,gemini_v20_core_v1_random100,,,,up,

# Accuracy by Category
category,up,down,pending,total,accuracy_pct
Citizenship,14,5,0,19,73.7
Occupation,5,4,0,9,55.6
Gender,6,3,0,9,66.7
Wealth / Properties,7,1,0,8,87.5
Freedom,7,1,0,8,87.5
Lineage,5,1,0,6,83.3
Nobility,3,0,0,3,100.0
Age,3,0,0,3,100.0
Religion,2,1,0,3,66.7
Education,1,1,0,2,50.0
Ethnicity,1,0,0,1,100.0
Health,0,1,0,1,0.0
Ethical Behavior,1,0,0,1,100.0
