rule_uid	file_id	perseus_author	perseus_title	period	criteria	rule	group	resource	directionality	verbatim	reasoning	contemporary	factuality	confidence	resource_materiality	materiality_reasoning	resource_generality	generality_reasoning	resource_persistence	persistence_reasoning	group_immutability	immutability_reasoning	rule_contemporarity	contemporarity_reasoning	opinion_vs_fact	opinion_vs_fact_reasoning	tautology	tautology_reasoning
tlg0007.tlg126.perseus-eng3::0	tlg0007.tlg126.perseus-eng3	Plutarch	Concerning the Face which Appears in the Orb Of the Moon	Hellenistic & Early Roman (165 BCE – 105 CE)	['Religion']	Sacred protection for envoys	Envoys	Right to be regarded as holy	MORE	['Now when they have put to sea the several voyagers meet with various fortunes as one might expect; but those who survive the voyage first put in at the outlying islands, which are inhabited by Greeks, and see the sun pass out of sight for less than an hour over a period of thirty days... There they spend ninety days regarded with honour and friendliness as holy men and so addressed, and then winds carry them across to their appointed goal.']	The text describes a specific social and religious protocol where survivors of the Atlantic voyage are accorded the status of 'holy men' and granted safety and hospitality for ninety days by the Greek inhabitants of the outlying islands.	1	1	9.0	2	The status of being 'holy' and 'honoured' is primarily symbolic/spiritual.	2	Bounded to a specific 90-day period on specific islands.	2	Resource lasts for the 90-day duration of the visit.	2	Status of 'envoy/voyager' is a role-bound episodic identity.	1	Part of a mythological/geographical myth narration.	4	Plutarch reports the protocols of this distant society as objective facts.	0	Voyaging does not by definition make one a 'holy man'.
tlg0007.tlg126.perseus-eng3::1	tlg0007.tlg126.perseus-eng3	Plutarch	Concerning the Face which Appears in the Orb Of the Moon	Hellenistic & Early Roman (165 BCE – 105 CE)	['Occupation']	Right to settle after service	Servants of Cronus	Right to settle in a foreign land	MORE	['Nor do any others inhabit it but themselves and those who have been dispatched before them, for, while those who have served the god together for the stint of thirty years are allowed to sail off home, most of them usually choose to settle in the spot, some out of habit and others because without toil or trouble they have all things in abundance while they constantly employ their time in sacrifices and celebrations or with various discourse and philosophy']	Plutarch notes a custom in this specific community where individuals who have completed a thirty-year term of religious service have the right to choose between returning home or settling permanently on the island with access to its resources.	1	1	9.0	5	Right to settle in a foreign land and 'abundance' of things is material/economic.	3	Specifically the right to permanent residence in a given locality.	5	Right to settle 'permanently' is lifelong.	4	Status acquired via a 30-year fixed term of service; structural.	1	Belongs to the mythic description of Cronus's island.	4	Presented as a factual description of the island's social laws.	0	Religious service does not inherently grant the right to settle elsewhere.
tlg0007.tlg126.perseus-eng3::2	tlg0007.tlg126.perseus-eng3	Plutarch	Concerning the Face which Appears in the Orb Of the Moon	Hellenistic & Early Roman (165 BCE – 105 CE)	['Religion']	Right to return after service	Servants of Cronus	Right to return to homeland	MORE	['Nor do any others inhabit it but themselves and those who have been dispatched before them, for, while those who have served the god together for the stint of thirty years are allowed to sail off home, most of them usually choose to settle in the spot']	The text explicitly states that completing the thirty-year service (a specific near-immutable category in this context) grants the individual the legal/normative permission to return to their original home.	1	1	9.0	4	Right to sail home is a freedom of movement and legal repatriation.	3	Right to return to one's homeland.	5	The permission to return is a permanent change in legal status.	4	Thirty-year service is a structural, long-term legal status.	1	Part of a mythic narration.	5	Plainly describes the legal allowance granted after service.	0	Service completion does not conceptually necessitate the right to return.
tlg0007.tlg134.perseus-eng2::0	tlg0007.tlg134.perseus-eng2	Plutarch	Concerning the procreation of the soul as discoursed in Timaeus	Hellenistic & Early Roman (165 BCE – 105 CE)	['Citizenship']	Citizen and foreigner social conduct	Citizens	Right to social harmony	MORE	['For this reason, he who writes Pindar’s elegy gives him this encomium, To foreigners agreeable, to citizens a friend; Ἄρμενος ἦν ξείνοισιν ἀνὴρ ὅδε, καὶ φίλος ἀστοῖς the poet plainly inferring complacency of humor and the aptitude of a person to fit himself to all tempers to be an excellency aspiring to virtue itself.']	The author quotes an elegy characterizing the ideal behavior of a prominent individual (Pindar) toward two distinct groups: citizens (astoi) and foreigners (xeinoi). It establishes a social norm/rule where virtue is defined by providing friendship/harmony specifically to these categorized groups.	0	1	8.0	1	Friendship and social harmony are purely abstract/spiritual traits.	5	Social conduct and virtue are foundational societal axes.	5	Virtue and reputation for conduct are lifelong character traits.	4	Citizenship is a structural birth-status; foreigners are defined by lack of it.	1	Author quotes an archaic/classical poet (Pindar) from centuries prior.	2	The verbatim is an encomium/praise-poem advocating a moral ideal.	0	Virtuous conduct is not part of the definition of citizenship.
tlg0007.tlg134.perseus-eng2::1	tlg0007.tlg134.perseus-eng2	Plutarch	Concerning the procreation of the soul as discoursed in Timaeus	Hellenistic & Early Roman (165 BCE – 105 CE)	['Age']	Youth attendance at theatres	Youth	Access to theatrical education	MORE	['And for this reason it was that Zeno of Citium encouraged and persuaded youth to frequent the theatres, there to observe the variety of melodious sounds that proceeded from horns or cornets, wooden hautboys, flutes and reeds, or any other musical instruments to which the contrivance of art had rightly applied the reason of number and proportion.']	The passage describes a pedagogical rule or strong convention promoted by Zeno of Citium specifically for the group 'youth', encouraging them to access the theatre for the purpose of learning proportion and harmony through music.	0	1	9.0	3	Access to theater/education is a social practice with developmental outcomes.	3	Specific to the institution of the theater and musical education.	3	Resource is bounded to the life stage of 'youth'.	5	Youth is a biologically fixed age category.	1	Refers to the Hellenistic philosopher Zeno of Citium.	2	Verbatim describes what a philosopher 'encouraged and persuaded'.	0	Theater attendance is not inherent to the definition of being young.
tlg0007.tlg139.perseus-eng2::0	tlg0007.tlg139.perseus-eng2	Plutarch	That it is Not Possible to Live Pleasurably According to the Doctrine of Epicurus	Hellenistic & Early Roman (165 BCE – 105 CE)	['Citizenship', 'Freedom']	Citizen and free non-citizen protection from corporal punishment	Free men	Protection from corporal punishment	MORE	['Besides, there is no part of us proof against fire, sword, teeth, or scourges, or insensible of dolors and aches; yea, heats, colds, and fevers sink into all our parts alike. . . . For where are there any that are so long solaced with the conversation of friends as tyrants are racking and tormenting? . . . But now they tell us, nothing else can be so much as imagined, and nature hath no other place to bestow her good in but only that out of which her evil hath been driven; as Metrodorus speaks in his book against the Sophists. . . . Thus do Epicurus and Metrodorus, while they make avoiding of evil to be the very essence and consummation of good, and so receive but as it were the satisfaction of slaves or of rogues newly discharged the gaol, who are well enough contented if they may but wash and supple their sores and the stripes they received by whipping.']	Plutarch distinguishes the 'generous' joy of the philosopher or free citizen from the 'satisfaction of slaves' who are merely relieved at the cessation of whipping. This reflects the legal reality that free status conferred protection from judicial scourging, a resource lack by slaves.	1	1	9.0	5	Protection from corporal punishment is a fundamental bodily entitlement.	4	Broad legal protection against a major class of physical coercion.	4	Holds as long as the legal status of 'free man' is maintained.	4	Free status is a structural birth/legal status, hard to change.	0	Plutarch contrasts contemporary legal realities of free men vs. slaves.	4	Reported fact; uses the known legal distinction as a philosophical metaphor.	0	Freedom from whipping is not the formal definition of 'free man'.
tlg0007.tlg139.perseus-eng2::1	tlg0007.tlg139.perseus-eng2	Plutarch	That it is Not Possible to Live Pleasurably According to the Doctrine of Epicurus	Hellenistic & Early Roman (165 BCE – 105 CE)	['Freedom']	Slave retainment of earnings	Slaves	Right to retain personal earnings	LESS	['For I see that even common sword-players, if they are not utter brutes and savages, but Greek born, when they are to enter the list, though there be many and very costly dishes set before them, yet take more content in employing their time in commending their poor wives to some of their friends, yea, and in conferring freedom on their slaves, than in gratifying their stomachs.']	The text mentions masters 'conferring freedom on their slaves' as a virtuous action. This implies a rule where slaves are property and cannot self-liberate without the master's legal intervention, demonstrating that the resource of their own personhood and the products of their labor (which could buy freedom) are legally held by the master.	1	1	10.0	5	Right to retain earnings/personhood involves tangible wealth and bodily liberty.	5	Wealth and personhood are foundational societal axes.	5	Slavery is typically a lifelong legal condition.	4	Slave status is a structural legal status requiring manumission to change.	0	Describes the contemporary legal power of masters in the Roman/Greek world.	4	Relies on the factual social practice of manumission and slave incapacity.	1	A slave, by definition, lacks legal personhood and property rights.
tlg0007.tlg139.perseus-eng2::2	tlg0007.tlg139.perseus-eng2	Plutarch	That it is Not Possible to Live Pleasurably According to the Doctrine of Epicurus	Hellenistic & Early Roman (165 BCE – 105 CE)	['Citizenship', 'Gender']	Male citizen access to public office	Male citizens	Eligibility for the archonship and public offices	MORE	['And do not they then that stand so well affected towards applause and fame themselves own they cast away very extraordinary pleasures, when they decline magistrature, public offices, and the favor and confidences of princes, from whom Democritus once said the grandest blessings of human life are derived?']	Plutarch criticizes Epicureans for voluntarily abstaining from magistracies and public offices. This presupposes a rule in contemporary Greek/Roman society where such roles are a resource available to the elite group (citizens of appropriate status and gender).	1	1	10.0	4	Public office provides direct material/legal power and influence.	4	Broad category of political power and civic leadership.	4	Eligibility persists across a career; terms are bounded.	4	Male citizenship is a birth-fixed/legal status.	0	Refers to the actual eligibility of the author's social class.	4	Reflects the factual eligibility of the group, framed as a choice.	0	Holding office is a right of citizenship, not its definition.
tlg0007.tlg139.perseus-eng2::3	tlg0007.tlg139.perseus-eng2	Plutarch	That it is Not Possible to Live Pleasurably According to the Doctrine of Epicurus	Hellenistic & Early Roman (165 BCE – 105 CE)	['Wealth / Properties']	Wealthy obligation for public liturgy	The wealthy	Exemption from compulsory public financing	LESS	['Rich men as well as princes are used at certain times to make public entertainments and to keep open houses; but the feasts they make at the solemnities and sacrifices, when they now apprehend their minds to approach nearest the Divinity, have conjoined with the honor and veneration which they pay him a much more transcending pleasure and satisfaction.']	The passage refers to the social and religious expectation (legalized through liturgies) that rich men and rulers provide public banquets and entertainments for the community, a drain on material resources in exchange for the immaterial resource of public honor.	1	1	8.0	5	Compulsory financing involves significant direct material wealth.	4	Liturgy is a broad structural tax/obligation for the elite.	4	Obligation holds as long as one is in the 'wealthy' bracket.	3	Wealth status is a durable identity but can change through loss.	0	Refers to contemporary social expectations for elites in Plutarch's time.	5	Describes as simple fact that the rich are 'used' to making these feasts.	0	Being wealthy does not inherently mean carrying public liturgical burdens.
tlg0008.tlg001.perseus-eng2::0	tlg0008.tlg001.perseus-eng2	Athenaeus	The Deipnosophists	High Roman Empire (135–205 CE)	['Citizenship']	Citizen wine distribution	Athenian citizens	Free distribution of wine	MORE	['And Alcibiades, who conquered in the chariot race at the Olympic games, getting the first, and second, and fourth prizes, (for which victories Euripides wrote a triumphal ode,) having sacrificed to Olympian Jupiter, feasted the whole assembly. And Leophron did the same at the Olympic games, Simonides of Ceos writing a triumphal ode for him. And Empedocles of Agrigentum, having gained the victory in the horse race at the Olympic games, as he was himself a Pythagorean, and as such one who abstained from meat, made an image of an ox of myrrh, and frankincense, and the most expensive spices, and distributed it among all who came to that festival. And Ion of Chios, having gained the tragic crown at Athens, gave a pot of Chian wine to every Athenian citizen.']	The text documents a specific rule/convention where victors of major games or contests provided mass distributions of resources (wine, food) specifically to the citizen body or the assembly, identifying a resource access right based on citizenship status.	0	1	9.0	5	Free distribution of wine/food involves tangible physical goods.	2	Tied to specific festivals and one-off triumphal celebrations.	1	A momentary distribution with no durable afterlife per person.	4	Athenian citizenship is a structural birth-status.	1	Narrates historical victors from the classical period (5th c. BCE).	5	The verbatim provides empirical historical examples as proof.	0	Receiving wine is not the definition of an Athenian citizen.
tlg0008.tlg001.perseus-eng2::1	tlg0008.tlg001.perseus-eng2	Athenaeus	The Deipnosophists	High Roman Empire (135–205 CE)	['Citizenship']	Metic exclusion from public banquets	Metics	Right to feast in the Prytaneum	LESS	['But the author, whoever he was, of the play called The Beggars, which is ascribed to Chionides, says that the Athenians, when they place a banquet for Castor and Pollux in their Prytaneum, serve up on the tables cheese and barley-cakes, and olives which have fallen, and leeks, for the sake of reminding people of the ancient manner of living. And Solon enjoins them to serve up barley-cakes to those who eat in the prytaneum: and besides that, to place bread on the table at festivals, in imitation of Homer . . . And Ctesicles, in the third book of his Chronicles, says that in the hundred and fifteenth Olympiad, there was an investigation at Athens conducted by Demetrius Phalereus into the number of the inhabitants of Attica, and the Athenians were found to amount to twenty-one thousand, and the Metics to ten thousand, and the slaves to four hundred thousand.']	Solon's laws restricted the right to feast at the public expense (in the Prytaneum) to specific citizens and officials, excluding the resident alien (metic) population despite their significant number in the census mentioned.	0	1	8.0	5	Food distributions provide tangible means of subsistence.	2	Narrowly scoped to a specific institution (Prytaneum) and food types.	4	The right to public maintenance is often a lifelong/recurring privilege.	3	Metic status is a durable social identity of foreign residency.	1	Cites Solon and archaic/classical Athenian history.	5	Attests to statutes (Solon) and census figures as facts.	0	Exclusion from public dining is not the definition of a metic.
tlg0008.tlg001.perseus-eng2::2	tlg0008.tlg001.perseus-eng2	Athenaeus	The Deipnosophists	High Roman Empire (135–205 CE)	['Gender']	Female exclusion from public halls	Women	Access to the prytaneum	LESS	['And on all the other days of the year it is lawful for any one who pleases of those who are fed at the prytaneum to go into the prytaneum to sup, having prepared at his own home some vegetable, or some pulse, or some salt meat, or some fish, or a very little bit of pork; and when he eats this, he may also have a cotyla of wine. But no woman is allowed to go into the prytaneum excepting the woman alone who plays the flute. And no spoon may be brought into the prytaneum.']	The text describes a contemporary rule in Naucratis where women are strictly barred from entering the communal dining hall (prytaneum), with a single narrow exception for a musician, who is likely not considered a guest.	1	1	10.0	5	Access to a public dining hall involves tangible food and wine.	3	Specific but recurring access to a central civic institution.	5	Exclusion was a lifelong structural restriction based on gender.	5	Sex/gender is biologically fixed.	0	Describes the laws and customs currently in force in Naucratis.	5	Stated as a direct rule: 'no woman is allowed to go'.	0	Female gender does not inherently mean 'excluded from the prytaneum'.
tlg0008.tlg001.perseus-eng2::3	tlg0008.tlg001.perseus-eng2	Athenaeus	The Deipnosophists	High Roman Empire (135–205 CE)	['Freedom']	Slave exclusion from sacred banquets	Slaves	Participation in sacred sacrifices	LESS	['And I have always, O my friends, marvelled at the race of slaves, considering how abstemious they are, though placed in the middle of such numbers of dainties; for they pass them by, not only out of fear, but also because they are taught to do so . . . as in the island of Cos, when the citizens sacrifice to Juno. For Macareus says, in his third book of his treatise on Coan Affairs, that, when the Coans sacrifice to Juno, no slave is allowed to enter the temple, nor does any slave taste any one of the things which are prepared for the sacrifice.']	In Coan society, religious law specifically prohibits slaves from entering temples during certain sacrifices or consuming the sacred food, a resource reserved for citizens.	1	1	10.0	5	Food and temple entry have tangible material and social dimensions.	3	Recurring religious exclusion from specific civic sacrifices.	5	Slavery is a lifelong status with lifelong religious exclusions.	4	Slave status is a structural legal birth/status.	1	Cites Macareus' historical/antiquarian treatise on Coan history.	5	Direct report of a prohibition: 'no slave is allowed'.	0	Religious exclusion is a specific legal disability, not the definition of a slave.
tlg0008.tlg001.perseus-eng2::4	tlg0008.tlg001.perseus-eng2	Athenaeus	The Deipnosophists	High Roman Empire (135–205 CE)	['Freedom']	Slave exclusion from Phorbas sacrifice	Slaves	Ministry at sacred rites	LESS	['And Phorbas was so delighted with this hospitality, that when he was dying himself he charged his friends to take care that his funeral rites should be performed by free men. And so this custom continued to prevail in the sacrifice of Phorbas, for none but free men minister at this sacrifice. And it is accounted profanation for any slave to approach it.']	The text identifies a specific cult rule in Rhodes where slaves are deemed a source of profanation and are legally barred from participating in or even approaching the sacrifice honoring the hero Phorbas.	1	1	10.0	2	Ministering at a rite is a social role with symbolic payoff.	2	Tied to a specific local cult of a named hero (Phorbas).	5	The exclusion holds for the entirety of the individual's life as a slave.	4	Slave status is a structural legal status.	1	Refers to a cultic legend and local custom in Rhodes.	5	Reports it as a prevailing religious custom/law.	0	Ritual profanation is not the definition of a slave.
tlg0008.tlg001.perseus-eng2::5	tlg0008.tlg001.perseus-eng2	Athenaeus	The Deipnosophists	High Roman Empire (135–205 CE)	['Freedom']	Slave prohibition of wine	Slaves	Right to drink wine	LESS	['And among the Romans no slave ever drank wine, nor any free woman, nor any youth born of free parents till he was thirty years of age.']	The text describes an ancient Roman sumptuary and social law that restricted access to wine based on both freedom and age criteria.	0	1	9.0	5	Wine is a tangible physical good.	3	Sumptuary law regarding a specific broad category of consumption.	5	For slaves, this was a lifelong prohibition.	4	Slave status is a structural legal status.	1	Refers to ancient Roman social history/customs.	5	Reported as a general historical fact of the Roman state.	0	Abstinence from wine is not the definition of a slave.
tlg0008.tlg001.perseus-eng2::6	tlg0008.tlg001.perseus-eng2	Athenaeus	The Deipnosophists	High Roman Empire (135–205 CE)	['Gender']	Roman female wine prohibition	Women	Right to drink wine	LESS	['But among the Romans, as Polybius says, in his sixth book, it was forbidden to women to drink wine at all. However, they drink what is called Passum; and that is made of raisins . . . And it is impossible for a woman to drink wine without being detected: for, first of all, she has not the key of the cellar; and, in the next place, she is bound to kiss her relations, and those of her husband, down to cousins, and do this every day when she first sees them . . . for if she has merely tasted wine, it needs no informer, but is sure to betray itself.']	The text details a Roman law (and the biological/social checks used to enforce it) that prohibited women from consuming wine, though they were allowed a raisin-based alternative.	0	1	10.0	5	Wine is a tangible physical good.	3	Sumptuary law regarding a specific broad category of consumption.	5	Lifelong prohibition for the gender group.	5	Sex/gender is biologically fixed.	1	Cites Polybius regarding archaic/historical Roman law.	5	Details specific legal enforcement mechanisms as historical fact.	0	Being a woman does not define one as a non-wine drinker.
tlg0008.tlg001.perseus-eng2::7	tlg0008.tlg001.perseus-eng2	Athenaeus	The Deipnosophists	High Roman Empire (135–205 CE)	['Age']	Roman youth wine restriction	Youths	Right to drink wine	LESS	['And among the Romans no slave ever drank wine, nor any free woman, nor any youth born of free parents till he was thirty years of age.']	Historical Roman law established a specific age barrier (thirty years) before which freeborn males were prohibited from accessing wine.	0	1	9.0	5	Wine is a tangible physical good.	3	Sumptuary law regarding a specific broad category of consumption.	3	Bounded to the life stage of youth (until age thirty).	5	Age is a biologically fixed status at a given time.	1	Relates to historical Roman law.	5	Reported as a categorical historical age-gate rule.	0	One is not young because they don't drink wine.
tlg0008.tlg001.perseus-eng2::8	tlg0008.tlg001.perseus-eng2	Athenaeus	The Deipnosophists	High Roman Empire (135–205 CE)	['Citizenship', 'Freedom']	Phiditia contribution obligation	Spartan citizens	Communal dining (Syssitia)	MORE	['And every one contributes to the phiditium about three Attic semimedimni of meal, and about eleven or twelve choes of wine; and in addition to this they contributed a certain weight of cheese and figs; and moreover, for purchasing meat, they gave ten Aeginetan obols.']	Spartan citizens were granted the right to participate in the 'phiditia' (communal meals) contingent upon a mandatory contribution of specific material resources (grain, wine, money).	0	1	9.0	5	Meal, wine, and money for meat are tangible goods.	4	The Syssitia was a foundational axis of Spartan life.	4	Long-term daily participation during the peak years of citizenship.	4	Spartan citizenship (homoioi) was a structural birth-status.	1	Narrates the classical Spartan institutional system.	5	Verbatim cites specific weights and measures for contributions.	0	Contingent contribution is a requirement, not the definition of citizenship.
tlg0008.tlg001.perseus-eng2::9	tlg0008.tlg001.perseus-eng2	Athenaeus	The Deipnosophists	High Roman Empire (135–205 CE)	['Occupation']	Philosopher banishment decree	Philosophers	Right of residence in Attica	LESS	['And a certain man named Sophocles, passed a decree to banish all the philosophers from Attica. And Philo, the friend of Aristotle, wrote an oration against him; and Demochares, on the other hand, who was the cousin of Demosthenes, composed a defence for Sophocles.']	The text records a specific Athenian legal decree that targeted individuals based on their occupation (philosophers) and revoked their right to inhabit the territory.	0	1	9.0	5	Right of residence is a form of bodily entitlement/freedom of movement.	4	Expulsion from a territory is a broad/structural outcome.	4	Banishment decrees are typically long-term or permanent till revoked.	3	Occupation (philosopher) is acquired but is a durable social identity.	1	Refers to a specific 4th-century BCE Athenian decree.	5	Cites a specific decree, the author, and the legal defense.	0	Exile is not part of the definition of a philosopher.
tlg0010.tlg004.perseus-eng2::0	tlg0010.tlg004.perseus-eng2	Isocrates	Concerning the Team of Horses	Classical (500–360 BCE)	['Citizenship']	Citizen right to public trial	Citizens	Protection from condemnation in absentia	MORE	['But when he had learned the power of his enemies and the misfortunes of his friends, although he was of opinion that he was being grossly wronged because they would not try him when he was in Athens but were for condemning him in his absence, not even in these circumstances did my father see fit to desert to the enemy;']	The text describes the condemnation of Alcibiades in his absence as a 'gross wrong' and 'illegal,' implying a standard procedural rule in Athens that citizens have a right to be present at their own trial for such serious charges.	1	1	9.0	4	Public trial is a concrete legal right with material bodily effects.	3	Specific but essential procedural legal protection.	2	Holds for the duration of a single trial/case.	4	Athenian citizenship is a structural birth-status.	1	Describes events and laws in classical Athens (Alcibiades' time).	4	Authorial framing of a legal standard to support a legal argument.	0	Right to personal presence is a legal right, not a definition of a citizen.
tlg0010.tlg004.perseus-eng2::1	tlg0010.tlg004.perseus-eng2	Isocrates	Concerning the Team of Horses	Classical (500–360 BCE)	['Wealth / Properties']	Liturgical obligations for the wealthy	The wealthy	Exemption from public service costs	LESS	['With regard to my father’s services here in Athens as choregus and gymnasiarch and trierarch—I am ashamed to speak; for so greatly did he excel in all the other public duties that, although those who have served the state in less splendid fashion sing their own praises therefor, if anyone should on my father’s behalf ask for a vote of thanks even in recognition of services as great as his, he would seem to be talking about petty things.']	The mention of roles like choregus, gymnasiarch, and trierarch refers to the 'liturgies'—mandatory public services funded by the wealthiest citizens in Athens.	1	1	10.0	5	Exemption from service costs involves significant private wealth.	4	Liturgies (trierarchy, etc.) were the main structural taxes for the elite.	4	Obligation holds as long as one is in the 'wealthy' bracket.	3	Wealth/property bracket is a durable but potentially changeable status.	1	Recounting the classical liturgical system in Athens.	5	Refers to the roles (choregus, trierarch) as established institutions.	0	Supporting a trireme is not what 'wealthy' means.
tlg0010.tlg004.perseus-eng2::2	tlg0010.tlg004.perseus-eng2	Isocrates	Concerning the Team of Horses	Classical (500–360 BCE)	['Citizenship']	Amnesty for past political crimes	Citizens	Protection from prosecution for past political acts	MORE	['And then do you, Teisias, his brother-in-law and a member of the Council in the time of the Thirty Tyrants, have the hardihood to rake up old grudges against those of the other side, and are you not ashamed to be violating the terms of the amnesty which permits you to reside in the city']	This refers to the historical Amnesty of 403 BCE following the civil war between the democrats and the Thirty Tyrants, which legally prevented citizens from being prosecuted for actions taken during the conflict to ensure social stability.	1	1	10.0	4	Protection from past-act prosecution secures life/property outcomes.	4	Amnesty is a broad foundational legal protection for a whole class.	5	Amnesty was intended as a permanent settlement of past guilt.	4	Citizenship/factional residency is very hard to change legally.	1	Discusses the Amnesty of 403 BCE shortly after it occurred.	5	Cites the 'terms of the amnesty' as a known established law.	0	Amnesty for crimes is not part of the definition of citizenship.
tlg0010.tlg004.perseus-eng2::3	tlg0010.tlg004.perseus-eng2	Isocrates	Concerning the Team of Horses	Classical (500–360 BCE)	['Wealth / Properties']	Disfranchisement for insolvent debtors	The poor	Right to retain citizenship	LESS	['For although the same penalties are prescribed for all by our laws, yet the legal risk is not the same for all; on the contrary, the wealthy risk a fine, but those who are in straitened circumstances, as is the case with me, are in danger of disfranchisement, and this is a misfortune greater, in my opinion, than exile']	In Athenian law, a citizen who could not pay a court-mandated fine (like the 5 talents mentioned) became a state debtor and suffered 'atimia' (loss of civic rights or disfranchisement).	1	1	10.0	4	Citizenship (legal personhood) is a concrete legal status with material effects.	5	Legal personhood is a foundational societal axis.	5	Disfranchisement (atimia) is typically permanent or long-term.	3	The poor are a wealth bracket; durable but changeable.	1	Refers to contemporary Athenian laws regarding unpaid fines and debts.	4	Describes the factual legal risk ('danger of disfranchisement') caused by specific laws.	0	Being poor is not defined by being disfranchised.
tlg0010.tlg004.perseus-eng2::4	tlg0010.tlg004.perseus-eng2	Isocrates	Concerning the Team of Horses	Classical (500–360 BCE)	['Wealth / Properties']	Compensation for confiscated property	Citizens	Right to property compensation	MORE	['And when the men of the Piraeus were restored, and all the rest recovered their possessions, I alone by the influence of my personal enemies was deprived of the of the land which the people gave us as compensation for the confiscated property.']	The speaker notes that after the restoration of the democracy, it was standard for citizens (except him, by exception) to recover possessions or receive land as compensation for property seized during the era of the Thirty Tyrants.	1	1	8.0	5	Land and compensation for confiscated property are direct material wealth.	4	Property compensation is a broad legal right following civil unrest.	5	Recovered land remains a permanent asset for the citizen.	4	Citizenship is a hard-to-change legal birth-status.	0	Isocrates discusses laws active during his lifetime in post-restoration Athens.	4	Claims the law applied to 'all the rest' as a matter of fact.	0	Being a citizen does not inherently define one as a victim of confiscation.
tlg0010.tlg006.perseus-eng2::0	tlg0010.tlg006.perseus-eng2	Isocrates	Aegineticus	Classical (500–360 BCE)	['Citizenship', 'Freedom']	Wills drawn per local law	Resident aliens	Right to execute valid wills	MORE	['Read to me also the law of Aegina; for it was necessary that the will be drawn in accordance with this law, since we were alien residents of this island.']	The speaker explicitly states that as alien residents (metically-equivalent status) in Aegina, they were required and permitted to draw up their testaments according to the specific laws of that city-state to ensure validity.	1	1	10.0	4	The right to execute a valid will controls the transmission of material wealth.	4	Testamentary rights are a major structural legal category.	5	A valid will determines the lifelong afterlife of an estate.	3	Resident alien (metic) status is durable but changeable by moving.	0	Refers to contemporary Aeginetan law during a current trial.	5	The verbatim asks to read the actual statute as proof.	0	Resident status does not define the specific local validity of a will.
tlg0010.tlg006.perseus-eng2::1	tlg0010.tlg006.perseus-eng2	Isocrates	Aegineticus	Classical (500–360 BCE)	['Citizenship']	Adoption limited to same status	Fellow-citizens	Eligibility for adoption	MORE	['It was in accordance with this law, citizens of Aegina, that Thrasylochus adopted me as his son, for I was his fellow-citizen and friend... I therefore do not see how he could have acted more consistently with the law, since the law insists that persons of the same status may be adopted.']	The text cites a specific legal requirement from the Aeginetan code (shared by Siphnos/Ceos) that for an adoption to be valid, the parties involved must share the same civic status (in this case, both being Siphnians).	1	1	9.0	3	Adoption is a legal procedure with significant inheritance consequences.	3	Narrowly focused on the eligibility criteria for adoption.	5	Adoption creates a permanent, lifelong familial and legal bond.	4	Fellow-citizenship is a birth-fixed or hard-to-change legal status.	0	Cites a law currently in force in Aegina/Siphnos.	5	Explicitly cites the text of the law and its 'insistence'.	1	The rule 'only citizens can be adopted as citizens' is largely tautological.
tlg0010.tlg006.perseus-eng2::2	tlg0010.tlg006.perseus-eng2	Isocrates	Aegineticus	Classical (500–360 BCE)	['Age']	Testamentary adoption for childless men	Childless men	Right to appoint heirs	MORE	['It is expedient, to, that you should uphold the law which permits us to adopt children and to dispose wisely of our property, reflecting that for men who are childless this law takes the place of children; for it is owing this law that both kinsmen and those who are not related take greater care of each other.']	The speaker describes a general Greek legal norm (specifically applicable in Aegina and Siphnos) that allows men without biological children to adopt an heir to preserve their household and transfer their estate.	1	1	9.0	4	Appointing heirs allows for the distribution of tangible estates and wealth.	5	Foundational societal axis involving inheritance and family preservation.	5	The appointment of an heir has permanent effects on the estate's future.	5	Childlessness is a biological fact or state at a given moment.	0	Describes active laws regarding disposal of property.	4	The author encourages upholding an existing, functional law.	0	Being childless does not naturally imply the legal right to adopt.
tlg0010.tlg006.perseus-eng2::3	tlg0010.tlg006.perseus-eng2	Isocrates	Aegineticus	Classical (500–360 BCE)	['Lineage', 'Gender']	Inheritance for legitimate children	Legitimate children	Right to inherit property	MORE	['Of this marriage were born Sopolis, Thrasylochus, and a daughter, who is my wife. These were the only legitimate children left by Thrasyllus and he made these his heirs when he died.']	The text establishes that legitimate offspring (born of a recognized marriage) are the recognized legal heirs to their father's estate, contrasting them with children from informal unions.	1	1	9.0	5	Inheriting property is a primary mode of material wealth transfer.	5	Inheritance is a foundational societal right.	5	Inheritance is a lifelong, structural transfer of status and assets.	5	Legitimacy is a birth-fixed status defined by lineage.	0	Discusses contemporary family law and inheritance practices.	5	Reported as an uncontested legal fact of the marriage.	1	Legitimacy is often defined by the right to inherit; thus tautological.
