rule_uid	criteria	rule	group	resource	directionality	verbatim	reasoning	confidence	rule_polity	rule_polity_reasoning	rule_time_reference	rule_date	rule_time_reasoning	contemporary	factuality	is_historical	group_specificity	group_immutability	resource_materiality	resource_generality	resource_persistence	tautological	author	cliopatria_polity	impact_year	impact_date	occupations	description	work_title	perseus_title	wikidata_work_label	period	genre	form_of_creative_work	main_language	pub_date	n_words	file_id	wikidata_id
tlg0057.tlg010.perseus-eng2#50	Health	Fluid retention in asthenics	People with weak stomachs	Rapid gastric emptying	LESS	[§29-PART 4] For in people who are extremely asthenic it is just these fluids which remain undigested, which accumulate and produce gurglings, and which oppress and overload the stomach, whereas in strong persons not merely do none of these things happen, but even a large quantity of bread or meat passes rapidly down.	Galen contrasts 'strong persons' with 'extremely asthenic' people, noting that the latter lack the resource of timely gastric emptying, which specifically impacts their health and physical comfort.	9.0	Roman Empire	Galen was a physician in the Roman Empire, and this rule reflects contemporary medical understanding within that society.	contemporary	164	The rule describes contemporary medical observations by Galen, whose floruit was 164 CE.	1	1	0	3	3	5	3	3	1	Galen	Roman Empire;(Roman Empire)	164	164.0	physician; philosopher; physician writer; neuroscientist; surgeon; biologist	1st-century Greek physician, surgeon and philosopher	On the Natural Faculties	On the Natural Faculties.	On the Natural Faculties	High Roman Empire (135–205 CE)			English	1916	48788	tlg0057.tlg010.perseus-eng2	Q8778
tlg0031.tlg005.perseus-eng2#3	Freedom	Prophetic capacity of servants	Slaves	Right to prophesy	MORE	[§46] Yes, and on my servants and on my handmaidens in those days, I will pour out my Spirit, and they will prophesy.	The author quotes Joel to establish that even those in a state of servitude (servants/handmaidens) are granted the resource of prophecy through the Holy Spirit.	10.0	Early Christian Community	The rule describes prophetic capacities within the early Christian community as documented in the New Testament.	past	30 to 60	The New Testament (Acts) was compiled around 100 CE, but this rule describes prophetic expectations and events from the early days of Christianity (c. 30-60 CE).	1	0	0	5	4	1	2	5	0	New Testament		100	100.0				Acts		Hellenistic & Early Roman (165 BCE – 105 CE)			English	2000-2024	23247	tlg0031.tlg005.perseus-eng2	Anonymous
tlg0086.tlg010.perseus-eng2#104	Age	Older man exemption from shamefacedness	old people	Praise for modesty	LESS	[§631] ...though no one would praise an older man for being shamefaced, since we think he ought not to do anything of which he need be ashamed.	The text explicitly states that the social resource of praise for being 'shamefaced' or modest is withheld from older men, as the expectation for their behavior differs from that of the young.	10.0	Classical Athens	Aristotle's ethical observations on age-appropriate behavior are drawn from the social norms of his contemporary Athenian context.	contemporary	-348	This rule reflects the contemporary social expectations for older men in Aristotle's Athenian society, as observed during his floruit.	1	1	0	5	5	1	3	3	0	Aristotle	Thebans	-348	-348.0	philosopher	4th-century BCE Classical Greek philosopher and polymath	Nicomachean Ethics	Nicomachean Ethics	Nicomachean Ethics	Late Classical (354–165 BCE)	treatise		English	1926	104386	tlg0086.tlg010.perseus-eng2	Q868
tlg0719.tlg001.perseus-eng2#0	Age	Childhood protection from tetanus death	children	Protection from fatal disease outcomes	MORE	[§6] With respect to the different ages, children are frequently affected, but do not often die, because the affection is familiar and akin to them;	The author distinguishes children as a group that, while susceptible to the ailment, is granted a biological or categorical reprieve from its fatal effects compared to other age groups.	9.0	Roman Empire	Aretaeus of Cappadocia was a Greek physician writing within the Roman Empire, documenting medical observations of his time.	contemporary	135	The rule reflects contemporary medical observations during Aretaeus' floruit around 135 CE.	1	1	0	5	5	5	3	3	0	Aretaeus of Cappadocia	Roman Empire;(Roman Empire)	135	135.0	physician	2nd century Greek physician	On the causes and signs of acute and chronic diseases	On the Causes and Symptoms of Acute Diseases	On the causes and signs of acute and chronic diseases	High Roman Empire (135–205 CE)			English	1856	13668	tlg0719.tlg001.perseus-eng2	Q505931
tlg0627.tlg006.perseus-eng4#60	Health	Mental health related physical decline	Persons of gloomy temperament	Right to physical health stability	LESS	[§87] In Thasos a woman of gloomy temperament, after a grief with a reason for it, without taking to bed lost sleep and appetite, and suffered thirst and nausea.	The author categorizes the individual by a near-immutable 'temperament' and links this psychological state (and the experience of grief) to a loss of basic physical resources like sleep and appetite.	8.0	Classical Greece	Hippocrates' medical observations reflect the contemporary understanding and practices of medicine in Classical Greece.	contemporary	-465	The rule describes medical observations contemporary to Hippocrates' floruit year of -465.	1	1	0	4	5	5	3	4	0	Hippocrates		-465	-465.0	military personnel; politician	Athenian general (c. 459 – 424 BC)	Epidemics	Epidemics I and III	Epidemics	Classical (500–360 BCE)			English	1923	16887	tlg0627.tlg006.perseus-eng4	Q1620003
tlg0031.tlg005.perseus-eng2#4	Wealth / Properties	Communal resource distribution	Wealthy citizens	Right to retain property	LESS	[§28] All who believed were together, and had all things common. They sold their possessions and goods, and distributed them to all, according as anyone had need.	The nascent Christian community operated under a norm where individual owners of goods and possessions surrendered their exclusive rights to those materials for the benefit of the group.	9.0	Early Christian Community	The rule describes the communal practices of the early Christian community as documented in the New Testament.	past	30 to 60	The New Testament (Acts) was compiled around 100 CE, but this rule describes the communal property practices of the early Christian community (c. 30-60 CE).	1	1	0	4	3	5	5	4	0	New Testament		100	100.0				Acts		Hellenistic & Early Roman (165 BCE – 105 CE)			English	2000-2024	23247	tlg0031.tlg005.perseus-eng2	Anonymous
tlg0086.tlg035.perseus-eng2#66	Wealth / Properties	Alienation of land by gift	Landowners	Right to alienate land by gift/bequest	MORE	[§40] for the lawgiver made it dishonorable to sell a family’s existing estate, and did so rightly, but he granted liberty to alienate land at will by gift or bequest.	The text describes a specific legal right granted to owners to transfer property as they wish, provided it is not a direct sale.	9.0	Sparta	Aristotle is discussing the constitution of Sparta in this section of the Politics.	past	-600 to -348	Aristotle describes a law in Sparta, which would have been contemporary to or prior to his floruit (-348).	1	1	0	3	3	5	4	5	0	Aristotle	Thebans	-348	-348.0	philosopher	4th-century BCE Classical Greek philosopher and polymath	Politics	Politics	Politics	Late Classical (354–165 BCE)	treatise		English	1944	106476	tlg0086.tlg035.perseus-eng2	Q868
tlg0627.tlg006.perseus-eng4#59	Occupation	Labor-induced illness	Laborers	Protection from exhaustion-related fever	LESS	[§79] In Thasos Pythion, who lay sick above the shrine of Heracles, after labour, fatigue and careless living, was seized by violent rigor and acute fever.	The text identifies 'labour' and 'fatigue' as the precipitating factors for a fatal illness, implying that those engaged in heavy physical work lack the resource of physical security against exhaustion.	7.0	Classical Greece	Hippocrates' medical observations reflect the contemporary medical practices and societal conditions of Classical Greece.	contemporary	-465	The rule describes medical observations contemporary to Hippocrates' floruit year of -465.	1	1	0	3	3	5	3	2	0	Hippocrates		-465	-465.0	military personnel; politician	Athenian general (c. 459 – 424 BC)	Epidemics	Epidemics I and III	Epidemics	Classical (500–360 BCE)			English	1923	16887	tlg0627.tlg006.perseus-eng4	Q1620003
tlg0061.tlg003.perseus-eng1#1	Age	Youthful susceptibility to paternal control	Minors	Personal autonomy in lifestyle choices	LESS	[§12] Then again, at Athens even those who were subject to paternal control had countless temptations to indulgence, youth is the susceptible time, a neglected ward could have lived as irregular a life as he chose...	The passage describes the legal and social condition of youth ('wards') being under 'paternal control', which limits their autonomy, while also noting that orphans/wards lacked the oversight usually provided to those with living fathers.	9.0	Classical Athens	Lucian, writing in the Roman Empire, explicitly describes the social conditions and temptations for youth in Classical Athens.	past	-450 to -322	The rule describes social conditions in Classical Athens, which was in effect from the 5th to 4th centuries BCE, long before Lucian's floruit in 150 CE.	0	1	0	5	5	4	5	3	0	Lucian of Samosota		150				De domo	Demosthenes an Encomium	De domo	High Roman Empire (135–205 CE)			English	1905	6843	tlg0061.tlg003.perseus-eng1	
tlg0030.tlg004.perseus-eng2#4	Citizenship	Citizen protection from malicious prosecution	Citizens	Protection from slanderous litigation	MORE	[§33] ...there is not in the world a single democracy or monarch or race more magnanimous than the Athenian people, and that it does not forsake those citizens who are maligned by others, whether singly or in numbers, but supports them. [§34] ...they immediately disfranchised the man who tried to slander the accused and did not award him a fifth part of the votes.	The text describes a systemic judicial protection where the Athenian assembly/jury supports citizens against malicious accusers by penalizing the prosecutor if they fail to secure a minimum threshold of votes.	9.0	Classical Athens	Hyperides' speech describes the Athenian people's protection of citizens from malicious prosecution.	contemporary	-360 to -322	Hyperides was an Athenian orator active in the 4th century BCE, and this rule reflects the legal and social practices of his time in Athens.	1	1	0	5	4	4	3	2	0	Hyperides	Classical Athens	-360	-360.0				In Defence of Euxenippus		Classical (500–360 BCE)			English	1954	4145	tlg0030.tlg004.perseus-eng2	Q314447
tlg0086.tlg035.perseus-eng2#126	Citizenship	Equal rotation of government	Citizens	Right to govern in turn	MORE	[§76] Some people think that it is entirely contrary to nature for one person to be sovereign over all the citizens where the state consists of men who are alike; for necessarily persons alike in nature must in accordance with nature have the same principle of justice and the same value... it is just for no one person to govern or be governed more than another, and therefore for everybody to govern and be governed alike in turn.	The text describes a standard political principle in Greek states where citizens of equal status are entitled to a revolving share in political power rather than permanent subjection to one individual.	9.0	Classical Athens	Aristotle discusses the principle of equal rotation in government, a democratic ideal relevant to Athens.	contemporary	-350 to -340	Aristotle discusses a principle of justice and governance that was debated and practiced in his contemporary Greek world.	1	0	0	5	4	3	5	3	0	Aristotle	Thebans	-348	-348.0	philosopher	4th-century BCE Classical Greek philosopher and polymath	Politics	Politics	Politics	Late Classical (354–165 BCE)	treatise		English	1944	106476	tlg0086.tlg035.perseus-eng2	Q868
tlg0010.tlg019.perseus-eng2#27	Age	Junior access to state government	Young men	Political power	MORE	[§174] I suppose that you are not unaware of the fact that the government of the state is handed on by the older men to the youth of the coming generation; and that since the succession goes on without end, it follows of necessity that as is the education of our youth so from generation to generation will be the fortune of the state.	This describes the positive side of the succession rule: the youth are the recognized recipients of the state's governing power as they mature.	9.0	Classical Athens	Isocrates, an Athenian, describes the intergenerational transfer of political power within the Athenian state, specifically mentioning the youth.	contemporary	-353	The rule is contemporary to Isocrates, who wrote 'Antidosis' around 353 BCE.	1	1	0	5	5	5	5	3	0	Isocrates	Peloponnesian League	-400	-400.0	orator; writer	Greek rhetorician and writer (436–338 BC)	Antidosis	Antidosis	Antidosis	Classical (500–360 BCE)			English	1928	29306	tlg0010.tlg019.perseus-eng2	Q221182
tlg0086.tlg035.perseus-eng2#109	Wealth / Properties	Poor exclusion from high office	The poor	Eligibility for the highest magistracies	LESS	[§65] For it is not safe for them to participate in the highest offices (for injustice and folly would inevitably cause them to act unjustly in some things and to make mistakes in others)... For this reason Solon and certain other lawgivers appoint the common citizens to the election of the magistrates and the function of calling them to audit, although they do not allow them to hold office singly.	Aristotle notes that common citizens (defined as those not rich) are explicitly barred from holding individual high offices, though they may participate in elections and audits.	9.0	Classical Athens	Aristotle explicitly references Solon, a key figure in Athenian law, and discusses Athenian political structures.	mixed	-348|-594	Aristotle (floruit -348) discusses contemporary practices while explicitly referencing Solon's laws from Archaic Athens (-594).	1	1	0	5	3	3	4	4	0	Aristotle	Thebans	-348	-348.0	philosopher	4th-century BCE Classical Greek philosopher and polymath	Politics	Politics	Politics	Late Classical (354–165 BCE)	treatise		English	1944	106476	tlg0086.tlg035.perseus-eng2	Q868
tlg0719.tlg003.perseus-eng2#41	Wealth / Properties	Wealth-based sensory therapy	Wealthy citizens	Access to landscape and art therapy	MORE	[§16] The delight of the sight is to be studied as to plants, painting, waters, so that everything may be regarded with pleasure. ... The prospect should be towards meadows, fountains, and babbling streams, for the sweet exhalations from them, and the delightful view, warm the soul and refresh nature. ... But if from want one is not fortunate enough to possess these things, we must make an imitation of the cool breeze, by fanning with the branches of fragrant boughs.	The author distinguishes between those who possess the wealth/property to have access to specific healing environments (meadows, fountains, paintings) and those who suffer from 'want' (poverty), who must rely on cheaper imitations (fanning with boughs).	9.0	Roman Empire	Aretaeus of Cappadocia was a Greek physician writing within the Roman Empire, and the medical practices described reflect his contemporary society.	contemporary	135	The rule describes medical practices contemporary to Aretaeus, whose floruit is dated to 135 CE.	1	1	0	5	3	3	2	4	1	Aretaeus of Cappadocia	Roman Empire;(Roman Empire)	135	135.0	physician	2nd century Greek physician	On the causes and signs of acute and chronic diseases	On the Therapeutics of Acute Diseases	On the causes and signs of acute and chronic diseases	High Roman Empire (135–205 CE)			English	1856	24761	tlg0719.tlg003.perseus-eng2	Q505931
tlg0057.tlg010.perseus-eng2#42	Gender	Natural risk of female dropsy	Women	Protection from dropsy (illness)	LESS	[§27] ...similarly, in women, the complete disappearance of the monthly discharge,or an undue evacuation such as is caused by violent bleeding from the womb, often provoke dropsy; and in some of them the so-called female flux ends in this disorder.	The text identifies specific physiological conditions unique to the female group (menstrual issues) that result in a loss of protection from the disease of dropsy.	8.0	Roman Empire	Galen was a physician in the Roman Empire, and this rule reflects contemporary medical understanding within that society.	contemporary	164	The rule describes contemporary medical observations by Galen, whose floruit was 164 CE.	1	1	0	5	5	5	1	3	0	Galen	Roman Empire;(Roman Empire)	164	164.0	physician; philosopher; physician writer; neuroscientist; surgeon; biologist	1st-century Greek physician, surgeon and philosopher	On the Natural Faculties	On the Natural Faculties.	On the Natural Faculties	High Roman Empire (135–205 CE)			English	1916	48788	tlg0057.tlg010.perseus-eng2	Q8778
tlg0014.tlg019.perseus-eng2#50	Lineage	Religious honors for tyrant-slayers	Descendants of Harmodius	Access to public libations and worship	MORE	[§275] ...even a descendant of Harmodius and of the greatest of all your benefactors, the men to whom, in requital of their glorious deeds, you have allotted by statute a share of your libations and drink-offerings in every temple and at every public service, whom, in hymns and in worship, you treat as the equals of gods and demigods.	Statutory rules grant specific lineage groups (descendants of significant benefactors like Harmodius) the right to participate in or be honored during religious public services.	10.0	Classical Athens	Demosthenes refers to the established religious honors for the descendants of Harmodius, a practice originating in Classical Athens.	past	-510	The honors for Harmodius and Aristogeiton were established after the overthrow of the tyranny in -510 BCE, a historical practice by Demosthenes' time.	1	1	1	2	5	2	2	5	0	Demosthenes	Second Athenian League	-348	-348.0	orator; diplomat; writer; politician	classical Athenian statesman and orator (384–322 BC)	On the False Embassy	On the Embassy	On the False Embassy	Late Classical (354–165 BCE)			English	1926	33333	tlg0014.tlg019.perseus-eng2	Q117253
tlg0010.tlg019.perseus-eng2#35	Wealth / Properties	Wealthy obligation to state	Wealthy citizens	Right to retain personal fortune	LESS	[§251] Suppose the case of men who, having inherited large fortunes from their ancestors, used their wealth, not to render themselves serviceable to the state, but to outrage their fellow-citizens [...] would anyone venture to put the blame upon the authors of their wealth instead of demanding that the offenders themselves be punished?	The rhetorical question implies a social and potentially legal expectation that those with inherited wealth must use it to serve the state rather than for private outrage, effectively a restriction on the absolute right to retain property.	7.0	Classical Athens	Isocrates, an Athenian, discusses the social expectations and obligations of wealthy citizens towards the state in Athens.	contemporary	-400	The rule describes contemporary Athenian social and civic expectations for the wealthy during Isocrates' floruit around 400 BCE.	1	0	0	4	3	5	5	4	0	Isocrates	Peloponnesian League	-400	-400.0	orator; writer	Greek rhetorician and writer (436–338 BC)	Antidosis	Antidosis	Antidosis	Classical (500–360 BCE)			English	1928	29306	tlg0010.tlg019.perseus-eng2	Q221182
tlg0086.tlg035.perseus-eng2#198	Citizenship	Mercenary citizenship revocation	Metics / Foreigners	Right to retain citizenship	LESS	[§113] and the Syracusans after the period of the tyrants conferred citizenship on their foreign troops and mercenaries and then faction set in and they came to battle; and the Amphipolitans having received settlers from Chalcis were most of them driven out by them.	The text describes historical instances where foreigners who were granted citizenship were later excluded or driven out due to civil strife, indicating their tenuous access to the resource of citizenship.	8.0	Syracuse	The rule explicitly references the Syracusans and Amphipolitans, indicating specific historical examples.	past	-405 to -344	The events in Syracuse refer to the period after the tyrants, likely Dionysius I and II, which is prior to Aristotle's floruit.	0	1	0	4	3	4	5	4	0	Aristotle	Thebans	-348	-348.0	philosopher	4th-century BCE Classical Greek philosopher and polymath	Politics	Politics	Politics	Late Classical (354–165 BCE)	treatise		English	1944	106476	tlg0086.tlg035.perseus-eng2	Q868
tlg0061.tlg003.perseus-eng1#2	Citizenship	Citizen obligation for public service	Citizens	freedom from compulsory public financing (liturgies)	LESS	[§16] But when you come to your hero’s acts of humanity, his pecuniary sacrifices, his grand political achievements... the public entertainments he gave, the public burdens he assumed, the ships, the wall, the trench he contributed to, the prisoners he ransomed...	The text lists 'public burdens' and 'pecuniary sacrifices' (liturgies) as standard expectations or rules for prominent citizens in Athens, where they provide material resources (ships, walls, ransoms) for the state.	9.0	Classical Athens	Lucian, writing in the Roman Empire, explicitly describes the public service obligations (liturgies) of citizens in Classical Athens.	past	-450 to -322	The rule describes the practice of liturgies in Classical Athens, which was in effect from the 5th to 4th centuries BCE, long before Lucian's floruit in 150 CE.	0	1	1	5	4	4	2	4	0	Lucian of Samosota		150				De domo	Demosthenes an Encomium	De domo	High Roman Empire (135–205 CE)			English	1905	6843	tlg0061.tlg003.perseus-eng1	
