work_name,author,impact_year,polity,criteria,sampled_for,is_contemporary,verbatim_type,criterion_label,in_group,out_group,resource,resource_std,speaker,verbatim,matched_keywords,extraction_method,extraction_cost_usd,prompt_tokens,completion_tokens,rule_uid,file_id,rule_category,reasoning,group_generality,generality_reasoning,confidence,factuality,resource_materiality,materiality_reasoning,resource_generality,resource_generality_reasoning,group_immutability,immutability_reasoning
Regimen in acute diseases,Hippocrates,-465,,Health,Health,1,fact,Prohibition of purging in thin urine,the patient,,Protection from aggressive purgative medicine,,MORE,"[§26] but when the urine at first is thin, do not purge such patients, but, if thought necessary, give a clyster; such patients should be thus treated; they should be kept in a quiet state, have unguents applied to them, and be covered up properly with clothes.",Prohibition of purging in thin urine,gemini_v19_batch2,,,,tlg0627.tlg004.perseus-eng2#21,tlg0627.tlg004.perseus-eng2,,"The rule provides protection for a specific class of patients (those with thin urine) from the harm of internal purgative medicines, mandating gentler treatments instead.",5,"The group 'the patient' is a broad societal category, and the rule describes contemporary medical protection.",9.0,3,5,Protection from aggressive purgative medicine directly impacts bodily integrity and health.,2,Protection from aggressive purgative medicine is a narrowly scoped medical protection.,2,Being 'the patient' is a temporary role during illness.
On the Estate of Pyrrhos,Isaeus,-384,,Lineage,Lineage,1,fact,Daughter's right to paternal inheritance,Legitimate daughters,,Right to inherit property directly,,MORE,"[§4] [3] When our mother, the sister of Pyrrhus, claimed the estate, the legal representative of the woman who was suing for the estate had the audacity to put in a protestation that the estate was not adjudicable to our mother, because Pyrrhus, to whom it originally belonged, had a legitimate daughter.",Daughter's right to paternal inheritance,gemini_v19_batch2,,,,tlg0017.tlg003.perseus-eng2#2,tlg0017.tlg003.perseus-eng2,,The legal protestation (diamartyria) relies on the rule that the existence of a legitimate daughter excludes other relatives (like a sister) from the inheritance.,4,Broad societal group defined by status; the author discusses a contemporary inheritance dispute.,10.0,4,5,Right to inherit property directly is a tangible wealth entitlement.,5,The right to inherit property is a foundational societal good related to wealth.,5,"Daughter is a lineage/family membership, a birth-fixed trait."
On the Estate of Pyrrhos,Isaeus,-384,,Lineage,Lineage,1,fact,Next-of-kin power over married daughters,Women,,Protection from marital separation by kin,,LESS,"[§65] The law ordains that daughters who have been given in marriage by their father and are living with their husbands ... shall, if their father dies without leaving them legitimate brothers, pass into the legal power of their next-of-kin; and indeed it has frequently happened that husbands have been thus deprived of their own wives.",Next-of-kin power over married daughters,gemini_v19_batch2,,,,tlg0017.tlg003.perseus-eng2#13,tlg0017.tlg003.perseus-eng2,,"Under the epikleros law, if a man dies without sons, his daughter (even if already married) falls under the authority of his nearest male relative, who has the right to marry her and take the estate, potentially dissolving her existing marriage.",5,Canonical societal group; the author describes a contemporary legal rule impacting married women.,10.0,4,4,Protection from marital separation by kin affects a concrete legal right (marriage).,3,Protection from marital separation by kin is a specific but recurring legal protection.,5,Women is a sex-defined group; membership is biologically fixed.
On the Estate of Pyrrhos,Isaeus,-384,,Lineage,Lineage,1,fact,Mandatory adjudication for adopted sons,Male heirs,,Right to immediate possession of estate,,LESS,"[§61] ...when testators adopt children by will, such children must obtain an adjudication of what is bequeathed to them. ... [§62] In order, therefore, that suits for such estates may not be brought by any chance claimant ... adopted sons apply to the court for an adjudication.",Mandatory adjudication for adopted sons,gemini_v19_batch2,,,,tlg0017.tlg003.perseus-eng2#12,tlg0017.tlg003.perseus-eng2,,Adopted sons are distinguished from biological sons by the legal requirement to have their inheritance validated by a court to prevent challenges from blood relatives.,4,Broad societal group defined by status; the author describes a contemporary legal requirement.,9.0,4,5,Right to immediate possession of estate is a tangible wealth entitlement.,5,The right to immediate possession of an estate is a foundational societal good.,3,"Adopted son status is changeable with effort, but a durable social identity."
On the Estate of Philoctemones,Isaeus,-384,,Lineage,Lineage,1,fact,Bastard exclusion from family property,Bastards (male or female),,Right to inherit family property,,LESS,"[§48] Thus the contrary has been done of that which the law has prescribed; for according to the law no male or female bastard has any right, based on kinship, to participate in the cults or property of a family since the archonship of Eucleides.",Bastard exclusion from family property,gemini_v19_batch2,,,,tlg0017.tlg006.perseus-eng2#7,tlg0017.tlg006.perseus-eng2,,The text explicitly cites a law from the archonship of Eucleides that bars children born out of wedlock from inheriting family property or participating in religious cults.,4,"The group is a broad societal category, and the rule describes a contemporary legal exclusion.",10.0,4,4,The right to inherit family property is a concrete legal right with direct material effect.,5,Right to inherit family property is a foundational aspect of wealth and legal standing.,4,"Bastardy is a legal birth-status, very hard to change."
Against Agoratus,Lysias,-409,,Lineage,Lineage,1,fact,Adoptive son maintenance obligations,Adopted sons,,Right to retain adoptive father's assets,,LESS,"[§91] he who robbed his adoptive father of the means that he possessed is certainly, on this one score, as provided by the law of such maltreatment, deserving of the penalty of death.",Adoptive son maintenance obligations,gemini_v19_batch2,,,,tlg0540.tlg013.perseus-eng2#11,tlg0540.tlg013.perseus-eng2,,"The author references a specific law regarding the 'maltreatment' of parents (including adoptive ones), indicating that an adopted individual loses the right to their life/freedom if they deplete the resources of the father who took them in.",3,Borderline specific group; the rule describes a contemporary Athenian legal obligation for adopted sons.,8.0,4,5,Right to retain assets and protection from a death penalty directly impacts wealth and bodily entitlement.,3,Retaining adoptive father's assets is a specific but broadly applicable legal protection.,4,"Adopted son status is a legal birth-status, very hard to change."
Nicomachean Ethics,Aristotle,-348,,Nobility,Nobility,1,fact,Aristocratic lineage criterion,Nobility,,Right to distributive shares,,MORE,"All are agreed that justice in distributions must be based on desert of some sort... those of oligarchical sympathies wealth, or in other cases birth.",Aristocratic lineage criterion,gemini_v19_batch2,,,,tlg0086.tlg010.perseus-eng2#110,tlg0086.tlg010.perseus-eng2,,"Aristotle notes that in certain regimes, 'birth' (lineage/nobility) is the standard for distributing honors and wealth.",4,"Broad, still usable group; Aristotle describes contemporary political criteria for nobility.",9.0,3,5,Distributive shares imply access to tangible goods or wealth.,5,Right to distributive shares (wealth/property) is a foundational societal good.,4,"Nobility is a hereditary birth-status, very hard to change."
Nicomachean Ethics,Aristotle,-348,,Nobility,Nobility,1,opinion,Inferior group moral degradation,People of inferior status,,Protection from moral degradation,,LESS,"[§1223] Thus the friendship of inferior people is evil, for they take part together in inferior pursuits [being unstable,] and by becoming like each other are made positively evil.",Inferior group moral degradation,gemini_v19_batch2,,,,tlg0086.tlg010.perseus-eng2#272,tlg0086.tlg010.perseus-eng2,,"The text identifies a specific class ('inferior people') and notes that their social interactions result in the loss of moral standing ('made positively evil'), implying they lack the resource of safe or elevating social partnership available to higher classes.",4,Broad societal group defined by status; the author describes a contemporary social dynamic.,7.0,3,1,"Protection from moral degradation is an abstract, internal trait.",4,Protection from moral degradation is a broad category of personal well-being.,3,"Inferior status, while not strictly immutable, is a durable social identity."
Nicomachean Ethics,Aristotle,-348,,Nobility,Nobility,1,fact,Deference to high position,Men of high position,,Social deference,,MORE,"[§594] And he will comport himself differently with men of high position and with ordinary people, with persons more and less well known to him, and similarly as regards other distinctions, assigning to each class the proper degree of deference...",Deference to high position,gemini_v19_batch2,,,,tlg0086.tlg010.perseus-eng2#98,tlg0086.tlg010.perseus-eng2,,The text explicitly states that social rules require assigning different degrees of deference based on whether a person is of high position or an ordinary person.,4,"Broad, still usable group; Aristotle describes contemporary social deference based on status.",10.0,3,2,Social deference is a status-based resource with weak material payoff.,3,Social deference is a specific but broadly applicable social protection.,3,"High position is a social status, changeable with effort but durable."
Politics,Aristotle,-348,,Nobility,Nobility,1,fact,Royal selection by lineage,Noble families,,Eligibility for kingship,,MORE,"[§127] royalty has come into existence for the assistance of the distinguished against the people, and a king is appointed from those distinguished by superiority in virtue or the actions that spring from virtue, or by superiority in coming from a family of that character",Royal selection by lineage,gemini_v19_batch2,,,,tlg0086.tlg035.perseus-eng2#216,tlg0086.tlg035.perseus-eng2,,"Aristotle describes the criteria for royal appointment, noting that high lineage (family character) grants access to the resource of kingship.",4,The group 'Noble families' is broad; Aristotle describes contemporary criteria for kingship.,9.0,3,3,Eligibility for kingship is access to a social role with significant tangible outcomes.,5,Eligibility for kingship is a high-level societal good (political power).,5,"Noble families are defined by lineage, a birth-fixed trait."
Politics,Aristotle,-348,,Nobility,Nobility,1,fact,Magistracy access via election,Eupatridae,,Eligibility for the archonship,,LESS,"[§116] And revolutions also take place from the ancestral form of democracy to one of the most modern kind; for where the magistracies are elective, but not on property-assessments, and the people elect, men ambitious of office by acting as popular leaders bring things to the point of the people’s being sovereign even over the laws.",Magistracy access via election,gemini_v19_batch2,,,,tlg0086.tlg035.perseus-eng2#201,tlg0086.tlg035.perseus-eng2,,"Aristotle observes that when property qualifications are removed and elections become purely popular, the traditional elite (notables/Eupatridae) lose their exclusive or protected access to high office.",3,Eupatridae is a specific historical group; the author describes contemporary political systems.,9.0,3,4,Eligibility for the magistracy is a concrete legal right with direct material effects on power and status.,4,Eligibility for the archonship is a broad category of political participation.,4,"Eupatridae refers to noble birth, a legal/structural birth-status."
On the False Embassy,Demosthenes,-348,,Occupation,Occupation,1,fact,Low-status occupation leadership restriction,Minor clerks and artisans,,Eligibility for military and diplomatic commands,,LESS,"[§232] [237] ...although you, Philochares, were a painter of alabaster boxes and tambourines, and your brothers ordinary people, junior clerks and the like,—respectable occupations, but hardly suitable for commanding officers,—we, I say, dignified you with embassies, commands as generals, and other high distinctions.",Low-status occupation leadership restriction,gemini_v19_batch2,,,,tlg0014.tlg019.perseus-eng2#37,tlg0014.tlg019.perseus-eng2,,"The text highlights a social norm where individuals from 'ordinary' or manual occupations were generally considered unsuitable for high-ranking military or diplomatic roles, though the assembly could override this.",3,The group is a specific profession; the author describes a contemporary social norm regarding suitability for office.,9.0,4,3,Eligibility for military and diplomatic commands is access to a social role with tangible outcomes.,3,Eligibility for military and diplomatic commands is specific but broadly applicable to civic roles.,3,"Occupation is acquired through training, changeable with effort but a durable social identity."
On the False Embassy,Demosthenes,-348,,Occupation,Occupation,1,opinion,Speaker's dependence on audience attention,Public speakers,,Ability to exercise oratorical influence,,LESS,"[§335] [340] Now other forms of ability are almost wholly independent of conditions; but the ability of the speaker is paralyzed by the recalcitrance of his audience. Listen to him, then, as to a knave and a bribe-taker, who will have no truthful word to utter.",Speaker's dependence on audience attention,gemini_v19_batch2,,,,tlg0014.tlg019.perseus-eng2#60,tlg0014.tlg019.perseus-eng2,,"While presented as an observation, it describes a normative convention in Athenian courts where the audience/jury has the power to effectively 'paralyze' or strip a speaker of their primary resource (persuasion) by refusing to listen.",3,Specific professional role; the author makes a contemporary observation about rhetoric.,7.0,4,3,Oratorical influence is a social role with tangible outcomes in legal proceedings.,3,Oratorical influence is a specific but recurring social and political resource.,3,"Public speaker is an occupation/profession acquired through training, a durable social identity."
On the False Embassy,Demosthenes,-348,,Occupation,Occupation,1,fact,Magistrate accountability audit (dokimasia),Wealthy citizens,,Exemption from perpetual responsibility,,LESS,"[§2] Now I observe that men who enter public life with honest intentions, even after they have submitted to scrutiny, do still acknowledge a perpetual responsibility.",Magistrate accountability audit (dokimasia),gemini_v19_batch2,,,,tlg0014.tlg019.perseus-eng2#1,tlg0014.tlg019.perseus-eng2,,The 'scrutiny' (dokimasia) and subsequent responsibility mention a legal standard in Athens where those entering and exiting public office remain liable to the people for their actions during their term.,4,The group is broad (wealthy citizens in public life); the author describes a contemporary legal standard for officials.,9.0,4,4,Exemption from perpetual responsibility is a concrete legal right with direct material effect.,3,Exemption from perpetual responsibility is a specific but broadly applicable legal protection.,3,"Entering public life/magistracy is an occupation/role, changeable with effort."
On the False Embassy,Demosthenes,-348,,Occupation,Occupation,1,fact,Ambassadorial right to vote of thanks,ambassadors,,Official vote of thanks,,MORE,"[§31] [...] and also that the Council, not being debarred from hearing the truth from me, did not give these men either a vote of thanks, or an invitation to the public dinner in the Town Hall. We are told that these compliments had never before been withheld from any ambassadors since the foundation of Athens—not even from Timagoras, whom the Assembly condemned to death.",Ambassadorial right to vote of thanks,gemini_v19_batch2,,,,tlg0014.tlg019.perseus-eng2#6,tlg0014.tlg019.perseus-eng2,,"Demosthenes explicitly mentions that a vote of thanks is a standard 'compliment' granted to ambassadors by the Council, citing it as an established practice since the city's foundation.",3,Specific professional group; the rule describes a long-standing custom in the author's time.,10.0,4,2,An official vote of thanks is a ceremonial honor with weak material payoff.,2,"An official vote of thanks is a specific, narrowly scoped honor.",3,"Ambassador is an occupation/role, changeable with effort and appointment."
On the False Embassy,Demosthenes,-348,,Occupation,Occupation,1,fact,Clerk access to high office,Clerks,,Political consideration,,LESS,"[§309] Before he did all that mischief to the commonwealth, he used to admit that he had been a clerk; he was grateful to you for his appointments; his demeanor was quite modest. | [§309] If a man speaks of Aeschines, the man who was once a clerk, he makes a private quarrel of it, and talks of defamation of character.",Clerk access to high office,gemini_v19_batch2,,,,tlg0014.tlg019.perseus-eng2#52,tlg0014.tlg019.perseus-eng2,,"The text implies that being identified as a clerk is considered a lower social status (humble/modest) compared to high political roles, and being reminded of it is seen as a social slight or defamation.",3,The group 'clerks' is a specific profession; the author describes a contemporary social perception of status.,8.0,4,1,"Political consideration is primarily symbolic and abstract, with weak material payoff.",3,Political consideration is specific but broadly applicable to civic participation.,3,"Clerk is an occupation acquired through training, changeable with effort."
The Shepherd of Hermas,Hermas,150,,Religion,Religion,1,fact,Crowning of martyrs and confessors,Martyrs for the law,,Right to be crowned,,MORE,"[§528] Who then, Sir, said I, are they who were crowned and went into the tower? All those, said he, who wrestled with the devil and conquered him, have been crowned. These are they who suffered for the law.",Crowning of martyrs and confessors,gemini_v19_batch2,,,,tlg1419.tlg001.perseus-eng1#100,tlg1419.tlg001.perseus-eng1,,"The text establishes a specific reward—the crown of palm leaves—for those who physically suffered for their religious adherence, distinguishing them from other believers.",4,The group 'Martyrs for the law' is broad; the author describes a contemporary religious reward.,10.0,3,2,"Being crowned is a ceremonial honour with symbolic value, weak material payoff.",2,Right to be crowned is a specific civic/religious award.,1,"Defined by actions (wrestling with devil, suffering for law) which are choices."
The Shepherd of Hermas,Hermas,150,,Religion,Religion,1,fact,Right to repent for non-blasphemous sinners,Non-blasphemous sinners,,Right to repent,,MORE,"[§495] [4] But the sheep which you see not skipping, but feeding in one place, these are they who have given themselves up to luxury and deceit, but have uttered no blasphemy against the Lord. These then have been corrupted from the truth; in them there is hope of repentance, in which they can live.",Right to repent for non-blasphemous sinners,gemini_v19_batch2,,,,tlg1419.tlg001.perseus-eng1#95,tlg1419.tlg001.perseus-eng1,,"The passage differentiates between two types of religious offenders, granting the 'resource' of hope for repentance specifically to those who did not commit blasphemy.",4,The group 'Non-blasphemous sinners' is broad; the author describes a contemporary religious distinction.,9.0,3,1,The right to repent is a spiritual and abstract resource.,3,Right to repent is specific but broadly applicable in a religious context.,1,Defined by an action (not blaspheming) and a choice (repentance).
The Shepherd of Hermas,Hermas,150,,Religion,Religion,1,fact,Exclusion from repentance for blasphemy,Blasphemers,,Right to repent,,LESS,"[§494] [3] Listen, he said, the sheep which you see joyful and skipping, these are those which have been torn away from God completely, and have given themselves up to the lusts of this world. For these, then, there is no repentance of life, because they added to their sins and blasphemed against the name of God. Such men incur death.",Exclusion from repentance for blasphemy,gemini_v19_batch2,,,,tlg1419.tlg001.perseus-eng1#94,tlg1419.tlg001.perseus-eng1,,"The text establishes a specific religious rule where a subgroup of sinners (those who blaspheme) are permanently excluded from the possibility of repentance, leading to 'death' rather than the 'corruption' which allows for renewal.",4,The group 'Blasphemers' is broad; the author describes a contemporary religious consequence.,10.0,3,1,The right to repent is a spiritual and abstract resource.,3,Right to repent is specific but broadly applicable in a religious context.,1,Defined by an action (blasphemy) which is a choice.
The Shepherd of Hermas,Hermas,150,,Religion,Religion,1,fact,Protection of the Divine Name,Hypocritical penitents,,Right to repent,,LESS,"[§528] But in whom he saw guile and wickedness, that they would repent with hypocrisy, to them he gave no repentance, lest they should again defile his name.",Protection of the Divine Name,gemini_v19_batch2,,,,tlg1419.tlg001.perseus-eng1#104,tlg1419.tlg001.perseus-eng1,,"Repentance is a resource provided by the shepherd/angel, but it is explicitly withheld from those judged to be hypocritical to prevent and protect against further religious defilement.",4,The group 'Hypocritical penitents' is broad; the author describes a contemporary religious judgment.,9.0,3,1,The right to repent is a spiritual and abstract resource.,3,Right to repent is specific but broadly applicable in a religious context.,1,"Defined by an internal state (guile, wickedness) and an action (hypocritical repentance)."
Epistle of Ignatius to the Trallians,Ignatius of Antioch,70,,Religion,Religion,1,fact,Exclusion of heretics from fellowship,Unbelievers,,Right to social and communal reception,,LESS,"[§250] But I guard you in advance against beasts in the form of men, whom you must not only not receive, but if it is possible not even meet, but only pray for them, if perchance they may repent, difficult though that be,—but Jesus Christ who is our true life has the power over this.",Exclusion of heretics from fellowship,gemini_v19_batch2,,,,tlg1443.tlg001.perseus-eng1#40,tlg1443.tlg001.perseus-eng1,,"The author establishes a communal rule regarding individuals held to have 'strange opinions' or who 'deny' the nature of Christ, explicitly commanding the congregation to deny them reception or even social meetings.",5,Canonical societal group defined by belief; describes a contemporary social norm.,9.0,3,3,Right to social and communal reception affects access to community and its tangible benefits.,3,Right to social and communal reception is a specific but broadly applicable protection.,3,"Unbelievers/heretics are defined by their religious beliefs, which can change with effort."
Against Timarchus,Aeschines,-354,,Wealth / Properties,Wealth / Properties,1,fact,Liturgy and public service obligation,Wealthy citizens,,Exemption from public financial burdens,,LESS,"[§56] This Hegesandrus... had at that time sailed to the Hellespont as treasurer to the general Timomachus... and he returned, having made the most... of the simple-mindedness of the general, for he had in his possession no less than eighty minas of silver.",Liturgy and public service obligation,gemini_v19_batch2,,,,tlg0026.tlg001.perseus-eng2#17,tlg0026.tlg001.perseus-eng2,,"While the passage describes a specific instance of corruption, it refers to the established office of 'treasurer to the general,' a role assigned to citizens of sufficient means to manage state/military finances.",4,The group 'wealthy citizens' is broad and societal; the rule describes a contemporary public service obligation.,7.0,4,3,Exemption from public financial burdens is access to a social role with tangible outcomes.,4,Exemption from public financial burdens is a broad category of economic right.,3,"Wealth is changeable with effort, and citizenship is a durable status."
Against Timarchus,Aeschines,-354,,Wealth / Properties,Wealth / Properties,1,fact,Patrimony squandering restriction,Wealthy citizens,,Right to address the assembly,,LESS,"[§30] Or the man, he says, who has squandered his patrimony or other inheritance. For he believed that the man who has mismanaged his own household will handle the affairs of the city in like manner.",Patrimony squandering restriction,gemini_v19_batch2,,,,tlg0026.tlg001.perseus-eng2#11,tlg0026.tlg001.perseus-eng2,,The lawgiver excludes citizens who have wasted their inherited wealth from the public speaker's platform.,4,The group 'wealthy citizens' is broad and societal; the rule describes a contemporary restriction based on financial management.,10.0,4,3,Right to address the assembly is access to a social practice with tangible outcomes.,5,The right to address the assembly is a fundamental aspect of political voice.,4,"Citizenship is a legal status, but the exclusion is based on behavior (squandering patrimony)."
Politics,Aristotle,-348,,Wealth / Properties,Wealth / Properties,1,fact,High property qualification for office,The rich,,Eligibility for the archonship,,MORE,"[§80] Of the kinds of oligarchy, one is for the magistracies to be appointed from property-assessments so high that the poor who are the majority have no share in the government, but for the man who acquires the requisite amount of property to be allowed to take part in it.",High property qualification for office,gemini_v19_batch2,,,,tlg0086.tlg035.perseus-eng2#132,tlg0086.tlg035.perseus-eng2,,"Aristotle describes a specific form of oligarchy where access to political power and magistracies is strictly tied to reaching a high wealth threshold, effectively excluding the poor.",5,Canonical societal group; Aristotle describes contemporary political structures.,10.0,3,3,Access to archonship is a social role with tangible outcomes in governance.,5,"Eligibility for archonship is a high-level political power, a foundational societal axis.",3,"Wealth can be acquired or lost, making 'rich' a changeable status, though with effort."
Epistle of Barnabas,Barnabas,36,,Wealth / Properties,Wealth / Properties,1,fact,Wealthy obligation to the poor,Wealthy citizens,,Right to retain exclusive property,,LESS,"[§198] Thou shalt share all things with thy neighbour and shall not say that they are thy own property; for if you are sharers in that which is incorruptible, how much more in that which is corruptible?",Wealthy obligation to the poor,gemini_v19_batch2,,,,tlg1216.tlg001.perseus-eng1#27,tlg1216.tlg001.perseus-eng1,,The passage establishes a rule of communal sharing that reduces the wealthy's right to exclusive ownership of material resources.,4,Broad societal group; the author describes a contemporary ethical obligation.,9.0,3,5,The right to retain exclusive property is a tangible wealth entitlement.,5,Right to retain exclusive property is a foundational societal good.,3,Wealth bracket is changeable with effort but a durable social identity.
Epistle of Barnabas,Barnabas,36,,Wealth / Properties,Wealth / Properties,1,fact,Advocacy for the rich,The poor,,Right to impartial justice,,LESS,"[§203] ...advocates of the rich, unjust judges of the poor, altogether sinful.",Advocacy for the rich,gemini_v19_batch2,,,,tlg1216.tlg001.perseus-eng1#28,tlg1216.tlg001.perseus-eng1,,"The author identifies the lack of impartial justice for the poor ('unjust judges') as a hallmark of the 'Way of the Black One', implying a societal rule or common practice that favors the wealthy.",5,Canonical societal group; the author describes a contemporary social injustice.,8.0,3,4,Right to impartial justice is a concrete legal right with direct material effect.,5,Right to impartial justice is a foundational legal standing.,3,"Poverty is a wealth bracket, changeable with effort but a durable social identity."
