work_name,author,impact_year,polity,criterion_category,criterion_label,in_group,out_group,resource,speaker,verbatim,file_path,extraction_method,matched_keywords,extraction_cost_usd,prompt_tokens,completion_tokens,in_group_std,out_group_std,resource_std
On the Causes and Symptoms of Acute Diseases,Aretaeus of Cappadocia,135,Roman Empire;(Roman Empire),GENDER,Men not subject to suffocation from the womb,Men,Women,Freedom from uterine suffocation,author,"I believe, indeed, that lust is engendered in women of a humid temperament, so as to induce a copious discharge of the superfluous humours; but I do not at all believe that they are affected with Satyriasis, for their nature, being cold, is not adapted to it. But neither, also, has woman the parts necessary for erection, like those of a Satyr, whence the affection derives its name; and neither also are men subject to suffocation from the womb, because men have not an uterus.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0719/tlg001/tlg0719.tlg001.perseus-eng2.txt,"HYBRID_EXTRACTED (24 passages, 8 pages from original 32 pages)","deprive, deprived, heir, mature, men, naturalized, old, woman, women",0.181665,7906,841,Men,Women,EXCLUDE_MEDICAL
Eudemian Ethics,Aristotle,-348,Thebans,FREEDOM_STATUS,Slaves excluded from partnership relationships with masters,Free persons/Masters,Slaves,Right to form equal partnerships and share in goods,author,"But since the relations of soul and body, craftsman and tool, and master and slave are similar, between the two terms of each of these pairs there is no partnership; for they are not two, but the former is one and the latter a part of that one, not one itself; nor is the good divisible between them, but that of both belongs to the one for whose sake they exist. For the body is the soul's tool born with it, a slave is as it were a member or tool of his master, a tool is a sort of inanimate slave.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0086/tlg009/tlg0086.tlg009.perseus-eng2.txt,"HYBRID_EXTRACTED (28 passages, 8 pages from original 97 pages)","born, boy, craftsman, farmer, master, masters, slave, slavery, slaves",0.157905,7817,542,Free persons,Slaves,Property/Wealth
Eudemian Ethics,Aristotle,-348,Thebans,CITIZENSHIP,Citizens have civic friendship rights that non-citizens lack,Citizens,Non-citizens,Right to civic partnerships and mutual utility relationships,author,"Civic friendship is, it is true, based on utility, and fellow-citizens are one another's friends in the same way as different cities are, and 'Athens no longer knoweth Megara,' nor similarly do citizens know one another, when they are not useful to one another; their friendship is a ready-money transaction.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0086/tlg009/tlg0086.tlg009.perseus-eng2.txt,"HYBRID_EXTRACTED (28 passages, 8 pages from original 97 pages)","athenians, citizen, citizens, citizenship, heir, shame",0.157905,7817,542,Citizens,Non-citizens/Foreigners,Legal standing
Eudemian Ethics,Aristotle,-348,Thebans,MORAL_CONDUCT,Good men exempt from legal actions in voluntary contracts,Good men/Those of good moral conduct,Those not considered good men,Legal immunity in voluntary contract disputes,author,"Hence in some places there is a law prohibiting friendly associates of this sort from actions as to their voluntary contracts—rightly, since it is not natural for good men to go to law, and these men make their contracts as good men and as dealing with trustworthy people.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0086/tlg009/tlg0086.tlg009.perseus-eng2.txt,"HYBRID_EXTRACTED (28 passages, 8 pages from original 97 pages)","heir, law, laws, men, naturalized, prohibit, prohibited, right, rights",0.157905,7817,542,Men,Morally condemned,Legal standing
On the Mysteries,Andocides,-500,Greek City-States,FREEDOM_STATUS,Slaves cannot testify about religious mysteries without immunity,Free persons,Slaves,Right to testify in legal proceedings without special permission,author,"Grant immunity to him whom I indicate, and a non-initiate, a slave belonging to someone here present, shall describe the Mysteries to you. You can punish me as you will, if that is not the truth.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0027/tlg001/tlg0027.tlg001.perseus-eng2.txt,"HYBRID_EXTRACTED (20 passages, 8 pages from original 43 pages)","resident, scribe, slave, slavery, slaves",0.19395,7920,1002,Free persons,Slaves,Legal standing
On the Mysteries,Andocides,-500,Greek City-States,MORAL_CONDUCT,Those convicted of certain crimes lose personal rights,Citizens of good conduct,"Those convicted of theft, bribery, cowardice, desertion, or maltreating parents",Personal civic rights while retaining property,author,"According to a second, delinquents lost all personal rights, but retained possession of their property. This class included all persons convicted of theft or of accepting bribes—it was laid down that both they and their descendants should lose their personal rights. Similarly, all who deserted on the field of battle, who were found guilty of evasion of military service, of cowardice, or of withholding a ship from action, all who threw away their shields, or were thrice convicted of giving perjured evidence or of falsely endorsing a summons, or who were found guilty of maltreating their parents, were deprived of their personal rights, while retaining possession of their property.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0027/tlg001/tlg0027.tlg001.perseus-eng2.txt,"HYBRID_EXTRACTED (20 passages, 8 pages from original 43 pages)","coward, cowardice, deprive, deprived, deserter, desertion, heir, military, possess, possession, poverty, profession, property, right, rights, servile",0.19395,7920,1002,Citizens,Morally condemned,Citizenship
On the Mysteries,Andocides,-500,Greek City-States,MORAL_CONDUCT,Prostitutes cannot defend themselves in court,Citizens of good conduct,Those who have engaged in prostitution,Right to legal defense in court,author,"You actually hold others up to censure— you, who had not the decency to confine your own intrigues to but a single admirer, but welcomed the entire world for next to nothing, as the court knows, and supported yourself by vice, your villainous appearance notwithstanding. But yet, although your laws deny him even the right of defending himself, the fellow has the impudence to accuse others.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0027/tlg001/tlg0027.tlg001.perseus-eng2.txt,"HYBRID_EXTRACTED (20 passages, 8 pages from original 43 pages)","court, denied, deny, law, laws, mother, old, right, rights, vice",0.19395,7920,1002,Citizens,Morally condemned,Legal standing
On the Mysteries,Andocides,-500,Greek City-States,BIRTH_LINEAGE,Only legitimate sons can be registered in phratries,Legitimate children,Illegitimate children,Registration in phratry and citizenship rights,author,"At that, the woman's relatives came to the altar at the Apaturia with the child and a victim for sacrifice, and told Callias to begin the rites. He asked whose child it was. The child of Callias, son of Hipponicus, they replied. But I am he. Yes, and the child is yours. Calliades opposed his admission; but the Ceryces voted in favour of the law which they have, whereby a father can introduce his son, if he swears that it is his own son whom he is introducing.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0027/tlg001/tlg0027.tlg001.perseus-eng2.txt,"HYBRID_EXTRACTED (20 passages, 8 pages from original 43 pages)","child, father, law, laws, manumission, old, son, vote, voting, woman, women",0.19395,7920,1002,Legitimate offspring,Illegitimate offspring,Citizenship
On the Mysteries,Andocides,-500,Greek City-States,GENDER,Female relatives inherit only when no male heirs exist,Male relatives,Female relatives,Inheritance rights,author,"Epilycus, son of Teisander, was my uncle, my mother's brother. He died in Sicily without male issue, but left two daughters who ought now to have passed to Leagrus and myself. If a citizen died intestate, leaving daughters, but no sons, the daughters became heiresses and shared the estate between them. They were then obliged by law to marry their nearest male relatives, but not in the ascending line.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0027/tlg001/tlg0027.tlg001.perseus-eng2.txt,"HYBRID_EXTRACTED (20 passages, 8 pages from original 43 pages)","citizen, citizens, daughter, denied, estate, female, heir, law, laws, male, mother, son",0.19395,7920,1002,Men,Women,Inheritance
Economics,Aristotle,-348,Thebans,GENDER,"Men control public affairs, women excluded from decision-making",Men,Women,Decision-making power in public affairs,author,"It is for the man to take care of business outside the house; let no woman make decrees in those matters. In handicrafts again, woman was given a sedentary patience, though denied stamina for endurance of exposure; while man, though inferior to her in quiet employments, is endowed with vigor for every active occupation.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0086/tlg029/tlg0086.tlg029.perseus-eng2.txt,"HYBRID_EXTRACTED (21 passages, 8 pages from original 24 pages)","decree, denied, deny, man, masters, native, woman, women",0.162255,7757,612,Men,Women,Political participation
Economics,Aristotle,-348,Thebans,FREEDOM_STATUS,"Free persons have rights and autonomy, slaves are property",Free persons,Slaves,Personal freedom and legal autonomy,author,"Of property, the first and most indispensable kind is that which is also best and most amenable to Housecraft; and this is the human chattel. Our first step therefore must be to procure good slaves. Of slaves there are two kinds; those in positions of trust, and the laborers.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0086/tlg029/tlg0086.tlg029.perseus-eng2.txt,"HYBRID_EXTRACTED (21 passages, 8 pages from original 24 pages)","labor, laborer, poverty, property, slave, slaves",0.162255,7757,612,Free persons,Slaves,Freedom
Economics,Aristotle,-348,Thebans,CITIZENSHIP,Citizenship restricted to those with citizen parents,Those with two citizen parents,Those without two citizen parents,Citizenship rights,author,"And whereas previously the rights of citizenship were by law confined to those whose parents were both citizens, lack of funds, induced them to offer citizenship to him who had one citizen parent on payment of the sum of thirty minae.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0086/tlg029/tlg0086.tlg029.perseus-eng2.txt,"HYBRID_EXTRACTED (21 passages, 8 pages from original 24 pages)","citizen, citizens, citizenship, law, laws, parentage, right, rights",0.162255,7757,612,Citizens,Non-citizens/Foreigners,Citizenship
Economics,Aristotle,-348,Thebans,CITIZENSHIP,Non-citizens cannot hold property secured by citizens,Citizens,Aliens/Non-citizens,Property ownership rights,author,"It happened that certain aliens residing in the city had lent money on the security of citizens' property. As these aliens did not possess the right of holding such property, the people offered to recognize the title of anyone who chose to pay into the treasury one third of the amount secured.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0086/tlg029/tlg0086.tlg029.perseus-eng2.txt,"HYBRID_EXTRACTED (21 passages, 8 pages from original 24 pages)","alien, aliens, citizen, citizens, citizenship, possess, possession, poverty, property, resident, right, rights",0.162255,7757,612,Citizens,Non-citizens/Foreigners,Property/Wealth
Epinicians,Bacchylides,-480,Greek City-States,GENDER,Men have exclusive authority in public affairs while women are excluded,Men,Women,Decision-making power in public affairs,narrator,It is for the man to take care of business outside the house; let no woman make decrees in those matters,/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0199/tlg001/tlg0199.tlg001.perseus-eng2.txt,"HYBRID_EXTRACTED (14 passages, 8 pages from original 16 pages)","decree, man, masters, woman, women",0.139305,8017,254,Men,Women,Political participation
Epinicians,Bacchylides,-480,Greek City-States,PROPERTY_WEALTH,Wealthy citizens bear public liturgies while less wealthy are exempt,Wealthy citizens,Less wealthy citizens,Obligation to perform public duties (liturgies),narrator,Public duties imposed on wealthier citizens (χορηγία / λητουργίαι),/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0199/tlg001/tlg0199.tlg001.perseus-eng2.txt,"HYBRID_EXTRACTED (14 passages, 8 pages from original 16 pages)","citizen, citizens, citizenship, wealth",0.139305,8017,254,Property owners,Poor/Non-property owners,Civic obligations
The Epistle of Barnabas,Barnabas,36,Roman Empire;(Roman Empire),FREEDOM_STATUS,Masters have authority over slaves/servants,Masters,Slaves and handmaids,Authority and command over subordinates,author,"Thou shalt obey thy masters as a type of God in modesty and fear; thou shalt not command in bitterness thy slave or handmaid who hope on the same God, lest they cease to fear the God who is over you both; for he came not to call men with respect of persons, but those whom the Spirit prepared.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg1216/tlg001/tlg1216.tlg001.perseus-eng1.txt,"HYBRID_EXTRACTED (21 passages, 8 pages from original 20 pages)","govern, master, masters, men, shame, slave, slavery, slaves",0.15285,7990,440,Free persons,Slaves,Political participation
The Epistle of Barnabas,Barnabas,36,Roman Empire;(Roman Empire),PROPERTY_WEALTH,The rich receive advocacy while the poor face unjust judgment,The rich,The poor,Fair legal advocacy and just judgment,author,"persecutors of the good, haters of the truth, lovers of lies, knowing not the reward of righteousness, who cleave not to the good, nor to righteous judgment, who attend not to the cause of the widow and orphan, spending wakeful nights not in the fear of God, but in the pursuit of vice, from whom meekness and patience are far and distant, loving vanity, seeking rewards, without pity for the poor, working not for him who is oppressed with toil, prone to evil speaking, without knowledge of their Maker, murderers of children, corrupters of God's creation, turning away the needy, oppressing the afflicted, advocates of the rich, unjust judges of the poor, altogether sinful.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg1216/tlg001/tlg1216.tlg001.perseus-eng1.txt,"HYBRID_EXTRACTED (21 passages, 8 pages from original 20 pages)","aliens, children, corrupt, corruption, heir, judge, judgment, poor, rich, rights, vice, work",0.15285,7990,440,Property owners,Poor/Non-property owners,Legal standing
The Deipnosophists,Athenaeus,205,Roman Empire;(Roman Empire),FREEDOM_STATUS,Free women perform household labor vs slaves,Free women,Slaves,Freedom from household labor duties,author,"Nor home-born slaves; but the free women themselves Did work at everything within the house. And so at morn they ground the corn for bread, Till all the streets resounded with the mills.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0008/tlg001/tlg0008.tlg001.perseus-eng2.txt,"HYBRID_EXTRACTED (29 passages, 9 pages from original 1370 pages)","born, free, freed, slave, slaves, woman, women, work",0.172425,7715,756,Free persons,Slaves,Political participation
The Deipnosophists,Athenaeus,205,Roman Empire;(Roman Empire),FREEDOM_STATUS,Masters control slaves' movements and can punish desertion,Free persons/Masters,Slaves,Freedom of movement,author,"And as to all the slaves who desert from you, I will inquire what cause of complaint they have; and if they seem to me to have been really subject to any incurable oppression, which has been the reason of their running away, I will retain them with me; but if they have no sufficient or reasonable ground to allege, I will send them back to their masters.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0008/tlg001/tlg0008.tlg001.perseus-eng2.txt,"HYBRID_EXTRACTED (29 passages, 9 pages from original 1370 pages)","deserter, desertion, heir, master, masters, profession, slave, slaves",0.172425,7715,756,Free persons,Slaves,Freedom
The Deipnosophists,Athenaeus,205,Roman Empire;(Roman Empire),GENDER,Women restricted from walking abroad after sunset,Men,Women,Freedom of movement,author,"and also, that a freewoman was not to walk abroad when the sun had set, unless she was going to commit adultery; and even by day they were not allowed to go out without the leave of the regulators of the women, and without one female servant following them",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0008/tlg001/tlg0008.tlg001.perseus-eng2.txt,"HYBRID_EXTRACTED (29 passages, 9 pages from original 1370 pages)","allow, allowed, female, freedman, male, servant, servants, slave, woman, women",0.172425,7715,756,Men,Women,Freedom
The Deipnosophists,Athenaeus,205,Roman Empire;(Roman Empire),FREEDOM_STATUS,Slaves subject to extreme violence from masters,Free persons/Masters,Slaves,Body integrity,author,"And ultimately he, with his whole family, perished in a disgraceful manner, being treated with the most extreme violence and insult by his own slaves.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0008/tlg001/tlg0008.tlg001.perseus-eng2.txt,"HYBRID_EXTRACTED (29 passages, 9 pages from original 1370 pages)","disgrace, family, slave, slaves",0.172425,7715,756,Free persons,Slaves,Body integrity
The Deipnosophists,Athenaeus,205,Roman Empire;(Roman Empire),MORAL_CONDUCT,Prostitutes' children face public humiliation,Citizens of legitimate birth,Children of prostitutes,Freedom from public humiliation in political settings,author,"And I would have you all to know that Democles, the orator, became the father of Demeas, by a female flute-player who was a courtesan; and once when he, Demeas, was giving himself airs in the tribune, Hyperides stepped his mouth, saying, Will not you be silent, young man? why, you make more puffing than your mother did.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0008/tlg001/tlg0008.tlg001.perseus-eng2.txt,"HYBRID_EXTRACTED (29 passages, 9 pages from original 1370 pages)","father, female, male, man, mother, stripped, tribute, young, younger, youth",0.172425,7715,756,Legitimate offspring,Morally condemned,Body integrity
Against Leptines,Demosthenes,-348,Second Athenian League,CITIZENSHIP,Only citizens can perform public services (liturgies),Citizens,Non-citizens (aliens/foreigners),"Obligation to perform public services (chorus-masters, presidents of gymnasia, public hosts)",Demosthenes,"Now let us consider what the State will gain if all these perform the services, for it will prove to be no compensation at all for the disgrace it will entail. Put it thus. Of aliens there are exempt—I will assume ten. And by Heaven, as I said before, I do not believe there are five. Moreover of the citizens there are not half a dozen. Sixteen of both, then. Let us call it twenty, or thirty, if you like. How many, pray, are there that annually perform the regularly recurring services—chorus-masters, presidents of gymnasia, and public hosts? Perhaps sixty in all, or a trifle more.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0014/tlg020/tlg0014.tlg020.perseus-eng2.txt,"HYBRID_EXTRACTED (24 passages, 9 pages from original 39 pages)","alien, aliens, citizen, citizens, citizenship, disgrace, estate, man, master, masters, resident, servile, statute",0.15675,7990,492,Citizens,Non-citizens/Foreigners,Civic obligations
Against Leptines,Demosthenes,-348,Second Athenian League,BIRTH_LINEAGE,Legitimate offspring inherit property over illegitimate,Legitimate offspring,Illegitimate offspring,Inheritance rights to property,Demosthenes,"It seems to me, Athenians, that Leptines—and pray, be not angry, for I am not going to say anything offensive about you—Leptines has either never read Solon's laws or else does not understand them. For if Solon made a law that every man could grant his property to whomsoever he pleased, in default of legitimate offspring, not with the object of depriving the next of kin of their rights of consanguinity, but that by making the prize open to all he might excite a rivalry in doing good one to another",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0014/tlg020/tlg0014.tlg020.perseus-eng2.txt,"HYBRID_EXTRACTED (24 passages, 9 pages from original 39 pages)","athenian, athenians, deprive, deprived, heir, illegitimate, law, laws, legitimate, maiden, man, offspring, poverty, property, right, rights",0.15675,7990,492,Legitimate offspring,Illegitimate offspring,Inheritance
On the Crown,Demosthenes,-348,Second Athenian League,PROPERTY_WEALTH,Wealthy citizens exempt from fair share of naval expenses while poor citizens bear full burden,Wealthy citizens,Citizens of moderate or small means,Exemption from proportional financial contributions for naval expenses,Demosthenes,"Observing that the navy was going to pieces, that the wealthy were let off with trifling contributions, while citizens of moderate or small means were losing all they had, and that as a result the government was missing its opportunities, I made a statute under which I compelled the wealthy to take their fair share of expense, stopped the oppression of the poor, and by a measure of great public benefit, caused your naval preparations to be made in good time.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0014/tlg018/tlg0014.tlg018.perseus-eng2.txt,"HYBRID_EXTRACTED (29 passages, 9 pages from original 72 pages)","citizen, citizens, citizenship, govern, heir, maiden, poor, profession, shame, statute, stripped, wealth, wealthy",0.15192,8043,417,Property owners,Poor/Non-property owners,Property/Wealth
On the Crown,Demosthenes,-348,Second Athenian League,PROPERTY_WEALTH,Property ownership required for certain civic duties and honors,Citizens with sufficient property,Citizens without sufficient property,"Ability to provide chorus, pay for war-galley, and participate in property-tax assessments",Demosthenes,"When I had come of age, my circumstances were in accordance with my upbringing. I was in a position to provide a chorus, to pay for a war-galley, and to be assessed to property-tax. I renounced no honorable ambition either in public or in private life: and rendered good service both to the commonwealth and to my own friends.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0014/tlg018/tlg0014.tlg018.perseus-eng2.txt,"HYBRID_EXTRACTED (29 passages, 9 pages from original 72 pages)","age, aged, poverty, property, prostitution, servile, tax",0.15192,8043,417,Property owners,Poor/Non-property owners,Property/Wealth
Apollodorus Against Stephanus II,Demosthenes,-348,Second Athenian League,GENDER,Only men can be legal guardians and arrange marriages,"Men (fathers, brothers, grandfathers)",Women,Legal guardianship and authority to arrange marriages,author,"If a woman be betrothed for lawful marriage by her father or by a brother begotten of the same father or by her grandfather on her father's side, her children shall be legitimate. In case there be none of these relatives, if the woman be an heiress, her guardian shall take her to wife, and if she be not, that man shall be her guardian to whom she may entrust herself.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0014/tlg046/tlg0014.tlg046.perseus-eng2.txt,"FULL_TEXT (17,099 chars ≈ 7 pages)","children, father, illegitimate, law, laws, legitimate, man, shame, wife, woman, women",0.14781,6834,604,Men,Women,Political participation
Apollodorus Against Stephanus II,Demosthenes,-348,Second Athenian League,CITIZENSHIP,Only citizens can inherit property through legal adjudication,Citizens,Non-citizens/Aliens,Inheritance rights through legal process,author,"The archon shall assign by lot days for the trial of claims to inheritances or heiresses in every month except Scirophorion; and no one shall obtain an inheritance without adjudication. Well then, if he had wished to proceed regularly, he ought to have entered his claim for the heiress, whether the claim was based upon a gift or upon nearness of kin, before the archon, if he claimed her as a citizen, and before the polemarch, if as an alien.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0014/tlg046/tlg0014.tlg046.perseus-eng2.txt,"FULL_TEXT (17,099 chars ≈ 7 pages)","alien, aliens, archon, citizen, citizens, inherit, inheritance, trial",0.14781,6834,604,Citizens,Non-citizens/Foreigners,Legal standing
Apollodorus Against Stephanus II,Demosthenes,-348,Second Athenian League,BIRTH_LINEAGE,Only legitimate male children can inherit property,Legitimate male children,Illegitimate children and daughters,Inheritance of property,author,"Any citizen, with the exception of those who had been adopted when Solon entered upon his office, and had thereby become unable either to renounce or to claim an inheritance, shall have the right to dispose of his own property by will as he shall see fit, if he have no male children lawfully born, unless his mind be impaired by one of these things, lunacy or old age or drugs or disease, or unless he be under the influence of a woman, or under constraint or deprived of his liberty.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0014/tlg046/tlg0014.tlg046.perseus-eng2.txt,"FULL_TEXT (17,099 chars ≈ 7 pages)","age, aged, born, children, citizen, citizens, deprive, deprived, female, inherit, inheritance, law, laws, male, office, old, poverty, property, right, rights, woman, women",0.14781,6834,604,Men,Illegitimate offspring,Inheritance
Politics,Aristotle,-348,Thebans,GENDER,Male rule over females in household and state,Men,Women,Political authority and governance,author,"for the male is by nature better fitted to command than the female (except in some cases where their union has been formed contrary to nature) and the... For the free rules the slave, the male the female, and the man the child in a different way.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0086/tlg035/tlg0086.tlg035.perseus-eng2.txt,"HYBRID_EXTRACTED (31 passages, 9 pages from original 243 pages)","child, female, free, freed, heir, male, man, mature, naturalized, rule, slave, slavery, slaves",0.20895,7625,1261,Men,Women,Political participation
Politics,Aristotle,-348,Thebans,FREEDOM_STATUS,Free persons rule over slaves,Free persons,Slaves,Political authority and personal autonomy,author,"For the free rules the slave, the male the female, and the man the child in a different way. And all possess the various parts of the soul, but possess them in different ways; for the slave has not got the deliberative part at all, and the female has it, but without full authority, while the child has it, but in an undeveloped form.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0086/tlg035/tlg0086.tlg035.perseus-eng2.txt,"HYBRID_EXTRACTED (31 passages, 9 pages from original 243 pages)","authority, child, female, free, freed, male, man, possess, possession, rule, slave, slavery, slaves",0.20895,7625,1261,Free persons,Slaves,Political participation
Politics,Aristotle,-348,Thebans,CITIZENSHIP,Citizens have full legal rights while resident aliens require patrons,Citizens,Resident aliens,Legal standing and right to sue,author,"o can sue and be sued at law,—or rather, in many places even the right of legal action is not shared completely by resident aliens, but they are obliged to produce a patron, so that they only share in a common legal procedure to an incomplete degree",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0086/tlg035/tlg0086.tlg035.perseus-eng2.txt,"HYBRID_EXTRACTED (31 passages, 9 pages from original 243 pages)","alien, aliens, common, commoner, decree, father, law, laws, legal, man, matron, patrimony, resident, right, rights, shame",0.20895,7625,1261,Citizens,Non-citizens/Foreigners,Legal standing
Politics,Aristotle,-348,Thebans,BIRTH_LINEAGE,Citizenship restricted to those with citizen parents on both sides,Those with citizen parents on both sides,Those with only one citizen parent or slave parentage,Citizenship rights,author,"Nevertheless, inasmuch as such persons are adopted as citizens owing to a lack of citizens of legitimate birth (for legislation of this kind is resorted to because of under-population), when a state becomes well off for numbers it gradually divests itself first of the sons of a slave father or mother, then of those whose mothers only were citizens, and finally only allows citizenship to the children of citizens on both sides.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0086/tlg035/tlg0086.tlg035.perseus-eng2.txt,"HYBRID_EXTRACTED (31 passages, 9 pages from original 243 pages)","allow, allowed, birth, children, citizen, citizens, citizenship, estate, father, illegitimate, legitimate, mother, slave, slavery, slaves, son, statute",0.20895,7625,1261,Citizens,Slaves,Citizenship
Politics,Aristotle,-348,Thebans,PROPERTY_WEALTH,Property requirements for holding political office,Property owners meeting qualifications,Those without sufficient property,Hold political office,author,"This therefore is one kind of democracy, where the offices are held on property qualifications, but these low ones, although it is essential that the man who acquires the specified amount should have the right to hold office, and the man who loses it should not hold office.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0086/tlg035/tlg0086.tlg035.perseus-eng2.txt,"HYBRID_EXTRACTED (31 passages, 9 pages from original 243 pages)","herald, man, office, old, poverty, property, right, rights",0.20895,7625,1261,Property owners,Poor/Non-property owners,Political participation
Politics,Aristotle,-348,Thebans,PROPERTY_WEALTH,Wealthy required to possess arms while poor are exempt,The wealthy,The poor,Obligation to possess arms and engage in gymnastics,author,"They also legislate in the same manner about owning heavy arms and engaging in gymnastic exercises: the poor are not allowed to possess arms, but the well-to-do are liable to a fine if they have not got them, and there is no fine for the former class if they abstain from gymnastics, but the well-to-do are liable to a fine, in order that the one class because of the fine may take part in them and the other because they have no penalty to fear may not.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0086/tlg035/tlg0086.tlg035.perseus-eng2.txt,"HYBRID_EXTRACTED (31 passages, 9 pages from original 243 pages)","allow, allowed, farmer, mother, older, poor, possess, possession, shame",0.20895,7625,1261,Property owners,Poor/Non-property owners,Civic obligations
Politics,Aristotle,-348,Thebans,FREEDOM_STATUS,Slaves forbidden gymnastic exercises and possession of arms,Free persons,Slaves,Right to gymnastic exercises and possession of arms,author,These have conceded to their slaves all the same rights as they have themselves except that they are forbidden gymnastic exercises and the possession of arms.,/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0086/tlg035/tlg0086.tlg035.perseus-eng2.txt,"HYBRID_EXTRACTED (31 passages, 9 pages from original 243 pages)","forbid, forbidden, heir, possess, possession, profession, right, rights, shame, slave, slaves",0.20895,7625,1261,Free persons,Slaves,Civic obligations
Politics,Aristotle,-348,Thebans,AGE,Children's incomplete citizenship until adulthood,Adult citizens,Children of citizens,Full citizenship rights,author,"For it is true that not all the persons indispensable for the existence of a state are to be deemed citizens, since even the sons of citizens are not citizens in the same sense as the adults: the latter are citizens in the full sense, the former only by presumption—they are citizens, but incomplete ones.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0086/tlg035/tlg0086.tlg035.perseus-eng2.txt,"HYBRID_EXTRACTED (31 passages, 9 pages from original 243 pages)","adult, adults, citizen, citizens, citizenship, estate, farmer, shame, son, statute",0.20895,7625,1261,Adults,Young/Minors,Citizenship
