work_name,author,impact_year,polity,criteria,sampled_for,is_contemporary,verbatim_type,criterion_label,in_group,out_group,resource,resource_std,speaker,verbatim,matched_keywords,extraction_method,extraction_cost_usd,prompt_tokens,completion_tokens,rule_uid,file_id,rule_category,reasoning,specificity,specificity_reasoning,confidence,factuality
Epistle of Ignatius to the Trallians,Ignatius of Antioch,70,,Occupation,Occupation,1,fact,Bishop oversight of regional churches,Bishops,,Right to lead the local church,,MORE,"[§166] ...that God has vouchsafed that the bishop of Syria shall be found at the setting of the sun, having fetched him from the sun’s rising. | [§194] [1] Remember in your prayers the Church in Syria which has God for its Shepherd in my room. Its bishop shall be Jesus Christ alone,—and your love.",Bishop oversight of regional churches,gemini_v19,,,,tlg1443.tlg001.perseus-eng1#30,tlg1443.tlg001.perseus-eng1,,"The text identifies a specific office (Bishop) associated with the governance and 'shepherding' of a regional church (Syria), denoting the resource of religious leadership.",,,9.0,1
Dialogues of the Dead,Lucian of Samosata,155,,Occupation,Occupation,0,fact,Philosopher's access to royal patronage,Educated women / Philosophers,,Access to royal gifts and wealth,,MORE,"[§52] Let me be the sole authority on him, with all his requests for gifts and his instructions, and the way he took advantage of my zeal for education by flattering and praising me [...] for my achievements and my wealth. For that was yet another thing he counted as good, so that he need have no shame in accepting some for himself too.",Philosopher's access to royal patronage,gemini_v19,,,,tlg0062.tlg066.perseus-eng3#17,tlg0062.tlg066.perseus-eng3,,"While the dialogue is fictional, it reflects the historical social rule where philosophers (like Aristotle) leveraged their education and role as tutors to gain material wealth and gifts from monarchs/elites.",,,8.0,1
Epistle of Barnabas,Barnabas,36,,Religion,Religion,1,fact,Believer access to spiritual indwelling,Christians,,Divine presence within the individual,,MORE,"[§181] When we received the remission of sins, and put our hope on the Name, we became new, being created again from the beginning; wherefore God truly dwells in us, in the habitation which we are. | [§183] This is a spiritual temple being built for the Lord.",Believer access to spiritual indwelling,gemini_v19,,,,tlg1216.tlg001.perseus-eng1#23,tlg1216.tlg001.perseus-eng1,,The author defines a new rule for believers where the 'resource' of God's presence (the temple) is shifted from a building to the group of believers themselves.,,,9.0,1
The Shepherd of Hermas,Hermas,150,,Religion,Religion,1,fact,Heathen exclusion from early judgment,Heathen,,Extended window for repentance,,MORE,"[§32] for repentance for the just has an end; the days of repentance have been fulfilled for all the saints, but for the heathen repentance is open until the last day.",Heathen exclusion from early judgment,gemini_v19,,,,tlg1419.tlg001.perseus-eng1#5,tlg1419.tlg001.perseus-eng1,,"The rule explicitly grants a longer period for the 'heathen' group to repent compared to the 'saints', framing the time window as the resource.",,,10.0,1
The Shepherd of Hermas,Hermas,150,,Religion,Religion,1,fact,Intercession of the mournful,the mournful man,,Right of intercession to the altar,,LESS,"[§308] For the intercession of the mournful man has nowhere power to ascend to the altar of God. ... Therefore, the grief which is mixed with his intercession does not permit the intercession to ascend in purity to the altar.",Intercession of the mournful,gemini_v19,,,,tlg1419.tlg001.perseus-eng1#60,tlg1419.tlg001.perseus-eng1,,The text defines a group ('the mournful') who are deprived of the resource of effective spiritual intercession/prayer reaching the divine altar due to their internal state.,,,9.0,1
The Shepherd of Hermas,Hermas,150,,Religion,Religion,1,opinion,Efficacious prayer restricted for mourners,Mournful men,,Power of intercession,,LESS,"[§323] For the intercession of the mournful man has nowhere power to ascend to the altar of God. Why, said I, does not the intercession of the mournful man ascend to the altar? Because, said he, grief sits in his heart. Therefore, the grief which is mixed with his intercession does not permit the intercession to ascend in purity to the altar.",Efficacious prayer restricted for mourners,gemini_v19,,,,tlg1419.tlg001.perseus-eng1#61,tlg1419.tlg001.perseus-eng1,,The text establishes a spiritual rule where an individual's emotional state (grief/mourning) prevents their prayers or intercessions from effectively reaching God's altar.,,,9.0,0
,New Testament,100,,Religion,Religion,1,fact,Jewish expulsion from Rome,Jews,,Right of residence in Rome,,LESS,"[§652] He found a certain Jew named Aquila, a man of Pontus by race, who had recently come from Italy, with his wife Priscilla, because Claudius had commanded all the Jews to depart from Rome.",Jewish expulsion from Rome,gemini_v19,,,,tlg0031.tlg005.perseus-eng2#43,tlg0031.tlg005.perseus-eng2,,"The text records a historical-legal decree issued by the Emperor Claudius which explicitly removed the right of residence for the Jewish population in Rome, forcing their departure.",,,10.0,1
On the Murder of Herodes,Antiphon,-500,,Wealth / Properties,Wealth / Properties,1,fact,Imprisonment for unpaid debt,Indebted citizens,,Freedom from imprisonment,,LESS,"[§63] On the contrary, the probabilities show that he would have been induced to commit the crime by me sooner than I by him; for even after suffering an execution for a debt of seven minae, he could not release himself from prison: his friends had to purchase his release.",Imprisonment for unpaid debt,gemini_v19,,,,tlg0028.tlg005.perseus-eng2#10,tlg0028.tlg005.perseus-eng2,,"The text describes a specific individual, Lycinus, who was imprisoned because he could not pay a debt (an execution for seven minae). This reflects a general societal rule where failure to pay debts resulted in the loss of physical liberty until the debt was settled by the individual or their associates.",,,10.0,1
On the Murder of Herodes,Antiphon,-500,,Wealth / Properties,Wealth / Properties,1,fact,Liturgy and tax obligations,Wealthy citizens,,Right to retain own earnings,,LESS,"[§77] He has failed neither the city of Athens nor that of Mytilene, when a public service was demanded of him; he regularly furnishes choruses, and always pays the imposts.",Liturgy and tax obligations,gemini_v19,,,,tlg0028.tlg005.perseus-eng2#12,tlg0028.tlg005.perseus-eng2,,"The text identifies providing choruses (liturgies) and paying imposts (taxes) as mandatory public services for a man of the father's status and wealth, representing a systematic redirection of private wealth to the state.",,,10.0,1
Nicomachean Ethics,Aristotle,-348,,Wealth / Properties,Wealth / Properties,1,fact,Timocratic political equality,Wealthy citizens,,Right to equal political participation,,MORE,"[§1084] Timocracy passes into Democracy, there being an affinity between them, inasmuch as the ideal of Timocracy also is government by the mass of the citizens, and within the property qualification all are equal.",Timocratic political equality,gemini_v19,,,,tlg0086.tlg010.perseus-eng2#224,tlg0086.tlg010.perseus-eng2,,"The text establishes that within a system defined by property requirements (Timocracy), those who meet the qualification (the wealthy) are treated as political equals.",,,9.0,1
,Hyperides,-360,,Wealth / Properties,Wealth / Properties,1,fact,Wealthy citizen property security,Wealthy citizens,,Right to retain property,,MORE,"[§36] They decided that the mine was within its proper limits, and in one and the same verdict assured the safety of the men’s estates and guaranteed their working of the mine for the remainder of the period.",Wealthy citizen property security,gemini_v19,,,,tlg0030.tlg004.perseus-eng2#5,tlg0030.tlg004.perseus-eng2,,"Hyperides notes a specific legal precedent where the jury prioritized property rights and legal boundaries over the state's financial gain, ensuring wealthy investors (mine-workers) could retain their estates.",,,9.0,1
Laws,Plato,-393,,Wealth / Properties,Wealth / Properties,1,fact,Council voting compulsion by class,Fourth property-class members,,Exemption from mandatory voting fines,,MORE,"On the third day, for councillors from the third class anyone who chooses shall vote; and the voting shall be compulsory for members of the first three classes, but those of the fourth and lowest class shall be let off the fine, in case any of them do not wish to vote. [§126]",Council voting compulsion by class,gemini_v19,,,,tlg0059.tlg034.perseus-eng2#153,tlg0059.tlg034.perseus-eng2,,"The law specifically exempts the lowest property class from the financial burden of fines for non-attendance at certain electoral proceedings, which is a protection of their limited material resources.",,,9.0,1
