work_name,author,impact_year,polity,criteria,sampled_for,is_contemporary,verbatim_type,criterion_label,in_group,out_group,resource,resource_std,speaker,verbatim,matched_keywords,extraction_method,extraction_cost_usd,prompt_tokens,completion_tokens,rule_uid,file_id,rule_category,reasoning,group_generality,generality_reasoning,confidence,factuality,resource_materiality,materiality_reasoning,resource_generality,resource_generality_reasoning,resource_persistence,persistence_reasoning,group_immutability,immutability_reasoning,tautological,tautology_reasoning
On the Natural Faculties,Galen,164,,Gender,Gender,1,fact,Maternal blood as material principle,Women,,Contribution of material to procreation,,MORE,"And what is the semen? Clearly the active principle of the animal, the material principle being the menstrual blood. (§22) | But Nature does not preserve the original character of any kind of matter; if she did so, then all parts of the animal would be blood — that blood, namely, which flows to the semen from the impregnated female and which is, so to speak, like the statuary's wax, a single uniform matter, subjected to the artificer. (§22)",Maternal blood as material principle,gemini_v19_batch3,,,,tlg0057.tlg010.perseus-eng2#31,tlg0057.tlg010.perseus-eng2,,"The text identifies a specific material resource (menstrual blood) provided by the female group as the necessary substance for the formation of an animal, though it is categorized as passive 'material' rather than 'active' principle.",5,Canonical societal group; the rule describes a timeless biological role.,9.0,3,5,Contribution of material to procreation is a tangible bodily entitlement.,3,Contribution of material to procreation is a specific but fundamental biological role.,5,"The contribution of material to procreation is a lifelong, structural capacity for women.",5,Women is a sex-defined group; membership is biologically fixed.,0,"Menstrual blood as a material principle is a biological role, not a definition of 'women'."
Nicomachean Ethics,Aristotle,-348,,Health,Health,1,fact,Legal/Rational agency of the infirm,mad or drunk,,Exercise of knowledge,,LESS,"[§916, §923] a man may in a sense both have it and not have it; for instance, when he is asleep, or mad, or drunk. . . It is clear therefore that we must pronounce the unrestrained to have knowledge only in the same way as men who are asleep or mad or drunk.",Legal/Rational agency of the infirm,gemini_v19_batch3,,,,tlg0086.tlg010.perseus-eng2#173,tlg0086.tlg010.perseus-eng2,,"The text establishes a rule of capacity whereby specific physical or mental states (madness, drunkenness) disqualify the individual from the 'active exercise' of knowledge, even if they nominally possess it.",4,Broad societal group defined by temporary states; author describes a contemporary norm.,8.0,3,1,"Exercise of knowledge is an abstract, intellectual capacity.",4,Exercise of knowledge is a broad category of intellectual and practical capacity.,2,"The exercise of knowledge is suspended for the duration of the state (sleep, madness, drunkenness).",2,"Being mad or drunk is a temporary condition, making it role-bound or episodic.",1,Being 'mad or drunk' inherently means a diminished capacity for exercising knowledge.
On the Natural Faculties,Galen,164,,Health,Health,1,fact,Nephritic identification by symptoms,nephritics,,Recognition of medical condition,,MORE,"[§13] But, even leaving the butchers aside, all people who suffer either from frequent dysuria or from retention of urine call themselves nephritics, when they feel pain in the loins and pass sandy matter in their water.",Nephritic identification by symptoms,gemini_v19_batch3,,,,tlg0057.tlg010.perseus-eng2#2,tlg0057.tlg010.perseus-eng2,,"The author defines a group by a health condition (urinary distress) and notes their ability to identify their own ailment based on specific physical symptoms, which serves as a rule-based categorization in clinical practice.",3,A specific health-defined group; the author describes contemporary medical self-identification.,8.0,3,3,Recognition of a medical condition allows access to a social role (patient) with tangible outcomes (treatment).,3,Recognition of a medical condition is specific but broadly applicable to health.,3,"Recognition of a medical condition persists for the duration of the illness, which can be long-term.",2,"Nephritics are defined by a health condition, which is a temporary state.",1,'Nephritics recognize their condition' is tautological as their group is defined by having that condition.
Regimen in acute diseases,Hippocrates,-465,,Health,Health,1,fact,Dietary restriction for acute illness,Sick people,,Right to maintain normal diet,,LESS,"[§11] For some at the commencement of acute diseases have taken food on the same day, some on the next day; some have swallowed whatever has come in their way, and some have taken cyceon. Now all these things are worse than if one had observed a different regimen; and yet these mistakes, committed at that time, do much less injury than if one were to abstain entirely from food for the first two or three days, and on the fourth or fifth day were to take such food.",Dietary restriction for acute illness,gemini_v19_batch3,,,,tlg0627.tlg004.perseus-eng2#10,tlg0627.tlg004.perseus-eng2,,"The author establishes that during acute disease, the normal practice of eating whatever is available is harmful and that a governed medical regimen (often involving initial abstinence or specific preparations like ptisans) is required.",5,"The group 'Sick people' is a broad societal category, and the rule describes contemporary medical regimen.",9.0,3,5,Right to maintain a normal diet is fundamental for bodily subsistence and health.,2,Right to maintain normal diet is a narrowly scoped resource tied to a medical context.,3,The right to maintain a normal diet is suspended for the duration of an acute illness.,2,"Being 'sick' is a temporary condition, making group membership episodic.",0,"The right to maintain a normal diet is a medical consideration, not inherent in being 'sick'."
The Art,Hippocrates,-465,,Health,Health,1,fact,Exemption from hellebore during fever,feverish patients,,Access to specific medication (hellebore),,LESS,"[§86] The treatment, if no fever be present, consists in the administration of hellebore, but otherwise (it is not to be given, but oxyglyky (decoction of honeycombs and vinegar) is to be given for drink, if required.",Exemption from hellebore during fever,gemini_v19_batch3,,,,tlg0627.tlg010.perseus-eng2#47,tlg0627.tlg010.perseus-eng2,,The author outlines a rule based on health status (presence of fever) that excludes a specific group from a standard medicinal resource (hellebore) available to other injured patients.,3,Specific health-defined group; the author describes contemporary medical practice and observations.,9.0,3,3,Access to specific medication produces tangible physical outcomes for health.,2,Access to specific medication (hellebore) is narrowly scoped to a particular substance.,2,"Access to specific medication is contingent on the presence or absence of fever, a brief episode.",3,"Defined by a medical condition, which can change with treatment or time.",0,"Access to specific medication is a medical resource, not part of the definition of 'feverish patients'."
The Art,Hippocrates,-465,,Health,Health,1,fact,Incurability of spinal marrow compression,paralyzed patients,,Access to corrective medical treatment,,LESS,"[§46] It is evident, then, that such a case could not be reduced either by succussion or by any other method, unless one were to cut open the patient, and then, having introduced the hand into one of the great cavities, were to push outward from within, which one might do on the dead body, but not at all on the living.",Incurability of spinal marrow compression,gemini_v19_batch3,,,,tlg0627.tlg010.perseus-eng2#21,tlg0627.tlg010.perseus-eng2,,"For patients with severe spinal displacement where the marrow is 'strangled', the author explicitly bars them from the resource of corrective surgery/reduction, noting it is impossible on the living.",4,The group 'paralyzed patients' is broad but defined by a health condition; the author describes contemporary medical limitations.,9.0,3,3,Access to corrective medical treatment is a social practice that produces tangible health outcomes.,2,Access to corrective medical treatment is tied to a specific medical procedure.,5,Incurability of a condition means a lifelong lack of access to corrective treatment.,5,"Paralyzed patients are defined by a severe, likely permanent physical condition.",0,"Access to corrective treatment is a medical provision, not inherent to the definition of paralyzed patients."
On the Estate of Pyrrhos,Isaeus,-384,,Lineage,Lineage,1,fact,Legitimate son's right of inheritance,Adopted sons,,Right to inherit property,,MORE,"[§2] [1] Judges, my mother's brother, Pyrrhus, having no legitimate issue, adopted my brother Endius as his son. The latter inherited his estate and survived him by more than twenty years.",Legitimate son's right of inheritance,gemini_v19_batch3,,,,tlg0017.tlg003.perseus-eng2#4,tlg0017.tlg003.perseus-eng2,,The text confirms that an adopted son (functioning as a legitimate son) has the legal right to inherit and possess an estate.,4,Broad societal group defined by status; the author discusses a contemporary inheritance case.,10.0,4,5,Right to inherit property is a tangible wealth entitlement.,5,The right to inherit property is a foundational societal good related to wealth.,5,The right to inherit property as an adopted son is a lifelong legal status.,3,"Adopted son status is changeable with effort, but a durable social identity.",0,"Inheritance rights are legal constructs, not inherent to being an adopted son."
On the Estate of Pyrrhos,Isaeus,-384,,Lineage,Lineage,1,fact,Grandchildren's right of succession,Male heirs,,Right to succeed to grandfather's estate,,MORE,[§51] ...for he knew perfectly well that the children of a legitimate daughter have a right to succeed to the whole of their grandfather's estate.,Grandchildren's right of succession,gemini_v19_batch3,,,,tlg0017.tlg003.perseus-eng2#10,tlg0017.tlg003.perseus-eng2,,"The law ensures that the sons of a legitimate daughter eventually inherit the full estate of their maternal grandfather, bypassing the temporary holder.",4,Broad societal group defined by status; the author discusses a contemporary inheritance right.,10.0,4,5,Right to succeed to an estate is a tangible wealth entitlement.,5,The right to succeed to an estate is a foundational societal good related to wealth.,5,"The right to succeed to an estate is a lifelong status, determining inheritance.",5,"Male heir is a lineage/family membership, a birth-fixed trait.",0,"Succession rights are legal constructs, not inherent to being a male heir."
On the Estate of Philoctemones,Isaeus,-384,,Lineage,Lineage,1,fact,Adopted son's right of inheritance,male heirs,,Right to inherit property directly,,MORE,"How could he be childless, when he adopted and was survived by his own nephew, to whom the law gives the right of inheritance just as much as to children of his own body?",Adopted son's right of inheritance,gemini_v19_batch3,,,,tlg0017.tlg006.perseus-eng2#13,tlg0017.tlg006.perseus-eng2,,"The text identifies a legal rule where an adopted nephew is granted the same inheritance rights as biological children, equating their access to the estate resource.",3,"The group is a specific status within a broader class, and the rule describes a contemporary legal right.",10.0,4,4,The right of inheritance is a concrete legal right with direct material effect.,5,Right to inherit property directly is a foundational aspect of wealth and legal standing.,5,"The right to inherit property directly is a lifelong status, fundamental to family structure.",5,"Being a male heir is determined by birth or legal adoption, which is durable.",0,"Adopted sons having inheritance rights is a legal provision, not inherent to the definition of 'male heirs'."
On the Estate of Philoctemones,Isaeus,-384,,Lineage,Lineage,1,fact,Equal inheritance for subsequent children,biological children,,Right to inherit property directly,,MORE,"Indeed, it is expressly stated in the law that, if children are born subsequently to one who has adopted a son, each child takes his share of the estate and both classes of children alike inherit.",Equal inheritance for subsequent children,gemini_v19_batch3,,,,tlg0017.tlg006.perseus-eng2#14,tlg0017.tlg006.perseus-eng2,,The author cites a specific law ensuring that biological children born after an adoption still retain their right to a share of the inheritance resource.,4,"The group is a broad societal category, and the rule describes a contemporary legal principle.",10.0,4,4,The right to inherit property directly is a concrete legal right with direct material effect.,5,Right to inherit property directly is a foundational aspect of wealth and legal standing.,5,"The right to inherit property directly is a lifelong status, fundamental to family structure.",5,Being a biological child is a birth-fixed trait.,0,"Equal inheritance for subsequent children is a legal provision, not inherent to the definition of 'biological children'."
On the Estate of Philoctemones,Isaeus,-384,,Lineage,Lineage,1,fact,Illegitimate exclusion from inheritance,Illegitimate children,,Right to inherit as next-of-kin,,LESS,[§1] [0] ...declaring that both Antidorus and his sister were illegitimate and that the law ordains that an illegitimate son or daughter cannot inherit as next-of-kin.,Illegitimate exclusion from inheritance,gemini_v19_batch3,,,,tlg0017.tlg006.perseus-eng2#3,tlg0017.tlg006.perseus-eng2,,The text explicitly mentions a law that bars children born out of wedlock / illegitimate children from the right to inherit property from their relatives.,4,"The group is a broad societal category, and the rule describes a contemporary legal exclusion.",10.0,4,4,The right to inherit as next-of-kin is a concrete legal right with direct material effect.,5,Right to inherit as next-of-kin is a foundational aspect of legal standing and wealth.,5,"Exclusion from inheritance due to illegitimacy is a lifelong, structural status.",4,"Illegitimacy is a legal birth-status, very hard to change.",1,'Illegitimate children lack right to inherit as next-of-kin' is tautological; illegitimacy is defined by lack of legal kinship.
,Andocides,-500,,Nobility,Nobility,1,fact,Public entertainment for victors,Nobility,,Access to the Prytaneum,,MORE,"[§9] ...after behaving as I have described, he was rewarded with free entertainment in the Prytaneum; and not content with that, he is for ever taking credit for his victory.",Public entertainment for victors,gemini_v19_batch3,,,,tlg0027.tlg004.perseus-eng2#8,tlg0027.tlg004.perseus-eng2,,The text notes that victors in major games (typically elite/noble citizens) are granted the resource of free public maintenance/entertainment in the city's central hall.,3,Specific social role; the author describes a contemporary reward for victors.,9.0,4,3,"Access to public maintenance and entertainment, a tangible social benefit.",2,Access to the Prytaneum is tied to a specific institution and setting.,3,"Access to the Prytaneum is often tied to a specific achievement or period, not necessarily lifelong.",3,"Nobility is often hereditary, but here it's tied to achievement, making it changeable.",0,Nobility does not inherently mean access to the Prytaneum; this is a specific reward.
Nicomachean Ethics,Aristotle,-348,,Nobility,Nobility,1,fact,Noble access to public benefactions,High-born and famous,,Eligibility for public benefactions,,MORE,"But great public benefactions are suitable for those who have adequate resources derived from their own exertions or from their ancestors or connections, and for the high-born and famous and the like, since birth, fame and so on all have an element of greatness and distinction. [§455]",Noble access to public benefactions,gemini_v19_batch3,,,,tlg0086.tlg010.perseus-eng2#70,tlg0086.tlg010.perseus-eng2,,"The text identifies specific societal roles (public benefactions/liturgies) as suitable for those of noble birth or high social standing, linking lineage and fame to the right to perform these honored expenditures.",4,High-born and famous is a broad societal group; Aristotle describes contemporary eligibility for public benefactions.,9.0,3,3,Eligibility for public benefactions is access to a social role with tangible outcomes (public spending).,2,Eligibility for public benefactions is tied to specific civic duties.,4,"Eligibility for public benefactions is long-term, tied to status and resources, which can change.",4,"High-born status is a birth-fixed, hereditary trait, very hard to change.",0,Being high-born or famous does not inherently mean eligibility for public benefactions; this is a social rule.
Nicomachean Ethics,Aristotle,-348,,Nobility,Nobility,1,fact,High-born access to honor,High-born,,Entitlement to honor,,MORE,"[§544] But it is thought that the gifts of fortune also conduce to greatness of soul; for the high-born and those who are powerful or wealthy are esteemed worthy of honor, because they are superior to their fellows, and that which is superior in something good is always held in higher honor",High-born access to honor,gemini_v19_batch3,,,,tlg0086.tlg010.perseus-eng2#91,tlg0086.tlg010.perseus-eng2,,"Aristotle notes that in his society, lineage (being high-born) is a social criterion that automatically grants an individual a higher status and a greater claim to honor from others.",4,High-born is a broad societal group; Aristotle describes their contemporary entitlement to honor.,10.0,3,1,"Entitlement to honor is a non-material, abstract resource.",4,Entitlement to honor is a broad category of social recognition.,5,"Entitlement to honor due to high birth is a lifelong, structural attribute.",4,"High-born status is a birth-fixed, hereditary trait, very hard to change.",0,"Entitlement to honor is a social convention, not inherent to being high-born."
Nicomachean Ethics,Aristotle,-348,,Nobility,Nobility,1,fact,Status-based expectation of benefits,Princes and rulers,,Protection from providing flattery,,MORE,"[§1071] Most people like receiving honor from men of high station, because they hope for something from them: they think that if they want something, the great man will be able to give it them; so they enjoy being honored by him as a token of benefits to come.",Status-based expectation of benefits,gemini_v19_batch3,,,,tlg0086.tlg010.perseus-eng2#218,tlg0086.tlg010.perseus-eng2,,"Individuals of high station (princes/rulers) are defined as those who dispense benefits and honors, attracting others who seek gain. This establishes a rule where social rank dictates the flow of material and immaterial resources.",3,The group 'Princes and rulers' is a specific role within a broader class; Aristotle describes contemporary societal norms.,8.0,3,3,Protection from flattery is a social role/practice with indirect material outcomes (benefits).,5,Protection from flattery is a high-level societal good related to social standing and influence.,4,"Protection from flattery is tied to one's status, which is long-term but can change.",3,"Rulers are defined by their acquired position and ability to dispense benefits, which can change.",0,"The rule describes a social expectation of benefits, not a definitional aspect of being a prince or ruler."
Politics,Aristotle,-348,,Nobility,Nobility,1,fact,Aristocratic guardianship of laws,Nobility,,Access to Guardianship of Laws,,MORE,"[§154] There are three offices which in some states supervise the election of the chief magistrates—Guardians of the Laws, Preliminary Councillors and Council; of these the Guardians of the Laws are an aristocratic institution...",Aristocratic guardianship of laws,gemini_v19_batch3,,,,tlg0086.tlg035.perseus-eng2#264,tlg0086.tlg035.perseus-eng2,,The office of 'Guardian of the Laws' is explicitly identified as an institution restricted to or characterizing the aristocratic class.,5,Canonical societal group; Aristotle describes a contemporary political institution.,9.0,3,3,Access to Guardianship of Laws is a social role with tangible outcomes.,3,Access to Guardianship of Laws is a specific but recurring legal protection.,5,"Access to Guardianship of Laws is a structural right tied to aristocratic status, persisting lifelong.",4,"Nobility is a legal/structural birth-status, very hard to change.",0,"Access to Guardianship of Laws is a specific political office, not part of the definition of nobility."
Epidemics,Hippocrates,-465,,Occupation,Occupation,1,fact,Labor-induced illness,Laborers,,Protection from exhaustion-related fever,,LESS,"[§79] In Thasos Pythion, who lay sick above the shrine of Heracles, after labour, fatigue and careless living, was seized by violent rigor and acute fever.",Labor-induced illness,gemini_v19_batch3,,,,tlg0627.tlg006.perseus-eng4#59,tlg0627.tlg006.perseus-eng4,,"The text identifies 'labour' and 'fatigue' as the precipitating factors for a fatal illness, implying that those engaged in heavy physical work lack the resource of physical security against exhaustion.",3,Borderline specific group; the author describes contemporary medical observations.,7.0,3,5,Protection from exhaustion-related fever impacts bodily protection and health.,3,Protection from exhaustion-related fever is specific but broadly applicable to a recurring condition.,2,Protection from exhaustion-related fever is relevant for the duration of the labor/fatigue episode.,3,"Laborers are defined by occupation, which can be changed with effort.",0,"Protection from exhaustion-related fever is a health resource, not inherent in the definition of 'Laborers'."
Epistle of Ignatius to the Trallians,Ignatius of Antioch,70,,Occupation,Occupation,1,fact,Subjection to church hierarchy,Laity,,Autonomy from ecclesiastical authority,,LESS,"[§110] Be subject to the bishop and to one another, even as Jesus Christ was subject to the Father, and the Apostles were subject to Christ and to the Father, in order that there may be a union both of flesh and of spirit.",Subjection to church hierarchy,gemini_v19_batch3,,,,tlg1443.tlg001.perseus-eng1#18,tlg1443.tlg001.perseus-eng1,,"The text mandates a structural subjection where the general members of the group are required to submit to the authority of the bishop, thereby losing personal or collective autonomy within the organization.",5,The group 'Laity' is a canonical societal group; the rule describes a contemporary ecclesiastical hierarchy.,10.0,3,3,Autonomy from ecclesiastical authority affects participation in a recognized public procedure.,4,Autonomy from ecclesiastical authority is a broad category of freedom.,4,"Autonomy from ecclesiastical authority is a long-term status, lasting as long as one is part of the community.",3,"Laity refers to general members of a religious community, a durable social identity.",0,"Autonomy from ecclesiastical authority is a specific power, not inherent in the definition of 'Laity'."
Epistle of Ignatius to the Trallians,Ignatius of Antioch,70,,Occupation,Occupation,1,fact,Clerical subordination to bishops,Presbyters and deacons,,Right to institutional autonomy,,LESS,"[§302] I am devoted to those who are subject to the bishop, presbyters, and deacons; and may it be mine to have my lot with them in God. Labour with one another, struggle together, run together, suffer together, rest together, rise up together as God’s stewards and assessors and servants.",Clerical subordination to bishops,gemini_v19_batch3,,,,tlg1443.tlg001.perseus-eng1#52,tlg1443.tlg001.perseus-eng1,,"The text explicitly defines presbyters and deacons as groups 'subject to the bishop', establishing a hierarchy of power within the early Church offices.",3,Specific roles within a broader class; describes contemporary church hierarchy.,9.0,3,3,Right to institutional autonomy affects their ability to perform duties with tangible outcomes.,4,Right to institutional autonomy is a broad category of rights.,4,"Subordination to the bishop is a long-term condition of their clerical office, which is revocable.",3,Presbyters and deacons hold occupations/professions acquired through training and initiation.,0,Being a presbyter or deacon does not inherently mean one is subject to a bishop; this is a specific hierarchical structure.
Epistle of Ignatius to the Trallians,Ignatius of Antioch,70,,Occupation,Occupation,1,fact,Episcopal authorization for sacraments,Laity,,Right to perform baptisms or agape,,LESS,"[§238] It is not lawful either to baptise or to hold an agape without the bishop; but whatever he approve, this is also pleasing to God, that everything which you do may be secure and valid.",Episcopal authorization for sacraments,gemini_v19_batch3,,,,tlg1443.tlg001.perseus-eng1#41,tlg1443.tlg001.perseus-eng1,,"The text outlines a clear restriction on the performance of religious rites based on ecclesiastical office (Occupation), stating that those without the bishop's approval lack the lawful right to conduct specific communal rituals.",3,Specific role within a broader class; describes contemporary church practice.,10.0,3,3,Right to perform baptisms or agape is access to a social practice with tangible communal outcomes.,2,Right to perform specific rituals is tied to a particular procedure.,4,"The right to perform baptisms or agape is tied to one's clerical status, which is long-term but revocable.",3,"Laity refers to non-clergy church members, a durable social identity.",0,Being laity does not inherently mean one cannot perform baptisms; this is a specific ecclesiastical restriction.
Antidosis,Isocrates,-400,,Occupation,Occupation,1,fact,Sycophant reward for litigation,Sycophants (professional accusers),,Right to state rewards,,MORE,"[§175] If, however, it has the opposite effect and helps and improves and makes better men of its devotees, then you should call a halt on those who load this study with abuse; you should strip the sycophants of their rewards, and counsel our young men to occupy themselves with this pursuit above all others.",Sycophant reward for litigation,gemini_v19_batch3,,,,tlg0010.tlg019.perseus-eng2#28,tlg0010.tlg019.perseus-eng2,,"The passage refers to 'the sycophants of their rewards', acknowledging that individuals who act as professional accusers in the Athenian legal system receive material or status-based rewards for their service to the state.",3,The group is a specific profession; the author describes a contemporary legal and social practice.,8.0,4,4,Right to state rewards implies concrete financial or status-based benefits.,3,"Right to state rewards is specific but recurring, tied to a role.",3,Rewards for litigation are likely recurring as long as the sycophant practices their trade.,3,"Professional accusers (sycophants) is an occupation, changeable with effort.",1,"'Sycophants' are defined by their role as professional accusers, which inherently involves rewards."
Epistle of Barnabas,Barnabas,36,,Religion,Religion,1,fact,Jewish Sabbath observance rejection,Jewish people,,Divine acceptance of ritual observance,,LESS,"[§171] Furthermore he says to them, Your new moons and the sabbaths I cannot away with. Do you see what he means? The present sabbaths are not acceptable to me, but that which I have made, in which I will give rest to all things and make the beginning of an eighth day, that is the beginning of another world.",Jewish Sabbath observance rejection,gemini_v19_batch3,,,,tlg1216.tlg001.perseus-eng1#20,tlg1216.tlg001.perseus-eng1,,"The text explicitly states that the traditional 'present sabbaths' observed by the Jewish people are no longer acceptable to God, meaning the group no longer has the resource of divine favor through that specific ritual.",5,Canonical societal group; the author discusses contemporary religious practices.,10.0,3,1,Divine acceptance of ritual observance is a spiritual and symbolic resource.,3,Divine acceptance of ritual observance is specific but recurring.,4,"Divine acceptance of ritual observance is a long-term status, revocable by divine decree.",5,"Jewish people are defined by birth and lineage, a strictly immutable characteristic.",0,Jewish people are not defined by divine rejection of Sabbath observance; this is a new religious decree.
The Shepherd of Hermas,Hermas,150,,Religion,Religion,1,fact,Martyr's right to crowns,Martyrs,,Right to be crowned,,MORE,"[§549] [1] And the angel of the Lord commanded crowns to be brought; and crowns were brought; made; as it were; of palm leaves; and he crowned the men who had given up their sticks with buds and some fruit; and sent them away into the tower. | [§564] [6] Who then, Sir, said I, are they who were crowned and went into the tower? All those, said he, who wrestled with the devil and conquered him, have been crowned. These are they who suffered for the law.",Martyr's right to crowns,gemini_v19_batch3,,,,tlg1419.tlg001.perseus-eng1#106,tlg1419.tlg001.perseus-eng1,,"The text establishes a rule where a specific subset of the religious community (those who 'suffered' or 'wrestled with the devil') are granted the specific resource of being crowned, a distinction not given to all believers.",4,The group 'Martyrs' is broad; the author describes a contemporary religious reward.,9.0,3,2,"Being crowned is a ceremonial honour with symbolic value, weak material payoff.",2,Right to be crowned is a specific civic/religious award.,5,"The right to be crowned is a lifelong, permanent honor for martyrs.",1,"Defined by actions (suffering, wrestling with devil) which are choices.",0,"The right to be crowned is a specific reward, not inherent in the definition of 'Martyrs'."
The Shepherd of Hermas,Hermas,150,,Religion,Religion,1,fact,Penitent obligation of self-torture,Penitents,,Protection from physical or mental affliction,,LESS,"[§524] [4] ...do you then think that the sins of those who repent are immediately forgiven? By no means; but he who repents must torture his own soul, and be humble in all his deeds and be afflicted with many divers afflictions.",Penitent obligation of self-torture,gemini_v19_batch3,,,,tlg1419.tlg001.perseus-eng1#99,tlg1419.tlg001.perseus-eng1,,The author describes a rule of the early Christian community where repentance does not grant immediate relief but requires the individual to undergo specific afflictions and self-torture.,4,The group 'Penitents' is broad; the author describes a contemporary religious practice.,10.0,3,5,Protection from physical or mental affliction relates to bodily integrity and well-being.,4,Protection from physical or mental affliction is a broad category of well-being.,3,"Protection from affliction is withheld during the period of penance, a bounded life stage.",1,Defined by an action (repenting) and subsequent actions (self-torture).,0,"The obligation of self-torture is a specific requirement, not inherent in the definition of 'Penitents'."
The Shepherd of Hermas,Hermas,150,,Religion,Religion,1,fact,Exclusion of the defiled from Church,The wicked and hypocrites,,Right to remain in the Church,,LESS,"[§757] [5] But after they entered in together and became one body, some of them defiled themselves and were cast out from the family of the righteous, and became again what they had been before, or rather even worse. [...] [§761] [3] ...so the Church of God also shall be, after it has been purified, and the wicked and hypocrites and blasphemers and double-minded, and doers of various wickedness, have been rejected from it.",Exclusion of the defiled from Church,gemini_v19_batch3,,,,tlg1419.tlg001.perseus-eng1#138,tlg1419.tlg001.perseus-eng1,,"The passage outlines the rule for maintaining the 'purity' of the religious community (the Church) by the systematic rejection and casting out of members who exhibit specific behaviors or internal states (hypocrisy, blasphemy).",4,Broad societal group defined by religious behavior; the author describes contemporary religious norms.,9.0,3,3,"Right to remain in the Church is access to a social role with tangible outcomes (community, rituals).",3,Right to remain in the Church is a specific but broadly applicable religious protection.,4,Membership in the Church is long-term but revocable if one becomes wicked or hypocritical.,1,"Being wicked or hypocritical is a behavioral state, changeable by choice.",0,"Exclusion from the Church is a consequence of being wicked/hypocritical, not the definition of it."
Epistle of Ignatius to the Trallians,Ignatius of Antioch,70,,Religion,Religion,1,fact,Christian exclusion from world-pleasing,Christians,,Right to social acceptance (heathen),,LESS,"[§141] Give no occasion to the heathen, in order that the congregation of God may not be blasphemed for a few foolish persons. [...] [§160] Christianity is not the work of persuasiveness, but of greatness, when it is hated by the world.",Christian exclusion from world-pleasing,gemini_v19_batch3,,,,tlg1443.tlg001.perseus-eng1#27,tlg1443.tlg001.perseus-eng1,,Ignatius frames the Christian group as inherently 'hated by the world' and instructs members to avoid behaviors (like grudges) that would give 'the heathen' cause to further attack the group's reputation.,5,The group 'Christians' is a canonical societal group; the rule describes a contemporary social dynamic.,7.0,3,2,Right to social acceptance is a status access with weak material payoff.,3,Right to social acceptance is a specific but broadly applicable social protection.,5,"The right to social acceptance is a lifelong status, either granted or denied by society.",3,"Being a Christian is a religious identity, changeable with effort but durable.",0,"The right to social acceptance is a social outcome, not inherent in the definition of 'Christians'."
The Clouds,Aristophanes,-409,,Wealth / Properties,Wealth / Properties,1,fact,Creditor right to judicial summons,Creditors,,Right to initiate legal proceedings,,MORE,"[§41] For every one to whom I happen to be indebted, swears, and says he will ruin and destroy me, having made his deposits against me; [...] they say that thus they will never get back their money, but abuse me, as I am unjust, and say they will go to law with me.",Creditor right to judicial summons,gemini_v19_batch3,,,,tlg0019.tlg003.perseus-eng2#41,tlg0019.tlg003.perseus-eng2,,The text describes the standard legal process in Athens where creditors (those to whom money is owed) initiate lawsuits by making 'deposits' (prytaneia) to the court on specific days.,5,The group 'Creditors' is a canonical societal role; the author describes contemporary legal procedures.,10.0,3,4,The right to initiate legal proceedings for debt recovery has direct material effect.,4,Right to initiate legal proceedings is a major recognizable right spanning many situations.,4,The right to initiate legal proceedings is a long-term civic right for creditors.,1,"Creditor status is defined by an action (lending money), which is a temporary condition.",0,"The right to initiate legal proceedings is a legal right, not inherent to being a creditor."
The Clouds,Aristophanes,-409,,Wealth / Properties,Wealth / Properties,1,fact,Debtor legal evasion,Wealthy citizens,,Right to retain wealth from creditors,,MORE,"[§10/§11] Yea, so that many be always seated at your gates, wishing to communicate with you and come to a conference with you, to consult with you as to actions and affidavits of many talents, as is worthy of your abilities... only to pervert the right for my own advantage, and to evade my creditors.",Debtor legal evasion,gemini_v19_batch3,,,,tlg0019.tlg003.perseus-eng2#10,tlg0019.tlg003.perseus-eng2,,"The text identifies a specific societal practice where individuals use legal sophistry to prevent the seizure of their property (talents) by creditors, establishing a rule of legal evasion for those with the appropriate education.",4,Broad societal group with a qualifier; the rule describes contemporary legal practices.,9.0,3,4,"Protection from creditors directly impacts wealth, a concrete legal right with material effect.",4,Retaining wealth from creditors is a major exemption spanning many situations.,2,"Evading creditors is a procedure for a specific debt, not a permanent status.",3,"Wealth is an acquired status, changeable with effort over time.",0,"Legal evasion is a specific action, not inherent in the definition of 'wealthy citizen' or 'right to retain wealth'."
Politics,Aristotle,-348,,Wealth / Properties,Wealth / Properties,1,fact,High office property qualification,Wealthy citizens,,Eligibility for the archonship,,MORE,"[§140] ...it is a customary institution in it [the best democracy]... for the holders of the greatest magistracies to be elected and to have property-qualifications, the higher offices being elected from the higher property-grades.",High office property qualification,gemini_v19_batch3,,,,tlg0086.tlg035.perseus-eng2#239,tlg0086.tlg035.perseus-eng2,,The text describes a rule where access to the most powerful magistracies is restricted to those meeting specific wealth thresholds.,4,Broad societal group; the author describes a contemporary political institution.,10.0,3,3,Eligibility for archonship is access to a social role with tangible outcomes.,3,Eligibility for the archonship is a specific but recurring political office.,4,Eligibility for office can last for many years but is subject to changes in law.,3,"Wealthy citizen is a wealth bracket, changeable with effort but durable.",0,"Eligibility for office based on wealth is a specific rule, not inherent to being a wealthy citizen."
