rule_uid	file_id	perseus_author	perseus_title	period	criteria	rule	group	resource	directionality	verbatim	reasoning	contemporary	factuality	confidence	resource_materiality	materiality_reasoning	resource_generality	generality_reasoning	resource_persistence	persistence_reasoning	group_immutability	immutability_reasoning	rule_contemporarity	contemporarity_reasoning	opinion_vs_fact	opinion_vs_fact_reasoning	tautology	tautology_reasoning
tlg0010.tlg029.perseus-eng2::1	tlg0010.tlg029.perseus-eng2	Isocrates	Letter 4. To Antipater	Classical (500–360 BCE)	['Health']	Physical infirmity exclusion from service	The infirm	Eligibility for royal honors	LESS	['Similarly, while he longed to obtain the honors it is yours to bestow, yet he did not expect to attain them; for he is appalled not only by his own inexperience but also by the splendor of your position; furthermore, he believes that his poor body, not being sound but somewhat defective, will impede him in many activities.']	The text identifies that a 'defective' body (poor health) serves as a barrier to pursuing or obtaining high-level political honors and activities in the service of a monarch, framing physical soundness as a prerequisite for such resources.	1	1	8.0	3	Access to royal honors and office is a role with significant outcomes.	4	Covers honors and elite status-seeking within a monarchy.	4	Defective body/poor health is a durable, long-term barrier.	5	Physical infirmity is often a biologically fixed trait.	0	Isocrates describes contemporary social/political barriers.	3	A character describes his own belief about how the world works.	0	Infirmity does not mean 'excluded from honors' by definition.
tlg0014.tlg022.perseus-eng2::0	tlg0014.tlg022.perseus-eng2	Demosthenes	Against Androtion	Late Classical (354–165 BCE)	['Occupation']	Warship construction requirement for Council reward	Councillors	Eligibility for honorary reward	LESS	['Coming now to the law which explicitly denies to the Council the right to ask a reward, if they have not built the warships, it is worth while to hear the defence that he will set up, and to get a clear view of the shamelessness of his behavior from the arguments that he attempts to use. The law, he says, forbids the Council to ask for the reward, if they have not built the ships. But, he adds, the law nowhere prohibits the Assembly from giving it.']	The text describes a specific legal constraint where the Athenian Council (Boule) is prohibited from receiving a crown or reward if they fail their technical duty of overseeing ship construction.	1	1	10.0	3	Reward/crown is a social/symbolic role privilege with some rewards.	2	Very narrow procedural requirement (building ships for the Council).	3	Bounded to the annual term of the Athenian Council.	3	Councillors were short-term political officers chosen annually.	0	Demosthenes is arguing about an Athenian law currently in force.	4	Demosthenes cites the 'law which explicitly denies' as a fact.	0	Being a councillor does not conceptually mean building ships or crowns.
tlg0014.tlg022.perseus-eng2::1	tlg0014.tlg022.perseus-eng2	Demosthenes	Against Androtion	Late Classical (354–165 BCE)	['Health']	Prostitution disability for public speech	Men who have prostituted themselves	Right to address the Assembly	LESS	['This may be seen in many ways, but especially from this law, which forbids persons guilty of prostitution to make speeches or to propose measures. For he saw that the majority of you do not avail yourselves of your right to speak, so that the prohibition seemed no great hardship, and he could have laid down many harsher penalties, if his object had been the chastisement of these offenders.']	Demosthenes cites a law attributed to Solon that creates a legal disability for men who have engaged in prostitution, barring them from the political rights of speech and making proposals in the democracy.	1	1	10.0	3	Right to speak in the Assembly is a procedural/political right.	4	Assembly speaking is a foundational political axis in democracy.	5	The status of being a prostitute and the resulting disability was permanent.	3	Based on a past behavior/action that creates a durable identity.	0	Demosthenes discusses a law active in his contemporary Athens.	5	Cites a specific law (Solon's law) reported as pure fact.	0	Prostitution does not mean 'unable to speak in court' by definition.
tlg0014.tlg022.perseus-eng2::2	tlg0014.tlg022.perseus-eng2	Demosthenes	Against Androtion	Late Classical (354–165 BCE)	['Wealth / Properties']	State debtor disqualification from politics	Debtors to the state	Right to propose resolutions	LESS	['Again, with regard to the law which forbids him to speak or move resolutions, because his father owed money to the exchequer and has never paid it... Prove, therefore, that your father was not a defaulter, or that he left the prison, not by running away, but by paying his debts. If you cannot prove that, then you had no right to move your resolution; for the law makes you a partner in the disqualification of your father, and being disqualified you had no right either to speak or move.']	Athenian law imposed 'atimia' (loss of rights) on those who owed money to the public treasury, a disqualification that inherited from father to son until the debt was paid.	1	1	10.0	4	Political participation (proposing resolutions) is a concrete legal right with direct influence on state resources.	4	Disqualification from the Assembly affects a broad category of civic and political life.	4	The disability lasts until a debt is paid, which can span decades or be inherited.	3	Debtor status is a financial condition that can be exited by paying the debt.	0	Demosthenes is discussing a statute currently in force in 4th-century Athens.	5	The verbatim cites the specific law as an established, verifiable legal fact.	0	Being a debtor does not inherently mean one is barred from speaking; it is a specific legal penalty.
tlg0014.tlg022.perseus-eng2::3	tlg0014.tlg022.perseus-eng2	Demosthenes	Against Androtion	Late Classical (354–165 BCE)	['Freedom']	Protection of freemen from corporal liability	Citizens	Protection of person from seizure for debt	MORE	['Indeed, if you wanted to contrast the slave and the freeman, you would find the most important distinction in the fact that slaves are responsible in person for all offences, while freemen, even in the most unfortunate circumstances, can protect their persons. For it is in the shape of money that in the majority of cases the law must obtain satisfaction from them; but Androtion on the contrary exacted vengeance from their persons, as if they had been bond-slaves.']	The author contrasts the status of slaves and freemen, noting that the law protects the physical person of a freeman from seizure or corporal punishment for financial obligations, unlike slaves who are liable in person.	1	1	9.0	5	Protection of the physical person from seizure is a fundamental bodily entitlement.	5	Bodily integrity and freedom from corporal liability are foundational societal axes.	5	This protection is a stable, lifelong attribute of the status of being a 'freeman'.	4	Free status is a legal birth-status, very difficult to change (requiring enslavement).	0	The author contrasts contemporary legal statuses of his own society.	4	While used in an argument, it describes well-attested structural differences in Athenian law.	0	Being 'free' does not analytically entail protection from all debt-seizure; it is a legal rule.
tlg0014.tlg022.perseus-eng2::4	tlg0014.tlg022.perseus-eng2	Demosthenes	Against Androtion	Late Classical (354–165 BCE)	['Citizenship']	Metic property tax rate	Resident aliens	Right to equal tax rates	LESS	['Is it not rather because he said of one of them, in the hearing of all of you in the Assembly, that he was a slave and born of slaves and ought by rights to pay the contribution of one-sixth with the resident aliens; and of another that he had children by a harlot']	The text refers to the 'eisphora' or tax obligations where metics (resident aliens) were required to pay a higher proportion (the sixth) than citizens, marking a clear group boundary based on citizenship status.	1	1	8.0	4	Tax rates (eisphora) have a direct and significant material effect on wealth.	4	Taxation is a broad category of legal and economic obligation.	4	Metic tax obligations persist as long as the individual maintains resident alien status.	4	Resident alien (metic) status is a legal birth-status requiring naturalization to change.	0	Refers to the contemporary tax system of democratic Athens.	5	The verbatim refers to the 'contribution of one-sixth' as a known institutional fact.	0	Being an alien does not inherently define a 1/6th tax rate; it is an external rule.
tlg0014.tlg035.perseus-eng2::0	tlg0014.tlg035.perseus-eng2	Demosthenes	Against Lacritus	Late Classical (354–165 BCE)	['Citizenship', 'Freedom']	Commercial grain transport restriction	Athenians and resident aliens	Right to transport grain to non-Athenian ports	LESS	['It shall be unlawful for any Athenian or any alien residing at Athens or for any person over whom they have control, to lend money on any vessel which is not going to bring to Athens grain or the other articles specifically mentioned. [...] And he shall have no right to bring action for the money which he has lent for a voyage to any other place than to Athens, and no magistrate shall bring any such suit to trial.']	The text explicitly cites a law prohibiting Athenians and metics (resident aliens) from financing or transporting grain to ports other than Athens, reflecting a protectionist maritime policy to ensure the city's food supply.	1	1	10.0	3	Regulation of grain transport is a trade restriction with tangible economic consequences.	3	The resource is specific to maritime trade and grain logistics.	4	The restriction applies to all commercial voyages undertaken while a resident/citizen.	4	Athenians and resident aliens are legal/structural status groups.	0	Demosthenes quotes a specific, current Athenian trade law.	5	The verbatim quotes the actual text of the law ('It shall be unlawful...').	0	Citizenship/residency does not by definition include grain transport restrictions.
tlg0014.tlg035.perseus-eng2::1	tlg0014.tlg035.perseus-eng2	Demosthenes	Against Lacritus	Late Classical (354–165 BCE)	['Lineage']	Heir liability for debts	Heirs	Right to retain inherited property without debt liability	LESS	['since he is the brother of Artemo and has possession of all his property, both all that he left here and all that he had at Phaselis, and is the heir to his whole estate; and since he can show no law which gives him the right to hold his brother’s property and to have administered it as he pleased, and yet to refuse to pay back money which belongs to others']	The orator argues based on the established legal norm that taking possession of an estate (acting as heir) obligates the individual to settle the debts associated with that estate.	1	1	9.0	5	Debt liability directly affects the material value of an inheritance.	4	Inheritance and debt liability are broad categories of property law.	5	Inheritance and associated liabilities are lifelong transfers of wealth.	5	Heir status is determined by birth and lineage (being the brother).	0	The orator argues based on the legal norms governing his own society.	4	The author asserts this as an 'established legal norm' that the opponent cannot bypass.	0	Being an heir does not analytically mean one must pay debts; some systems allow renunciation.
tlg0014.tlg035.perseus-eng2::2	tlg0014.tlg035.perseus-eng2	Demosthenes	Against Lacritus	Late Classical (354–165 BCE)	['Ethnicity', 'Citizenship']	Alien access to maritime courts	Foreigners	Access to special commercial courts (dikai emporikai)	MORE	['Do not the same laws stand written for us all? And have we not all the same rights in regard to mercantile suits? [...] those who have lent money in your port for an adventure overseas, and have been defrauded of it, should be led off to prison by those who borrowed and are seeking to evade payment? [...] Out of the hosts of people, both Greeks and barbarians, who frequent your exchange, the Phaselites alone have more lawsuits, whenever the courts sit, than all others put together.']	The text confirms that foreign merchants (Phaselites, Greeks, and 'barbarians') had the right to bring and defend lawsuits in Athenian commercial courts regarding maritime contracts.	1	1	9.0	4	Access to specialized courts is a concrete legal right that protects material assets.	3	Specific to mercantile/maritime legal procedures.	4	Foreigners had this standing whenever they engaged in trade at Athens.	4	Foreigner/Phaselite status is a fixed ethnicity or birth-based citizenship.	0	Demosthenes refers to the current 'dikai emporikai' system in Athens.	5	Verbatim states equality in mercantile suits as an observed institutional fact.	0	Being a foreigner does not define access to a specific Athenian court.
tlg0014.tlg035.perseus-eng2::3	tlg0014.tlg035.perseus-eng2	Demosthenes	Against Lacritus	Late Classical (354–165 BCE)	['Citizenship']	Metic requirement for a patron	Resident aliens	Right to reside without a patron (prostates)	LESS	['Or will the Polemarch bring us into court? Yes, for disregard of a patron, or for having no patron.']	The author references the legal requirement for aliens in Athens to have a citizen patron (prostates), noting that cases regarding the lack of one are heard by the Polemarch.	1	1	10.0	4	The right to reside without a patron (and avoid prosecution) is a concrete legal standing.	3	Narrowly scoped to a specific procedural requirement (prostasia).	4	This requirement lasted for the entire duration of a foreigner's residency.	4	Resident alien (metic) status is a legal birth-status.	0	Refers to the current jurisdiction of the Athenian Polemarch.	5	Cites the specific charge ('disregard of a patron') under the Polemarch's jurisdiction.	0	Resident alien status does not inherently mean one must have a 'patron' in all societies.
tlg0014.tlg035.perseus-eng2::4	tlg0014.tlg035.perseus-eng2	Demosthenes	Against Lacritus	Late Classical (354–165 BCE)	['Wealth / Properties']	Lender control of security	Commercial lenders	Right to control pledged cargo	MORE	['And they shall deliver to the lenders in their entirety the goods offered as security to be under their absolute control until such time as they shall themselves have paid the money due in accordance with the agreement. And, if they shall not pay it within the time agreed upon, it shall be lawful for the lenders to pledge the goods or even to sell them for such price as they can get']	The legal contract (which the text claims is binding above all else in maritime law) grants lenders the right to physically control and sell the security if the debt is defaulted upon.	1	1	10.0	5	Physical control and sale of pledged cargo is a tangible property right.	2	Tied to a specific commercial procedure and contract type.	2	The right is episodic, lasting only for the duration of a specific loan/default.	2	Lenders are defined by the episodic act of lending in a single transaction.	0	The text describes laws governing contemporary maritime loans.	5	Verbatim quotes the legal permissions granted to lenders as factual powers.	0	Granting physical control and sale power is a specific legal choice, not a definition of lending.
tlg0014.tlg049.perseus-eng2::0	tlg0014.tlg049.perseus-eng2	Demosthenes	Apollodorus Against Timotheus	Late Classical (354–165 BCE)	['Occupation']	Banker record keeping of loans	Bankers	Right to maintain official financial records	MORE	['And let no one of you wonder that I have accurate knowledge of these matters; for bankers are accustomed to write out memoranda of the sums which they lend, the purposes for which funds are desired, and the payments which a borrower makes, in order that his receipts and his payments may be known to them for their accounts.']	The passage describes a standard practice and norm for bankers in 4th-century Athens to maintain detailed written accounts of transactions to ensure the accuracy of their business and legal claims.	1	1	10.0	3	Official financial records have evidentiary value with material payoff in court.	2	Narrowly scoped to the institutional setting of banking.	4	Record-keeping is a constant, long-term requirement of the banking profession.	3	Banker is a durable occupational identity acquired through training and status.	0	The author describes current Athenian banking practices.	4	Describes standard professional practice as a generally known fact.	0	Record keeping is not what the word 'banker' means, but a rule for the role.
tlg0014.tlg049.perseus-eng2::1	tlg0014.tlg049.perseus-eng2	Demosthenes	Apollodorus Against Timotheus	Late Classical (354–165 BCE)	['Citizenship']	Citizen right to request individual testimony	Citizens	Right to summon witnesses to court	MORE	['On my depositing a drachma in his name on a charge of failing to appear, as the law prescribes, the arbitrator did not make an award against the defendant, but decided in his favor, and then went off, for it was already late.', 'Now, however, I have entered suit on my own account for damages against Antiphanes because he neither gave testimony for me, nor asked under oath for a postponement, as the law provides.']	The text references several specific laws regarding the summoning of witnesses, the fine for failing to appear (the drachma deposit), and the right to sue a witness for damages if they fail to testify without a legal excuse.	1	1	9.0	4	The right to summon witnesses and sue for damages has direct material consequences in litigation.	3	Specific to the recurring procedure of court trials.	2	The resource is bounded to the duration of a specific legal case.	4	The right is tied to the durable legal status of citizenship.	0	Refers to current Athenian statutes ('as the law provides').	5	Verbatim cites specific legal procedures ('depositing a drachma') as simple fact.	0	Citizenship does not conceptually entail a drachma-deposit rule for witnesses.
tlg0014.tlg049.perseus-eng2::2	tlg0014.tlg049.perseus-eng2	Demosthenes	Apollodorus Against Timotheus	Late Classical (354–165 BCE)	['Freedom']	Slave testimony under torture (Basanos)	Slaves	Protection from corporal punishment during legal proceedings	LESS	['For, if slaves brought it, he ought to have delivered them up for the torture, but if hired men, he ought to have demanded for the torture the slave of ours who received and weighed the copper; for, I fancy, neither would the one taking the copper in pledge accept it, nor the one offering it give it over, without weighing; nor was my father likely to carry the copper and weigh it himself, since he had slaves who were accustomed to receive the articles given as security for loans.']	Standard Athenian legal procedure dictated that the testimony of a slave was only admissible if obtained through 'basanos' (torture). The passage treats this as the expected method of verification for facts known by slaves.	1	1	10.0	5	Subjection to torture (basanos) is a direct bodily imposition/violation.	4	Torture for evidence was a broad category of legal treatment for slaves.	5	This liability to physical coercion was a lifelong condition of slave status.	4	Slave status is a fixed legal status, requiring the rare act of manumission to change.	0	Describes the standard legal procedure of democratic Athens.	5	The orator presents this method of verification as the standard, expected procedure.	0	A 'slave' is property, but it is a specific rule of law that they must be tortured for testimony.
tlg0014.tlg049.perseus-eng2::3	tlg0014.tlg049.perseus-eng2	Demosthenes	Apollodorus Against Timotheus	Late Classical (354–165 BCE)	['Citizenship']	Prosecution for deceiving the assembly	Citizens	Right to statehood and assembly honors	LESS	['When a man, then, felt no shame in deceiving you to whom he had pledged his word, though there are laws which declare that, if a man deceive the people by a promise, he shall be liable to impeachment,—when, after swearing and imprecating destruction upon himself, he had no fear of the gods in whose name he had perjured himself—was it strange that I was unwilling to allow him to take an oath?']	The author cites a specific Athenian law that makes citizens liable to impeachment (eisangelia) if they deceive the People (the Assembly) by making false promises.	1	1	9.0	4	Liability to impeachment is a concrete legal threat affecting political status.	3	Specific to the context of the Assembly and public speaking.	2	Liability occurs during the episode of making a proposal to the Assembly.	4	The rule applies to citizens, a stable legal birth-status.	0	Refers to active Athenian impeachment (eisangelia) laws.	5	Verbatim cites existing 'laws which declare' the liability for deception.	0	Being a citizen does not inherently mean one faces impeachment for lying.
tlg0014.tlg049.perseus-eng2::4	tlg0014.tlg049.perseus-eng2	Demosthenes	Apollodorus Against Timotheus	Late Classical (354–165 BCE)	['Freedom']	Slave status prevents direct legal testimony	Slaves	Right to give voluntary legal testimony	LESS	['He answered that Aeschrion was free, so I desisted from my demand; but I required him to put in a deposition made by Aeschrion as being a free man.', 'He, however, neither provided a deposition from Aeschrion, as being free, nor would he deliver him up as a slave that proof might be had from his body']	The text highlights the binary choice in Athenian law: a witness is either free (must provide a written deposition and is liable for perjury) or a slave (must be tortured for their evidence). Slaves were denied the right to offer voluntary, un-coerced testimony.	1	1	10.0	4	Exclusion from un-coerced testimony is a concrete legal disability with material effects on legal defense.	4	This disability spans all legal proceedings involving slaves.	5	The inability to testify voluntarily is a lifelong structural feature of slave status.	4	Slave status is a structural/legal birth-status status.	0	Refers to the contemporary binary witness laws in Athens.	4	Describes the binary legal choice (free/deposition vs. slave/torture) as plain fact.	0	Exclusion from non-coerced testimony is a legal rule, not the definition of 'slave'.
tlg0017.tlg006.perseus-eng2::0	tlg0017.tlg006.perseus-eng2	Isaeus	On the Estate of Philoctemon	Classical (500–360 BCE)	['Citizenship', 'Lineage']	Illegitimate child inheritance restriction	Illegitimate children	Right to inherit property	LESS	['Chaerestratus and his supporters impugned the protestation, declaring that both Antidorus and his sister were illegitimate and that the law ordains that an illegitimate son or daughter cannot inherit as next-of-kin.']	The speaker cites a specific Athenian law that prohibits children born outside of a legitimate marriage from inheriting property as next-of-kin. This is a general legal rule used to challenge the opponents' claim.	1	1	10.0	5	The right to inherit property is a fundamental material entitlement.	4	Inheritance is a foundational societal axis for wealth transmission.	5	Inheritance rights are lifelong and structural.	5	Illegitimacy (nothos) is a fixed status based on the circumstances of birth.	0	Isaeus cites a contemporary law used in current inheritance cases.	5	The verbatim cites exactly what 'the law ordains' as a factual rule.	1	In Athens, 'illegitimacy' was defined specifically by the exclusion from kinship and inheritance rights.
tlg0017.tlg006.perseus-eng2::1	tlg0017.tlg006.perseus-eng2	Isaeus	On the Estate of Philoctemon	Classical (500–360 BCE)	['Citizenship', 'Freedom']	Athenian citizen testamentary freedom	Athenian citizens	Right to dispose of property by will	MORE	['But, since it is lawful for any Athenian who wishes to do so to dispute an inheritance by bringing a direct action before you, and if he can establish a better claim, to obtain possession of the estate', 'This law, gentlemen, holds good for all men alike, permitting anyone to dispose of his property in default of male issue, providing that, at the time of doing so, he is not insane or mentally incapacitated by old age or any other of the causes mentioned in the law.']	The text explicitly quotes and discusses the law that allows Athenian citizens without male issue to adopt an heir and bequeath property, provided they are of sound mind.	1	1	10.0	5	The right to dispose of property (testamentary freedom) is a tangible property right.	4	Foundational property right covering all owned assets.	5	This legal capacity holds throughout the citizen's adult life.	4	Athenian citizenship is a legal birth-status.	0	Refers to the Solonic laws on wills still in force in Athens.	5	Explicitly states 'This law... permits anyone to dispose of his property'.	0	Citizenship does not analytically include the right to dispose of property by will.
tlg0017.tlg006.perseus-eng2::2	tlg0017.tlg006.perseus-eng2	Isaeus	On the Estate of Philoctemon	Classical (500–360 BCE)	['Lineage']	Automatic inheritance for legitimate sons	Legitimate sons	Right to inherit property directly	MORE	"[""for no one ever makes a gift by will of anything to the sons of his own body, because the law of itself gives his father's estate to the son and does not even allow anyone who has legitimate children to dispose of his property.""]"	The passage explains that under Athenian law, legitimate biological sons inherit automatically, and their existence actually restricts the father's right to dispose of the estate to anyone else by will.	1	1	10.0	5	Automatic inheritance of the father's estate is a tangible property entitlement.	4	Property transmission through lineage is a foundational societal axis.	5	This right is a lifelong structural feature of being a legitimate son.	5	Legitimacy and biological son-ship are immutable birth-fixed statuses.	0	Describes contemporary Athenian intestate succession laws.	5	States the automatic operation of the law as an unquestioned fact.	0	Being a 'son' does not by definition mean you inherit automatically in all contexts.
tlg0017.tlg006.perseus-eng2::3	tlg0017.tlg006.perseus-eng2	Isaeus	On the Estate of Philoctemon	Classical (500–360 BCE)	['Lineage']	Equality of legitimate sons' shares	Legitimate sons	Right to equal share of estate	MORE	"[""And why did he introduce them on special terms, when the law ordains that all the legitimate sons have an equal right to share in their father's property?""]"	The speaker references a legal requirement that all legitimate sons must receive an equal portion of their father's inheritance.	1	1	9.0	5	The right to an equal share of the father's property is a tangible wealth entitlement.	4	Part of the foundational axis of inheritance and wealth division.	5	The share is a permanent transfer of material status.	5	Legitimacy and birth-status are immutable.	0	Cites the existing law ('the law ordains') in current force.	5	Directly cites the law's requirement as the basis for the argument.	0	Legitimacy does not analytically entail 'equality of shares' with siblings.
tlg0017.tlg006.perseus-eng2::4	tlg0017.tlg006.perseus-eng2	Isaeus	On the Estate of Philoctemon	Classical (500–360 BCE)	['Citizenship', 'Lineage']	Adopted son return restriction	Adopted children	Right to return to original family	LESS	['for the law does not allow the return of an adopted son to his original family, unless he leaves a legitimate son in the family which he quits.']	This is a specific legal rule regarding adoption in Athens: an adopted person cannot reclaim their original family ties/inheritance unless they have provided a biological heir to the adopting family.	1	1	10.0	4	The right to return to an original family affects property claims and religious rights.	3	Specific to the legal and familial status of adopted persons.	5	This restriction defines much of the life trajectory for an adopted person.	3	Adopted status is a legal social identity that can be changed only by meeting specific conditions.	0	Refers to the existing Athenian law on adoption and return.	5	Verbatim cites 'the law does not allow' as a factual legal prohibition.	0	The definition of adoption does not logically include a bar on returning to a prior family.
tlg0017.tlg006.perseus-eng2::5	tlg0017.tlg006.perseus-eng2	Isaeus	On the Estate of Philoctemon	Classical (500–360 BCE)	['Gender', 'Citizenship']	Legitimate son exclusion of epikleros	Daughters	Right to inherit as heiress	LESS	['For obviously, if Euctemon had a legitimate son, his daughter could not be heiress or the estate adjudicable.']	In Athenian law, a daughter only becomes an 'epikleros' (heiress) if there are no legitimate biological or adopted sons; the presence of a son legally bars her from this status.	1	1	10.0	5	Being an heiress (epikleros) determines the transfer of a whole estate.	4	Part of the foundational societal axis of property and gender status.	5	The status of heiress (or lack thereof) is a permanent life-trajectory event.	5	Daughter-hood is a biologically and birth-fixed status.	0	Describes contemporary Athenian rules on epikleroi.	5	States the impossibility of the status ('could not be') under law as a fact.	0	Being a daughter does not inherently define when one becomes an 'epikleros'.
tlg0017.tlg006.perseus-eng2::6	tlg0017.tlg006.perseus-eng2	Isaeus	On the Estate of Philoctemon	Classical (500–360 BCE)	['Lineage', 'Citizenship']	Bastard exclusion from family property	Bastards	Right to inherit property	LESS	['Thus the contrary has been done of that which the law has prescribed; for according to the law no male or female bastard has any right, based on kinship, to participate in the cults or property of a family since the archonship of Eucleides 403-402 B.C.']	The author cites a specific Athenian law established after 403/2 BCE that explicitly bars children born outside of legitimate marriage (nothos/nothe) from claiming a share in the family estate or religious rites.	1	1	10.0	5	Exclusion from family property and cults has direct material and social consequences.	4	Exclusion from property and religion are broad, foundational disabilities.	5	This exclusion was lifelong and structural for bastards.	5	Bastardy (nothos) is an immutable birth-circumstance.	0	Cites a real law established after 403/2 BCE still in force.	5	Cites the specific timeframe (Archonship of Eucleides) and the legal prescription.	1	Being 'nothos' in Athens meant, by law, having no share in property or cult.
tlg0017.tlg006.perseus-eng2::7	tlg0017.tlg006.perseus-eng2	Isaeus	On the Estate of Philoctemon	Classical (500–360 BCE)	['Freedom', 'Gender']	Slave exclusion from Thesmophoria	Slaves	Access to the Thesmophoria festival	LESS	['The law here cited must have been that which excluded slaves and women of immoral life from participating in the festival of the Thesmophoria celebrated in honor of Demeter and Persephone... Yet the mother of these young men, being admittedly a slave, and having always lived a scandalous life, who ought never to have entered the temple and seen any of the rites performed there, had the effrontery to join in the procession.']	The text references a law and a specific Council decree prohibiting slaves from participating in the sacred rites of the Thesmophoria, framing her entry as a legal and religious violation.	1	1	9.0	3	Participation in a major civic-religious festival is a recognized public practice with social standing outcomes.	2	The resource is tied to a specific named festival (Thesmophoria).	3	The right is recurring annually for the duration of the individual's status.	4	Slave status is a legal birth-status requiring manumission to change.	0	Isaeus refers to a contemporary Athenian law and social norm.	5	The verbatim cites a specific law and public decree as an established fact of the case.	0	Slavery is defined by lack of freedom, not necessarily exclusion from all religious festivals.
tlg0017.tlg006.perseus-eng2::8	tlg0017.tlg006.perseus-eng2	Isaeus	On the Estate of Philoctemon	Classical (500–360 BCE)	['Lineage', 'Gender']	Legitimate daughter marriage adjudication	Legitimate daughters	Right to choose a spouse	LESS	"[""whether Philoctemon's sister, formerly the wife of Chaereas and now a widow, ought to pass into the power of our opponents and be married to anyone they choose or else be allowed to grow old in widowhood, or whether, as a legitimate daughter, she ought to be subject to your decision as to whom she ought to marry.""]"	The passage describes the status of an epikleros (heiress). As a legitimate daughter without brothers, her marriage and the control of her estate are subject to legal adjudication by the city (the jury's decision) rather than her own choice.	1	1	9.0	4	The right to choose a spouse determines the control of an estate and marital property.	5	Marriage is a foundational societal axis and a broad class of life outcome.	4	The decision governs long-term marital rights and property management.	5	Being a legitimate daughter is biologically and lineage-fixed.	0	Isaeus is arguing based on active Athenian inheritance laws (epikleros).	4	The verbatim reports the legal procedure of adjudication as a factual framework for the argument.	0	Legitimacy does not by definition entail a loss of marital choice; it's a specific legal rule for heiresses.
tlg0017.tlg006.perseus-eng2::9	tlg0017.tlg006.perseus-eng2	Isaeus	On the Estate of Philoctemon	Classical (500–360 BCE)	['Lineage']	Adopted son inheritance rights	Adopted sons	Right to inherit property	MORE	['How could he be childless, when he adopted and was survived by his own nephew, to whom the law gives the right of inheritance just as much as to children of his own body?']	The author explicitly states that Athenian law grants an adopted son the same legal standing and inheritance rights as a biological child.	1	1	10.0	5	Inheritance involves tangible property and wealth transfer.	5	Inheritance is a foundational societal axis for economic survival.	5	Inheritance rights are lifelong and structural once the status is established.	3	Adopted status is a durable social identity acquired through a specific legal act.	0	The text describes current Athenian laws concerning adoption and succession.	5	The verbatim explicitly cites the law giving the right of inheritance to adopted sons.	0	Being adopted does not inherently grant inheritance rights in all legal systems.
tlg0017.tlg006.perseus-eng2::10	tlg0017.tlg006.perseus-eng2	Isaeus	On the Estate of Philoctemon	Classical (500–360 BCE)	['Lineage']	Inheritance sharing with subsequent children	Adopted sons	Right to a share of the estate	MORE	['Indeed, it is expressly stated in the law that, if children are born subsequently to one who has adopted a son, each child takes his share of the estate and both classes of children alike inherit.']	This rule clarifies that an adoption is not invalidated by the later birth of biological children; instead, the law mandates that the estate be shared among all children regardless of biological or adoptive status.	1	1	10.0	5	A share of an estate is a direct material wealth entitlement.	4	Estate sharing is a major recognisable right within inheritance law.	5	Once the estate is divided, the ownership is lifelong.	3	Adopted status is a durable legal identity.	0	Refers to active Athenian statutes on family law.	5	Verbatim states the rule is 'expressly stated in the law'.	0	The interaction between adopted and biological children is a specific regulation, not a definition.
tlg0017.tlg006.perseus-eng2::11	tlg0017.tlg006.perseus-eng2	Isaeus	On the Estate of Philoctemon	Classical (500–360 BCE)	['Wealth / Properties']	Wealthy obligation for war-taxes	The wealthy	Exemption from special war-taxes	LESS	['Both of them have paid all the special war-taxes, being numbered among the three hundred. i.e., the richest class. Formerly only these two members of the family contributed, but now the younger son here is choregus in the tragic competitions and has been enrolled among the three hundred and pays the war-tax.']	The text identifies 'the three hundred' as the wealthiest class who are legally required to pay special war taxes and perform liturgies.	1	1	9.0	4	Tax liability/obligation has a direct material effect on personal wealth.	4	War-taxes (eisphora) represent a broad category of civic financial burden.	4	Obligation lasts as long as one remains in the elite 'Three Hundred' class.	3	Wealth brackets are changeable with effort or fortune but represent durable identities.	0	Describes the contemporary Athenian system of liturgies and war-taxes.	4	Verbatim reports the enrollment and payment as verifiable procedural facts.	1	The group 'the three hundred' is defined specifically as the class obligated to pay these taxes.
tlg0027.tlg001.perseus-eng2::0	tlg0027.tlg001.perseus-eng2	Andocides	On the Mysteries	Classical (500–360 BCE)	['Citizenship']	Citizen right to furnish sureties	Citizens	Protection from pretrial detention	MORE	['I have not been on bail, nor have I been kept in confinement. This was not customary in a case of ἔνδειξις. The accused, if a citizen, was usually given the choice of furnishing sureties (ἐγγυηταί) or suffering imprisonment until the case came into court.']	The text and its commentary establish that Athenian citizens facing certain legal charges had the right to provide sureties to remain free before their trial, rather than being imprisoned.	1	1	9.0	5	Freedom from detention is a direct entitlement to bodily liberty.	5	Protection from pretrial detention is a foundational legal personhood right.	2	The resource applies to the period of a single legal procedure.	4	Citizenship is a legal birth-status, very hard to change.	0	Andocides is describing contemporary Athenian legal customs.	5	The verbatim describes the 'customary' legal choice available to citizens.	0	Citizenship does not universally imply the right to bail in all societies.
