rule_uid	file_id	perseus_author	perseus_title	period	criteria	rule	group	resource	directionality	verbatim	reasoning	contemporary	factuality	confidence	resource_materiality	materiality_reasoning	resource_generality	generality_reasoning	resource_persistence	persistence_reasoning	group_immutability	immutability_reasoning	rule_contemporarity	contemporarity_reasoning	opinion_vs_fact	opinion_vs_fact_reasoning	tautology	tautology_reasoning	work_author_polity_cliopatria	work_polity	work_polity_reasoning	work_time_reference	work_time_start	work_time_end	work_time_reasoning	rule_polity	rule_polity_reasoning	rule_date	rule_time_reasoning
tlg0059.tlg008.perseus-eng2::2	tlg0059.tlg008.perseus-eng2	Plato	Statesman	Classical (500–360 BCE)	['Ethnicity']	Greek distinction from non-Greeks	Greeks	Recognition as a distinct species	MORE	['Str. It was very much as if, in undertaking to divide the human race into two parts, one should make the division as most people in this country do; they separate the Hellenic race from all the rest as one, and to all the other races, which are countless in number and have no relation in blood or language to one another, they give the single name barbarian; then, because of this single name, they think it is a single species.']	The Stranger describes a contemporary social convention in Greece where the population is divided based on ethnicity. This rule grants the 'Hellenic race' the status of being a unique group while stripping all other ethnicities (Barbarians) of their individual distinctions by grouping them into a single, heterogeneous category.	1	1.0	10.0	1	Recognition as a distinct species is a purely conceptual/taxonomic categorization.	1	This is a specific intellectual classification used as a philosophical example.	5	Ethnicity and species-status are treated as permanent, inherent characteristics.	5	Greeks (Hellenes) is defined by blood and lineage.	0	The author refers to 'most people in this country' at his own time.	4	Reports a widespread contemporary social convention as an observed fact.	0	Being Greek does not inherently define one as a 'distinct species' in all systems.								Classical Greece	The text describes a contemporary social convention within the Greek world ('this country') of distinguishing Hellenes from all other races.	-366	Plato's Statesman was written in his later period, approximately -366, documenting contemporary Greek ethnic perceptions.
tlg0059.tlg008.perseus-eng2::3	tlg0059.tlg008.perseus-eng2	Plato	Statesman	Classical (500–360 BCE)	['Occupation', 'Wealth / Properties']	Royal management of foreign fish preserves	Kings	Right to maintain private fish preserves	MORE	['Str. Whether, as I suppose, you have often heard people speak of this,— for I know you never actually saw the preserves of fish in the Nile and in the ponds of the Persian king. But perhaps you have noticed the like in fountain-pools.']	The text identifies the Persian King specifically as the owner/manager of specialized fish preserves (ponds), contrasting this high-level resource with the common fountain-pools found in Greece. This establishes a specific material resource (large-scale aquatic preserves) associated with the status of a King.	1	1.0	9.0	5	Private fish ponds are tangible property and a source of food/wealth.	2	Specific to a particular type of luxury infrastructure (fish preserves).	4	Held as long as one maintains the royal office or property rights.	4	Kingship is a structural status, often hereditary and very hard to change.	0	Refers to the existing king of Persia and known Egyptian structures.	5	The author cites these as heard-of or seen factual examples of foreign practice.	0	Being a king does not definitionally include owning fish ponds.								Achaemenid Empire	The rule specifically identifies the private fish preserves of the Persian King in contrast to Greek fountain-pools.	-366	The Persian Empire was the contemporary neighbor/rival of Greece when Plato wrote the Statesman around -366.
tlg0059.tlg008.perseus-eng2::4	tlg0059.tlg008.perseus-eng2	Plato	Statesman	Classical (500–360 BCE)	['Occupation']	Statesman authority over human society	Statesmen	Political power over the human herd	MORE	['Str. I say, then, that we ought at that time to have divided walking animals immediately into biped and quadruped, then seeing that the human race falls into the same division with the feathered creatures and no others, we must again divide the biped class into featherless and feathered, and when that division is made and the art of herding human beings is made plain, we ought to take the statesmanlike and kingly man and place him as a sort of charioteer therein, handing over to him the reins of the state, because that is his own proper science.']	Plato describes the 'statesman' or 'kingly man' as the specific group intended to exercise command ('reins of the state') over the specific class of 'human beings.' This identifies the group (Statesmen) and the specific immaterial resource (political power/command).	1	1.0	10.0	4	Political power ('reins of the state') has direct material consequences for people's lives.	5	Political power is a foundational societal axis.	4	The power is stable for the duration of the 'statesman's' tenure.	3	Statesmanship is an acquired 'science' or occupation.	0	The dialogue discusses the nature of the statesman in contemporary society.	2	The text uses 'ought to' and describes an ideal classification/prescriptive role.	1	The rule merely states that the 'statesmanlike man' should provide 'statesmanlike' care.								Classical Athens	Plato uses the Athenian intellectual context to define the ideal statesman's authority over the 'human herd'.	-366	Stated by Plato around -366 as a philosophical ideal contemporary to his political investigations.
tlg0059.tlg008.perseus-eng2::5	tlg0059.tlg008.perseus-eng2	Plato	Statesman	Classical (500–360 BCE)	['Occupation']	Animal husbandry matchmaking by herdsmen	Herdsmen	Right to control animal breeding	MORE	['but this we know, that no one will ever raise such a contention against any neatherd, but the herdsman himself tends the herd, he is their physician, he is their matchmaker, and he alone knows the midwife’s science of aiding at the birth of their offspring.']	The Stranger describes the real-world functions of a herdsman as a point of contrast to the disputed claims of the statesman. In Greek agricultural practice, the identification of the herdsman as the 'matchmaker' reflects his functional control over the reproduction and breeding of the animals in his care.	1	1.0	9.0	3	Control over animal breeding and midwifery has direct economic/biological outcomes.	2	Specific to the professional domain of animal husbandry.	4	This role is a durable professional identity and vocational right.	3	Herdsman is an occupation acquired through training.	0	Describes common contemporary agricultural practices.	5	Presented as a known fact: 'no one will ever raise such a contention'.	0	Herding sheep does not analytically entail acting as a 'physician/midwife'.								Classical Greece	The description reflects standard Greek agricultural and pastoral practices regarding the management of livestock.	-366	The functional roles of herdsmen described by the Stranger reflect the reality of the Greek countryside in -366.
tlg0059.tlg008.perseus-eng2::6	tlg0059.tlg008.perseus-eng2	Plato	Statesman	Classical (500–360 BCE)	['Occupation']	Herdsman provision of animal music	Herdsman	Right to perform music for herds	MORE	['Moreover, so far as the nature of the creatures allows them to enjoy sport or music, no one can enliven or soothe them better than he; whether with instruments or merely with his voice he performs the music best suited to his own herd; and the same applies to the other herdsmen.']	This describes the standard pastoral practice where the herdsman is the exclusive provider of environmental stimulus (music) used to manage the behavior and well-being of the livestock.	1	1.0	8.0	2	Music is a cultural practice with symbolic value and psychological effect on livestock.	1	Hyper-specific to the act of enlivening or soothing animals with music.	4	Held throughout the duration of the professional career.	3	Occupation requiring training and specialized equipment.	0	Describes common contemporary pastoral life.	5	Presented as an observable reality of how herdsmen operate.	0	Being a herdsman does not naturally define one as a musician.								Classical Greece	The text describes the standard pastoral practice of Greek herdsmen using music for animal management.	-366	Identified as a contemporary practice in Greece by Plato around -366.
tlg0059.tlg008.perseus-eng2::7	tlg0059.tlg008.perseus-eng2	Plato	Statesman	Classical (500–360 BCE)	['Nobility', 'Lineage']	Divine tokens for throne succession	Royal claimants	Right to the throne	MORE	['Atreus promised to show this prodigy to prove that the gods were on his side. . . The lamb was a token (σημεῖον) of the favor of the gods, and the changed course of the sun and stars was a testimony (μαρτυρήσας) to the right of Atreus.']	The text references the historical/mythological rule that divine omens or 'tokens' served as legal/religious evidence to settle disputes over kingly succession, validating a specific claimant's right to rule.	0	1.0	9.0	4	The right to the throne determines control over state resources and land.	4	Succession is a broad category governing the transfer of total power.	5	Settles the right to rule for life.	5	Royal claimants are defined by birth/lineage in this context (Atreus).	1	The text explicitly refers to the mythological/heroic past of Atreus.	4	Reports the myth and its internal legal logic as a known narrative fact.	0	Divine tokens are not part of the definition of a 'claimant'.								Mythological / legendary setting	The text explicitly refers to the mythological dispute between Atreus and Thyestes regarding the golden lamb and solar omens.	-1250	The rule describes a legendary/heroic era event (succession of Atreus) traditionally placed in the 13th century BCE.
tlg0059.tlg008.perseus-eng2::8	tlg0059.tlg008.perseus-eng2	Plato	Statesman	Classical (500–360 BCE)	['Nobility', 'Education']	Statesman education and breeding standards	Statesmen	Similar breeding and education as subjects	MORE	['I think, Socrates, that the form of the divine shepherd is greater than that of the king, whereas the statesmen who now exist here are by nature much more like their subjects, with whom they share much more nearly the same breeding and education.']	Plato contrasts the mythical 'divine shepherd' with contemporary Greek statesmen, noting that the latter are characterized by having the same level of education and social upbringing (breeding) as the citizens they lead, rather than being a superior class of being.	1	1.0	9.0	3	Access to education and breeding standards constitutes significant social capital/upbringing.	3	Refers to a specific social status marker (shared upbringing).	5	One's breeding and education are permanent traits acquired in youth.	3	Statesmen here are defined by their current political role.	0	Refers to 'statesmen who now exist here'.	4	The author observes this as a sociological characteristic of his peers.	0	Being a leader does not inherently mean having the same education as the subjects.								Classical Greece	The Stranger contrasts the 'divine shepherd' with 'statesmen who now exist here' in the Greek world.	-366	Plato is making a contemporary observation about the shared social status of Greek leaders and citizens in -366.
tlg0059.tlg008.perseus-eng2::9	tlg0059.tlg008.perseus-eng2	Plato	Statesman	Classical (500–360 BCE)	['Lineage']	Voluntary rule of the king	Kings	Right to rule voluntary subjects	MORE	['And if we call the art of those who use compulsion tyrannical or something of the sort and the voluntary care of voluntary bipeds political, may we not declare that he who possesses this latter art of caretaking is really the true king and statesman?']	The text defines the 'true king' or 'statesman' specifically by the criterion of voluntary governance. Unlike a tyrant who uses compulsion, the king's rule is founded on the voluntary consent of the governed (voluntary bipeds).	1	0.0	9.0	4	The right to rule is a foundational political/legal resource.	4	Covers the broad authority of the 'kingly' man.	4	Held for the duration of the royal tenure.	3	The group is defined by possessing 'the art' (knowledge).	0	Discusses contemporary definitions of kingship.	2	This is a philosophical proposal: 'may we not declare...'.	1	He defines the 'true king' as the one who rules voluntary subjects.								Classical Greece	This definition of the 'true king' vs. tyrant is part of Greek political theory regarding the nature of the polis.	-366	Plato articulates this distinction as a core part of his contemporary political philosophy in -366.
tlg0059.tlg008.perseus-eng2::10	tlg0059.tlg008.perseus-eng2	Plato	Statesman	Classical (500–360 BCE)	['Nobility']	Compulsory rule of the tyrant	Tyrants	Authority based on compulsion	MORE	['And if we call the art of those who use compulsion tyrannical or something of the sort and the voluntary care of voluntary bipeds political, may we not declare that he who possesses this latter art of caretaking is really the true king and statesman?']	The author distinguishes the tyrant from the king based on the mode of governance; the tyrant's defining characteristic in this social classification is the use of force or compulsion over the population.	1	1.0	9.0	4	Power based on compulsion involves the physical control of subjects.	4	Describes the general exercise of political power in a city.	4	Characteristic of the entire duration of a tyrannical regime.	3	Tyrant is a status acquired by seizing power.	0	Describes a contemporary political reality known to Athenians.	3	A mix of descriptive political theory and argumentation.	1	Defines a tyrant as one who uses compulsion.								Classical Greece	The distinction of a tyrant's rule being based on compulsion is a standard feature of Greek political thought.	-366	Plato defines the tyrant in terms of contemporary Greek political theory around -366.
tlg0059.tlg008.perseus-eng2::11	tlg0059.tlg008.perseus-eng2	Plato	Statesman	Classical (500–360 BCE)	['Occupation']	Royal access to state management	The royal class	Political power	MORE	['Then if this is the case, would it be a bad thing if you and I first tried to see in another small and partial example the nature of example in general, with the intention of transferring afterwards the same figurative method from lesser things to the most exalted eminence of the king, and trying by means of an example to become acquainted in a scientific way with the management of states, in order that this may be waking knowledge for us, not dream knowledge? [...] Then we must take up our former argument again, and since there are countless others who contend that they, rather than the royal class, have the care of states, we must accordingly remove all these and isolate the king']	The text identifies a specific class (the royal class) as the rightful holder of the management of the state, distinguishing them from other competing groups who claim such authority.	1	1.0	9.0	4	State management involves control over laws, taxes, and warfare.	5	Foundational societal axis: political sovereignty.	4	Typically held for long terms or life in 'royal classes'.	4	The 'royal class' implies a structural, often hereditary division.	0	Discussing contemporary claims to power in various states.	3	Investigating a 'scientific' understanding of an existing debate.	1	The 'royal class' is defined by its care of the state.								Classical Greece	The text addresses contemporary competitors for the title of the 'royal class' within the context of the Greek state.	-366	The investigation is framed as a contemporary task for Plato and his interlocutors around -366.
tlg0059.tlg008.perseus-eng2::12	tlg0059.tlg008.perseus-eng2	Plato	Statesman	Classical (500–360 BCE)	['Education']	Dialectical training for students	Education	Access to advanced dialectical training	MORE	['Suppose we were asked the following question about a group of pupils learning their letters: When a pupil is asked of what letters some word or other composed, is the question asked for the sake of the one particular word before him or rather to make him more learned about all words in the lesson? [...] And how about our own investigation of the statesman? Has it been undertaken for the sake of his particular subject or rather to make us better thinkers about all subjects? [...] By far our first and most important object should be to exalt the method itself of ability to divide by classes, and therefore, if a discourse, even though it be very long, makes the hearer better able to discover the truth, we should accept it eagerly.']	Plato describes the educational norm of the Academy where the primary resource is not the specific knowledge of a subject (like weaving or statesmanship) but the development of the 'ability to divide by classes' (dialectic). The 'pupils' are the group receiving this methodological resource to improve their overall reasoning capacity.	1	1.0	9.0	3	Advanced dialectical training/methodology is a significant intellectual resource/schooling.	3	Specific to a particular high-level educational method.	5	Training results in a permanent lifelong cognitive ability.	3	Pupils are in a changeable life-stage (learning).	0	Refers to contemporary dialectical training practice in the Academy.	4	Describes the factual objective of their current investigation.	0	Being a pupil does not automatically grant dialectical skill.								Classical Athens	The training in dialectic and classification describes the educational curriculum of Plato's Academy in Athens.	-366	Reflects the actual pedagogical methods used by Plato around -366.
tlg0059.tlg008.perseus-eng2::13	tlg0059.tlg008.perseus-eng2	Plato	Statesman	Classical (500–360 BCE)	['Occupation', 'Religion']	Priestly eligibility for kingship	Priests	Eligibility for the kingship	MORE	['In Egypt, for example, no king can rule without being a priest, and if he happens to have forced his way to the throne from some other class, he must enroll himself in the class of priests afterwards; and among the Greeks, too, you would find that in many states the performance of the greatest public sacrifices is a duty imposed upon the highest officials.']	The text describes a specific legal and customary requirement in Egypt where the resource of political rule (kingship) is tied to the priestly class, and notes similar structural links between high office and religious duties in Greek states.	1	1.0	10.0	4	Eligibility for kingship is a concrete legal right to supreme office.	4	Right to hold the highest public office.	5	Kingship is the structural, lifelong head of state.	4	Priesthood is a structural legal/birth status in this text.	0	Cites contemporary Egyptian and Greek political structures.	5	Reported as a clear factual/legal requirement in Egypt and Greece.	0	Priesthood is logically separate from secular kingship.								Late Period Egypt	The rule explicitly describes a requirement for Egyptian kings to be part of the priestly class.	-366	Plato describes the Egyptian custom as a contemporary fact known to his audience in -366.
tlg0059.tlg008.perseus-eng2::14	tlg0059.tlg008.perseus-eng2	Plato	Statesman	Classical (500–360 BCE)	['Citizenship']	Archon performance of national sacrifices	The King Archon	Right to perform national sacrifices	MORE	['Yes, among you Athenians this is very plain, for they say the holiest and most national of the ancient sacrifices are performed by the man whom the lot has chosen to be the King. The second in order of the nine annual archons.']	Plato references a specific contemporary Athenian practice where a specific magistrate (the King Archon) is granted the exclusive right/duty to lead the most significant state religious ceremonies.	1	1.0	10.0	3	Performing national sacrifices is a high-status civic role with ritual authority.	3	Specific to the ritual domain of state religion.	3	Term of office is strictly annual ('chosen by lot').	2	Office-holder for a single year (King Archon).	0	Refers to the current Athenian Athenian King Archon.	5	Explicitly cites a 'very plain' current Athenian practice.	0	An Archon is not by definition the performer of sacrifices.								Classical Athens	The text identifies the King Archon (Basileus) as the specific magistrate in Athens responsible for national sacrifices.	-366	References the active civic and religious structure of Athens during Plato's lifetime around -366.
tlg0059.tlg008.perseus-eng2::15	tlg0059.tlg008.perseus-eng2	Plato	Statesman	Classical (500–360 BCE)	['Education']	Scientific ruler's right to purge	Scientifically trained rulers	Right to exile or execute citizens	MORE	['And whether they purge the state for its good by killing or banishing some of the citizens, or make it smaller by sending out colonies somewhere, as bees swarm from the hive, or bring in citizens from elsewhere to make it larger, so long as they act in accordance with science and justice and preserve and benefit it by making it better than it was, so far as is possible, that must at that time and by such characteristics be declared to be the only right form of government.']	Plato argues that those possessing the 'science' of ruling have the legitimate authority to dispose of citizen lives and residency through execution or banishment if it serves the state's health, modeled on medical science.	1	0.0	9.0	5	The power to execute or exile involves direct control over bodies and land.	4	Extreme legal powers over life and death.	1	Expressed here as a single procedural act ('killing or banishing').	3	Defined by acquired expertise ('possessing science').	0	A theoretical proposal for contemporary government.	1	This is an ideal philosophical proposal/wish (normative theory).	0	Scientific knowledge is not defined by the right to kill.								Classical Athens	This is a philosophical defense of absolute rule, framed as an ideal for the Greek city-state.	-366	Plato proposes this 'scientific' rule as an alternative to the flawed Athenian democracy of -366.
tlg0059.tlg008.perseus-eng2::16	tlg0059.tlg008.perseus-eng2	Plato	Statesman	Classical (500–360 BCE)	['Education']	Scientific ruler's extra-legal authority	Scientifically trained rulers	Right to rule without written laws	MORE	['It is, then, a necessary consequence that among forms of government that one is preeminently right and is the only real government, in which the rulers are found to be truly possessed of science, not merely to seem to possess it, whether they rule by law or without law, whether their subjects are willing or unwilling, and whether they themselves are rich or poor.']	The author posits a rule where the specific group defined by 'science' (knowledge/education) gains the resource of absolute political authority, specifically the right to bypass written laws.	1	0.0	9.0	4	Right to rule without law grants absolute discretionary power.	5	Foundational axis of political authority.	4	Power held for as long as one is recognized as 'ruler'.	3	Status based on acquired scientific knowledge.	0	Investigating contemporary forms of government.	1	A purely normative assertion of what is 'preeminently right'.	0	Being 'scientific' does not define an extra-legal right.								Classical Athens	Plato argues for the supremacy of knowledge over law, a central theme in his late Athenian political thought.	-366	Part of Plato's contemporary critique of legal positivism during the mid-4th century BCE.
tlg0059.tlg008.perseus-eng2::17	tlg0059.tlg008.perseus-eng2	Plato	Statesman	Classical (500–360 BCE)	['Citizenship']	Mandatory adherence to written laws	Citizens	Freedom from capital punishment	LESS	['That no citizen shall dare to do anything contrary to the laws, and that he who does shall be punished by death and the most extreme penalties. And this is perfectly right and good as a second choice, as soon as you depart from the first form of which we were just speaking.']	The Stranger describes the actual legal practice in contemporary states (the 'second choice' compared to the ideal ruler) where any deviation from the established law by a citizen is met with the highest legal sanctions, indicating that citizens lack the protection to act against the law even for beneficial reasons.	1	1.0	9.0	5	Vulnerability to the death penalty is a direct threat to bodily integrity.	4	Broad legal obligation to adhere to every law.	5	Citizen status and the threat of death are lifelong.	4	Citizenship is legal birth-status.	0	Describes the 'second choice' (actual states) in the present.	4	Reports actual legal practice in contemporary 'non-ideal' cities.	0	Being a citizen does not define death for every law violation.								Classical Greece	The 'second choice' describes the legal reality in Greek poleis where law is rigid and supreme.	-366	Plato describes the existing legalistic norms of his time around -366.
tlg0059.tlg008.perseus-eng2::18	tlg0059.tlg008.perseus-eng2	Plato	Statesman	Classical (500–360 BCE)	['Citizenship', 'Occupation']	Public audit of annual rulers	Rulers	Protection from legal prosecution	LESS	['When the year of office has passed for each set of rulers, there will have to be sessions of courts in which the judges are chosen by lot either from a selected list of the rich or from the whole people, and the rulers will have to be brought before these courts and examined as to their conduct in office, and anyone who pleases can bring against the captains an accusation for failure to command the ships during the year in accordance with the written laws or the ancestral customs, and similarly against the physicians for their treatment of the sick; and if any of them is found guilty, the court shall decide what his punishment or his fine shall be.']	This passage describes the 'euthyna' (accountability audit) practice in Athens and other Greek cities. Rulers (here metaphorically compared to captains/physicians but explicitly referred to as those 'set up annually') are legally required to undergo a trial at the end of their term where any citizen can prosecute them for deviating from written law.	1	1.0	10.0	4	Public audit (euthyna) has material consequences (fines/punishment).	3	Specific to the procedure of annual office accountability.	2	Describes a single procedural moment at the end of the year.	2	Rulers here are annual office-holders.	0	Refers to the standard democratic audit system (euthyna).	5	Describes a factual Athenian legal institution in detail.	0	Ruling does not analytically require a public trial after.								Classical Athens	Describes the 'euthyna' system of accountability audits for magistrates in democratic Athens.	-366	A contemporary description of the functioning Athenian legal system in -366.
tlg0059.tlg008.perseus-eng2::19	tlg0059.tlg008.perseus-eng2	Plato	Statesman	Classical (500–360 BCE)	['Wealth / Properties', 'Citizenship']	Wealth-based eligibility for magistracies	The rich	Eligibility for the archonship	MORE	['And suppose that rulers of the people are set up annually, whether from the rich or from the whole people, on the principle that whoever is chosen by lot should rule, and that these rulers exercise their authority in commanding the ships or treating the sick in accordance with the written rules.']	The text refers to the contemporary practice in various Greek poleis where eligibility for certain ruling offices (chosen by lot) was sometimes restricted to the wealthy class or shared with the whole people.	1	1.0	8.0	4	Eligibility for an archonship (political office) is a concrete legal right.	4	Access to high executive and judicial power.	3	Applies for the duration of the annual term (life stage of ruling).	3	The 'rich' is a wealth bracket (durable but changeable).	0	Direct reference to contemporary Greek lotteries for office.	5	Factual description of contemporary political eligibility rules.	0	Wealth is not a part of the definition of an archon.								Classical Greece	Refers to the practice of choosing annual rulers by lot, often from specific wealth classes like the Solonic pentakosiomedimnoi.	-366	Reflects contemporary Greek constitutional practices described by Plato in -366.
tlg0059.tlg008.perseus-eng2::20	tlg0059.tlg008.perseus-eng2	Plato	Statesman	Classical (500–360 BCE)	['Wealth / Properties', 'Citizenship']	Wealth-based jury selection	The rich	Right to serve as a judge	MORE	['there will have to be sessions of courts in which the judges are chosen by lot either from a selected list of the rich or from the whole people, and the rulers will have to be brought before these courts and examined as to their conduct in office']	The passage identifies that in contemporary legal systems, judges for the accountability of rulers are selected either from the general citizenry or specifically from the wealthy, identifying wealth as a criterion for the resource of judicial power.	1	1.0	9.0	4	Serving as a judge grants power over legal outcomes and penalties.	4	Judicial power is a broad structural resource.	2	Brief episode (serving for specific court sessions).	3	The 'rich' are a durable wealth group.	0	Refers to contemporary selection for law courts.	5	Reported as a fact of how contemporary courts are composed.	0	Being rich does not definitionally include being a judge.								Classical Greece	Describes the selection of judges (dikasts) from specific classes in various Greek legal systems.	-366	Identified by Plato as a characteristic of existing legal administrations in -366.
tlg0059.tlg008.perseus-eng2::21	tlg0059.tlg008.perseus-eng2	Plato	Statesman	Classical (500–360 BCE)	['Education', 'Occupation']	Severe penalty for non-traditional investigation	Scholars	Protection from corporal punishment	LESS	['And then, in addition to all this, there will have to be a law that if anyone is found to be investigating the art of pilotage or navigation or the subject of health and true medical doctrine about winds and things hot and cold, contrary to the written rules, or to be indulging in any speculation whatsoever on such matters, he shall in the first place not be called a physician or a ship captain, but a star-gazer... and if he is found to be so persuading either young or old contrary to the laws and written rules, he shall suffer the most extreme penalties.']	The Stranger describes the existence of laws that punish those who investigate sciences or arts outside of established written rules or ancestral customs, citing the 'extreme penalties' (referencing the death penalty as in the case of Socrates) for those who persuade others to ignore these laws.	1		9.0	5	Subjecting someone to 'extreme penalties' (death) is a material threat.	3	Specific to cases of 'investigating contrary to the rules'.	5	Death is a permanent resource loss.	1	Defined by an action ('found to be investigating').	0	Refers to contemporary laws against impiety/science (e.g. Socrates).	4	Reports existing laws/norms that penalize non-traditional study.	0	A scholar/investigator is not defined by their liability to death.								Classical Athens	The 'extreme penalties' for 'star-gazers' (astronomers/philosophers) alludes to the trial of Socrates and contemporary Athenian intolerance.	-366	Plato writes this as a critique of current Athenian laws regarding impiety and innovation in -366.
tlg0059.tlg008.perseus-eng2::22	tlg0059.tlg008.perseus-eng2	Plato	Statesman	Classical (500–360 BCE)	['Wealth / Properties']	Wealthy exclusion from statesmanship science	The rich	Access to statesmanship science	LESS	['Then if there is a kingly art, neither the collective body of the wealthy nor the whole people could ever acquire this science of statesmanship.']	The text establishes a rule in Plato's political philosophy that high-level political 'science' (the art of the statesman) is fundamentally inaccessible to the wealthy as a class or to the general population, which justifies their dependence on written laws instead.	1		9.0	1	A 'science of statesmanship' is an intellectual or spiritual attainment, not a physical asset.	4	Political mastery is a broad capacity affecting many life outcomes.	5	The lack of this 'science' is framed as a permanent, structural limitation of the group.	3	Wealth brackets are changeable with effort, though often stable.	0	Plato is discussing the nature of classes in his contemporary political philosophy.	2	The verbatim is a philosophical assertion/argument rather than a report of a statute.	0	Being wealthy does not inherently mean one lacks political science.								Classical Athens	Plato writes from 4th-c. Athens; his political observations are rooted in the intellectual and civic life of the Athenian poleis.	-367	Written by Plato during his late period at the Academy (-367); the rule reflects contemporary philosophical distinctions between expertise and wealth.
tlg0059.tlg008.perseus-eng2::23	tlg0059.tlg008.perseus-eng2	Plato	Statesman	Classical (500–360 BCE)	['Citizenship']	Public participation in lawmaking	Citizens	Right to pass laws	MORE	['Since the laws are made after long experience and after commissioners of some kind have carefully considered each detail with delicate skill and have persuaded the people to pass them, anyone, I fancy, who ventured to violate them would be involved in error many times greater than the first.']	The text describes the standard procedure for Athenian lawmaking where experts/commissioners prepare details but the 'people' (citizens) must be persuaded to pass them, recognizing their legal authority to enact rules.	1	1.0	8.0	4	The right to pass laws is a concrete legal power with direct material effects on society.	5	Legislative power is a foundational societal axis.	4	This right persists as long as the status of 'the people' (citizenry) is maintained.	4	Citizenship is a legal birth-status, very hard to change.	0	Refers to the standard Athenian lawmaking procedure in the author's era.	5	Describes the attested historical institutional process of the Athenian assembly.	0	Being a citizen does not by definition include the right to pass all laws.								Classical Athens	The description of laws being passed by the 'people' after review by commissioners reflects the historical Athenian legislative process.	-367	Dated to Plato's authorship (-367); the process described is a contemporary feature of Athenian constitutional life.
tlg0059.tlg008.perseus-eng2::24	tlg0059.tlg008.perseus-eng2	Plato	Statesman	Classical (500–360 BCE)	['Wealth / Properties']	Aristocratic adherence to written laws	The rich	Right to rule without laws	LESS	['Then whenever the rich imitate this government, we call such a state an aristocracy; and when they disregard the laws, we call it an oligarchy.']	The author defines the legitimate rule of the wealthy (aristocracy) as being strictly bound by written laws; if they rule according to their own will, the classification changes to a negative form, indicating a rule that they lack the right to deviate from stated laws.	1		7.0	4	The right to rule without constraint is a major legal exemption with material impact.	4	Adherence to laws is a broad structural constraint on power.	4	Applies throughout the duration of the group's tenure in power.	3	Wealthy status is changeable, though a durable social identity.	0	Plato categorizes contemporary forms of government (aristocracy vs oligarchy).	3	A mix of factual classification and philosophical framing of political labels.	0	Wealth does not definitionally include or exclude adherence to written laws.								Classical Athens	The categorization of regimes based on their relationship to law was a standard exercise in 4th-century Greek political theory.	-367	Stated by Plato at his floruit (-367); the distinction between legitimate and illegitimate rule by the rich was a live political debate.
tlg0059.tlg008.perseus-eng2::25	tlg0059.tlg008.perseus-eng2	Plato	Statesman	Classical (500–360 BCE)	['Nobility', 'Freedom']	Statesman control of rhetoric	Orators	Autonomy in political persuasion	LESS	['Str. And the science which decides whether to persuade or not should control that which can persuade? Y. Soc. Certainly. Str. Well, then, to what science shall we assign the power of persuading a multitude or a mob by telling edifying stories, not by teaching? Y. Soc. It is, I think, clear that this must be added to rhetoric. Str. But the power of deciding whether some action, no matter what, should be taken, either by persuasion or by some exercise of force, in relation to any person, or whether to take no action at all—to what science is that to be assigned? Y. Soc. To the science which controls the sciences of persuasion and speech. Str. And that would, I think, be no other than the function of the statesman. Y. Soc. A most excellent conclusion. Str. So rhetoric also seems to have been quickly separated from statesmanship as a different species, subservient to the other.']	The text establishes that rhetoric is a subordinate art to statesmanship. While orators have the skill to persuade, the decision of whether or not to use that skill is reserved for the statesman, thus limiting the orator's professional autonomy.	1	0.0	9.0	3	Autonomy in professional practice is a social role outcome with material consequences.	3	The scope is specific to the field of rhetoric and political persuasion.	4	Subordination holds as long as one is practicing the profession of an orator.	3	Occupation (orator) is a durable social identity acquired through training.	0	Discusses the hierarchy of arts in the contemporary Greek intellectual world.	2	The verbatim is a dialectic argument defining how sciences 'should' relate.	0	The definition of an orator does not inherently include subordination to a statesman.								Classical Athens	The relationship between rhetoricians and political leaders was a central concern of Athenian civic and educational life.	-367	Dated to Plato's floruit (-367) as a contemporary analysis of the hierarchy of arts in his own society.
tlg0059.tlg008.perseus-eng2::26	tlg0059.tlg008.perseus-eng2	Plato	Statesman	Classical (500–360 BCE)	['Occupation']	Generals' subordination to statecraft	Generals	Political authority over war and peace	LESS	['Str. And the power which is able and knows how to deliberate and decide whether to make war or peace, shall we assume that it is the same as this or different? Y. Soc. If we are consistent, we must assume that it is different. Str. Shall we, then, assume that it controls the other, if we are to agree with our views in the former examples? Y. Soc. Yes. Str. And what other art shall we make bold to declare is mistress of that great and terrible art, the art of war as a whole, except the truly kingly art? Y. Soc. No other. Str. We shall, then, not call the art of the generals statesmanship, since it is subservient.']	Plato describes the fixed relationship between the military and the political leadership in the Greek city-state. The general (strategos) possesses the technical skill of warfare but lacks the legal/political right to decide on the initiation or termination of war, which is a resource held by the statesman.	1	1.0	10.0	4	Authority over war/peace is a concrete legal right with massive material consequences.	4	Covers a broad, critical category of state policy.	4	Applies for the duration of the military command/office.	3	Occupation (general) is a durable social role but changeable.	0	Refers to the actual constitutional subordination of the Strategos in Athens.	4	Reflects the factual legal reality of civilian control over the military.	0	A general's definition does not strictly imply lack of political authority.								Classical Athens	The subordination of the 'strategos' (general) to the political authorities was a fundamental tenet of Athenian democracy.	-367	Stated by Plato in his contemporary dialogue (-367); the tension between military skill and political decision-making was evergreen in Athens.
