group	rule_polity	c_sex	c_age	c_ownership_status	c_ancestry	c_residence	c_wealth	c_kinship_role	c_occupation	requires_rights_definition	emic_label	criterion_reasoning
Maidens and youths	Sparta	any	minor	free	native	resident	any	none	none	False	parthenoi kai eirēnes	Native Spartan population in pre-adult life stages; defined by age and sex-segregated social roles.
Boys	Sparta	male	minor	free	native	resident	unspecified	child	none	False	paides	Male children of Spartan descent. In the late period/Roman era, this still identifies the biological/age-based cohort entering the agoge.
Wealthy citizens	Classical Athens	male	adult	free	native	resident	high	unspecified	any	False	plousioi	Adult native males with high material wealth (typically liturgical class); defined by productive capacity and ancestry, not rights.
Free-born individuals	Classical Athens	any	any	free	unspecified	resident	any	unspecified	any	False	eleutheroi	Persons not owned as property; free status is a relational fact independent of the specific rights a free person might hold.
Descendants of state benefactors	Classical Athens	any	any	free	native	resident	any	child	any	False	ebigoni	Genealogical descent from specific recognized ancestors (benefactors); genealogical facts are rights-independent.
Men who have prostituted themselves	Classical Athens	male	adult	free	native	resident	any	unspecified	prostitute	False	peporneumenoi	Adult males who have engaged in specific vocational/sexual acts; identified by behavior, though behavior triggers legal disabilities.
Debtors to the state	Classical Athens	any	adult	free	unspecified	resident	low	unspecified	any	False	opheiletai	Persons in an economic state of owing material value; the debt is a financial fact prior to the legal status of atimia.
Athenians and resident aliens	Classical Athens	any	any	free	any	resident	any	unspecified	any	False	astoi kai metoikoi	Aggregate of all free residents regardless of ancestry; defined by residence and free status.
Heirs	Classical Athens	any	any	free	any	resident	any	heir	any	False	klēronomoi	Kinship-relational position (successor to an oikos); a biological or social fact of succession prior to the right to inherit.
Athenian citizens	Classical Athens	male	adult	free	native	resident	any	unspecified	any	False	athenaioi	Adult free males born of two Athenian parents; criteria are sex, age, and genealogy.
Legitimate sons	Classical Athens	male	any	free	native	resident	any	child	none	False	gnēsioi	Male offspring born of a lawful marriage between citizens; a genealogical and kinship fact.
Adopted children	Classical Athens	any	any	free	any	resident	any	child	none	False	poiētoi	Persons brought into a kinship role via social act rather than birth; kinship position is the identifying criterion.
Daughters	Classical Athens	female	any	free	native	resident	any	child	none	False	korē	Biological female offspring of resident native families.
Legitimate daughters	Classical Athens	female	any	free	native	resident	any	child	none	False	gnēsiai	Female offspring born of a recognized marriage between native residents; a genealogical fact.
Adopted sons	Classical Athens	male	any	free	any	resident	any	child	none	False	hyioi poiētoi	Male persons socially transferred into a kinship role; identified by gender and social kinship.
Slaves, metics, and women	Classical Athens	any	any	any	any	resident	any	unspecified	any	False		A composite group excluding adult male citizens; defined by being female, enslaved, or of foreign ancestry.
Non-initiates	Classical Athens	any	any	free	any	resident	any	unspecified	any	False	amyētoi	Persons who have not performed specific religious rituals; identified by cultic history.
Persons admitting religious impiety	Classical Athens	any	any	free	any	resident	any	unspecified	any	False	asebeis	Persons identified by their own testimony regarding religious behavior; behavioral/confessional criterion.
Tax farmers and sureties	Classical Athens	male	adult	free	any	resident	middle	unspecified	tax farmer	False	telōnai	Persons engaged in the occupation of tax-collection contracting; identified by vocational role.
Soldiers deserting on the field	Classical Athens	male	adult	free	native	any	any	unspecified	soldier	False	lipotaktai	Adult native males who committed a specific physical act (fleeing combat); behavioral/occupational criterion.
Children who maltreat parents	Classical Athens	any	adult	free	any	resident	any	child	any	False	kakountes tous goneis	Persons who perform specific physical/social acts against their parents; behavioral/kinship criterion.
Soldiers under the Four Hundred	Classical Athens	male	adult	free	native	resident	any	unspecified	soldier	True	stratiōtai	A military subgroup during the 411 BCE coup; occupation is physical service, but selection is contingent on political membership in the oligarchic faction.
Former officials under the oligarchy	Classical Athens	male	adult	free	native	resident	any	unspecified	magistrate	True	archōn	Defined by prior holding of legal office (archonship) under a specific regime; membership is intrinsically law-defined.
Restored exiles	Classical Athens	male	adult	free	native	resident	any	unspecified	none	True	katephthēsan	Status depends on legal restoration to citizenship and return from judicial banishment (an artificial legal state).
Daughters without brothers	Classical Athens	female	any	free	native	resident	any	heir	none	False	epiklēros	Daughters without legitimate brothers; defined by kinship/biological facts (descent and lack of male siblings) regardless of legal rights.
Fathers	Classical Athens	male	adult	free	unspecified	any	any	parent	any	False	patēr	Biological/social role as a male parent; a kinship relation independent of the rights system.
Non-citizens	Classical Athens	any	any	any	foreign	any	any	unspecified	any	False	xenoi	Defined negatively by ancestry; includes resident foreigners and non-natives who do not share the founding lineage.
Allied states	Classical Athens	any	any	any	any	non_resident	any	unspecified	none	True	poleis symmachoi	Populations of other cities; membership in an 'allied state' is a treaty/legal category (symmachia).
Men	Classical Athens	male	adult	any	any	any	any	unspecified	any	False	andres	Biological sex and adulthood; universally identifiable across societies without law.
Greeks	Classical Athens	any	any	any	native	any	any	unspecified	any	False	hellēnes	Ethnocultural/linguistic identity and descent (ancestry) distinct from 'Barbarians', prior to specific legal status.
The mute	Classical Athens	any	any	any	any	any	any	unspecified	any	False	eneoi	Persons with a specific biological disability/incapacity of speech; a purely physical/phenomenological state.
Education	Roman Empire	any	any	free	any	any	any	unspecified	philosopher	False	pepaideumenoi	Refers to the 'educated ones'; defined by attainment of Paideia or instructional status, not legal rights.
Women	Roman Empire	female	adult	any	any	any	any	unspecified	any	False	mulieres	Biological sex and adulthood; a category that exists prepolitically.
Lineage	Roman Empire	any	any	free	native	any	any	unspecified	any	False	clarissimi	High-status descent (ancestry); genealogical fact of belonging to a family with established lineage/pedigree.
The rich	Roman Empire (Greek East)	any	adult	free	any	any	high	unspecified	any	False	plousioi	High economic/material standing; productive capacity and capital accumulation independent of legal definitions.
The poor	Roman Empire (Greek East)	any	any	any	any	any	low	unspecified	any	False	penētes	Low material economic position; lack of resources for maintenance (subsistence level).
Slaves	Roman Empire (Greek East)	any	any	enslaved	any	resident	low	unspecified	any	False	servi	Defined by the relational fact of being owned as property by another human being.
Women	Ancient Olympia	female	adult	free	any	any	any	unspecified	any	False	gynaikes	Biological sex and adulthood; applied here in the context of ritual/festival prohibitions at Olympia.
Women	Byblos (Syria)	female	adult	free	any	any	any	unspecified	any	False	gynaikes	Biological sex and adulthood; refers to female participants in local Syrian/Adonis cults.
Syrians	Hierapolis (Syria)	any	any	any	native	any	any	unspecified	any	False	syroi	Ancestry/regional origin within the Near East/Levant; an ethnic/geographic fact.
Galli	Hierapolis (Syria)	male	adult	any	any	any	any	none	priest	False	galli	Physically/ritually emasculated male priests of Dea Syria; defined by vocational/physical change, not legal rights.
Wives	Seleucid Empire	female	adult	free	unspecified	resident	any	spouse	none	False	gynē	A female in a kinship/marital relation to another person; biological/social status independent of the empire's legal code.
Nobles	Hierapolis (Syria)	any	adult	free	native	resident	high	unspecified	any	False	eugeneis	Persons of high material wealth and ancestral lineage; identifiable through social hierarchy and lineage rather than specific legal rights.
Women	Hellenistic Hierapolis	female	any	any	unspecified	any	any	unspecified	any	False	gynaikes	Identified by biological/socially-assigned sex; exists prior to any Hellenistic legal status.
Men	Hellenistic Hierapolis	male	any	any	unspecified	any	any	unspecified	any	False	andres	Identified by biological/socially-assigned sex; exists prior to any Hellenistic legal status.
Galli	Hellenistic Hierapolis	male	adult	free	unspecified	resident	any	none	priest	False	Galli	Castrated priests of Cybele/Atargatis; defined by biological modification and vocational role independent of civil rights.
Syrians	Hellenistic Hierapolis	any	any	any	native	any	any	unspecified	any	False	Syri	Ethnicity and local ancestry within the Syrian region; a genealogical fact independent of Roman or Hellenistic law.
Bachelors and Maidens	Hellenistic Hierapolis	any	adult	free	unspecified	any	any	none	any	False		Adults who are not currently in a marital kinship role; defined by life stage and lack of spouse.
Comic poets	Classical Athens	male	adult	free	native	resident	any	unspecified	comic poet	False	poiētēs	Vocationally identified by the production of comic drama; a productive role in Athenian culture.
Poets	Classical Athens	male	adult	free	unspecified	resident	any	unspecified	poet	False	poiētēs	Vocationally identified by the production of poetry or drama; a productive role independent of political standing.
Metics	Oropus	any	adult	free	foreign	resident	any	unspecified	any	False	metoikos	Free residents of non-local ancestry; defined by residence/ancestry facts regardless of the specific Oropian metic tax.
Magi	Achaemenid Empire	male	adult	free	native	resident	high	unspecified	priest	False	magu	A hereditary priestly caste in Achaemenid society; vocational and genealogical status.
Citizens	Archaic Miletus	male	adult	free	native	resident	any	unspecified	any	False	polites	Adult free males of Miletian descent; identifies the population group independent of specific archaic voting rights.
The wealthy	Archaic Miletus	any	any	free	unspecified	resident	high	unspecified	any	False	ploutoi	Persons with high material or land-based wealth ('The Fat' in Miletian history); defined by economic capacity.
Colonists	Archaic Miletus	male	adult	free	native	non_resident	any	unspecified	any	False	apoikos	Persons of Miletian native ancestry moving to establish a new settlement; defined by movement and origin.
Citizens	Archaic Athens (Peisistratid)	male	adult	free	native	resident	any	unspecified	any	False	astoi	Free native-born males in the territory of Athens during Tyranny; criteria are sex, age, and descent.
Children	Archaic Athens (Solonic)	any	minor	free	native	resident	any	child	none	False	paides	Non-adults in a kinship relation to a parents; defined by life-stage.
Guardians	Archaic Athens (Solonic)	male	adult	free	native	resident	any	unspecified	guardian	True	kyrios	Legal administrator for another person; role is intrinsically defined by the legal power to act for others.
Kings	Archaic Athens	male	adult	free	native	resident	high	unspecified	ruler	True	basileus	The supreme office/role in the polity; status is intrinsically a political/legal office.
Foreigners	Archaic Athens	any	any	free	foreign	any	any	unspecified	any	False	xenoi	Persons of non-Athenian ancestry; defined solely by genealogical origin relative to the polity.
Foreigners	Classical Greece	any	any	free	foreign	any	any	unspecified	any	False	xenoi	Persons born outside the specific Greek polis being referenced; defined by foreign descent.
Citizens	Archaic Athens	male	adult	free	native	resident	any	unspecified	none	False	polītes	In pre-Periclean Athens, free adult males of Attic descent (patrilocal) belonging to a phratry; definition relies on lineage and freedom.
The wealthy and noble	Classical Athens	male	adult	free	native	resident	high	unspecified	any	False	kaloi kagathoi	Combines high material wealth with noble lineage (eupatrid ancestry); these are social and economic facts independent of specific legal offices.
Philosophers	Classical Athens	any	adult	free	unspecified	resident	any	unspecified	philosopher	False	philosophos	Defined by vocational intellectual activity and lifestyle; not a legal category.
Relations	Classical Athens	any	any	unspecified	unspecified	unspecified	any	heir	none	False	syngeneis	Biological or marital relation to a specific person; kinship is a genealogical fact.
Benefactors	Classical Athens	male	adult	free	unspecified	any	high	unspecified	any	True	euergetēs	Historically designates individuals who received honors for donating wealth; the status is an official honorific title conferred by the state.
Freedmen	Classical Athens	any	adult	freed	foreign	resident	any	unspecified	any	False	apeleutheros	A person previously owned as property who has been manumitted; the status transition is a relational fact.
Citizens	Aegina (Athenian Cleruchy)	male	adult	free	native	resident	any	unspecified	none	False	klērouchos	Athenian citizens settled on seized land in Aegina; identified by Athenian ancestry/origin while resident in Aegina.
Athenians	Archaic Aegina	any	any	free	native	resident	any	unspecified	any	False	Athēnaioi	Athenian ancestry is the rigid-designator fact (descent from Attic citizens) and is independent of the polity hosting the rule; relative-to-polity status is captured separately by rule_polity.
Noble families	Sparta	any	any	free	native	resident	high	unspecified	any	False	hieroi	Lineage-based elite (such as the Gerousia-eligible families or Agiads/Eurypontids); identified by genealogical descent.
The wealthy	Carthage	any	adult	free	unspecified	resident	high	unspecified	merchant	False		Carthaginian elite defined by material wealth, often derived from trade; a productive/economic descriptor.
Slaves	Olbia	any	any	enslaved	any	resident	low	unspecified	any	False	doulos	Persons owned as property in the Milesian colony of Olbia; relational fact of being owned.
Hierophants	Classical Athens	male	adult	free	native	resident	any	unspecified	priest	True	hierophantēs	Chief priest at Eleusis; an office-holding role restricted to the Eumolpidae family, thus rights-mediated.
Slaves	Atarneus	any	any	enslaved	any	resident	low	unspecified	any	False	doulos	Owned as property in the territory of Atarneus; status constitutive of their relational unfreedom.
Non-pure born Athenians	Classical Athens	any	any	free	mixed	resident	any	unspecified	any	False	nothoi	Persons of one Athenian and one non-Athenian parent; a purely genealogical/ancestry fact.
Bankers	Sinope	any	adult	free	unspecified	resident	high	unspecified	banker	False	trapezitai	Defined by vocational role in money-changing and credit; an occupational category.
Citizens	Sinope	male	adult	free	native	resident	any	unspecified	none	False	politēs	Free adult male of Sinopean parentage; the demographic core of the polis.
Slaves	Corinth	any	any	enslaved	any	resident	low	unspecified	any	False	doulos	Social status defined by being the property of another person; Corinth held vast numbers of industrial/sacred slaves.
Citizens	Thebes	male	adult	free	native	resident	any	unspecified	none	False	politēs	Free adult male of Beotian/Theban descent; often contingent on an absence of manual labor in some Theban periods.
Minors	Thebes	any	minor	free	native	resident	any	child	none	False	pais	Persons below the age of physical/social maturity; biological life-stage.
Women	Hellenistic Thrace	female	adult	free	unspecified	resident	any	unspecified	any	False	gynē	Biological/social sex of the individuals in the Thracian context.
Slaves	Thebes	any	any	enslaved	any	resident	low	unspecified	any	False	doulos	Persons owned as property by others in the Boeotian context; defined by the relational fact of being chattel regardless of specific legal protections.
Metics	Thebes	any	adult	free	foreign	resident	any	unspecified	any	False	metoikos	Free residents of non-Theban ancestry; identified by the lack of local lineage and physical residence in the territory.
Honored male citizens	Hellenistic Athens	male	adult	free	native	resident	any	unspecified	any	True	politēs	Citizens receiving honors; 'honored' is a status granted by the state, implying a rights-mediated recognition of specific individuals within the citizen body.
Slaves	Hellenistic Athens	any	any	enslaved	any	resident	low	unspecified	any	False	doulos	Property-status humans in Athens; defined by the relationship of being owned by a master, which exists independently of their specific legal standing.
Women	Stoic Philosophy	female	any	any	any	any	any	unspecified	any	False	gynaikon	Biological/socially-assigned females; in Stoic thought, this is a natural category defined prior to any legal or ethical status.
The wealthy	Hellenistic Rhodes	any	adult	free	unspecified	resident	high	unspecified	any	False	plousioi	Individuals with high material-economic position or large landholdings in Rhodes; defined by productive capacity and assets rather than law.
Court physicians	Ptolemaic Egypt	male	adult	free	unspecified	resident	high	unspecified	physician	True	archiatros	Physicians serving the royal court; the role is a professional appointment within the Ptolemaic state hierarchy, making it rights-dependent.
Foreigners	Archaic Greece	any	any	free	foreign	any	any	unspecified	any	False	xenos	Persons not belonging to the local community's ancestral lineage; a genealogical and geographical fact independent of legal status.
Citizens	Croton	male	adult	free	native	resident	any	unspecified	any	False	politēs	Adult free males of native Crotoniate descent; the underlying population eligible for communal identity regardless of specific regime.
Women	Croton	female	any	free	native	resident	any	unspecified	any	False	gynē	Free females of the Crotoniate community; defined by sex and ancestry rather than legal rights.
Free men	Archaic Greece	male	adult	free	unspecified	resident	any	unspecified	any	False	eleutheros	Males not owned as property; 'free' is defined here by the absence of an ownership relation to another person.
Women	Archaic Greece	female	any	any	unspecified	resident	any	unspecified	any	False	gynē	Biological females within the Archaic Greek social context.
Maidens	Classical Agrigentum	female	minor	free	native	resident	any	none	none	False	parthenos	Young, unmarried free women of the community; identified by sex, life-stage (pre-marriage), and ancestry.
Citizens	Classical Tarentum	male	adult	free	native	resident	any	unspecified	any	False	politēs	Adult free males of Tarentine lineage; the demographic cell that constitutes the body of the polis.
Nobles	Archaic Ephesus	any	adult	free	native	resident	high	unspecified	any	False	eupatridēs	Members of privileged lineages in Archaic Ephesus; defined by descent from founding families and concentrated wealth.
Citizens	Archaic Ephesus	male	adult	free	native	resident	any	unspecified	any	False	politēs	Free adult native-born males of Ephesus; the basic social unit of the archaic polis.
Citizens	Classical Samos	male	adult	free	native	resident	any	unspecified	any	False	politēs	Adult free males of Samian descent; the group identified by ancestry and sex within the Samian state.
Citizens	Classical Elea	male	adult	free	native	resident	any	unspecified	any	False	politēs	Free adult native males of Elea; the demographic core defined by lineage, not legal privilege.
Philosophers	Classical Greece	any	adult	free	unspecified	any	any	unspecified	philosopher	False	philosophos	Individuals engaged in the intellectual vocation of philosophy; a vocational/behavioral role independent of law.
Minors	Achaemenid Empire	any	minor	any	any	any	any	child	none	False		Individuals in the developmental life-stage before adulthood within the Achaemenid Empire; a biological/developmental fact.
The poor	Classical Abdera	any	any	free	unspecified	resident	low	unspecified	any	False	penetes	Persons with low material-economic position; defined by lack of surplus wealth or productive resources regardless of legal status.
Atheists	Classical Athens	any	adult	free	unspecified	resident	unspecified	unspecified	any	False	atheoi	Persons holding a specific intellectual or ideological stance regarding the gods; a psychological/social fact independent of law.
Educated elite	Classical Athens	male	adult	free	unspecified	resident	high	unspecified	unspecified	False	kaloi kagathoi	Group defined by high wealth and attained level of education (paideia); social/cultural standing not defined by office.
Philosophers	Hellenistic Elis	male	adult	free	unspecified	resident	unspecified	unspecified	philosopher	False	philosophoi	Vocational role centered on intellectual inquiry; exists as a social category independent of legal recognition.
Persians	Achaemenid Empire	any	any	unspecified	native	any	unspecified	unspecified	any	False	Parsa	Ethno-linguistic group defined by descent from the Persian core territory; a genealogical fact.
Massagetae	Scythia	any	any	free	native	resident	unspecified	unspecified	any	False	Massagetai	Tribal/ethnic group in the Scythian region defined by shared descent and semi-nomadic lifestyle.
Cilicians	Cilicia	any	any	unspecified	native	any	unspecified	unspecified	any	False	Kilikes	Regional/ethnic group from the Cilician territory; a geographical and genealogical fact.
Minors	Hellenistic Athens	any	minor	unspecified	unspecified	resident	unspecified	child	none	False	paides	Developmental life-stage (under physiological maturity); a biological/age-based fact.
Women	Hellenistic Athens	female	any	any	any	resident	any	unspecified	any	False	gynaikes	Biological/socially-assigned female sex; exists independently of any legal capacity.
Citizens	Hellenistic Athens	male	adult	free	native	resident	any	unspecified	any	False	polites	Free adult male of native parentage; criteria are genealogical and biological.
Patricians	Early Roman Kingdom	any	any	free	native	resident	high	unspecified	none	False	patricii	Descent from the original gentes (clans) of Rome; a genealogical/kinship fact.
Vestal Virgins	Early Roman Kingdom	female	any	free	native	resident	high	none	priestess	True	Virgines Vestales	A socio-religious office; while criteria include sex and virginity, the group is defined by its ritual role in the state cult.
Widows	Early Roman Kingdom	female	adult	free	unspecified	resident	unspecified	spouse	none	False	viduae	Kinship fact: a woman whose husband has died; a biological/relational status.
Fetial priests	Early Roman Kingdom	male	adult	free	native	resident	unspecified	unspecified	priest	True	fetiales	College of priests for international law rituals; definition is intrinsically tied to a formal religious/state office.
Manual laborers	Early Roman Kingdom	any	adult	any	unspecified	resident	low	unspecified	laborer	False	operarii	Productive vocational role involving physical labor; defined by economic activity.
The poor	Early Roman Kingdom	any	any	free	unspecified	resident	low	unspecified	any	False	pauperes	Material-economic standing; lack of property and subsistence level resources.
Farmers	Early Roman Kingdom	any	adult	free	unspecified	resident	low	unspecified	farmer	False	agricolae	Vocational role defined by the cultivation of soil and agriculture.
Married sons	Early Roman Kingdom	male	adult	free	native	resident	unspecified	child	any	False	filii familias	Descent fact (son) combined with marital status, relative to a living pater familias.
Foreigners	Early Roman Kingdom	any	any	free	foreign	resident	any	unspecified	any	False	peregrini	Persons of non-Roman/foreign ancestry residing in Roman territory.
Senators	Roman Republic	male	elder	free	native	resident	high	unspecified	legislator	True	senatores	Defined by membership in a legislative body; requires referring to the state's institutional structure.
Dictators	Middle Roman Republic	male	adult	free	native	resident	high	unspecified	dictator	True	dictator	An extraordinary magistrate; selection is intrinsically a legal/political act. The underlying population consists of high-status free male native citizens.
Tribunes of the people	Middle Roman Republic	male	adult	free	native	resident	any	unspecified	tribunus plebis	True	tribunus plebis	Political office-holders for the plebeian order; necessitates legal definition of the office and plebeian status.
Prisoners of war	Middle Roman Republic	any	any	enslaved	foreign	resident	low	unspecified	any	False	captivi	Persons captured in war and reduced to property; status is a relational fact of coercion and foreign origin prior to rights assignment.
Consuls	Middle Roman Republic	male	adult	free	native	resident	high	unspecified	consul	True	consul	Highest annual magistracy; definitionally dependent on the Roman constitutional framework of election and imperium.
Patricians	Middle Roman Republic	any	any	free	native	resident	any	unspecified	any	False	patricii	Members of specific hereditary clans (gentes) identified as founding lineages; genealogical fact independent of current rights.
Vestal virgins	Middle Roman Republic	female	any	free	native	resident	any	unspecified	priestess	True	virgines Vestales	Sacred religious office with specific legal emancipation; requires reference to the state religious and legal apparatus.
Tarentines	Middle Roman Republic	any	any	any	foreign	any	any	unspecified	any	False	Tarentini	People originating from the specific geographic locality of Tarentum; a fact of ancestry and origin.
Pontifex Maximus	Middle Roman Republic	male	adult	free	native	resident	high	unspecified	priest	True	pontifex maximus	The chief high priest of the College of Pontiffs; an office defined by the state’s sacred law.
Prominent citizens	Classical Athens	male	adult	free	native	resident	high	unspecified	any	False	gnorimoi	Wealthy, influential citizens (often elites in the Roman era of Athens); based on material wealth and social visibility.
Soldiers	Middle Roman Republic	male	adult	free	any	any	any	unspecified	soldier	False	milites	Persons performing the vocational role of military service; a functional/occupational category.
The poor	Early Roman Republic	any	any	free	unspecified	resident	low	unspecified	any	False	pauperes	Individuals with low material/economic resources; a socio-economic fact regardless of enfranchisement.
Colonial citizens	Corinth	male	adult	free	native	non_resident	any	unspecified	any	False		Free males of Corinthian descent established in colonial outposts; identified by lineage and geographic displacement.
Sicilian Greeks	Syracuse	any	any	any	foreign	resident	any	unspecified	any	False	Sikeloi	Ethnic Greeks living on the island of Sicily; determined by ancestry and physical residency.
Syracusans	Syracuse	any	any	any	native	resident	any	unspecified	any	False	Syrakosioi	Residents of the city/territory of Syracuse; an identity based on domicile and local ancestry.
The nobility	Classical Athens	any	any	free	native	resident	high	unspecified	any	False	eupatridai	The 'well-born' or high-wealth land-owning class; defined by genealogical lineage and material surplus.
Daughters of public benefactors	Classical Athens	female	any	free	native	resident	any	child	none	False		Biological daughters of men recognized for public liturgies/service; depends on kinship and parental biography.
Minors	Middle Roman Republic	any	minor	any	unspecified	any	any	child	none	False	impuberes	Persons below the biological/developmental age of adulthood (puberty); a physiological life-stage fact.
Nobility	Middle Roman Republic	any	any	free	native	resident	high	unspecified	any	False	nobilitas	The social elite composed of families with ancestral holders of high office; fundamentally a matter of descent/wealth.
Foreigners	Middle Roman Republic	any	any	any	foreign	any	any	unspecified	any	False	peregrini	Persons of non-Roman descent; a genealogical and geographical fact of origin outside the Roman core.
Ancient family members	Classical Sparta	any	any	free	native	resident	any	unspecified	any	False		Members of established Spartan lineages (likely Spartiatai or specific clans); a fact of long-standing local descent.
Citizens	Late Roman Republic	male	adult	free	native	any	any	unspecified	none	False	civis Romanus	Free adult males of Roman lineage; while citizenship is a legal status, the cell is identified by birth and manumission facts independent of specific rights.
The wealthy	Late Roman Republic	any	adult	free	unspecified	any	high	unspecified	any	False	locupletes	Persons possessing significant material wealth or land (e.g., census classes); defined by asset levels rather than legal privileges.
Nobles	Late Roman Republic	any	adult	free	native	any	high	heir	none	False	nobiles	Descendants of persons who held high office (consulate); biological descent from a specific prestige lineage.
Eurypontidae	Classical Sparta	male	any	free	native	resident	high	heir	king	False	Eurypontidai	Members of the Eurypontid patriline, one of the two royal houses of Sparta; defined by genealogical descent.
Spartan citizens	Classical Sparta	male	adult	free	native	resident	middle	unspecified	soldier	False	homoioi	Adult males of Spartan descent who completed the agoge and contribute to syssitia; identified by ancestry and lifecycle stage.
Nobles	Achaemenid Empire	any	adult	free	native	any	high	unspecified	any	False	azata	The Persian landed aristocracy or 'well-born'; defined by lineage and material surplus.
Young men of good family	Roman Empire	male	adult	free	native	any	high	child	none	False	iuvenes	Young males (adulescentes) from equestrian or senatorial families; defined by age-stage and parental wealth/status.
Young men	Roman Empire	male	adult	any	unspecified	any	any	unspecified	none	False	iuventus	Males in the developmental stage between childhood and full maturity (approx. 17–45 in military terms).
Resident aliens	Roman Empire	any	any	free	foreign	resident	any	unspecified	any	False	peregrini	Free persons living within Roman territory who lack Roman ancestry/citizenship; a demographic and residence fact.
Slaves	Archaic Athens	any	any	enslaved	any	resident	low	unspecified	any	False	doulos	Persons owned by others as property, often via debt servitude (hektemoroi) or capture in this period.
Slaves	Roman Empire	any	any	enslaved	any	resident	low	unspecified	any	False	servi	Persons legally owned as property; the status is a relational fact of total coercion/ownership.
Private individuals	Roman Empire	any	any	free	unspecified	any	any	unspecified	none	False	privati	Persons not holding public office or military command; defined by the absence of a specific vocational role.
Foreigners	Classical Sparta	any	any	free	foreign	resident	any	unspecified	any	False	xenoi	Non-Spartan free persons physically present in Spartan territory; defined by foreign birth and residence.
Spartans	Classical Sparta	male	any	free	native	resident	any	unspecified	any	False	Lakedaimonioi	Members of the Spartan ethnic group/polity by descent, including both Homoioi and potentially Perioikoi depending on context.
Helots	Classical Sparta	any	any	enslaved	native	resident	low	unspecified	farmer	False	heilōtes	Serf-like population owned by the Spartan state; tied to Spartan land, defined by hereditary unfree status and location.
Women	Archaic Sparta	female	any	free	native	resident	any	unspecified	none	False	Lakaiai	Biological females of Spartan descent; identified by sex and lineage.
Spartans	Archaic Sparta	male	any	free	native	resident	any	unspecified	any	False	Spartiatai	Ethnogenetic group of Dorian Laconians; defined by ancestry and physical residence in the Eurotas valley.
Agiads and Eurypontids	Classical Sparta	male	any	free	native	resident	high	heir	king	False	Agidai kai Eurypontidai	The two specific royal lineages of Sparta; identified strictly by genealogical descent from the Heraclids.
Citizens	Archaic Sparta	male	adult	free	native	resident	any	unspecified	any	False	Spartiatai	Adult free males of Spartan lineage; defined by sex, age, and ancestry regardless of the evolving Lycurgan laws.
Women	Classical Sparta	female	any	free	native	resident	any	unspecified	none	False	Lakaiai	Free females born to Spartan parents; categorical based on sex and descent.
Slaves	Classical Sparta	any	any	enslaved	native	resident	low	unspecified	any	False	heilōtes	Helots were a population group of Laconian/Messenian ancestry held in collective servitude; their status is defined by bondage rather than law-granted rights.
Liberated Greek allies	Classical Athens	male	adult	free	foreign	resident	any	unspecified	any	False		Free non-Athenian Greeks resident in the city; they are defined by their status as allies (foreign free nationals) rather than Attic ancestry.
Slaves	Scythia	any	any	enslaved	any	resident	low	unspecified	any	False	doulos	Persons owned as property within Scythian society; ownership is a relational material fact independent of legal standing.
Women	Classical Thebes	female	any	free	native	resident	any	unspecified	any	False	gynaikes	Biological/socially assigned females; the category is independent of the rights system.
Citizens	Classical Thebes	male	adult	free	native	resident	any	unspecified	any	False	politai	Adult free males of native Boiotian parentage; while the label is political, the criteria are biological and genealogical.
The educated	Hellenistic Athens	any	adult	free	unspecified	resident	any	unspecified	any	False	pepaideumenoi	Persons having undergone formal education (paideia); this is a social/attainment fact, not a legal definition.
Servants of Cronus	Roman Empire	male	adult	free	unspecified	resident	any	unspecified	priest	False		Individuals performing specific ritual/devotional roles for the cult of Cronus/Saturn; defined by vocational activity.
Free men	Hellenistic Athens	male	adult	free	any	resident	any	unspecified	any	False	eleutheroi	Adult males not owned as property; the status of 'free' is the absence of a property relation, not the presence of a legal right.
Male citizens	Hellenistic Greek states	male	adult	free	native	resident	any	unspecified	any	False	politai	Adult free males of local descent; criteria are genealogical and biological.
The wealthy	Hellenistic Greek states	any	adult	free	any	resident	high	unspecified	any	False	plousioi	Persons possessing significant material assets or high income; wealth is a material economic position.
Women	Naucratis	female	any	free	any	resident	any	unspecified	any	False	gynaikes	Biological/socially assigned females; age and ancestry are unspecified but female sex is the defining criterion.
Slaves	Classical Cos	any	any	enslaved	any	resident	low	unspecified	any	False	doulos	Persons owned by another; the ownership relation is a relational fact existing prior to specific legal regulations.
Slaves	Archaic Rome	any	any	enslaved	any	resident	low	unspecified	any	False	servus	Individuals defined as the property of a Dominus; ownership is the constitutive fact.
Women	Republican Rome	female	any	free	any	resident	any	unspecified	any	False	mulieres	Biological/socially assigned females; the label identifies sex independent of Republican legal standing.
Youths	Archaic Rome	any	minor	free	any	resident	any	none	none	False	iuvenes	Persons in the early developmental life stage; age is a biological/social developmental fact.
Philosophers	Hellenistic Athens	any	adult	free	any	resident	any	unspecified	philosopher	False	philosophoi	Persons engaged in the study or teaching of philosophy; defined by vocational/intellectual activity.
Resident aliens	Aegina	any	adult	free	foreign	resident	any	unspecified	any	False	metoikos	Free residents of non-Aeginetan ancestry; criteria are residence and genealogy.
Childless men	Aegina	male	adult	free	unspecified	resident	any	none	any	False		Adult males without offspring; the group is defined by the biological/relational fact of being childless.
Priests	Ancient Egypt	any	adult	free	any	resident	any	unspecified	priest	False	hem-netjer	Individuals performing temple duties/rituals; defined by vocational/sacral role.
