rule_id	c_sex	c_sex_evidence	c_age	c_age_evidence	c_ownership_status	c_ownership_status_evidence	c_ancestry	c_ancestry_evidence	c_residence	c_residence_evidence	c_wealth	c_wealth_evidence	c_occupation	c_occupation_evidence	emic_label_in_text	criterion_reasoning_text
tlg0086.tlg035.perseus-eng2::156	unspecified	unspecified	unspecified	unspecified	free	implied	native	implied	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	prominent citizens	The term 'citizens' implies free status and native ancestry; 'prominent' suggests high status but does not explicitly name a wealth bracket.
tlg0086.tlg035.perseus-eng2::157	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	high	implied	unspecified	unspecified	owners of estates	The phrase 'owners of estates' lexically presupposes a high level of wealth/property ownership.
tlg0086.tlg035.perseus-eng2::158	female	implied	unspecified	unspecified	free	implied	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	daughters	The word 'daughters' lexically implies female sex and, in a royal context, free status.
tlg0086.tlg035.perseus-eng2::159	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	people	The verbatim refers to 'striking people', which is too general to constrain specific axes besides humanity.
tlg0086.tlg035.perseus-eng2::160	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	subjects	The verbatim discusses general prohibitions on 'subjects', which does not name specific demographic criteria.
tlg0086.tlg035.perseus-eng2::161	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	low	stated	unspecified	unspecified	subjects	The text states the aim is 'to make the subjects poor', forcing wealth status to low through the word 'poor'.
tlg0086.tlg035.perseus-eng2::162	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	men	The verbatim refers broadly to 'men' contributing their substance; it does not name a specific wealth class for the tax, only the effect.
tlg0086.tlg035.perseus-eng2::164	male	stated	unspecified	unspecified	unspecified	unspecified	foreign	stated	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	men of foreign extraction	The verbatim names 'men' (sex) and 'foreign extraction' (ancestry) directly.
tlg0086.tlg035.perseus-eng2::167	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	foreign	stated	unspecified	unspecified	unspecified	unspecified	craftsmen	stated	foreigners and craftsmen	The verbatim states 'foreigners' (ancestry) and 'craftsmen' (occupation) as recipients of presents.
tlg0086.tlg035.perseus-eng2::171	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	magistrates	stated	those in office	The rule explicitly targets 'those in office' (magistrates) regarding their occupation (business).
tlg0086.tlg035.perseus-eng2::172	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	low	stated	unspecified	unspecified	those who do not own any property	The text explicitly defines the group as 'those who do not own any property', stating their wealth status.
tlg0086.tlg035.perseus-eng2::174	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	official	stated	official	The rule constrains the power of 'officials' versus the 'assembly'; 'official' is an occupation/role.
tlg0086.tlg035.perseus-eng2::175	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	all	The verbatim uses 'all', which implies no restrictions on the axes, but does not explicitly name them.
tlg0086.tlg035.perseus-eng2::176	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	any	stated	unspecified	unspecified	office	The phrase 'no property-qualification' states that any wealth level ('any') is permitted for office.
tlg0086.tlg035.perseus-eng2::177	unspecified	unspecified	unspecified	unspecified	free	implied	native	implied	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	citizens	The word 'citizens' lexically presupposes free status and native ancestry.
tlg0086.tlg035.perseus-eng2::178	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	magistracies	stated	magistracies	The text names 'magistracies', 'law-courts', and 'assembly' as roles/venues for which payment is provided.
tlg0086.tlg035.perseus-eng2::179	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	native	implied	unspecified	unspecified	low	stated	unspecified	unspecified	low birth, poverty, vulgarity	The text explicitly names 'poverty' (low wealth) and 'low birth' (implied native but non-noble ancestry).
tlg0086.tlg035.perseus-eng2::181	unspecified	unspecified	unspecified	unspecified	free	implied	unspecified	unspecified	unspecified	unspecified	high	stated	unspecified	unspecified	citizens	The verbatim mentions 'citizens' (implying free status) and 'property-qualifications' for 'holders of the greatest magistracies', stating a wealth requirement.
tlg0086.tlg035.perseus-eng2::182	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	high	implied	unspecified	unspecified	the people	The rule prohibits ownership of land beyond a 'certain amount', which lexically targets those with the wealth to acquire such amounts.
tlg0086.tlg035.perseus-eng2::183	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	a man	The verbatim restricts land sale and loans for any 'man' owning an estate; no specific demographic axes are constrained beyond general personhood.
tlg0086.tlg035.perseus-eng2::184	unspecified	unspecified	unspecified	unspecified	free	implied	mixed	stated	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	base-born and those of citizen-birth on one side	The verbatim explicitly names those with only one citizen parent ('citizen-birth on one side'), which refers to mixed ancestry; 'citizenship' implies free status.
tlg0086.tlg035.perseus-eng2::185	any	stated	any	stated	any	stated	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	slaves, women and children	The verbatim explicitly extends 'licence' to 'slaves' (ownership), 'women' (sex), and 'children' (age), effectively stating the rule applies across these groups.
tlg0086.tlg035.perseus-eng2::186	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	persons condemned at law	The verbatim applies to anyone 'condemned at law'; it does not lexically constrain sex, age, or status, though it concerns their 'property'.
tlg0086.tlg035.perseus-eng2::187	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	high	stated	unspecified	unspecified	owners for the indispensable offices	The verbatim states that 'property-qualifications' (wealth) determine eligibility for different grades of office.
tlg0086.tlg035.perseus-eng2::188	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	mechanic industries	stated	people... from mechanic industries	The verbatim explicitly names the occupation 'mechanic industries' as a criterion for restriction from government.
tlg0086.tlg035.perseus-eng2::189	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	high	implied	unspecified	unspecified	those within the constitution	The verbatim mentions 'expensive duties' for office to exclude 'common people', implying only those with high wealth can participate.
tlg0086.tlg035.perseus-eng2::191	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	high	implied	unspecified	unspecified	the well-to-do	The term 'well-to-do' lexically presupposes high wealth.
tlg0086.tlg035.perseus-eng2::192	any	stated	any	stated	free	implied	unspecified	unspecified	unspecified	unspecified	low	stated	unspecified	unspecified	the poor	The verbatim explicitly names 'the poor' (low wealth). 'Women and children' implies the rule spans these groups; poor status implies free (no slaves).
tlg0086.tlg035.perseus-eng2::196	unspecified	unspecified	unspecified	unspecified	free	implied	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	citizens	The verbatim specifies that 'citizens' are the ones who must 'know each other's personal characters' to elect and judge; 'citizen' implies free.
tlg0086.tlg035.perseus-eng2::197	unspecified	unspecified	unspecified	unspecified	any	stated	any	stated	resident	stated	unspecified	unspecified	unspecified	unspecified	slaves and resident aliens and foreigners	The verbatim explicitly groups 'slaves' (enslaved), 'resident aliens' (resident/foreign), and 'foreigners' (foreign), stating they are not 'part of the state'.
tlg0086.tlg035.perseus-eng2::199	unspecified	unspecified	unspecified	unspecified	free	stated	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	common sailors	stated	common sailors	The verbatim distinguishes 'common sailors' (occupation) from 'marines' who are 'free men'.
tlg0086.tlg035.perseus-eng2::206	unspecified	unspecified	unspecified	unspecified	enslaved	stated	foreign	stated	unspecified	unspecified	unspecified	unspecified	tillers of the soil	stated	slaves, or serfs of alien race	Specifies 'tillers' (occupation) should be 'slaves' (enslaved) or 'alien serfs' (foreign ancestry).
tlg0086.tlg035.perseus-eng2::207	unspecified	unspecified	unspecified	unspecified	free	implied	unspecified	unspecified	resident	stated	unspecified	unspecified	unspecified	unspecified	citizens whose land is near the frontier	'Citizens' implies free status; 'near the frontier' defines a specific residence logic for exclusion from deliberation.
tlg0086.tlg035.perseus-eng2::208	unspecified	unspecified	unspecified	unspecified	free	implied	unspecified	unspecified	resident	implied	unspecified	unspecified	unspecified	unspecified	citizens	The verbatim provides water for 'citizens' when 'debarred from their territory', implying residence in the city and free status.
tlg0086.tlg035.perseus-eng2::210	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	artisan or farmer	stated	artisan or farmer	The verbatim explicitly names the occupations 'artisan' and 'farmer' as groups to be excluded from the agora.
tlg0086.tlg035.perseus-eng2::212	unspecified	unspecified	adult	stated	unspecified	unspecified	native	implied	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	the group that is itself the same in race	The verbatim specifies age ('younger' vs 'older') as the basis for governing, and 'same in race' implies native ancestry.
tlg0086.tlg035.perseus-eng2::219	unspecified	unspecified	minor	implied	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	child	The verbatim refers to 'children' (minor age) and specifically 'deformed' ones regarding the legality of their 'rearing'.
tlg0086.tlg035.perseus-eng2::221	unspecified	unspecified	minor	implied	free	stated	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	anybody... of free station but not yet promoted to reclining at the public meals	The verbatim states the person must be of 'free station' and 'not yet promoted' to adult dining, implying minor status; 'reclining at public meals' is the boundary.
tlg0086.tlg035.perseus-eng2::223	unspecified	unspecified	minor	implied	free	stated	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	anybody... of free station but not yet promoted	The text states 'free station' and uses 'not yet promoted' vs 'an older offender' to distinguish minors from adults for punishment types.
tlg0086.tlg035.perseus-eng2::224	unspecified	unspecified	unspecified	unspecified	free	implied	native	implied	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	citizens	The word 'citizens' lexically implies free status and native ancestry within the context of the 'state' discussed.
tlg0086.tlg035.perseus-eng2::231	unspecified	unspecified	unspecified	unspecified	free	stated	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	free men	The verbatim explicitly names 'free men' as the class for whom professional music performance is considered improper.
tlg0086.tlg035.perseus-eng2::232	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	low	implied	mechanics and laborers	stated	mechanics and laborers	The text explicitly names the occupations 'mechanics and laborers' and describes them as 'the vulgar class', implying low wealth status.
tlg0086.tlg035.perseus-eng2::234	unspecified	unspecified	minor	stated	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	younger pupils	The verbatim explicitly states 'younger pupils' as the group to be educated in Dorian melodies.
tlg0540.tlg012.perseus-eng2::0	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	foreign	implied	resident	stated	unspecified	unspecified	unspecified	unspecified	resident aliens	The verbatim uses the term 'resident aliens' (metikoi), which states residency in the polity and implies foreign ancestry.
tlg0540.tlg012.perseus-eng2::1	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	foreign	implied	resident	stated	unspecified	unspecified	unspecified	unspecified	resident aliens	The term 'resident aliens' explicitly states residency and lexically implies foreign ancestry.
tlg0540.tlg012.perseus-eng2::3	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	foreign	implied	resident	implied	unspecified	unspecified	unspecified	unspecified	resident aliens	The context provided by 'behaving as resident aliens... instead of citizens' implies the group is resident and foreign.
tlg0540.tlg012.perseus-eng2::5	female	implied	unspecified	unspecified	unspecified	unspecified	native	implied	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	daughters of many [citizens]	The word 'daughters' implies female sex; belonging to 'citizens' implies native ancestry of the group members.
tlg0540.tlg012.perseus-eng2::6	unspecified	unspecified	unspecified	unspecified	free	implied	native	implied	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	citizens	The word 'citizens' lexically presupposes free status and native ancestry in a Greek context.
tlg0540.tlg012.perseus-eng2::8	unspecified	unspecified	unspecified	unspecified	free	implied	native	implied	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	citizens	The word 'citizens' lexically presupposes free status and native ancestry.
tlg0540.tlg012.perseus-eng2::9	unspecified	unspecified	unspecified	unspecified	free	implied	unspecified	unspecified	resident	implied	unspecified	unspecified	unspecified	unspecified	Assembly	The term 'Assembly' (Ekklesia) contextually identifies the voting citizen body, implying free status and residency.
tlg0540.tlg012.perseus-eng2::10	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	people	The verbatim uses 'people' and 'fathers, sons and brothers', which are generic or familial terms not defining a legal group axis directly.
tlg0540.tlg012.perseus-eng2::11	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	individuals	The verbatim uses the term 'individuals' in relation to pillaged houses, which does not specify a legal category.
tlg0540.tlg012.perseus-eng2::12	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	native	implied	resident	implied	unspecified	unspecified	unspecified	unspecified	you	The text refers to those 'banished from the city which your fathers bequeathed to you,' implying native ancestry and former residency.
tlg0540.tlg012.perseus-eng2::13	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	native	implied	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	you	The phrase 'city which your fathers bequeathed to you' implies native ancestry (inheritance of the city from ancestors).
tlg0540.tlg012.perseus-eng2::14	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Peiraeus party	The verbatim refers to the 'Peiraeus party', a political/factional label that does not lexically define a demographic criterion.
tlg0007.tlg056.perseus-eng2::0	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	praetors and governors	stated	praetors and governors	The verbatim explicitly names the occupations 'praetors and governors' in the context of provincial administration.
tlg0007.tlg056.perseus-eng2::1	male	implied	minor	stated	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	beardless youth	The verbatim states 'beardless youth' as a reason for legal disqualification from consulship, implying male sex and minor age.
tlg0007.tlg059.perseus-eng2::0	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	native	implied	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Roman	The verbatim refers to 'Roman' status, which lexically implies native ancestry within the Roman context. The term 'wife' implies female sex for the partner, but the rule applies to the 'Roman' (Antony).
tlg0007.tlg059.perseus-eng2::1	male	implied	unspecified	unspecified	free	implied	native	implied	unspecified	unspecified	high	implied	kings	stated	kings of Macedonia	'Kings' implies male sex, free status, high wealth, and the specific occupation/station of royalty; 'Macedonia' implies native ancestry.
tlg0007.tlg063.perseus-eng2::0	male	stated	unspecified	unspecified	free	implied	native	implied	unspecified	unspecified	high	implied	chief magistrates	stated	men of the highest repute and influence among the citizens	The verbatim explicitly names 'men'; 'citizens' implies free status and native ancestry; 'highest repute and influence' implies high social/wealth status.
tlg0007.tlg063.perseus-eng2::1	unspecified	unspecified	unspecified	unspecified	enslaved	implied	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	servants	stated	servants	The word 'servants' in this context (owned by Aratus) lexically presupposes enslaved status and defines their occupation.
tlg0007.tlg063.perseus-eng2::3	unspecified	unspecified	unspecified	unspecified	free	implied	unspecified	unspecified	resident	implied	unspecified	unspecified	unspecified	unspecified	citizens	'Citizens' implies free status; being invited to the theatre (assembly) in the city implies residence. Sex/age are not lexically forced by 'citizen'.
tlg0007.tlg063.perseus-eng2::4	unspecified	unspecified	unspecified	unspecified	free	implied	unspecified	unspecified	unspecified	unspecified	low	stated	unspecified	unspecified	exiles	'Exiles' (who were former citizens) implies free status; 'poverty' states a low wealth level.
tlg0007.tlg063.perseus-eng2::5	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	him who controls the place	The verbatim describes a geopolitical constraint based on military control of a location, but does not specify individual criteria for the subjects affected.
tlg0007.tlg063.perseus-eng2::6	unspecified	unspecified	unspecified	unspecified	free	implied	native	implied	unspecified	unspecified	low	stated	unspecified	unspecified	fellow-citizens, who were in want of money	'Citizens' implies free status and native ancestry; 'in want of money' directly states low wealth.
tlg0007.tlg063.perseus-eng2::7	unspecified	unspecified	unspecified	unspecified	free	implied	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	exiles... fellow-citizens	'Citizens' and 'exiles' (former citizens) implies free status.
tlg0007.tlg063.perseus-eng2::8	female	implied	adult	implied	free	implied	unspecified	unspecified	unspecified	unspecified	high	implied	unspecified	unspecified	wife	The word 'wife' implies female sex, adult age, and free status; the possession of 'golden ornaments' implies high wealth.
tlg0007.tlg063.perseus-eng2::9	unspecified	unspecified	unspecified	unspecified	free	implied	native	implied	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Corinthians	'Corinthians' in a political context implies native ancestry and free status.
tlg0007.tlg063.perseus-eng2::10	unspecified	unspecified	unspecified	unspecified	free	stated	foreign	implied	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	freemen among his prisoners... Athenians	The verbatim states 'freemen'; 'Athenians' (captured by a non-Athenian) implies foreign ancestry relative to the captor.
tlg0007.tlg063.perseus-eng2::11	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	general	stated	general	The rule explicitly limits the frequency of holding the occupation of 'general'.
tlg0007.tlg063.perseus-eng2::12	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	men	The word 'men' is used, which usually states male sex, though here it refers to those who 'dared the deed' rather than the class of all subjects restricted.
tlg0007.tlg063.perseus-eng2::13	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	contestants in the games	stated	contestants in the games	The verbatim explicitly names 'contestants in the games' as the group to whom the privilege was granted/violated.
tlg0007.tlg063.perseus-eng2::14	female	implied	any	implied	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	wives and daughters	'Wives and daughters' lexically presupposes female sex. Inclusion of 'daughters' implies age is not a restriction (any age/minor).
tlg0007.tlg063.perseus-eng2::15	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	foreign	implied	resident	stated	unspecified	unspecified	unspecified	unspecified	alien residents	'Alien' implies foreign ancestry; 'residents' states residence.
tlg0007.tlg063.perseus-eng2::16	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	general	implied	Aratus	The rules concern providing money/mercenaries for Aratus to 'wage war', implying his role/occupation as general.
tlg0007.tlg063.perseus-eng2::17	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	foreign	implied	resident	stated	unspecified	unspecified	unspecified	unspecified	resident aliens	'Aliens' implies foreign ancestry; 'resident' states residence.
tlg0007.tlg063.perseus-eng2::18	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	high	implied	unspecified	unspecified	the land	Dividing up 'the land' to give to others implies it was taken from people with high wealth (landowners).
tlg0007.tlg063.perseus-eng2::20	male	stated	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	men	The verbatim refers to the punishment of 'these men', grounding the sex as male; no other demographic criteria are lexically forced.
tlg0007.tlg063.perseus-eng2::21	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	tyrants and of the traitors	The verbatim targets 'tyrants' and 'traitors', which are political/legal statuses rather than demographic categories.
tlg0007.tlg063.perseus-eng2::22	any	stated	any	stated	unspecified	unspecified	unspecified	unspecified	resident	implied	unspecified	unspecified	unspecified	unspecified	citizens, wives and children	The verbatim explicitly names 'citizens', 'wives', and 'children', indicating the rule applied to the whole population regardless of sex or age; 'citizens' of a city implies residency.
tlg0007.tlg063.perseus-eng2::25	female	implied	adult	implied	free	implied	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	wife	The word 'wife' lexically presupposes female sex, adult age, and (in this social context) free status.
tlg0007.tlg063.perseus-eng2::26	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	them	The verbatim uses 'them' to refer to courtiers mentioned in the broader text, but the excerpt itself does not define their demographic criteria.
tlg0007.tlg082a.perseus-eng2::0	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	those who comes in to the public meals	The verbatim applies to anyone entering the public meals, but 'those' does not lexically define a specific demographic profile without background knowledge.
tlg0007.tlg082a.perseus-eng2::2	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	they	The verbatim refers to 'they' (implicitly the Spartans), but the text itself does not name the demographic identity of who learned to read/write.
tlg0007.tlg082a.perseus-eng2::3	male	stated	adult	implied	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	man	The verbatim specifies 'man', stating the sex as male; 'man' in the context of civic rights loss implies adult status.
tlg0007.tlg082a.perseus-eng2::4	male	implied	minor	implied	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	young men	The term 'young men' implies male sex and minor or early-adult age (subordinate to 'older men').
tlg0007.tlg082a.perseus-eng2::5	male	implied	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	citizens	The verbatim mentions 'boys' subjected to discipline, implying the 'citizens' who must submit are those who were once boys (males).
tlg0007.tlg082a.perseus-eng2::6	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	them	The verbatim uses 'them' without an explicit noun in the quoted text to define the group.
tlg0007.tlg082a.perseus-eng2::7	any	stated	any	stated	any	stated	foreign	stated	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	foreigners	The word 'foreigners' states foreign ancestry; 'all foreigners' implies an 'any' value for other demographic axes like sex and age.
tlg0007.tlg082a.perseus-eng2::8	unspecified	unspecified	unspecified	unspecified	free	implied	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	owner	The word 'owner' (of slaves and property) lexically presupposes free ownership status.
tlg0007.tlg082a.perseus-eng2::9	unspecified	unspecified	unspecified	unspecified	enslaved	implied	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Helots	The term 'Helots', effectively a proper name for an enslaved class in this context, implies 'enslaved' ownership status.
tlg0007.tlg082a.perseus-eng2::10	any	stated	minor	implied	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	maidens and youths	The verbatim names 'maidens' (females) and 'youths' (males), stating both sexes are eligible; both terms imply minor or young age.
tlg0007.tlg082a.perseus-eng2::11	male	implied	minor	implied	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	boys	The word 'boys' lexically presupposes male sex and minor age.
tlg0007.tlg082a.perseus-eng2::12	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	fellow-citizens	The verbatim mentions 'fellow-citizens' but without the context of the polity's specific laws, citizenship alone does not lexically force sex/age.
tlg0007.tlg082a.perseus-eng2::13	unspecified	unspecified	unspecified	unspecified	enslaved	implied	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	tilled the soil	stated	Helots	The term 'Helots' implies enslaved status; the text explicitly states they 'tilled the soil', naming an occupation.
tlg0007.tlg082a.perseus-eng2::14	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	sailors	stated	citizens	The verbatim prohibits citizens from being 'sailors', stating an occupation as the prohibited axis.
tlg0007.tlg121.perseus-eng3::0	male	implied	unspecified	unspecified	free	implied	unspecified	unspecified	unspecified	unspecified	high	implied	trierarch	stated	trierarch	The role of 'trierarch' (fitting ships) lexically implies high wealth and male sex in this context; the verbatim states the occupation.
tlg0007.tlg121.perseus-eng3::1	unspecified	unspecified	unspecified	unspecified	free	implied	unspecified	unspecified	resident	stated	unspecified	unspecified	unspecified	unspecified	lived the rest of his life at Athens	The text describes a person living at Athens but lacking 'the vote and eligibility to office' associated with citizenship, implying a free resident status. No specific sex or age is named for the rule.
tlg0007.tlg121.perseus-eng3::2	unspecified	unspecified	unspecified	unspecified	free	implied	foreign	stated	unspecified	unspecified	unspecified	unspecified	expert in decrees	stated	Olynthian named Eucleides	The verbatim identifies the person as 'Olynthian' (foreign ancestry) and an 'expert in decrees' (occupation), implying free status as he was 'made use of' for his expertise.
tlg0007.tlg121.perseus-eng3::3	unspecified	unspecified	unspecified	unspecified	free	stated	any	stated	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	person of free birth	The text explicitly protects a 'person of free birth' (ownership=free) regardless of origin ('any Athenian or foreign resident' are the buyers, implies the victim's ancestry could be any).
tlg0007.tlg121.perseus-eng3::5	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	native	implied	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	eldest descendant	Maintenance in the Prytaneum for a 'descendant' of a civic figure implies native lineage; 'eldest' is a kinship/age rank, but not a specific age class like adult.
tlg0007.tlg121.perseus-eng3::6	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	foreign	stated	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Corinthian by birth	The text specifies 'Corinthian by birth' (foreign ancestry) as the reason for being debarred from speaking before the assembly.
tlg0014.tlg022.perseus-eng2::1	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	prostitution	stated	persons guilty of prostitution	The verbatim explicitly names the occupation or behavior ('prostitution') as the basis for the legal disability.
tlg0014.tlg022.perseus-eng2::2	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	low	implied	unspecified	unspecified	defaulter	The verbatim refers to a 'defaulter' who 'owed money to the exchequer', implying a negative wealth status (debt) which disqualifies the person.
