rule_uid	file_id	perseus_author	perseus_title	year	period	rule	group	group_meta	criteria	resource	resource_meta	directionality	verbatim	criterion	group_matched	group_side
tlg0540.tlg012.perseus-eng2::5	tlg0540.tlg012.perseus-eng2	Lysias	Against Eratosthenes	-409	Classical (500–360 BCE)	Citizen daughter marriage rights	Daughters of citizens	Women;Citizens	['Citizenship', 'Gender']	Right to intended marriage	Right to bodily autonomy	MORE	['For they sent many of the citizens into exile with the enemy; they unjustly put many of them to death, and then deprived them of burial; many who had full civic rights they excluded from the citizenship; and the daughters of many they debarred from in tended marriage.']	Citizenship	Citizens	in-group (privileged)
tlg0540.tlg012.perseus-eng2::5	tlg0540.tlg012.perseus-eng2	Lysias	Against Eratosthenes	-409	Classical (500–360 BCE)	Citizen daughter marriage rights	Daughters of citizens	Women;Citizens	['Citizenship', 'Gender']	Right to intended marriage	Right to bodily autonomy	MORE	['For they sent many of the citizens into exile with the enemy; they unjustly put many of them to death, and then deprived them of burial; many who had full civic rights they excluded from the citizenship; and the daughters of many they debarred from in tended marriage.']	Gender	Women	out-group (deprived)
tlg0540.tlg012.perseus-eng2::6	tlg0540.tlg012.perseus-eng2	Lysias	Against Eratosthenes	-409	Classical (500–360 BCE)	Citizen protection from execution without trial	Citizens	Citizens	['Citizenship']	Right to a legal trial	Right to a legal trial	MORE	['and then, once established in power, admit that of their own free will they put to death many of the citizens without a trial,—if these men, I say, and their children are not to be visited by you with the extreme penalty of the law!']	Citizenship	Citizens	in-group (privileged)
tlg0540.tlg012.perseus-eng2::8	tlg0540.tlg012.perseus-eng2	Lysias	Against Eratosthenes	-409	Classical (500–360 BCE)	Collective execution of the wealthy	Citizens	Citizens	['Citizenship', 'Wealth / Properties']	Protection from arbitrary mass execution	Protection from capital punishment	LESS	['But, instead of offering or bringing some aid to the men at Phyle, he went with his partners in power to Salamis and Eleusis, and haled to prison three hundred of the citizens, and by a single resolution condemned them all to death.']	Citizenship	Citizens	in-group (privileged)
tlg0540.tlg012.perseus-eng2::9	tlg0540.tlg012.perseus-eng2	Lysias	Against Eratosthenes	-409	Classical (500–360 BCE)	Citizen right to assembly deliberation	Citizens	Citizens	['Citizenship']	Right to participate in the Assembly	Right to vote in the Ekklesia	LESS	['Finally, gentlemen, he kept the Assembly from meeting until the moment mentioned by the enemy had been carefully watched for by him, and he had sent for Lysander’s ships from Samos, and the enemy’s forces were quartered in the town. And now, with matters thus arranged, and in the presence of Lysander, Philochares and Miltiades, they called the Assembly to a debate on the constitution, when no orator could either oppose them or awe them with threats, while you, instead of choosing the course most advantageous to the city, could only vote in favour of their views.']	Citizenship	Citizens	in-group (privileged)
tlg0540.tlg012.perseus-eng2::10	tlg0540.tlg012.perseus-eng2	Lysias	Against Eratosthenes	-409	Classical (500–360 BCE)	Citizen protection from execution without trial	Citizens	Citizens	['Citizenship']	Protection from execution without trial	Protection from capital punishment	LESS	['And whereas these men put people to death untried who were guilty of no wrong, you think fit to try according to law the persons who destroyed the city, and whose punishment by you, even if unlawfully devised, would still be inadequate to the wrongs that they have committed against the city. For what would they have to suffer, if their punishment should be adequate to their actions? If you put them and their children to death, should we sufficiently punish them for the murder of our fathers, sons and brothers whom they put to death untried?']	Citizenship	Citizens	in-group (privileged)
tlg0540.tlg012.perseus-eng2::12	tlg0540.tlg012.perseus-eng2	Lysias	Against Eratosthenes	-409	Classical (500–360 BCE)	Citizen right to customary burial	Citizens	Citizens	['Citizenship', 'Religion']	Right to customary burial	Right to burial	LESS	['and next, that you were formally banished from the city which your fathers bequeathed to you, and when you were in exile they demanded your persons from the various cities. In return you should feel the same anger as when you were exiles, and remember besides the other injuries that you suffered from these men, who with violent hands snatched some from the market-place, and some from the temples, and put them to death; while others they tore from their children, their parents and their wives, and compelled to self-slaughter, and then did not even allow them to be given the customary burial']	Citizenship	Citizens	in-group (privileged)
tlg0540.tlg012.perseus-eng2::12	tlg0540.tlg012.perseus-eng2	Lysias	Against Eratosthenes	-409	Classical (500–360 BCE)	Citizen right to customary burial	Citizens	Citizens	['Citizenship', 'Religion']	Right to customary burial	Right to burial	LESS	['and next, that you were formally banished from the city which your fathers bequeathed to you, and when you were in exile they demanded your persons from the various cities. In return you should feel the same anger as when you were exiles, and remember besides the other injuries that you suffered from these men, who with violent hands snatched some from the market-place, and some from the temples, and put them to death; while others they tore from their children, their parents and their wives, and compelled to self-slaughter, and then did not even allow them to be given the customary burial']	Religion	Citizens	out-group (deprived)
tlg0540.tlg012.perseus-eng2::13	tlg0540.tlg012.perseus-eng2	Lysias	Against Eratosthenes	-409	Classical (500–360 BCE)	Citizen right to residency in the city	Citizens	Citizens	['Citizenship']	Right to reside in the city	Right to reside in the city	LESS	['and next, that you were formally banished from the city which your fathers bequeathed to you, and when you were in exile they demanded your persons from the various cities.']	Citizenship	Citizens	in-group (privileged)
tlg0540.tlg012.perseus-eng2::14	tlg0540.tlg012.perseus-eng2	Lysias	Against Eratosthenes	-409	Classical (500–360 BCE)	Citizen right to bear arms	Citizens	Citizens	['Citizenship']	Right to possess and bear arms	Right to bear arms	LESS	['And all you of the Peiraeus party, remember first the matter of the arms,—how after fighting many battles on foreign soil you were deprived of your arms, not by the enemy, but by these men, in a time of peace']	Citizenship	Citizens	in-group (privileged)
tlg0007.tlg056.perseus-eng2::1	tlg0007.tlg056.perseus-eng2	Plutarch	Comparison of Demosthenes with Cicero	75	Hellenistic & Early Roman (165 BCE – 105 CE)	Minimum age for Roman consulship	Minors	Minors	['Age']	Eligibility for the consulship	Eligibility for public office	LESS	['Cicero, on the contrary, was reproached in the senate by Laelius for sitting silent when Caesar asked leave to stand for the consulship, which was contrary to law, since he was still a beardless youth.']	Age	Minors	out-group (deprived)
tlg0007.tlg063.perseus-eng2::0	tlg0007.tlg063.perseus-eng2	Plutarch	Aratus	75	Hellenistic & Early Roman (165 BCE – 105 CE)	Noble access to magistracies	Aristocrats	Nobles	['Citizenship', 'Nobility', 'Lineage']	Eligibility for the chief magistracy	Eligibility for public office	MORE	['The city of Sicyon, as soon as it had fallen away from its pure Doric form of aristocracy (which was now like a harmony dissolved)... Timocleides and Cleinias were chosen chief magistrates, men of the highest repute and influence among the citizens.']	Nobility	Nobles	in-group (privileged)
tlg0007.tlg063.perseus-eng2::1	tlg0007.tlg063.perseus-eng2	Plutarch	Aratus	75	Hellenistic & Early Roman (165 BCE – 105 CE)	Slave participation in private militias	Slaves	Slaves	['Freedom']	Right to bear arms	Right to bear arms	MORE	['As for men, each of the friends of Aratus in Argos furnished him with ten out of the few they had, and he himself equipped thirty of his own servants with arms.']	Freedom	Slaves	out-group (deprived)
tlg0007.tlg063.perseus-eng2::3	tlg0007.tlg063.perseus-eng2	Plutarch	Aratus	75	Hellenistic & Early Roman (165 BCE – 105 CE)	Citizen assembly voting	Citizens	Citizens	['Citizenship']	Right to vote in the assembly	Right to vote in the Ekklesia	MORE	['Day was now breaking, and the theatre was thronged with people... until the herald came forward and made proclamation that Aratus the son of Cleinias invited the citizens to secure their freedom.']	Citizenship	Citizens	in-group (privileged)
tlg0007.tlg063.perseus-eng2::4	tlg0007.tlg063.perseus-eng2	Plutarch	Aratus	75	Hellenistic & Early Roman (165 BCE – 105 CE)	Exile property restitution claims	Foreigners	Foreigners	['Citizenship']	Right to retain property	Right to retain property	LESS	['Aratus restored eighty exiles who had been banished by Nicocles, and those also who had fled the city during the reign of former tyrants, to the number of five hundred. These had long been wanderers, yes, for close to fifty years. And now that they had come back, most of them in poverty, they laid claim to the property which they had formerly held, and by going to their farms and houses threw Aratus into great perplexity.']	Citizenship	Foreigners	out-group (deprived)
tlg0007.tlg063.perseus-eng2::6	tlg0007.tlg063.perseus-eng2	Plutarch	Aratus	75	Hellenistic & Early Roman (165 BCE – 105 CE)	State-funded prisoner ransoming	The poor	The poor	['Wealth / Properties']	Protection from enslavement	Protection from enslavement	MORE	['And there came to him also a gift of money from the king of Egypt, five-and-twenty talents. These Aratus accepted, but gave them at once to his fellow-citizens, who were in want of money, especially for the ransoming of such as had been taken prisoners.']	Wealth / Properties	The poor	out-group (deprived)
tlg0007.tlg063.perseus-eng2::7	tlg0007.tlg063.perseus-eng2	Plutarch	Aratus	75	Hellenistic & Early Roman (165 BCE – 105 CE)	Independent arbitration for property disputes	Citizens	Citizens	['Citizenship']	Right to property settlement	Right to retain property	MORE	['For when he was appointed independent arbiter, with absolute powers for settling the money affairs of the exiles, he would not accept the office alone, but associated with himself fifteen of his fellow-citizens, by whose aid, after much toil and great trouble, he established peace and friendship among his fellow-citizens.']	Citizenship	Citizens	in-group (privileged)
tlg0007.tlg063.perseus-eng2::8	tlg0007.tlg063.perseus-eng2	Plutarch	Aratus	75	Hellenistic & Early Roman (165 BCE – 105 CE)	Wife's limited control of ornaments	Women	Women	['Gender']	Right to retain dowry upon divorce	Right to retain property	LESS	['he took most of his plate and his wife’s golden ornaments and deposited them with Aegias as security for the money. For he was so exalted in spirit and had so great a passion for noble deeds that, knowing as he did that Phocion and Epaminondas were reputed to have been the justest and best of Greeks because they spurned great gifts and would not betray their honour for money, he elected to expend his own substance secretly, as an advance, on an enterprise in which he alone was risking his life for the whole body of citizens, who did not even know what was going on.']	Gender	Women	out-group (deprived)
tlg0007.tlg063.perseus-eng2::9	tlg0007.tlg063.perseus-eng2	Plutarch	Aratus	75	Hellenistic & Early Roman (165 BCE – 105 CE)	Citizen right to gate keys	Citizens	Citizens	['Citizenship']	Political power	Political power	MORE	['he summoned his strength and in behalf of the Achaeans made a speech which befitted their exploit, and persuaded the Corinthians to join the Achaean League. He also gave them back the keys to their gates, of which they then became possessed for the first time since the time of Philip of Macedon.']	Citizenship	Citizens	in-group (privileged)
tlg0007.tlg063.perseus-eng2::10	tlg0007.tlg063.perseus-eng2	Plutarch	Aratus	75	Hellenistic & Early Roman (165 BCE – 105 CE)	Citizen prisoner ransom exemption	Athenian citizens	Citizens	['Citizenship']	Right to be released without ransom	Protection from enslavement	MORE	['But the freemen among his prisoners he sent back to the Athenians without ransom, thus laying a foundation for their revolt from Antigonus.']	Citizenship	Citizens	in-group (privileged)
tlg0007.tlg063.perseus-eng2::11	tlg0007.tlg063.perseus-eng2	Plutarch	Aratus	75	Hellenistic & Early Roman (165 BCE – 105 CE)	Generalship eligibility frequency	Achaean citizens	Citizens	['Citizenship']	Annual eligibility for the generalship	Eligibility for public office	LESS	['And he was so influential among the Achaeans that, since it was not permissible every year, they chose him general every other year, though, in fact, his wisdom made him their leader all the time.']	Citizenship	Citizens	in-group (privileged)
tlg0007.tlg063.perseus-eng2::13	tlg0007.tlg063.perseus-eng2	Plutarch	Aratus	75	Hellenistic & Early Roman (165 BCE – 105 CE)	Sacred games safe-conduct	Athletic contestants	Artisans	['Occupation']	Protection from capture and enslavement	Protection from enslavement	MORE	['But the games were also celebrated at Argos, and then for the first time the privilege of asylum and safe-conduct which had been granted to contestants in the games was violated, since the Achaeans treated as enemies and sold into slavery all contestants in the games at Argos whom they caught travelling through their territory.']	Occupation	Artisans	in-group (privileged)
tlg0007.tlg063.perseus-eng2::14	tlg0007.tlg063.perseus-eng2	Plutarch	Aratus	75	Hellenistic & Early Roman (165 BCE – 105 CE)	Capture of women as booty	Women	Women	['Freedom', 'Gender']	Protection from abduction in war	Protection from enslavement	LESS	['For as soon as they had entered the city, the common soldiers had scattered themselves among the houses, jostling and fighting with one another over the booty, while the leaders and captains were going about and seizing the wives and daughters of the Pellenians, on whose heads they put their own helmets, that no one else might seize them, but that the helmet might show to whom each woman belonged.']	Gender	Women	out-group (deprived)
tlg0007.tlg063.perseus-eng2::15	tlg0007.tlg063.perseus-eng2	Plutarch	Aratus	75	Hellenistic & Early Roman (165 BCE – 105 CE)	Alien resident grant of citizenship	Metics	Foreigners	['Citizenship']	Full citizenship rights	Right to citizenship	MORE	['But he escaped alive and rallied his soldiers, and then was not content to come off safely, but making the best use of his opportunity, when no one expected or had any idea of what was to happen, he suddenly made an assault upon Mantineia, which was in alliance with Cleomenes; and having taken the city, he set a garrison there, and made its alien residents full citizens, thus acquiring single-handed for the conquered Achaeans what they could not easily have obtained as conquerors.']	Citizenship	Foreigners	out-group (deprived)
tlg0007.tlg063.perseus-eng2::17	tlg0007.tlg063.perseus-eng2	Plutarch	Aratus	75	Hellenistic & Early Roman (165 BCE – 105 CE)	Resident alien advancement to citizenship	Resident aliens	Foreigners	['Citizenship']	Right to citizenship	Right to citizenship	MORE	['but after he had killed the ephors, divided up the land, advanced many resident aliens to the citizenship, and thus got an irresponsible power, he immediately pressed the Achaeans hard, and demanded the supreme leadership for himself.']	Citizenship	Foreigners	out-group (deprived)
tlg0007.tlg063.perseus-eng2::18	tlg0007.tlg063.perseus-eng2	Plutarch	Aratus	75	Hellenistic & Early Roman (165 BCE – 105 CE)	Liturgy and property redistribution	Landowners	The wealthy	['Wealth / Properties']	Right to retain land	Right to own land	LESS	['but after he had killed the ephors, divided up the land, advanced many resident aliens to the citizenship, and thus got an irresponsible power, he immediately pressed the Achaeans hard, and demanded the supreme leadership for himself.']	Wealth / Properties	The wealthy	in-group (privileged)
tlg0007.tlg063.perseus-eng2::25	tlg0007.tlg063.perseus-eng2	Plutarch	Aratus	75	Hellenistic & Early Roman (165 BCE – 105 CE)	Marital fidelity of wives	Wives	Women;Wives	['Gender']	Protection from sexual exploitation	Right to bodily autonomy	LESS	['In the first place he inflicted a private wrong upon the younger Aratus by corrupting his wife, and was for a long time undetected, since he was a housemate and a guest of the family']	Gender	Women	out-group (deprived)
tlg0007.tlg063.perseus-eng2::26	tlg0007.tlg063.perseus-eng2	Plutarch	Aratus	75	Hellenistic & Early Roman (165 BCE – 105 CE)	Courtier immunity from summary punishment	Royal courtiers	Nobles	['Nobility']	Protection from arbitrary execution	Protection from capital punishment	LESS	['At this Philip was enraged, and for the nonce fined them twenty talents; afterwards, however, regarding them as a noxious and confusing element in his affairs, he put them to death.']	Nobility	Nobles	in-group (privileged)
tlg0007.tlg082a.perseus-eng2::0	tlg0007.tlg082a.perseus-eng2	Plutarch	Instituta Laconica	75	Hellenistic & Early Roman (165 BCE – 105 CE)	Public meal speech restriction	The young men	Minors;Men	['Age']	Freedom of speech outside public meals	Right to free speech	LESS	['To each one of those who comes in to the public meals the eldest man says, as he points to the doors, Through these no word goes out.']	Age	Minors	out-group (deprived)
tlg0007.tlg082a.perseus-eng2::4	tlg0007.tlg082a.perseus-eng2	Plutarch	Instituta Laconica	75	Hellenistic & Early Roman (165 BCE – 105 CE)	Universal elder authority	Young men	Minors;Men	['Age']	Personal autonomy from non-parental adults	Right to bodily autonomy	LESS	['Moreover, the young men were required not only to respect their own fathers and to be obedient to them, but to have regard for all the older men, to make room for them on the streets, to give up their seats to them, and to keep quiet in their presence. As the result of this custom each man had authority, not as in other states over his own children, slaves, and property, but also over his neighbour’s in like manner as over his own.']	Age	Minors	out-group (deprived)
tlg0007.tlg082a.perseus-eng2::5	tlg0007.tlg082a.perseus-eng2	Plutarch	Instituta Laconica	75	Hellenistic & Early Roman (165 BCE – 105 CE)	Citizenship via discipline	Citizens	Citizens	['Education', 'Citizenship']	Participation in civic rights	Right to citizenship	LESS	['Whosoever of the citizens would not submit to the discipline to which the boys were subjected had no participation in civic rights.']	Education	Citizens	out-group (deprived)
tlg0007.tlg082a.perseus-eng2::5	tlg0007.tlg082a.perseus-eng2	Plutarch	Instituta Laconica	75	Hellenistic & Early Roman (165 BCE – 105 CE)	Citizenship via discipline	Citizens	Citizens	['Education', 'Citizenship']	Participation in civic rights	Right to citizenship	LESS	['Whosoever of the citizens would not submit to the discipline to which the boys were subjected had no participation in civic rights.']	Citizenship	Citizens	in-group (privileged)
tlg0007.tlg082a.perseus-eng2::7	tlg0007.tlg082a.perseus-eng2	Plutarch	Instituta Laconica	75	Hellenistic & Early Roman (165 BCE – 105 CE)	Foreigner exclusion (Xenelasia)	Foreigners	Foreigners	['Citizenship']	Right to reside in the country	Right to reside in the city	LESS	['Lycurgus also introduced the practice of banning all foreigners from the country, so that these should not filter in and serve to teach the citizens something bad.']	Citizenship	Foreigners	out-group (deprived)
tlg0007.tlg082a.perseus-eng2::8	tlg0007.tlg082a.perseus-eng2	Plutarch	Instituta Laconica	75	Hellenistic & Early Roman (165 BCE – 105 CE)	Shared use of neighbors' resources	Citizens	Citizens	['Freedom', 'Citizenship']	Exclusive use of owned property and slaves	Right to retain property	LESS	['but it was their custom to use the neighbours’ servants as their own if they needed them and also their dogs and horses, unless the owners required them for their own use. And in the country, if anyone found himself lacking anything and had need of it, he would open an owner’s storehouse and take away enough to meet his need.']	Freedom	Citizens	in-group (privileged)
tlg0007.tlg082a.perseus-eng2::8	tlg0007.tlg082a.perseus-eng2	Plutarch	Instituta Laconica	75	Hellenistic & Early Roman (165 BCE – 105 CE)	Shared use of neighbors' resources	Citizens	Citizens	['Freedom', 'Citizenship']	Exclusive use of owned property and slaves	Right to retain property	LESS	['but it was their custom to use the neighbours’ servants as their own if they needed them and also their dogs and horses, unless the owners required them for their own use. And in the country, if anyone found himself lacking anything and had need of it, he would open an owner’s storehouse and take away enough to meet his need.']	Citizenship	Citizens	in-group (privileged)
tlg0007.tlg082a.perseus-eng2::9	tlg0007.tlg082a.perseus-eng2	Plutarch	Instituta Laconica	75	Hellenistic & Early Roman (165 BCE – 105 CE)	Forced intoxication of Helots	Helots	Slaves	['Freedom']	Protection from forced intoxication	Protection from corporal punishment	LESS	['They used to make the Helots drunk and exhibit them to the young as a deterrent from excessive drinking.']	Freedom	Slaves	out-group (deprived)
tlg0007.tlg082a.perseus-eng2::10	tlg0007.tlg082a.perseus-eng2	Plutarch	Instituta Laconica	75	Hellenistic & Early Roman (165 BCE – 105 CE)	Shared religious access for youth	Maidens and youths	Minors	['Age', 'Gender']	Access to temples and religious services	Access to religious rites	MORE	['[§36] The temples and religious services were open to maidens and youths alike.']	Age	Minors	out-group (deprived)
tlg0007.tlg082a.perseus-eng2::11	tlg0007.tlg082a.perseus-eng2	Plutarch	Instituta Laconica	75	Hellenistic & Early Roman (165 BCE – 105 CE)	The Flagellation competition	Boys	Men;Minors	['Age', 'Gender']	Protection from corporal punishment	Protection from corporal punishment	LESS	['[§41] The boys in Sparta were lashed with whips during the entire day at the altar of Artemis Orthia, frequently to the point of death, and they bravely endured this, cheerful and proud, vying with one another for the supremacy as to which one of them could endure being beaten for the longer time and the greater number of blows.']	Age	Minors	out-group (deprived)
tlg0007.tlg082a.perseus-eng2::11	tlg0007.tlg082a.perseus-eng2	Plutarch	Instituta Laconica	75	Hellenistic & Early Roman (165 BCE – 105 CE)	The Flagellation competition	Boys	Men;Minors	['Age', 'Gender']	Protection from corporal punishment	Protection from corporal punishment	LESS	['[§41] The boys in Sparta were lashed with whips during the entire day at the altar of Artemis Orthia, frequently to the point of death, and they bravely endured this, cheerful and proud, vying with one another for the supremacy as to which one of them could endure being beaten for the longer time and the greater number of blows.']	Gender	Men	in-group (privileged)
tlg0007.tlg082a.perseus-eng2::12	tlg0007.tlg082a.perseus-eng2	Plutarch	Instituta Laconica	75	Hellenistic & Early Roman (165 BCE – 105 CE)	Citizen exclusion from manual labor	Citizens	Citizens	['Citizenship']	Exemption from menial trades	Exemption from manual labor	MORE	['[§42] One of the noble and blessed privileges which Lycurgus appears to have secured for his fellow-citizens was abundance of leisure. In fact it was not permitted them to take up any menial trade at all; and there was no need whatever of making money, which involves a toilsome accumulation, nor of busy activity, because of his having made wealth wholly unenvied and unhonoured.']	Citizenship	Citizens	in-group (privileged)
tlg0007.tlg082a.perseus-eng2::13	tlg0007.tlg082a.perseus-eng2	Plutarch	Instituta Laconica	75	Hellenistic & Early Roman (165 BCE – 105 CE)	Helot agricultural rent cap	Helots	Slaves	['Freedom']	Right to retain surplus production	Right to retain own earnings	MORE	['[§42] The Helots tilled the soil for them, paying a return which was regularly settled in advance. There was a ban against letting for a higher price, so that the Helots might make some profit, and thus be glad to do the work for their masters, and so that the masters might not look for any larger return.']	Freedom	Slaves	out-group (deprived)
tlg0007.tlg082a.perseus-eng2::14	tlg0007.tlg082a.perseus-eng2	Plutarch	Instituta Laconica	75	Hellenistic & Early Roman (165 BCE – 105 CE)	Spartan ban on seafaring	Citizens	Citizens	['Citizenship']	Right to serve as sailors	Eligibility for public office	LESS	['[§43] It was forbidden them to be sailors and to fight on the sea. Later, however, they did engage in such battles, and, after they had made themselves masters of the sea, they again desisted, since they observed that the character of the citizens was deteriorating sadly.']	Citizenship	Citizens	in-group (privileged)
tlg0007.tlg121.perseus-eng3::0	tlg0007.tlg121.perseus-eng3	Plutarch	The Lives of the Ten Orators	75	Hellenistic & Early Roman (165 BCE – 105 CE)	Wealthy citizen trierarchy obligation	Wealthy citizens	The wealthy;Citizens	['Wealth / Properties']	Exemption from compulsory public financing	Exemption from compulsory public financing	LESS	['In his speeches he is accurate and persuasive, clever in invention, ingenious in handling perplexing cases; he attacks unexpectedly, and he addresses his arguments to both the laws and the emotions, aiming especially at propriety. He was born at the time of the Persian wars and of the sophist Gorgias, who was somewhat older than he; and his life extended until the destruction of the democracy by the Four Hundred, in causing which he seems himself to have had a part, at one time by being trierarch of two ships, at another by being general Antiphon was a common name at Athens in the fifth century.']	Wealth / Properties	The wealthy	in-group (privileged)
tlg0007.tlg121.perseus-eng3::1	tlg0007.tlg121.perseus-eng3	Plutarch	The Lives of the Ten Orators	75	Hellenistic & Early Roman (165 BCE – 105 CE)	Metic exclusion from public office	Metics	Foreigners	['Citizenship']	Eligibility for office	Eligibility for public office	LESS	['And after losing his citizenship in this way, he lived the rest of his life at Athens with all the rights of citizenship except the vote and eligibility to office, and died there at the age of eighty-three years or, as some say, seventy-six or, as others say, over eighty; and he lived to see Demosthenes as a youth.']	Citizenship	Foreigners	out-group (deprived)
tlg0007.tlg121.perseus-eng3::2	tlg0007.tlg121.perseus-eng3	Plutarch	The Lives of the Ten Orators	75	Hellenistic & Early Roman (165 BCE – 105 CE)	Citizen-only legislative proposal right	Metics	Foreigners	['Citizenship']	Right to move decrees in the assembly	Political power	LESS	['He also proposed decrees, several decrees moved by him are extant, e.g. I.G. ii.² 337, 338. making use of a certain Olynthian named Eucleides, who was an expert in decrees.']	Citizenship	Foreigners	out-group (deprived)
tlg0007.tlg121.perseus-eng3::3	tlg0007.tlg121.perseus-eng3	Plutarch	The Lives of the Ten Orators	75	Hellenistic & Early Roman (165 BCE – 105 CE)	Protection of free-born from enslavement	Free-born individuals	Citizens	['Freedom']	Protection from enslavement	Protection from enslavement	MORE	['a third law that no Athenian or foreign resident of Athens should be permitted to buy from among captives a person of free birth to be a slave without the consent of his former master Prisoners of war were usually auctioned off into slavery regardless of their previous condition. If such a captive could prove his free birth through the testimony of the man who owned him when taken captive, he could not under this new law be purchased by any Athenian for slavery']	Freedom	Citizens	in-group (privileged)
tlg0007.tlg121.perseus-eng3::5	tlg0007.tlg121.perseus-eng3	Plutarch	The Lives of the Ten Orators	75	Hellenistic & Early Roman (165 BCE – 105 CE)	Public maintenance for distinguished descendants	Descendants of state benefactors	Nobles;Heirs	['Citizenship', 'Lineage']	Maintenance in the Prytaneum	Access to public honors	MORE	['a bronze statue of him stands in the Cerameicus, set up in accordance with a decree passed in the archonship of Anaxicrates, 307-306 b.c. in which year Lycurgus and his eldest descendant were granted maintenance in the Prytaneum by the same decree.']	Lineage	Heirs	in-group (privileged)
tlg0007.tlg121.perseus-eng3::6	tlg0007.tlg121.perseus-eng3	Plutarch	The Lives of the Ten Orators	75	Hellenistic & Early Roman (165 BCE – 105 CE)	Metic exclusion from public speaking	Metics	Foreigners	['Citizenship']	Right to address the popular assembly	Right to address the assembly	LESS	['Since he became a friend of Cassander he prospered exceedingly through the fees he charged for the speeches which he wrote for those who requested his services; and he had as his opponents the most distinguished public men, although he did not speak before the popular assembly (for he was unable to do so If he was a Corinthian by birth, he would be debarred from such speaking.); but he merely wrote speeches for their opponents.']	Citizenship	Foreigners	out-group (deprived)
tlg0014.tlg022.perseus-eng2::3	tlg0014.tlg022.perseus-eng2	Demosthenes	Against Androtion	-348	Late Classical (354–165 BCE)	Protection of freemen from corporal liability	Citizens	Citizens	['Freedom']	Protection of person from seizure for debt	Protection from enslavement	MORE	['Indeed, if you wanted to contrast the slave and the freeman, you would find the most important distinction in the fact that slaves are responsible in person for all offences, while freemen, even in the most unfortunate circumstances, can protect their persons. For it is in the shape of money that in the majority of cases the law must obtain satisfaction from them; but Androtion on the contrary exacted vengeance from their persons, as if they had been bond-slaves.']	Freedom	Citizens	in-group (privileged)
tlg0014.tlg022.perseus-eng2::4	tlg0014.tlg022.perseus-eng2	Demosthenes	Against Androtion	-348	Late Classical (354–165 BCE)	Metic property tax rate	Resident aliens	Foreigners	['Citizenship']	Right to equal tax rates	Exemption from taxes	LESS	['Is it not rather because he said of one of them, in the hearing of all of you in the Assembly, that he was a slave and born of slaves and ought by rights to pay the contribution of one-sixth with the resident aliens; and of another that he had children by a harlot']	Citizenship	Foreigners	out-group (deprived)
tlg0014.tlg035.perseus-eng2::0	tlg0014.tlg035.perseus-eng2	Demosthenes	Against Lacritus	-348	Late Classical (354–165 BCE)	Commercial grain transport restriction	Athenians and resident aliens	Citizens;Foreigners	['Citizenship', 'Freedom']	Right to transport grain to non-Athenian ports	Right to freedom of movement	LESS	['It shall be unlawful for any Athenian or any alien residing at Athens or for any person over whom they have control, to lend money on any vessel which is not going to bring to Athens grain or the other articles specifically mentioned. [...] And he shall have no right to bring action for the money which he has lent for a voyage to any other place than to Athens, and no magistrate shall bring any such suit to trial.']	Citizenship	Citizens	in-group (privileged)
tlg0014.tlg035.perseus-eng2::0	tlg0014.tlg035.perseus-eng2	Demosthenes	Against Lacritus	-348	Late Classical (354–165 BCE)	Commercial grain transport restriction	Athenians and resident aliens	Citizens;Foreigners	['Citizenship', 'Freedom']	Right to transport grain to non-Athenian ports	Right to freedom of movement	LESS	['It shall be unlawful for any Athenian or any alien residing at Athens or for any person over whom they have control, to lend money on any vessel which is not going to bring to Athens grain or the other articles specifically mentioned. [...] And he shall have no right to bring action for the money which he has lent for a voyage to any other place than to Athens, and no magistrate shall bring any such suit to trial.']	Citizenship	Foreigners	out-group (deprived)
tlg0014.tlg035.perseus-eng2::0	tlg0014.tlg035.perseus-eng2	Demosthenes	Against Lacritus	-348	Late Classical (354–165 BCE)	Commercial grain transport restriction	Athenians and resident aliens	Citizens;Foreigners	['Citizenship', 'Freedom']	Right to transport grain to non-Athenian ports	Right to freedom of movement	LESS	['It shall be unlawful for any Athenian or any alien residing at Athens or for any person over whom they have control, to lend money on any vessel which is not going to bring to Athens grain or the other articles specifically mentioned. [...] And he shall have no right to bring action for the money which he has lent for a voyage to any other place than to Athens, and no magistrate shall bring any such suit to trial.']	Freedom	Citizens	in-group (privileged)
tlg0014.tlg035.perseus-eng2::1	tlg0014.tlg035.perseus-eng2	Demosthenes	Against Lacritus	-348	Late Classical (354–165 BCE)	Heir liability for debts	Heirs	Heirs	['Lineage']	Right to retain inherited property without debt liability	Right to inherit property	LESS	['since he is the brother of Artemo and has possession of all his property, both all that he left here and all that he had at Phaselis, and is the heir to his whole estate; and since he can show no law which gives him the right to hold his brother’s property and to have administered it as he pleased, and yet to refuse to pay back money which belongs to others']	Lineage	Heirs	in-group (privileged)
