group_meta	rule_polity	period	resource_granular	n_more	n_less	bit	contested
Magistrates	Roman Republic	Hellenistic & Early Roman (165 BCE – 105 CE)	Deliberative authority	1	0	1	False
Magistrates	Sparta	Late Classical (354–165 BCE)	Exemption from manual or agricultural labor	1	0	1	False
Magistrates;Kings	Classical Athens	Classical (500–360 BCE)	Participation in sacred rites	1	0	1	False
Magistrates;Kings	Middle Roman Republic	Hellenistic & Early Roman (165 BCE – 105 CE)	Deliberative authority	1	0	1	False
Magistrates;Kings	Middle Roman Republic	Hellenistic & Early Roman (165 BCE – 105 CE)	Eligibility for military command	0	1	0	False
Magistrates;Kings	Middle Roman Republic	Hellenistic & Early Roman (165 BCE – 105 CE)	Eligibility for public office	1	0	1	False
Men	Aegina	Classical (500–360 BCE)	Right to adoption	1	0	1	False
Men	Archaic Athens (Solonic)	Late Classical (354–165 BCE)	Right to citizenship	0	1	0	False
Men	Classical Athens	Classical (500–360 BCE)	Eligibility for the archonship	1	0	1	False
Men	Classical Athens	Classical (500–360 BCE)	Enrollment in civic sub-units	1	0	1	False
Men	Classical Athens	Classical (500–360 BCE)	Freedom of choice in marriage	0	1	0	False
Men	Classical Athens	Classical (500–360 BCE)	Immunity from prosecution	1	0	1	False
Men	Classical Athens	Classical (500–360 BCE)	Right to a name	1	0	1	False
Men	Classical Athens	Late Classical (354–165 BCE)	Access to the Agora	0	1	0	False
Men	Classical Athens	Late Classical (354–165 BCE)	Eligibility for priesthood	0	1	0	False
Men	Classical Athens	Late Classical (354–165 BCE)	Eligibility for public office	0	1	0	False
Men	Classical Athens	Late Classical (354–165 BCE)	Exemption from legal audit	1	0	1	False
Men	Classical Athens	Late Classical (354–165 BCE)	Speaking in the assembly	0	2	0	False
Men	Classical Greece	Classical (500–360 BCE)	Deliberative authority	1	0	1	False
Men	Hellenistic Hierapolis	High Roman Empire (135–205 CE)	Access to sacred spaces	1	0	1	False
Men	Sparta	Hellenistic & Early Roman (165 BCE – 105 CE)	Right to citizenship	0	1	0	False
Men;Citizens	Classical Athens	Classical (500–360 BCE)	Inheriting property	1	0	1	False
Men;Citizens	Classical Athens	Classical (500–360 BCE)	Protection from arbitrary arrest	1	0	1	False
Men;Citizens	Classical Athens	Late Classical (354–165 BCE)	Eligibility for public office	1	0	1	False
Men;Citizens	Classical Athens	Late Classical (354–165 BCE)	Exemption from manual or agricultural labor	1	0	1	False
Men;Citizens	Hellenistic Athens	Hellenistic & Early Roman (165 BCE – 105 CE)	Protection from penal corporal punishment	1	0	1	False
Men;Citizens	Hellenistic Greek states	Hellenistic & Early Roman (165 BCE – 105 CE)	Eligibility for public office	1	0	1	False
Men;Citizens	Roman Empire	High Roman Empire (135–205 CE)	Retaining one's own earnings	1	0	1	False
Men;Citizens	Syracuse	Classical (500–360 BCE)	Protection from penal corporal punishment	1	0	1	False
Men;Elders	Ancient Egypt	Classical (500–360 BCE)	Deliberative authority	1	0	1	False
Men;Elders	Classical Athens	High Roman Empire (135–205 CE)	Owning and retaining property	1	0	1	False
Men;Elders	Classical Athens	Late Classical (354–165 BCE)	Eligibility for jury service	0	2	0	False
Men;Elders	Classical Athens	Late Classical (354–165 BCE)	Eligibility for public office	1	1	X	True
Men;Greeks	Delphi	Late Classical (354–165 BCE)	Exemption from manual or agricultural labor	0	1	0	False
Men;Heirs	Classical Athens	Classical (500–360 BCE)	Enrollment in civic sub-units	1	0	1	False
Men;Heirs	Classical Athens	Classical (500–360 BCE)	Inheriting property	3	0	1	False
Men;Heirs	Classical Athens	Classical (500–360 BCE)	Right to a share of an estate	1	0	1	False
Men;Heirs	Classical Athens	Late Classical (354–165 BCE)	Owning and retaining property	1	0	1	False
Men;Heirs	Early Roman Kingdom	Hellenistic & Early Roman (165 BCE – 105 CE)	Personal liberty	1	0	1	False
Men;Magistrates	Classical Athens	Classical (500–360 BCE)	Pay for assembly or jury service	1	0	1	False
Men;Minors	Classical Athens	Classical (500–360 BCE)	Access to formal education	1	0	1	False
Men;Minors	Sparta	Hellenistic & Early Roman (165 BCE – 105 CE)	Protection from penal corporal punishment	0	1	0	False
Men;Nobles	Classical Athens	Classical (500–360 BCE)	Eligibility for public office	1	0	1	False
Men;Soldiers	High Empire Athens	High Roman Empire (135–205 CE)	Exemption from military service	0	1	0	False
Men;Women	Hellenistic Hierapolis	High Roman Empire (135–205 CE)	Freedom from state supervision	0	1	0	False
Minors	Archaic Rome	High Roman Empire (135–205 CE)	Right to consume wine	0	1	0	False
Minors	Classical Athens	Classical (500–360 BCE)	Freedom of movement	0	1	0	False
Minors	Classical Athens	Classical (500–360 BCE)	Inheriting property	1	0	1	False
Minors	Classical Athens	Classical (500–360 BCE)	Personal liberty	1	1	X	True
Minors	Classical Athens	Classical (500–360 BCE)	Protection from capital punishment	1	1	X	True
Minors	Classical Athens	Classical (500–360 BCE)	Right to citizenship	0	1	0	False
Minors	Classical Athens	Classical (500–360 BCE)	Speaking in the assembly	0	1	0	False
Minors	Classical Athens	Late Classical (354–165 BCE)	Access to common meals	0	1	0	False
Minors	Classical Athens	Late Classical (354–165 BCE)	Access to formal education	1	0	1	False
Minors	Classical Athens	Late Classical (354–165 BCE)	Access to public subsidies	1	0	1	False
Minors	Classical Athens	Late Classical (354–165 BCE)	Deliberative authority	0	1	0	False
Minors	Classical Athens	Late Classical (354–165 BCE)	Eligibility for jury service	0	1	0	False
Minors	Classical Athens	Late Classical (354–165 BCE)	Eligibility for public office	0	1	0	False
Minors	Classical Athens	Late Classical (354–165 BCE)	Exemption from taxes	1	0	1	False
Minors	Classical Athens	Late Classical (354–165 BCE)	Immunity from prosecution	1	0	1	False
Minors	Classical Athens	Late Classical (354–165 BCE)	Personal liberty	1	0	1	False
Minors	Classical Athens	Late Classical (354–165 BCE)	Protection from penal corporal punishment	0	1	0	False
Minors	Classical Athens (the Four Hundred)	Late Classical (354–165 BCE)	Eligibility for the council	0	1	0	False
Minors	Early Christian Church	Hellenistic & Early Roman (165 BCE – 105 CE)	Access to formal education	2	0	1	False
Minors	Macedonia	Classical (500–360 BCE)	Eligibility for public office	0	1	0	False
Minors	Middle Roman Republic	Hellenistic & Early Roman (165 BCE – 105 CE)	Access to formal education	1	0	1	False
Minors	Middle Roman Republic	Hellenistic & Early Roman (165 BCE – 105 CE)	Eligibility for public office	0	1	0	False
Minors	Roman Republic	Hellenistic & Early Roman (165 BCE – 105 CE)	Eligibility for the consulship	0	1	0	False
Minors	Sparta	Hellenistic & Early Roman (165 BCE – 105 CE)	Access to sacred spaces	1	0	1	False
Minors	Sparta	Late Classical (354–165 BCE)	Exemption from taxes	1	0	1	False
Minors	Sparta	Late Classical (354–165 BCE)	Freedom of choice in marriage	0	1	0	False
Minors;Citizens	Classical Athens	Late Classical (354–165 BCE)	Right to citizenship	0	1	0	False
Minors;Foreigners	Classical Athens	Classical (500–360 BCE)	Right to citizenship	0	1	0	False
Minors;Foreigners	Classical Athens	Late Classical (354–165 BCE)	Right to citizenship	0	1	0	False
Minors;Heirs	Classical Athens	Classical (500–360 BCE)	Right to adoption	0	1	0	False
Minors;Heirs	Classical Athens	Late Classical (354–165 BCE)	Eligibility for public office	0	1	0	False
Minors;Men	Roman Empire	Hellenistic & Early Roman (165 BCE – 105 CE)	Freedom from state supervision	1	0	1	False
Minors;Men	Sparta	Hellenistic & Early Roman (165 BCE – 105 CE)	Freedom from state supervision	0	1	0	False
Minors;Men	Sparta	Hellenistic & Early Roman (165 BCE – 105 CE)	Freedom of speech	0	1	0	False
Minors;Nobles;Men	Roman Empire	Hellenistic & Early Roman (165 BCE – 105 CE)	Freedom from state supervision	1	0	1	False
Minors;Orphans	Classical Athens	Late Classical (354–165 BCE)	Access to public subsidies	1	0	1	False
Minors;Sick	Classical Greece	Late Classical (354–165 BCE)	Protection from capital punishment	0	1	0	False
Minors;Slaves	Classical Athens	Classical (500–360 BCE)	Personal liberty	0	1	0	False
Nobles	Achaemenid Empire	Hellenistic & Early Roman (165 BCE – 105 CE)	Protection from penal corporal punishment	1	0	1	False
Nobles	Archaic Athens	Late Classical (354–165 BCE)	Eligibility for the archonship	2	0	1	False
Nobles	Archaic Corinth	Late Classical (354–165 BCE)	Protection from capital punishment	0	1	0	False
Nobles	Classical Athens	Classical (500–360 BCE)	Eligibility for public honors	1	0	1	False
Nobles	Classical Athens	Classical (500–360 BCE)	Protection from slander	1	0	1	False
Nobles	Classical Athens	Hellenistic & Early Roman (165 BCE – 105 CE)	Disposing of property by will	1	0	1	False
Nobles	Classical Athens	Hellenistic & Early Roman (165 BCE – 105 CE)	Protection from arbitrary banishment	0	1	0	False
Nobles	Classical Athens	Late Classical (354–165 BCE)	Eligibility for public honors	1	0	1	False
Nobles	Classical Athens	Late Classical (354–165 BCE)	Eligibility for public office	1	0	1	False
Nobles	Classical Athens	Late Classical (354–165 BCE)	Eligibility for the kingship	1	0	1	False
Nobles	Classical Athens	Late Classical (354–165 BCE)	Exemption from military service	0	1	0	False
Nobles	Classical Athens	Late Classical (354–165 BCE)	Protection from arbitrary banishment	0	1	0	False
Nobles	Classical Greece	Late Classical (354–165 BCE)	Eligibility for public office	1	0	1	False
Nobles	Classical Sparta	Hellenistic & Early Roman (165 BCE – 105 CE)	Deliberative authority	1	0	1	False
Nobles	Classical Sparta	Hellenistic & Early Roman (165 BCE – 105 CE)	Eligibility for the kingship	3	0	1	False
Nobles	Classical Sparta	Late Classical (354–165 BCE)	Eligibility for the council	1	0	1	False
Nobles	Early Roman Kingdom	Hellenistic & Early Roman (165 BCE – 105 CE)	Eligibility for any public office	1	0	1	False
Nobles	Early Roman Kingdom	Hellenistic & Early Roman (165 BCE – 105 CE)	Selection of the monarch	1	0	1	False
Nobles	Hellenistic Macedon	Hellenistic & Early Roman (165 BCE – 105 CE)	Protection from execution without trial	0	1	0	False
Nobles	Hierapolis (Syria)	High Roman Empire (135–205 CE)	Eligibility for military command	1	0	1	False
Nobles	Late Roman Republic	Hellenistic & Early Roman (165 BCE – 105 CE)	Eligibility for military command	1	0	1	False
Nobles	Megara	Late Classical (354–165 BCE)	Owning land	0	1	0	False
Nobles	Middle Roman Republic	Hellenistic & Early Roman (165 BCE – 105 CE)	Eligibility for military command	1	0	1	False
Nobles	Middle Roman Republic	Hellenistic & Early Roman (165 BCE – 105 CE)	Eligibility for the council	0	1	0	False
Nobles	Roman Empire	Hellenistic & Early Roman (165 BCE – 105 CE)	Eligibility for public office	1	0	1	False
Nobles	Sicyon	Hellenistic & Early Roman (165 BCE – 105 CE)	Eligibility for public office	1	0	1	False
Nobles	Sparta	Late Classical (354–165 BCE)	Exemption from legal audit	1	0	1	False
Nobles;Heirs	Classical Athens	Hellenistic & Early Roman (165 BCE – 105 CE)	Access to public subsidies	1	0	1	False
Nobles;Men	Ionia and Pontus	High Roman Empire (135–205 CE)	Eligibility for public honors	1	0	1	False
Orphans	Classical Athens	Late Classical (354–165 BCE)	Right to a trial	1	0	1	False
Orphans	Roman Empire	Hellenistic & Early Roman (165 BCE – 105 CE)	Right to a trial	0	1	0	False
Orphans;Soldiers	Classical Athens	Late Classical (354–165 BCE)	Possession of arms	1	0	1	False
Other	Classical Athens	Classical (500–360 BCE)	Access to assembly proceedings	0	1	0	False
Other	Classical Athens	Classical (500–360 BCE)	Access to physical training	1	0	1	False
Other	Classical Athens	Classical (500–360 BCE)	Access to sacred spaces	0	2	0	False
Other	Classical Athens	Classical (500–360 BCE)	Protection from execution without trial	1	0	1	False
Other	Classical Athens	Classical (500–360 BCE)	Testifying in court	0	1	0	False
Other	Classical Athens	Late Classical (354–165 BCE)	Right to a trial	1	0	1	False
Other	Classical Athens	Late Classical (354–165 BCE)	Right to engage in business	0	1	0	False
Other	Classical Sparta	Classical (500–360 BCE)	Protection from private assault	1	0	1	False
Philosophers	Classical Athens	Classical (500–360 BCE)	Right to engage in business	1	0	1	False
Philosophers	Classical Athens	Classical (500–360 BCE)	Testifying in court	2	0	1	False
Philosophers	Classical Athens	Late Classical (354–165 BCE)	Speaking in the assembly	1	0	1	False
Philosophers	Hellenistic Athens	High Roman Empire (135–205 CE)	Right of residence	0	1	0	False
Philosophers	Roman Empire	High Roman Empire (135–205 CE)	Retaining one's own earnings	1	0	1	False
Philosophers	Roman Empire	High Roman Empire (135–205 CE)	Right to a trial	1	0	1	False
Philosophers;Magistrates	Classical Athens	Classical (500–360 BCE)	Speaking in the assembly	1	0	1	False
Physicians	Classical Athens	Classical (500–360 BCE)	Right to engage in business	1	0	1	False
Poets	Classical Athens	Classical (500–360 BCE)	Participation in sacred rites	1	0	1	False
Poets	Classical Athens	Late Classical (354–165 BCE)	Access to public subsidies	1	0	1	False
Poets	Classical Athens	Late Classical (354–165 BCE)	Protection from slander	1	0	1	False
Poets	Classical Athens	Late Classical (354–165 BCE)	Right to a trial	0	1	0	False
Poets	Classical Athens	Late Classical (354–165 BCE)	Testifying in court	1	0	1	False
Poets;Magistrates	Classical Greece	Classical (500–360 BCE)	Access to sacred spaces	1	0	1	False
Priests	Ancient Egypt	Classical (500–360 BCE)	Exemption from military service	1	0	1	False
Priests	Ancient Egypt	Classical (500–360 BCE)	Retaining one's own earnings	1	0	1	False
Priests	Classical Athens	Classical (500–360 BCE)	Participation in sacred rites	2	0	1	False
Priests	Classical Athens	Late Classical (354–165 BCE)	Exemption from legal audit	0	1	0	False
Priests	Early Roman Kingdom	Hellenistic & Early Roman (165 BCE – 105 CE)	Deliberative authority	1	0	1	False
Priests	Hellenistic Hierapolis	High Roman Empire (135–205 CE)	Right to a public funeral	0	1	0	False
Priests	Hierapolis (Syria)	High Roman Empire (135–205 CE)	Freedom from state supervision	0	1	0	False
Priests	Late Period Egypt	Classical (500–360 BCE)	Eligibility for the kingship	1	0	1	False
Priests	Middle Roman Republic	Hellenistic & Early Roman (165 BCE – 105 CE)	Freedom of movement	0	1	0	False
Priests	Roman Empire	Hellenistic & Early Roman (165 BCE – 105 CE)	Freedom of movement	1	0	1	False
Priests	Roman Empire	Hellenistic & Early Roman (165 BCE – 105 CE)	Right of residence	1	0	1	False
Priests	Roman Empire	High Roman Empire (135–205 CE)	Eligibility for public honors	1	0	1	False
Priests	Roman Empire	High Roman Empire (135–205 CE)	Right to personal name	0	1	0	False
Priests	Second Temple Judea	Hellenistic & Early Roman (165 BCE – 105 CE)	Participation in sacred rites	1	1	X	True
Priests;Women	Early Roman Kingdom	Hellenistic & Early Roman (165 BCE – 105 CE)	Disposing of property by will	1	0	1	False
Priests;Women	Early Roman Kingdom	Hellenistic & Early Roman (165 BCE – 105 CE)	Freedom of choice in marriage	0	1	0	False
Priests;Women	Middle Roman Republic	Hellenistic & Early Roman (165 BCE – 105 CE)	Protection from capital punishment	0	1	0	False
Romans	Roman Republic	Hellenistic & Early Roman (165 BCE – 105 CE)	Right to marry a citizen	0	1	0	False
Romans;Magistrates	Roman Republic	Hellenistic & Early Roman (165 BCE – 105 CE)	Eligibility for public honors	1	0	1	False
Sailors	Classical Athens	Late Classical (354–165 BCE)	Protection from penal corporal punishment	0	1	0	False
Sailors	Classical Greece	Late Classical (354–165 BCE)	Right to citizenship	0	1	0	False
Scythians	Classical Athens	Classical (500–360 BCE)	Eligibility for public office	1	0	1	False
Scythians;Soldiers	Classical Athens	Classical (500–360 BCE)	Protection from arbitrary arrest	1	0	1	False
Sick	Classical Athens	Classical (500–360 BCE)	Personal liberty	1	0	1	False
Sick	Classical Athens	Classical (500–360 BCE)	Right to communicate through gesture	1	0	1	False
Slaves	Archaic Athens	Hellenistic & Early Roman (165 BCE – 105 CE)	Right to bodily autonomy	0	1	0	False
Slaves	Archaic Athens (Solonic)	Classical (500–360 BCE)	Right to a trial	1	0	1	False
Slaves	Archaic Athens (Solonic)	Late Classical (354–165 BCE)	Freedom of choice in marriage	0	1	0	False
Slaves	Archaic Rome	High Roman Empire (135–205 CE)	Right to consume wine	0	1	0	False
Slaves	Classical Athens	Classical (500–360 BCE)	Access to formal education	0	1	0	False
Slaves	Classical Athens	Classical (500–360 BCE)	Exemption from manual or agricultural labor	0	1	0	False
Slaves	Classical Athens	Classical (500–360 BCE)	Immunity from prosecution	1	0	1	False
Slaves	Classical Athens	Classical (500–360 BCE)	Owning and retaining property	1	0	1	False
Slaves	Classical Athens	Classical (500–360 BCE)	Personal liberty	0	1	0	False
Slaves	Classical Athens	Classical (500–360 BCE)	Protection from judicial torture	0	6	0	False
Slaves	Classical Athens	Classical (500–360 BCE)	Protection from penal corporal punishment	0	1	0	False
Slaves	Classical Athens	Classical (500–360 BCE)	Protection from private assault	1	2	0	False
Slaves	Classical Athens	Classical (500–360 BCE)	Retaining one's own earnings	0	1	0	False
Slaves	Classical Athens	Classical (500–360 BCE)	Right to a trial	1	0	1	False
Slaves	Classical Athens	Classical (500–360 BCE)	Speaking in the assembly	0	1	0	False
Slaves	Classical Athens	Late Classical (354–165 BCE)	Deliberative authority	0	2	0	False
Slaves	Classical Athens	Late Classical (354–165 BCE)	Owning land	0	1	0	False
Slaves	Classical Athens	Late Classical (354–165 BCE)	Personal liberty	2	2	X	True
Slaves	Classical Athens	Late Classical (354–165 BCE)	Protection from capital punishment	1	0	1	False
Slaves	Classical Athens	Late Classical (354–165 BCE)	Protection from judicial torture	0	7	0	False
Slaves	Classical Athens	Late Classical (354–165 BCE)	Protection from private assault	1	1	X	True
Slaves	Classical Athens	Late Classical (354–165 BCE)	Protection from slander	0	1	0	False
Slaves	Classical Athens	Late Classical (354–165 BCE)	Retaining one's own earnings	1	0	1	False
Slaves	Classical Athens	Late Classical (354–165 BCE)	Right to a trial	1	0	1	False
Slaves	Classical Athens	Late Classical (354–165 BCE)	Right to citizenship	0	1	0	False
Slaves	Classical Athens	Late Classical (354–165 BCE)	Testifying in court	0	1	0	False
Slaves	Classical Cos	High Roman Empire (135–205 CE)	Participation in sacred rites	0	1	0	False
Slaves	Classical Greece	Classical (500–360 BCE)	Protection from penal corporal punishment	0	1	0	False
Slaves	Classical Sparta	Hellenistic & Early Roman (165 BCE – 105 CE)	Exemption from manual or agricultural labor	0	1	0	False
Slaves	Classical Sparta	Hellenistic & Early Roman (165 BCE – 105 CE)	Protection from private assault	0	1	0	False
Slaves	Crete	Late Classical (354–165 BCE)	Deliberative authority	0	1	0	False
Slaves	Crete	Late Classical (354–165 BCE)	Possession of arms	0	1	0	False
Slaves	Hellenistic Greece	Hellenistic & Early Roman (165 BCE – 105 CE)	Possession of arms	1	0	1	False
Slaves	Roman Empire	Hellenistic & Early Roman (165 BCE – 105 CE)	Personal liberty	1	0	1	False
Slaves	Roman Empire	High Roman Empire (135–205 CE)	Protection from penal corporal punishment	0	1	0	False
Slaves	Roman Empire	High Roman Empire (135–205 CE)	Retaining one's own earnings	1	0	1	False
Slaves	Roman Empire (Greek East)	High Roman Empire (135–205 CE)	Retaining one's own earnings	0	1	0	False
Slaves	Scythia	Hellenistic & Early Roman (165 BCE – 105 CE)	Protection from penal corporal punishment	0	1	0	False
Slaves	Sparta	Hellenistic & Early Roman (165 BCE – 105 CE)	Protection from private assault	0	1	0	False
Slaves	Sparta	Hellenistic & Early Roman (165 BCE – 105 CE)	Retaining one's own earnings	1	0	1	False
Slaves;Foreigners	Classical Athens	Classical (500–360 BCE)	Right to citizenship	1	0	1	False
Slaves;Foreigners	Classical Athens	Late Classical (354–165 BCE)	Access to physical training	1	0	1	False
Slaves;Foreigners;Women	Classical Athens	Classical (500–360 BCE)	Speaking in the assembly	1	0	1	False
Slaves;Soldiers	Classical Sparta	Classical (500–360 BCE)	Right to a trial	1	0	1	False
Slaves;Soldiers	Middle Roman Republic	Hellenistic & Early Roman (165 BCE – 105 CE)	Personal liberty	1	0	1	False
Soldiers	Archaic Athens (Draconian)	Late Classical (354–165 BCE)	Voting in the assembly	1	0	1	False
Soldiers	Classical Athens	Classical (500–360 BCE)	Right to citizenship	0	1	0	False
Soldiers	Classical Athens	Classical (500–360 BCE)	Speaking in the assembly	0	1	0	False
Soldiers	Classical Athens	High Roman Empire (135–205 CE)	Protection from penal corporal punishment	1	0	1	False
Soldiers	Middle Roman Republic	Hellenistic & Early Roman (165 BCE – 105 CE)	Personal liberty	1	0	1	False
Soldiers	Seleucid Empire	High Roman Empire (135–205 CE)	Eligibility for the kingship	1	0	1	False
Soldiers	Syracuse	Classical (500–360 BCE)	Retaining one's own earnings	1	0	1	False
Soldiers;Magistrates	Achaean League	Hellenistic & Early Roman (165 BCE – 105 CE)	Access to public subsidies	0	1	0	False
Soldiers;Magistrates	Achaean League	Hellenistic & Early Roman (165 BCE – 105 CE)	Protection from execution without trial	1	0	1	False
Soldiers;Magistrates	Classical Athens	Classical (500–360 BCE)	Deliberative authority	0	1	0	False
Soldiers;Magistrates	Thurii	Late Classical (354–165 BCE)	Eligibility for military command	0	1	0	False
Spartans	Archaic Sparta	Hellenistic & Early Roman (165 BCE – 105 CE)	Owning and retaining property	0	1	0	False
Spartans	Classical Sparta	Hellenistic & Early Roman (165 BCE – 105 CE)	Exemption from manual or agricultural labor	1	0	1	False
Spartans	Sparta	Hellenistic & Early Roman (165 BCE – 105 CE)	Access to formal education	0	1	0	False
Spartans	Sparta	Hellenistic & Early Roman (165 BCE – 105 CE)	Freedom of movement	0	1	0	False
Spartans;Citizens	Classical Sparta	Hellenistic & Early Roman (165 BCE – 105 CE)	Immunity from prosecution	1	0	1	False
Spartans;Citizens	Classical Sparta	High Roman Empire (135–205 CE)	Access to common meals	1	0	1	False
Syrians	Hellenistic Hierapolis	High Roman Empire (135–205 CE)	Access to sacred spaces	0	1	0	False
Syrians	Hellenistic Hierapolis	High Roman Empire (135–205 CE)	Dietary practices	0	1	0	False
Syrians	Hierapolis (Syria)	High Roman Empire (135–205 CE)	Right to dietary choices	0	2	0	False
The educated	Classical Athens	Classical (500–360 BCE)	Access to formal education	1	0	1	False
The educated	Hellenistic Athens	Hellenistic & Early Roman (165 BCE – 105 CE)	Access to common meals	1	0	1	False
The educated	Roman Empire	High Roman Empire (135–205 CE)	Exemption from social obligations	0	1	0	False
The educated	Roman Empire	High Roman Empire (135–205 CE)	Participation in sacred rites	0	1	0	False
The educated	Roman Empire	High Roman Empire (135–205 CE)	Protection from penal corporal punishment	0	1	0	False
The educated	Roman Empire	High Roman Empire (135–205 CE)	Right to receive patronage provisions	1	0	1	False
The multitude	Archaic Athens	Late Classical (354–165 BCE)	Exemption from manual or agricultural labor	0	1	0	False
The multitude	Argos	Hellenistic & Early Roman (165 BCE – 105 CE)	Possession of arms	0	1	0	False
The multitude	Classical Athens	Hellenistic & Early Roman (165 BCE – 105 CE)	Election of magistrates	1	0	1	False
The multitude	Classical Athens	Hellenistic & Early Roman (165 BCE – 105 CE)	Eligibility for jury service	1	0	1	False
The multitude	Classical Athens	Late Classical (354–165 BCE)	Deliberative authority	1	0	1	False
The multitude	Classical Athens	Late Classical (354–165 BCE)	Eligibility for public honors	1	0	1	False
The multitude	Classical Athens	Late Classical (354–165 BCE)	Possession of arms	0	1	0	False
The multitude	Classical Athens	Late Classical (354–165 BCE)	Right of residence	0	1	0	False
The multitude	Classical Athens (The Five Thousand)	Classical (500–360 BCE)	Enrollment in civic sub-units	1	0	1	False
The multitude	Classical Greece	Late Classical (354–165 BCE)	Eligibility for public office	1	0	1	False
The multitude	Crete	Late Classical (354–165 BCE)	Eligibility for public office	0	1	0	False
The multitude	Roman Empire	High Roman Empire (135–205 CE)	Immunity from prosecution	1	0	1	False
The multitude	Roman Empire	High Roman Empire (135–205 CE)	Right to citizenship	1	0	1	False
The multitude	Sparta	Late Classical (354–165 BCE)	Eligibility for the archonship	1	0	1	False
The multitude;Citizens	Classical Athens	Late Classical (354–165 BCE)	Eligibility for jury service	1	0	1	False
The poor	Ambracia	Late Classical (354–165 BCE)	Eligibility for public office	0	1	0	False
The poor	Archaic Athens (Peisistratid)	Late Classical (354–165 BCE)	Access to public subsidies	1	0	1	False
The poor	Archaic Athens (Pre-Solonic)	Late Classical (354–165 BCE)	Protection from enslavement for debt	0	1	0	False
The poor	Archaic Athens (Solonic)	Late Classical (354–165 BCE)	Eligibility for public office	0	1	0	False
The poor	Archaic Athens (Solonic)	Late Classical (354–165 BCE)	Eligibility for the archonship	0	1	0	False
The poor	Carthage	Late Classical (354–165 BCE)	Eligibility for the kingship	0	1	0	False
The poor	Classical Athens	Classical (500–360 BCE)	Eligibility for public office	1	0	1	False
The poor	Classical Athens	Classical (500–360 BCE)	Right to citizenship	0	1	0	False
The poor	Classical Athens	Classical (500–360 BCE)	Speaking in the assembly	1	0	1	False
The poor	Classical Athens	Late Classical (354–165 BCE)	Deliberative authority	1	0	1	False
The poor	Classical Athens	Late Classical (354–165 BCE)	Eligibility for jury service	0	1	0	False
The poor	Classical Athens	Late Classical (354–165 BCE)	Eligibility for public office	2	3	0	False
The poor	Classical Athens	Late Classical (354–165 BCE)	Eligibility for the archonship	1	0	1	False
The poor	Classical Athens	Late Classical (354–165 BCE)	Exemption from liturgies	1	0	1	False
The poor	Classical Athens	Late Classical (354–165 BCE)	Exemption from manual or agricultural labor	0	1	0	False
The poor	Classical Athens	Late Classical (354–165 BCE)	Exemption from public office	1	0	1	False
The poor	Classical Athens	Late Classical (354–165 BCE)	Pay for assembly or jury service	5	0	1	False
The poor	Classical Athens	Late Classical (354–165 BCE)	Possession of arms	0	1	0	False
The poor	Classical Athens	Late Classical (354–165 BCE)	Protection from private assault	1	0	1	False
The poor	Classical Athens	Late Classical (354–165 BCE)	Right to citizenship	0	2	0	False
The poor	Classical Athens	Late Classical (354–165 BCE)	Voting in the assembly	1	1	X	True
The poor	Classical Athens (the Five Thousand)	Late Classical (354–165 BCE)	Pay for assembly or jury service	0	1	0	False
The poor	Classical Athens (the Five Thousand)	Late Classical (354–165 BCE)	Voting in the assembly	0	1	0	False
The poor	Classical Greece	Late Classical (354–165 BCE)	Deliberative authority	0	1	0	False
The poor	Classical Greece	Late Classical (354–165 BCE)	Eligibility for public office	0	1	0	False
The poor	Classical Greece	Late Classical (354–165 BCE)	Eligibility for the archonship	0	2	0	False
The poor	Classical Greece (Oligarchical)	Late Classical (354–165 BCE)	Eligibility for the archonship	0	1	0	False
The poor	Classical Sparta	Late Classical (354–165 BCE)	Access to common meals	1	0	1	False
The poor	Classical Sparta	Late Classical (354–165 BCE)	Access to formal education	1	0	1	False
The poor	Classical Sparta	Late Classical (354–165 BCE)	Election of magistrates	1	0	1	False
The poor	Early Roman Kingdom	Hellenistic & Early Roman (165 BCE – 105 CE)	Owning land	1	0	1	False
The poor	Early Roman Republic	Hellenistic & Early Roman (165 BCE – 105 CE)	Protection from property seizure	0	1	0	False
The poor	Roman Empire	Hellenistic & Early Roman (165 BCE – 105 CE)	Right to a trial	0	1	0	False
The poor	Roman Empire (Greek East)	High Roman Empire (135–205 CE)	Voting in the assembly	1	0	1	False
The poor	Sicyon	Hellenistic & Early Roman (165 BCE – 105 CE)	Personal liberty	1	0	1	False
The poor	Sparta	Late Classical (354–165 BCE)	Deliberative authority	0	1	0	False
The poor	Sparta	Late Classical (354–165 BCE)	Right to citizenship	0	1	0	False
The poor	Thurii	Late Classical (354–165 BCE)	Eligibility for public honors	0	1	0	False
The poor;Artisans	Classical Athens	Late Classical (354–165 BCE)	Eligibility for public office	0	1	0	False
The poor;Sick	Classical Athens	Late Classical (354–165 BCE)	Resident allowance for the poor	2	0	1	False
The wealthy	Archaic Athens (Draconian)	Late Classical (354–165 BCE)	Eligibility for public office	1	0	1	False
The wealthy	Archaic Athens (Solonic)	Classical (500–360 BCE)	Right to engage in business	1	0	1	False
The wealthy	Classical Athens	Classical (500–360 BCE)	Access to formal education	1	0	1	False
The wealthy	Classical Athens	Classical (500–360 BCE)	Disposing of property by will	0	1	0	False
