rule_id	resource_meta	resource	resource_granular	granular_is_new	granular_parent_meta	granular_reasoning
tlg0086.tlg035.perseus-eng2::178	Right to remuneration for office	Right to receive state remuneration	Pay for assembly or jury service	False	Right to remuneration for office	Explicitly mentions 'payment for public duties' including assembly and law-courts.
tlg0086.tlg035.perseus-eng2::179	Eligibility for public office	Eligibility for the archonship	Eligibility for public office	False	Eligibility for public office	Discusses 'popular qualifications' vs 'oligarchy' traits for participation.
tlg0086.tlg035.perseus-eng2::181	Eligibility for public office	Eligibility for the archonship	Eligibility for the archonship	False	Eligibility for public office	The verbatim refers to 'holders of the greatest magistracies' and property-qualifications for 'higher offices'.
tlg0086.tlg035.perseus-eng2::182	Right to own land	Right to own land in Attica	Owning land	False	Right to own land	Explicitly mentions 'prohibiting the ownership of more than a certain amount of land'.
tlg0086.tlg035.perseus-eng2::183	Right to inherit property	Right to inherit property directly	Inheriting property	False	Right to inherit property	Refers to the 'sale of the original allotments' (estates) and loans secured on a 'man’s existing estate'.
tlg0086.tlg035.perseus-eng2::184	Right to vote in the Ekklesia	Right to vote in the Ekklesia	Right to citizenship	False	Right to citizenship	Directly mentions 'admit to citizenship' and the status of children of citizen-birth.
tlg0086.tlg035.perseus-eng2::185	Right to retain own earnings	Right to retain one's own earnings	Personal liberty	False	Protection from enslavement	Refers to 'licence among slaves' and the 'indulgence to live as one likes'.
tlg0086.tlg035.perseus-eng2::186	Right to retain property	Right to retain property	Protection from property seizure	False	Right to retain property	Enacting that nothing belonging to persons condemned 'shall be confiscated', but 'consecrated'.
tlg0086.tlg035.perseus-eng2::187	Eligibility for public office	Eligibility for the archonship	Eligibility for the archonship	False	Eligibility for public office	Distinguishes between 'indispensable offices' and 'more important' offices based on property.
tlg0086.tlg035.perseus-eng2::188	Eligibility for public office	Eligibility for the archonship	Eligibility for the archonship	False	Eligibility for public office	Discusses a 'share in the government' and eligibility after abstaining from 'mechanic industries'.
tlg0086.tlg035.perseus-eng2::189	Eligibility for public office	Eligibility for the archonship	Eligibility for the archonship	False	Eligibility for public office	Mentions 'most supreme offices' having 'expensive duties' to exclude the common people.
tlg0086.tlg035.perseus-eng2::191	Exemption from compulsory public financing	Compulsory public service	Exemption from liturgies	False	Exemption from compulsory public financing	The verbatim mentions being 'excused from useless public services' (liturgies).
tlg0086.tlg035.perseus-eng2::192	Exemption from manual labor	Exemption from domestic labor	Exemption from manual or agricultural labor	False	Exemption from manual labor	Describes how the poor are 'forced to employ their women and children as servants' due to lack of slaves.
tlg0086.tlg035.perseus-eng2::196	Eligibility for public office	Right to hold political office	Eligibility for public office	False	Eligibility for public office	Describes the 'work of a ruler' to 'distribute the offices according to merit'.
tlg0086.tlg035.perseus-eng2::197	Right to citizenship	Protection from political exclusion	Right to citizenship	False	Right to citizenship	Discusses who is 'part of the state' versus resident aliens and slaves.
tlg0086.tlg035.perseus-eng2::199	Right to citizenship	Right to citizenship	Right to citizenship	False	Right to citizenship	Explicitly states 'no need for these [common sailors] to be citizens'.
tlg0086.tlg035.perseus-eng2::206	Right to own land	Right to own land	Owning land	False	Right to own land	Specifies that 'properties must belong to these classes' and not the 'tillers of the soil'.
tlg0086.tlg035.perseus-eng2::207	Political power	Right to deliberate on war	Deliberative authority	False	Political power	Refers to citizens who 'take part in deliberation as to wars'.
tlg0086.tlg035.perseus-eng2::208	Right to reside in the city	Access to the water-supply	Right of residence	False	Right to reside in the city	Ensuring water supply for 'citizens when they are debarred from their territory by war'.
tlg0086.tlg035.perseus-eng2::210	Right to freedom of movement	Right of access to the free agora	Access to the Agora	False	Right to reside in the city	Mentions a 'free agora' which artisans or farmers may not 'intrude' upon.
tlg0086.tlg035.perseus-eng2::212	Eligibility for public office	Eligibility for the magistracy	Eligibility for public office	False	Eligibility for public office	Refers to the distinction between those who are to 'be governed' and those who 'govern' based on age.
tlg0086.tlg035.perseus-eng2::219	Protection from capital punishment	Right to life	Protection from capital punishment	False	Protection from capital punishment	Concerns the law on 'exposing' (killing/abandoning) children and whether they are 'reared'.
tlg0086.tlg035.perseus-eng2::221	Access to public honors	Right to attend public meals	Access to common meals	False	Access to public honors	The verbatim mentions the promotion to 'reclining at the public meals'.
tlg0086.tlg035.perseus-eng2::223	Protection from corporal punishment	Protection from corporal punishment	Protection from penal corporal punishment	False	Protection from corporal punishment	The text specifies offenders 'must be punished with marks of dishonor and with beating'.
tlg0086.tlg035.perseus-eng2::224	Access to the gymnasium	Right to public education	Access to formal education	False	Access to the gymnasium	The verbatim refers to the 'training of their children' conducted on a 'public system'.
tlg0086.tlg035.perseus-eng2::231	Exemption from manual labor	Exemption from menial occupations	Exemption from manual or agricultural labor	False	Exemption from manual labor	The passage describes professional performance as 'menial' and not 'proper for free men'.
tlg0086.tlg035.perseus-eng2::232	Access to religious rites	Access to specialized public entertainment	Participation in sacred rites	False	Access to religious rites	Refers to the assignment of 'competitions and shows' for the pleasure and relaxation of different classes.
tlg0086.tlg035.perseus-eng2::234	Access to the gymnasium	Access to ethical education	Access to formal education	False	Access to the gymnasium	Directly mentions that younger pupils should be 'educated' in specific musical modes.
tlg0540.tlg012.perseus-eng2::0	Right to retain property	Right to retain property	Protection from property seizure	False	Right to retain property	Describes the resolution to 'seize' property and people for the sake of 'getting money'.
tlg0540.tlg012.perseus-eng2::1	Right to a legal trial	Right to a legal defense	Protection from execution without trial	False	Protection from capital punishment	Explicitly states he was not 'allowed to be tried and defend himself' before execution.
tlg0540.tlg012.perseus-eng2::3	Political power	Right to attend council meetings	Deliberative authority	False	Political power	The verbatim mentions being 'restricted... from attending their councils'.
tlg0540.tlg012.perseus-eng2::5	Right to bodily autonomy	Right to intended marriage	Freedom of choice in marriage	False	Right to bodily autonomy	The text notes that daughters were 'debarred from intended marriage'.
tlg0540.tlg012.perseus-eng2::6	Right to a legal trial	Right to a legal trial	Protection from execution without trial	False	Protection from capital punishment	States they 'put to death many of the citizens without a trial'.
tlg0540.tlg012.perseus-eng2::8	Protection from capital punishment	Protection from arbitrary mass execution	Protection from execution without trial	False	Protection from capital punishment	Refers to condemning citizens to death 'by a single resolution' rather than a trial.
tlg0540.tlg012.perseus-eng2::9	Right to vote in the Ekklesia	Right to participate in the Assembly	Voting in the assembly	False	Right to vote in the Ekklesia	Refers to calling the 'Assembly to a debate' and the ability to 'vote in favour'.
tlg0540.tlg012.perseus-eng2::10	Protection from capital punishment	Protection from execution without trial	Protection from execution without trial	False	Protection from capital punishment	Mentions those 'put to death untried' versus trying persons 'according to law'.
tlg0540.tlg012.perseus-eng2::11	Right to retain property	Right to retain property	Protection from property seizure	False	Right to retain property	Asks if 'confiscated' property or 'pillaged' houses could be compensated.
tlg0540.tlg012.perseus-eng2::12	Right to burial	Right to customary burial	Right to a public funeral	False	Right to burial	Explicitly mentions that they 'did not even allow them to be given the customary burial'.
tlg0540.tlg012.perseus-eng2::13	Right to reside in the city	Right to reside in the city	Right of residence	False	Right to reside in the city	Describes being 'formally banished' from the city and living in 'exile'.
tlg0540.tlg012.perseus-eng2::14	Right to bear arms	Right to possess and bear arms	Possession of arms	False	Right to bear arms	Mentions being 'deprived of your arms' in a time of peace.
tlg0007.tlg056.perseus-eng2::0	Access to public honors	Right to retain local gifts	Eligibility for public honors	False	Access to public honors	Refers to taking property in moderation and being 'held in high esteem' or receiving gifts.
tlg0007.tlg056.perseus-eng2::1	Eligibility for public office	Eligibility for the consulship	Eligibility for the consulship	True	Eligibility for public office	The verbatim specifically discusses the legal requirements and eligibility to 'stand for the consulship'.
tlg0007.tlg059.perseus-eng2::0	Right to marry	Right to marry multiple wives	Right to marry a citizen	False	Right to marry	The verbatim discusses the Roman prohibition on marry two wives and 'marrying two wives at once' as being 'contrary to law.'
tlg0007.tlg059.perseus-eng2::1	Right to marry	Right to marry multiple wives	Right to marry a citizen	False	Right to marry	Refers to making 'several marriages' as 'customary for the kings of Macedonia.'
tlg0007.tlg063.perseus-eng2::0	Eligibility for public office	Eligibility for the chief magistracy	Eligibility for public office	False	Eligibility for public office	The verbatim mentions men chosen as 'chief magistrates,' the highest repute in the city.
tlg0007.tlg063.perseus-eng2::1	Right to bear arms	Right to bear arms	Possession of arms	False	Right to bear arms	Describes Aratus equipping 'thirty of his own servants with arms.'
tlg0007.tlg063.perseus-eng2::3	Right to vote in the Ekklesia	Right to vote in the assembly	Voting in the assembly	False	Right to vote in the Ekklesia	The theater was 'thronged with people' for an assembly to secure freedom.
tlg0007.tlg063.perseus-eng2::4	Right to retain property	Right to retain property	Owning and retaining property	False	Right to retain property	Exiles 'laid claim to the property which they had formerly held,' specifically 'farms and houses.'
tlg0007.tlg063.perseus-eng2::5	Political power	Political power	Local self-governance	False	Political power	The text discusses who 'controls the place with a garrison' and acts as 'sole lord of Greece.'
tlg0007.tlg063.perseus-eng2::6	Protection from enslavement	Protection from enslavement	Personal liberty	False	Protection from enslavement	Refers to 'ransoming of such as had been taken prisoners' to restore their liberty.
tlg0007.tlg063.perseus-eng2::7	Right to retain property	Right to property settlement	Owning and retaining property	False	Right to retain property	Mention of an arbiter 'settling the money affairs' and property claims of exiles.
tlg0007.tlg063.perseus-eng2::8	Right to retain property	Right to retain dowry upon divorce	Owning and retaining property	False	Right to retain property	Mention of 'plate and his wife’s golden ornaments' used as security; involves personal property/earnings.
tlg0007.tlg063.perseus-eng2::9	Political power	Political power	Local self-governance	False	Political power	Giving back 'keys to their gates' signifies regaining control over their own city administration.
tlg0007.tlg063.perseus-eng2::10	Protection from enslavement	Right to be released without ransom	Personal liberty	False	Protection from enslavement	Freemen sent back 'without ransom,' protecting them from continued captivity or enslavement.
tlg0007.tlg063.perseus-eng2::11	Eligibility for public office	Annual eligibility for the generalship	Eligibility for military command	False	Eligibility for public office	Verbatim states they 'chose him general every other year.'
tlg0007.tlg063.perseus-eng2::12	Right to bear arms	Right to possess weapons	Possession of arms	False	Right to bear arms	The tyrant 'prohibited the possession' of swords under heavy penalties.
tlg0007.tlg063.perseus-eng2::13	Protection from enslavement	Protection from capture and enslavement	Personal liberty	False	Protection from enslavement	Discusses the violation of 'asylum and safe-conduct' by selling contestants 'into slavery.'
tlg0007.tlg063.perseus-eng2::14	Protection from enslavement	Protection from abduction in war	Personal liberty	False	Protection from enslavement	Leaders 'seizing the wives and daughters' as booty, a form of capture/enslavement.
tlg0007.tlg063.perseus-eng2::15	Right to citizenship	Full citizenship rights	Right to citizenship	False	Right to citizenship	The text explicitly says he 'made its alien residents full citizens.'
tlg0007.tlg063.perseus-eng2::16	Right to bear arms	Public financing for military forces	Access to public subsidies	False	Access to public honors	Voted 'not to give him money' from the public treasury to maintain military forces.
tlg0007.tlg063.perseus-eng2::17	Right to citizenship	Right to citizenship	Right to citizenship	False	Right to citizenship	Explicitly mentions having 'advanced many resident aliens to the citizenship.'
tlg0007.tlg063.perseus-eng2::18	Right to own land	Right to retain land	Owning land	False	Right to own land	Verbatim describes how the leader 'divided up the land' among new citizens.
tlg0007.tlg063.perseus-eng2::20	Political power	Right to exercise summary execution	Protection from execution without trial	False	Protection from capital punishment	Verbatim describes 'absolute power' to 'put them to death' at will rather than through judicial process.
tlg0007.tlg063.perseus-eng2::21	Right to retain property	Right to retain property	Protection from property seizure	False	Right to retain property	Discusses the act of seizing and gifting the 'property of the tyrants' to others.
tlg0007.tlg063.perseus-eng2::22	Protection from enslavement	Protection from enslavement	Personal liberty	False	Protection from enslavement	Refers to citizens being 'sold into slavery' and sent away 'in chains' following the fall of a city.
tlg0007.tlg063.perseus-eng2::25	Right to bodily autonomy	Protection from sexual exploitation	Protection from private assault	False	Protection from corporal punishment	Describes a 'private wrong' involving 'corrupting' a wife (adultery/violation of person).
tlg0007.tlg063.perseus-eng2::26	Protection from capital punishment	Protection from arbitrary execution	Protection from execution without trial	False	Protection from capital punishment	Describes a ruler who was 'enraged' and simply 'put them to death' summarily.
tlg0007.tlg082a.perseus-eng2::0	Right to free speech	Freedom of speech outside public meals	Freedom of speech	True	Right to address the assembly	Relates to the prohibition of repeating words spoken inside 'public meals' to the outside.
tlg0007.tlg082a.perseus-eng2::2	Access to the gymnasium	Access to non-practical books and treatises	Access to formal education	False	Access to the gymnasium	Explicitly mentions banning 'books and treatises' and limiting 'forms of education'.
tlg0007.tlg082a.perseus-eng2::3	Right to citizenship	Retention of civic rights	Right to citizenship	False	Right to citizenship	Verbatim states the penalty for misconduct was being 'deprived of all civic rights for life'.
tlg0007.tlg082a.perseus-eng2::4	Right to bodily autonomy	Personal autonomy from non-parental adults	Freedom from state supervision	False	Right to bodily autonomy	Describes the lack of autonomy where 'each man had authority' over others' children and property.
tlg0007.tlg082a.perseus-eng2::5	Right to citizenship	Participation in civic rights	Right to citizenship	False	Right to citizenship	States that failure to submit to discipline resulted in 'no participation in civic rights'.
tlg0007.tlg082a.perseus-eng2::6	Right to freedom of movement	Right to travel abroad	Freedom of movement	False	Right to freedom of movement	Verbatim states 'it was not allowed them to go abroad'.
tlg0007.tlg082a.perseus-eng2::7	Right to reside in the city	Right to reside in the country	Right of residence	False	Right to reside in the city	Refers to 'banning all foreigners from the country'.
tlg0007.tlg082a.perseus-eng2::8	Right to retain property	Exclusive use of owned property and slaves	Owning and retaining property	False	Right to retain property	Describes the custom of using 'neighbors' servants' and 'dogs and horses' without prior consent.
tlg0007.tlg082a.perseus-eng2::9	Protection from corporal punishment	Protection from forced intoxication	Protection from private assault	False	Protection from corporal punishment	Describes the forced intoxication/degradation of Helots for the amusement of others.
tlg0007.tlg082a.perseus-eng2::10	Access to religious rites	Access to temples and religious services	Access to sacred spaces	False	Access to religious rites	States 'temples and religious services were open' to specific demographics.
tlg0007.tlg082a.perseus-eng2::11	Protection from corporal punishment	Protection from corporal punishment	Protection from penal corporal punishment	False	Protection from corporal punishment	Describes state-sanctioned ritualized beating ('lashed with whips') as a form of discipline.
tlg0007.tlg082a.perseus-eng2::12	Exemption from manual labor	Exemption from menial trades	Exemption from manual or agricultural labor	False	Exemption from manual labor	States 'it was not permitted them to take up any menial trade'.
tlg0007.tlg082a.perseus-eng2::13	Right to retain own earnings	Right to retain surplus production	Retaining one's own earnings	False	Right to retain own earnings	Mentions a rent cap so 'Helots might make some profit' from leur work.
tlg0007.tlg082a.perseus-eng2::14	Eligibility for public office	Right to serve as sailors	Eligibility for military service	True	Exemption from military service	Concerns the prohibition/permission to 'fight on the sea' (sailors).
tlg0007.tlg121.perseus-eng3::0	Exemption from compulsory public financing	Exemption from compulsory public financing	Exemption from liturgies	False	Exemption from compulsory public financing	Mentions the person served as a 'trierarch', a specific compulsory public liturgy in Athens.
tlg0007.tlg121.perseus-eng3::1	Eligibility for public office	Eligibility for office	Eligibility for public office	False	Eligibility for public office	The verbatim explicitly mentions 'eligibility to office' following the loss of citizenship.
tlg0007.tlg121.perseus-eng3::2	Political power	Right to move decrees in the assembly	Proposing legislation	False	Right to address the assembly	The text describes an individual who 'proposed decrees' and was 'an expert in decrees'.
tlg0007.tlg121.perseus-eng3::3	Protection from enslavement	Protection from enslavement	Personal liberty	False	Protection from enslavement	The law prevents buying a person of 'free birth to be a slave', protecting their status as free persons.
tlg0007.tlg121.perseus-eng3::5	Access to public honors	Maintenance in the Prytaneum	Access to public subsidies	False	Access to public honors	The decree granted 'maintenance in the Prytaneum', which is a state-provided resource/subsidy.
tlg0007.tlg121.perseus-eng3::6	Right to address the assembly	Right to address the popular assembly	Speaking in the assembly	False	Right to address the assembly	The text states he 'did not speak before the popular assembly' due to his status as a Corinthian.
tlg0014.tlg022.perseus-eng2::1	Right to address the assembly	Right to address the Assembly	Speaking in the assembly	False	Right to address the assembly	The law 'forbids persons... to make speeches' in the assembly.
tlg0014.tlg022.perseus-eng2::2	Political power	Right to propose resolutions	Proposing legislation	False	Right to address the assembly	The verbatim mentions a law 'which forbids him to speak or move resolutions' due to debt.
tlg0014.tlg022.perseus-eng2::3	Protection from enslavement	Protection of person from seizure for debt	Protection from enslavement for debt	False	Protection from enslavement	Contrasts freemen who 'protect their persons' via money with slaves treated as 'bond-slaves' for debts.
tlg0014.tlg022.perseus-eng2::4	Exemption from taxes	Right to equal tax rates	Exemption from taxes	False	Exemption from taxes	Refers to the 'contribution of one-sixth' (eisphora) paid by resident aliens at a specific rate.
tlg0014.tlg035.perseus-eng2::0	Right to freedom of movement	Right to transport grain to non-Athenian ports	Right to engage in business	False	Right to retain own earnings	Regulates lending money for maritime trade expeditions to specific ports.
tlg0014.tlg035.perseus-eng2::1	Right to inherit property	Right to retain inherited property without debt liability	Inheriting property	False	Right to inherit property	Mentions the 'heir to his whole estate' and the right 'to hold his brother’s property'.
tlg0014.tlg035.perseus-eng2::2	Right to a legal trial	Access to special commercial courts (dikai emporikai)	Access to specialized courts	False	Right to a legal trial	Refers to 'mercantile suits' (dikai emporikai) and the specific jurisdiction of the exchange.
tlg0014.tlg035.perseus-eng2::3	Right to reside in the city	Right to reside without a patron (prostates)	Freedom from state supervision	False	Right to bodily autonomy	Concerns the requirement of a 'patron' (prostates) for resident aliens; lack of one is a charge.
tlg0014.tlg049.perseus-eng2::1	Right to a legal trial	Right to summon witnesses to court	Testifying in court	False	Right to valid professional opinion	Discusses a witness who 'neither gave testimony' nor 'asked under oath for a postponement'.
tlg0014.tlg049.perseus-eng2::2	Protection from corporal punishment	Protection from corporal punishment during legal proceedings	Protection from judicial torture	False	Protection from corporal punishment	Concerns the delivery of slaves for 'the torture' to provide evidence/testimony.
tlg0014.tlg049.perseus-eng2::3	Access to public honors	Right to statehood and assembly honors	Eligibility for public honors	False	Access to public honors	The verbatim discusses legal liability for those who 'deceive the people by a promise'.
tlg0014.tlg049.perseus-eng2::4	Right to valid professional opinion	Right to give voluntary legal testimony	Testifying in court	False	Right to valid professional opinion	Distinguishes between a 'deposition' from a free man and 'proof from the body' (torture) of a slave.
tlg0017.tlg006.perseus-eng2::1	Right to dispose of property	Right to dispose of property by will	Disposing of property by will	False	Right to dispose of property	Explicitly mentions the law 'permitting anyone to dispose of his property' by will.
tlg0017.tlg006.perseus-eng2::2	Right to inherit property	Right to inherit property directly	Inheriting property	False	Right to inherit property	States 'the law of itself gives his father's estate to the son'.
tlg0017.tlg006.perseus-eng2::3	Right to inherit property	Right to equal share of estate	Right to a share of an estate	False	Right to inherit property	The verbatim specifies 'all the legitimate sons have an equal right to share' in the property.
tlg0017.tlg006.perseus-eng2::4	Right to citizenship	Right to return to original family	Right to adoption	False	Right to adopt	the law does not allow the return of an adopted son to his original family
tlg0017.tlg006.perseus-eng2::5	Right to inherit property	Right to inherit as heiress	Inheriting property	False	Right to inherit property	daughter could not be heiress or the estate adjudicable
tlg0017.tlg006.perseus-eng2::8	Right to bodily autonomy	Right to choose a spouse	Freedom of choice in marriage	False	Right to bodily autonomy	married to anyone they choose or else be allowed to grow old in widowhood
tlg0017.tlg006.perseus-eng2::9	Right to inherit property	Right to inherit property	Inheriting property	False	Right to inherit property	law gives the right of inheritance just as much as to children of his own body
tlg0017.tlg006.perseus-eng2::10	Right to inherit property	Right to a share of the estate	Right to a share of an estate	False	Right to inherit property	each child takes his share of the estate and both classes of children alike inherit
tlg0027.tlg001.perseus-eng2::0	Right to a legal trial	Protection from pretrial detention	Protection from arbitrary arrest	False	Right to a legal trial	choice of furnishing sureties (ἐγγυηταί) or suffering imprisonment until the case came into court
tlg0027.tlg001.perseus-eng2::1	Right to address the assembly	Right to address the Assembly	Speaking in the assembly	False	Right to address the assembly	debarred from addressing them without special permission
tlg0027.tlg001.perseus-eng2::2	Right to address the assembly	Access to Assembly proceedings	Access to assembly proceedings	True	Right to address the assembly	clear the meeting of non-initiates
tlg0027.tlg001.perseus-eng2::3	Political power	Right to block illegal proposals	Proposing legislation	False	Right to address the assembly	action against Speusippus for making an illegal proposal
tlg0027.tlg001.perseus-eng2::4	Protection from legal prosecution	Protection from legal punishment	Immunity from prosecution	False	Protection from legal prosecution	informer’s claim to immunity should be allowed if his information were true
tlg0027.tlg001.perseus-eng2::5	Protection from corporal punishment	Protection from corporal punishment	Protection from judicial torture	False	Protection from corporal punishment	examining his slaves under torture
tlg0027.tlg001.perseus-eng2::7	Right to citizenship	Right to exercise citizenship	Right to citizenship	False	Right to citizenship	lose his rights as a citizen... debarred from bringing a similar action
tlg0027.tlg001.perseus-eng2::9	Protection from corporal punishment	Protection from corporal punishment	Protection from judicial torture	False	Protection from corporal punishment	appealed to be allowed to furnish sureties... instead of being racked
tlg0027.tlg001.perseus-eng2::10	Right to a legal trial	Right to remain free pending trial	Protection from arbitrary arrest	False	Right to a legal trial	allowed to furnish sureties and stand trial, instead of being racked
tlg0027.tlg001.perseus-eng2::11	Right to retain property	Right to retain property	Protection from property seizure	False	Right to retain property	put to death and their goods are confiscated
tlg0027.tlg001.perseus-eng2::14	Access to religious rites	Access to sacred spaces	Access to sacred spaces	False	Access to religious rites	exclude from temples all who had committed an act of impiety
tlg0027.tlg001.perseus-eng2::15	Right to retain property	Right to retain property	Protection from property seizure	False	Right to retain property	delinquent’s property distrained upon
tlg0027.tlg001.perseus-eng2::16	Right to citizenship	Full civic rights	Right to citizenship	False	Right to citizenship	deprived of their personal rights, while retaining possession of their property
tlg0027.tlg001.perseus-eng2::17	Right to citizenship	Full civic rights	Right to citizenship	False	Right to citizenship	deprived of their personal rights, while retaining possession of their property
tlg0027.tlg001.perseus-eng2::18	Right to address the assembly	Right to speak in Assembly	Speaking in the assembly	False	Right to address the assembly	forbidden to speak in the Assembly or become members of the Council
tlg0027.tlg001.perseus-eng2::19	Right to vote in the Ekklesia	Right to vote in the Assembly	Proposing legislation	False	Right to address the assembly	The verbatim specifies that the disfranchised 'may speak and propose measures' in the Assembly.
tlg0027.tlg001.perseus-eng2::20	Protection from legal prosecution	Protection from individualized legislation	Immunity from prosecution	False	Protection from legal prosecution	Refers to protection from laws 'directed against an individual' (ad hominem legislation/prosecution).
tlg0027.tlg001.perseus-eng2::21	Right to a legal trial	Protection from arbitrary law enforcement	Right to a trial	False	Right to a legal trial	Constraints on magistrates enforcing un-inscribed laws ensures legal process over arbitrary action.
tlg0027.tlg001.perseus-eng2::22	Right to a legal trial	Right to enforce private contracts	Right to a trial	False	Right to a legal trial	The text concerns the validity of legal decisions (private suits and arbitrators) and enforcement of contracts.
tlg0027.tlg001.perseus-eng2::23	Protection from legal prosecution	Protection from prosecution for past events	Immunity from prosecution	False	Protection from legal prosecution	Specifically mentions allowing 'no information or arrest arising out of past events' (amnesty).
tlg0027.tlg001.perseus-eng2::25	Protection from capital punishment	Protection from summary execution	Protection from execution without trial	False	Protection from capital punishment	Disallows the usual protections against killing for those holding office under suppressed democracy ('slain with impunity').
tlg0027.tlg001.perseus-eng2::27	Protection from legal prosecution	Exemption from prosecution under expired laws	Immunity from prosecution	False	Protection from legal prosecution	Limits the application of laws to those passed after a specific date (archonship of Eucleides).
tlg0027.tlg001.perseus-eng2::28	Right to reside in the city	Right to hold property and reside in Athens	Owning and retaining property	False	Right to retain property	Involves ‘restoring’ exiles and 'giving back their rights' which included property recovery.
tlg0027.tlg001.perseus-eng2::30	Right to inherit property	Right to inherit property through marriage	Inheriting property	False	Right to inherit property	Directly discusses daughters becoming 'heiresses' (epikleroi) to share the estate.
tlg0027.tlg001.perseus-eng2::31	Right to citizenship	Right to register legitimate children	Enrollment in civic sub-units	False	Right to citizenship	Describes the ritual and legal process of a father 'introducing his son' to the Ceryces (a civic/sacred sub-group).
tlg0027.tlg001.perseus-eng2::32	Exemption from compulsory public financing	Exemption from public service financing	Exemption from liturgies	False	Exemption from compulsory public financing	The text lists various 'public services' (liturgies) like Gymnasiarch and Treasurer.
tlg0027.tlg001.perseus-eng2::34	Right to citizenship	Right to exercise civic rights	Right to citizenship	False	Right to citizenship	Explicitly mentions ‘extending civic rights’ to foreign groups (Thessalians/Andrians).
tlg0027.tlg001.perseus-eng2::35	Protection from capital punishment	Protection from capital punishment	Protection from capital punishment	False	Protection from capital punishment	The verbatim demands the state 'refuse to put acknowledged citizens to death'.
tlg0028.tlg005.perseus-eng2::1	Protection from capital punishment	Right of voluntary exile during trial	Protection from capital punishment	False	Protection from capital punishment	Describes the 'right given to every one of leaving the country' (voluntary exile) to avoid a death sentence.
tlg0028.tlg005.perseus-eng2::2	Right to a legal trial	Protection from pretrial imprisonment through sureties	Protection from arbitrary arrest	False	Right to a legal trial	Discusses the right to 'furnish sureties' to avoid 'imprisonment' before trial.
tlg0028.tlg005.perseus-eng2::4	Political power	Right to inflict capital punishment independently	Protection from capital punishment	False	Protection from capital punishment	Discusses restrictions on the 'right of inflicting the death-penalty' without central consent.
tlg0028.tlg005.perseus-eng2::5	Right to a legal trial	Right to a public trial before execution	Right to a trial	False	Right to a legal trial	Verbatim states the slave 'should have had a public trial, instead of being put to death... without a hearing.'
tlg0028.tlg005.perseus-eng2::6	Protection from corporal punishment	Protection from judicial torture	Protection from judicial torture	False	Protection from corporal punishment	Explicitly mentions 'examined them under torture' in the context of legal evidence.
tlg0059.tlg005.perseus-eng2::6	Right to citizenship	Right to bear ancestral names	Right to a name	True	Right to citizenship	Discusses the practice and right of giving 'names of ancestors' to children.
tlg0059.tlg005.perseus-eng2::11	Right to valid professional opinion	Linguistic autonomy in word derivation	Freedom of speech	True	Right to address the assembly	Discusses the 'demonstration of the fitness' of foreign words/language use and etymological derivation.
tlg0059.tlg005.perseus-eng2::14	Right to free speech	Right to communicate through gesture	Right to communicate through gesture	True	Right to free speech	Verbatim discusses 'make signs with our hands and head' for 'dumb people' to 'make things clear'.
tlg0062.tlg019.perseus-eng2::1	Exemption from compulsory public financing	Exemption from social duty due to illness	Exemption from social obligations	True	Exemption from compulsory public financing	Refers to a philosopher's obligation to attend social functions ('Duty... must not be shirked').
tlg0062.tlg019.perseus-eng2::2	Right to retain own earnings	Right to home delivery of resources	Right to receive patronage provisions	True	Right to retain own earnings	Verbatim notes 'everything... would have been sent you' even if the guest stayed away.
tlg0062.tlg019.perseus-eng2::4	Access to public honors	Right to dine in public quarters	Access to common meals	False	Access to public honors	Contrasts eating in 'women’s quarters' with having 'room' in the shared dining area.
tlg0062.tlg019.perseus-eng2::5	Right to inherit property	Right to inherit property directly	Inheriting property	False	Right to inherit property	Explicitly mentions 'making a will in which I was heir to everything' and 'possession of the property'.
tlg0062.tlg019.perseus-eng2::7	Right to inherit property	Right to inherit property directly	Inheriting property	False	Right to inherit property	Refers to law-based succession ('property is Simon’s by law') following the death of a relative.
tlg0062.tlg019.perseus-eng2::8	Exemption from taxes	Exemption from special taxation	Exemption from taxes	False	Exemption from taxes	Mentions the necessity 'to pay a special tax' specifically for a certain group.
tlg0062.tlg019.perseus-eng2::9	Exemption from compulsory public financing	Protection from hazardous military command	Exemption from military service	False	Exemption from military service	Refers to the risk of life in the field 'as commanders of horse or foot' versus having 'nothing to impede flight'.
tlg0062.tlg019.perseus-eng2::10	Right to vote in the Ekklesia	Right to vote in the assembly	Voting in the assembly	False	Right to vote in the Ekklesia	Explicitly mentions 'being one of the voters' and going to the 'assembly'.
tlg0062.tlg019.perseus-eng2::11	Right to address the assembly	Right to address the assembly	Speaking in the assembly	False	Right to address the assembly	Refers to the assembly 'sometimes without even letting them say a word for themselves'.
tlg0062.tlg019.perseus-eng2::12	Right to retain property	Right to retain property	Protection from property seizure	False	Right to retain property	Verbatim describes the power of the assembly to 'confiscate their properties'.
tlg0062.tlg019.perseus-eng2::13	Exemption from taxes	Access to public amenities for free	Access to public amenities	True	Exemption from taxes	Verbatim describes having 'baths and shows and everything else' funded by others.
tlg0062.tlg019.perseus-eng2::14	Right to retain own earnings	Right to retain own earnings	Retaining one's own earnings	False	Right to retain own earnings	Discusses a slave having money for 'salt fish' or 'earring' while the master claims 'It’s my money'.
