author_code	work_code	filename	file_path	title	author	editors	publisher	pub_place	pub_date	source_bibl	languages	extent	funder	principal	text_length	word_count	source_date
tlg0284	tlg047	tlg0284.tlg047.perseus-grc2.xml	tlg0284/tlg047/tlg0284.tlg047.perseus-grc2.xml	Πρὸς Καπίτωνα	Aelius Aristides	Wilhelm Dindorf; Wilhelm Dindorf	Trustees of Tufts University	Medford, MA	Perseus 4.0		grc		Google Digital Humanities Awards Program	Gregory Crane	26122	4285	1829
tlg0284	tlg049	tlg0284.tlg049.perseus-grc2.xml	tlg0284/tlg049/tlg0284.tlg049.perseus-grc2.xml	Περὶ τοῦ παραφθέγματος	Aelius Aristides	Wilhelm Dindorf; Wilhelm Dindorf	Trustees of Tufts University	Medford, MA	Perseus 4.0		grc		Google Digital Humanities Awards Program	Gregory Crane	67904	11192	1829
tlg0284	tlg032	tlg0284.tlg032.perseus-grc2.xml	tlg0284/tlg032/tlg0284.tlg032.perseus-grc2.xml	Ὑπὲρ τῆς πρὸς Ἀθηναίους εἰρήνης	Aelius Aristides	Wilhelm Dindorf; Wilhelm Dindorf	Trustees of Tufts University	Medford, MA	Perseus 4.0		grc		Google Digital Humanities Awards Program	Gregory Crane	12767	2009	1829
tlg0284	tlg035	tlg0284.tlg035.perseus-grc2.xml	tlg0284/tlg035/tlg0284.tlg035.perseus-grc2.xml	Λευκτρικὸς Γ. (ὑπὲρ Λακεδαιμονίων δεύτερος)	Aelius Aristides	Wilhelm Dindorf; Wilhelm Dindorf	Trustees of Tufts University	Medford, MA	Perseus 4.0		grc		Google Digital Humanities Awards Program	Gregory Crane	17092	2599	1829
tlg0284	tlg003	tlg0284.tlg003.perseus-grc2.xml	tlg0284/tlg003/tlg0284.tlg003.perseus-grc2.xml	Ἰσθμικὸς εἰς Ποσειδῶνα	Aelius Aristides	Wilhelm Dindorf; Wilhelm Dindorf	Trustees of Tufts University	Medford, MA	Perseus 4.0		grc		Google Digital Humanities Awards Program	Gregory Crane	19719	3403	1829
tlg0284	tlg004	tlg0284.tlg004.perseus-grc2.xml	tlg0284/tlg004/tlg0284.tlg004.perseus-grc2.xml	Διόνυσος	Aelius Aristides	Wilhelm Dindorf; Wilhelm Dindorf	Trustees of Tufts University	Medford, MA	Perseus 4.0		grc		Google Digital Humanities Awards Program	Gregory Crane	4435	755	1829
tlg0284	tlg050	tlg0284.tlg050.perseus-grc2.xml	tlg0284/tlg050/tlg0284.tlg050.perseus-grc2.xml	Κατὰ τῶν ἐξορχουμένων	Aelius Aristides	Wilhelm Dindorf; Wilhelm Dindorf	Trustees of Tufts University	Medford, MA	Perseus 4.0		grc		Google Digital Humanities Awards Program	Gregory Crane	25178	4076	1829
tlg0284	tlg005	tlg0284.tlg005.perseus-grc2.xml	tlg0284/tlg005/tlg0284.tlg005.perseus-grc2.xml	Ἡρακλῆς	Aelius Aristides	Wilhelm Dindorf; Wilhelm Dindorf	Trustees of Tufts University	Medford, MA	Perseus 4.0		grc		Google Digital Humanities Awards Program	Gregory Crane	9036	1486	1829
tlg0284	tlg002	tlg0284.tlg002.perseus-grc2.xml	tlg0284/tlg002/tlg0284.tlg002.perseus-grc2.xml	Ἀθηνᾶ	Aelius Aristides	Wilhelm Dindorf; Wilhelm Dindorf	Trustees of Tufts University	Medford, MA	Perseus 4.0		grc		Google Digital Humanities Awards Program	Gregory Crane	13534	2247	1829
tlg0284	tlg034	tlg0284.tlg034.perseus-grc2.xml	tlg0284/tlg034/tlg0284.tlg034.perseus-grc2.xml	Λευκτρικὸς Β. (ὑπὲρ Θηβαίων πρῶτος)	Aelius Aristides	Wilhelm Dindorf; Wilhelm Dindorf	Trustees of Tufts University	Medford, MA	Perseus 4.0		grc		Google Digital Humanities Awards Program	Gregory Crane	38648	6014	1829
tlg0284	tlg033	tlg0284.tlg033.perseus-grc2.xml	tlg0284/tlg033/tlg0284.tlg033.perseus-grc2.xml	Λευκτρικὸς Α. (ὑπὲρ Λακεδαιμονίων πρῶτος)	Aelius Aristides	Wilhelm Dindorf; Wilhelm Dindorf	Trustees of Tufts University	Medford, MA	Perseus 4.0		grc		Google Digital Humanities Awards Program	Gregory Crane	36842	5695	1829
tlg0284	tlg056	tlg0284.tlg056.perseus-grc2.xml	tlg0284/tlg056/tlg0284.tlg056.perseus-grc2.xml	Περὶ πολιτικοῦ λόγου	Aelius Aristides	Leonhard von Spengel; Leonhard von Spengel	Trustees of Tufts University	Medford, MA	Perseus 4.0		grc		Google Digital Humanities Awards Program	Gregory Crane	141914	22749	1854
tlg0284	tlg051	tlg0284.tlg051.perseus-grc2.xml	tlg0284/tlg051/tlg0284.tlg051.perseus-grc2.xml	Πρὸς τοὺς αἰτιωμένους ὅτι μὴ μελετῴη	Aelius Aristides	Wilhelm Dindorf; Wilhelm Dindorf	Trustees of Tufts University	Medford, MA	Perseus 4.0		grc		Google Digital Humanities Awards Program	Gregory Crane	13946	2235	1829
tlg0284	tlg042	tlg0284.tlg042.perseus-grc2.xml	tlg0284/tlg042/tlg0284.tlg042.perseus-grc2.xml	Περὶ ὁμονοίας ταῖς πόλεσιν	Aelius Aristides	Wilhelm Dindorf; Wilhelm Dindorf	Trustees of Tufts University	Medford, MA	Perseus 4.0		grc		Google Digital Humanities Awards Program	Gregory Crane	40284	6427	1829
tlg0284	tlg045	tlg0284.tlg045.perseus-grc2.xml	tlg0284/tlg045/tlg0284.tlg045.perseus-grc2.xml	Πρὸς Πλάτωνα περὶ ῥητορικῆς	Aelius Aristides	Wilhelm Dindorf; Wilhelm Dindorf	Trustees of Tufts University	Medford, MA	Perseus 4.0		grc		Google Digital Humanities Awards Program	Gregory Crane	183864	30047	1829
tlg0284	tlg011	tlg0284.tlg011.perseus-grc2.xml	tlg0284/tlg011/tlg0284.tlg011.perseus-grc2.xml	εἰς Ἐτεωνέα ἐπικήδειος	Aelius Aristides	Wilhelm Dindorf; Wilhelm Dindorf	Trustees of Tufts University	Medford, MA	Perseus 4.0		grc		Google Digital Humanities Awards Program	Gregory Crane	7887	1288	1829
tlg0284	tlg016	tlg0284.tlg016.perseus-grc2.xml	tlg0284/tlg016/tlg0284.tlg016.perseus-grc2.xml	Πανηγυρικὸς ἐν Κυζίκῳ περὶ τοῦ ναοῦ	Aelius Aristides	Wilhelm Dindorf; Wilhelm Dindorf	Trustees of Tufts University	Medford, MA	Perseus 4.0		grc		Google Digital Humanities Awards Program	Gregory Crane	19946	3221	1829
tlg0284	tlg029	tlg0284.tlg029.perseus-grc2.xml	tlg0284/tlg029/tlg0284.tlg029.perseus-grc2.xml	Περὶ τοῦ πέμπειν βοήθειαν τοῖς ἐν Σικελίᾳ	Aelius Aristides	Wilhelm Dindorf; Wilhelm Dindorf	Trustees of Tufts University	Medford, MA	Perseus 4.0		grc		Google Digital Humanities Awards Program	Gregory Crane	23977	3792	1829
tlg0284	tlg020	tlg0284.tlg020.perseus-grc2.xml	tlg0284/tlg020/tlg0284.tlg020.perseus-grc2.xml	Μονῳδία ἐπὶ Σμύρνῃ	Aelius Aristides	Wilhelm Dindorf; Wilhelm Dindorf	Trustees of Tufts University	Medford, MA	Perseus 4.0		grc		Google Digital Humanities Awards Program	Gregory Crane	4602	728	1829
tlg0284	tlg027	tlg0284.tlg027.perseus-grc2.xml	tlg0284/tlg027/tlg0284.tlg027.perseus-grc2.xml	Ἱεροὶ λόγοι πέμπτος	Aelius Aristides	Wilhelm Dindorf; Wilhelm Dindorf	Trustees of Tufts University	Medford, MA	Perseus 4.0		grc		Google Digital Humanities Awards Program	Gregory Crane	27170	4439	1829
tlg0284	tlg018	tlg0284.tlg018.perseus-grc2.xml	tlg0284/tlg018/tlg0284.tlg018.perseus-grc2.xml	Εἰς τὸ φρέαρ τοῦ Ἀσκληπιοῦ	Aelius Aristides	Wilhelm Dindorf; Wilhelm Dindorf	Trustees of Tufts University	Medford, MA	Perseus 4.0		grc		Google Digital Humanities Awards Program	Gregory Crane	7601	1266	1829
tlg0284	tlg044	tlg0284.tlg044.perseus-grc2.xml	tlg0284/tlg044/tlg0284.tlg044.perseus-grc2.xml	Ῥοδίοις περὶ ὁμονοίας	Aelius Aristides	Wilhelm Dindorf; Wilhelm Dindorf	Trustees of Tufts University	Medford, MA	Perseus 4.0		grc		Google Digital Humanities Awards Program	Gregory Crane	27260	4325	1829
tlg0284	tlg043	tlg0284.tlg043.perseus-grc2.xml	tlg0284/tlg043/tlg0284.tlg043.perseus-grc2.xml	Ῥοδιακός [sp.]	Aelius Aristides	Wilhelm Dindorf; Wilhelm Dindorf	Trustees of Tufts University	Medford, MA	Perseus 4.0		grc		Google Digital Humanities Awards Program	Gregory Crane	32757	5237	1829
tlg0284	tlg026	tlg0284.tlg026.perseus-grc2.xml	tlg0284/tlg026/tlg0284.tlg026.perseus-grc2.xml	Ἱεροὶ λόγοι τέταρτος	Aelius Aristides	Wilhelm Dindorf; Wilhelm Dindorf	Trustees of Tufts University	Medford, MA	Perseus 4.0		grc		Google Digital Humanities Awards Program	Gregory Crane	48247	7944	1829
tlg0284	tlg019	tlg0284.tlg019.perseus-grc2.xml	tlg0284/tlg019/tlg0284.tlg019.perseus-grc2.xml	Ἐλευσίνιος	Aelius Aristides	Wilhelm Dindorf; Wilhelm Dindorf	Trustees of Tufts University	Medford, MA	Perseus 4.0		grc		Google Digital Humanities Awards Program	Gregory Crane	6262	1017	1829
tlg0284	tlg021	tlg0284.tlg021.perseus-grc2.xml	tlg0284/tlg021/tlg0284.tlg021.perseus-grc2.xml	Παλινῳδία ἐπὶ Σμύρνῃ καὶ τῷ ταύτης ἀνοικισμῷ	Aelius Aristides	Wilhelm Dindorf; Wilhelm Dindorf	Trustees of Tufts University	Medford, MA	Perseus 4.0		grc		Google Digital Humanities Awards Program	Gregory Crane	10591	1666	1829
tlg0284	tlg017	tlg0284.tlg017.perseus-grc2.xml	tlg0284/tlg017/tlg0284.tlg017.perseus-grc2.xml	Εἰς τὸ Αἰγαῖον πέλαγος	Aelius Aristides	Wilhelm Dindorf; Wilhelm Dindorf	Trustees of Tufts University	Medford, MA	Perseus 4.0		grc		Google Digital Humanities Awards Program	Gregory Crane	7153	1163	1829
tlg0284	tlg028	tlg0284.tlg028.perseus-grc2.xml	tlg0284/tlg028/tlg0284.tlg028.perseus-grc2.xml	Ἱεροὶ λόγοι ἕκτος	Aelius Aristides	Wilhelm Dindorf; Wilhelm Dindorf	Trustees of Tufts University	Medford, MA	Perseus 4.0		grc		Google Digital Humanities Awards Program	Gregory Crane	790	133	1829
tlg0284	tlg010	tlg0284.tlg010.perseus-grc2.xml	tlg0284/tlg010/tlg0284.tlg010.perseus-grc2.xml	Ἀπελλᾶ γενεθλιακός	Aelius Aristides	Wilhelm Dindorf; Wilhelm Dindorf	Trustees of Tufts University	Medford, MA	Perseus 4.0		grc		Google Digital Humanities Awards Program	Gregory Crane	12584	2082	1829
tlg4081	tlg001	tlg4081.tlg001.perseus-grc2.xml	tlg4081/tlg001/tlg4081.tlg001.perseus-grc2.xml	Ἁρπαγὴ Ἑλένης	Colluthus	A. W. Mair; A. W. Mair	Trustees of Tufts University	Medford, MA	Perseus 4.0		grc; eng		Google Digital Humanities Awards Program	Gregory Crane	16919	2348	1928
tlg0613	tlg001	tlg0613.tlg001.perseus-grc2.xml	tlg0613/tlg001/tlg0613.tlg001.perseus-grc2.xml	Περὶ ἑρμηνείας	Demetrius of Phaleron	William Rhys Roberts; William Rhys Roberts	Trustees of Tufts University	Medford, MA	Perseus 4.0		grc		Google Digital Humanities Awards Program	Gregory Crane	97768	15440	1902
tlg4029	tlg001	tlg4029.tlg001.perseus-grc2.xml	tlg4029/tlg001/tlg4029.tlg001.perseus-grc2.xml	Ὑπὲρ τῶν Πολέμων Λόγοι	Procopius	Henry Bronson Dewing; Henry Bronson Dewing	Trustees of Tufts University	Medford, MA	Perseus 4.0		grc		Google Digital Humanities Awards Program	Gregory Crane	1476154	224552	1914-28
tlg4029	tlg002	tlg4029.tlg002.perseus-grc2.xml	tlg4029/tlg002/tlg4029.tlg002.perseus-grc2.xml	Ἀπόκρυφη Ἱστορία	Procopius	Michael Krascheninnikov; Michael Krascheninnikov	Trustees of Tufts University	Medford, MA	Perseus 4.0		grc		Google Digital Humanities Awards Program	Gregory Crane	216914	32254	1899
tlg0019	tlg009	tlg0019.tlg009.perseus-grc2.xml	tlg0019/tlg009/tlg0019.tlg009.perseus-grc2.xml	Βάτραχοι	Aristophanes	F. W. Hall; W. M. Geldart; F. W. Hall; William M. Geldart	Trustees of Tufts University	Medford, MA	Perseus 2.0		grc		The Annenberg CPB/Project	Gregory Crane	67614	9979	1907
tlg0019	tlg007	tlg0019.tlg007.perseus-grc2.xml	tlg0019/tlg007/tlg0019.tlg007.perseus-grc2.xml	Λυσιστράτη	Aristophanes	F. W. Hall; W. M. Geldart; F. W. Hall; William M. Geldart	Trustees of Tufts University	Medford, MA	Perseus 2.0		grc		The Annenberg CPB/Project	Gregory Crane	59257	8824	1907
tlg0019	tlg001	tlg0019.tlg001.perseus-grc2.xml	tlg0019/tlg001/tlg0019.tlg001.perseus-grc2.xml	Ἀχαρνῆς	Aristophanes	F. W. Hall; W. M. Geldart; F. W. Hall; William M. Geldart	Trustees of Tufts University	Medford, MA	Perseus 2.0		grc		The Annenberg CPB/Project	Gregory Crane	125696	7730	1906
tlg0019	tlg006	tlg0019.tlg006.perseus-grc2.xml	tlg0019/tlg006/tlg0019.tlg006.perseus-grc2.xml	Ὄρνιθες	Aristophanes	F. W. Hall; W. M. Geldart; F. W. Hall; William M. Geldart	Trustees of Tufts University	Medford, MA	Perseus 2.0		grc		The Annenberg CPB/Project	Gregory Crane	78217	11554	1906
tlg0019	tlg006	tlg0019.tlg006.perseus-eng2.xml	tlg0019/tlg006/tlg0019.tlg006.perseus-eng2.xml	Birds	Aristophanes	Anonymous; Eugene O'Neill, Jr.; Anonymous; Eugene O'Neill, Jr.; Whitney J. Oates; Eugene O'Neill, Jr.	Trustees of Tufts University	Medford, MA	Perseus 2.0		eng; grc; lat		The Annenberg CPB/Project	Gregory Crane	99721	16933	1938
tlg0019	tlg008	tlg0019.tlg008.perseus-grc2.xml	tlg0019/tlg008/tlg0019.tlg008.perseus-grc2.xml	Θεσμοφοριάζουσαι	Aristophanes	F. W. Hall; W. M. Geldart; F. W. Hall; William M. Geldart	Trustees of Tufts University	Medford, MA	Perseus 2.0		grc		The Annenberg CPB/Project	Gregory Crane	54690	7894	1907
tlg0019	tlg003	tlg0019.tlg003.perseus-grc2.xml	tlg0019/tlg003/tlg0019.tlg003.perseus-grc2.xml	Νεφέλαι	Aristophanes	F. W. Hall; W. M. Geldart; F. W. Hall; William M. Geldart	Trustees of Tufts University	Medford, MA	Perseus 2.0		grc		The Annenberg CPB/Project	Gregory Crane	71208	10414	1906
tlg0019	tlg003	tlg0019.tlg003.perseus-eng2.xml	tlg0019/tlg003/tlg0019.tlg003.perseus-eng2.xml	Clouds	Aristophanes	William James Hickie; William James Hickie	Trustees of Tufts University	Medford, MA	Perseus 3.0		eng; grc; lat		The Annenberg CPB/Project	Gregory Crane	91442	15432	1853
tlg0019	tlg004	tlg0019.tlg004.perseus-grc2.xml	tlg0019/tlg004/tlg0019.tlg004.perseus-grc2.xml	Σφῆκες	Aristophanes	F. W. Hall; W. M. Geldart; F. W. Hall; William M. Geldart	Trustees of Tufts University	Medford, MA	Perseus 2.0		grc		The Annenberg CPB/Project	Gregory Crane	155275	10385	1906
tlg0019	tlg005	tlg0019.tlg005.perseus-grc2.xml	tlg0019/tlg005/tlg0019.tlg005.perseus-grc2.xml	Εἰρήνη	Aristophanes	F. W. Hall; W. M. Geldart; F. W. Hall; William M. Geldart	Trustees of Tufts University	Medford, MA	Perseus 2.0		grc		The Annenberg CPB/Project	Gregory Crane	58871	8680	1906
tlg0019	tlg002	tlg0019.tlg002.perseus-grc2.xml	tlg0019/tlg002/tlg0019.tlg002.perseus-grc2.xml	Ἱππῆς	Aristophanes	F. W. Hall; W. M. Geldart; F. W. Hall; William M. Geldart	Trustees of Tufts University	Medford, MA	Perseus 2.0		grc		The Annenberg CPB/Project	Gregory Crane	64635	9493	1906
tlg0019	tlg011	tlg0019.tlg011.perseus-grc2.xml	tlg0019/tlg011/tlg0019.tlg011.perseus-grc2.xml	Πλοῦτος	Aristophanes	F. W. Hall; W. M. Geldart; F. W. Hall; William M. Geldart	Trustees of Tufts University	Medford, MA	Perseus 2.0		grc		The Annenberg CPB/Project	Gregory Crane	135044	8796	1907
tlg0019	tlg010	tlg0019.tlg010.perseus-grc2.xml	tlg0019/tlg010/tlg0019.tlg010.perseus-grc2.xml	Ἐκκλησιάζουσαι	Aristophanes	F. W. Hall; W. M. Geldart; F. W. Hall; William M. Geldart	Trustees of Tufts University	Medford, MA	Perseus 2.0		grc		The Annenberg CPB/Project	Gregory Crane	113846	8435	1907
tlg0026	tlg001	tlg0026.tlg001.perseus-grc2.xml	tlg0026/tlg001/tlg0026.tlg001.perseus-grc2.xml	Κατὰ Τιμάρχου	Aeschines	Charles Darwin Adams; Charles Darwin Adams	Trustees of Tufts University	Medford, MA	Perseus 2.0	Euripides; play unknown.	grc; eng		The Annenberg CPB/Project	Gregory Crane	96201	14716	1919
tlg0026	tlg001	tlg0026.tlg001.perseus-eng2.xml	tlg0026/tlg001/tlg0026.tlg001.perseus-eng2.xml	Against Timarchus	Aeschines	Charles Darwin Adams; Charles Darwin Adams	Trustees of Tufts University	Medford, MA	Perseus 2.0	Aeschin. 1.3	grc; eng		The Annenberg CPB/Project	Gregory Crane	128288	23085	1919
tlg0026	tlg003	tlg0026.tlg003.perseus-eng2.xml	tlg0026/tlg003/tlg0026.tlg003.perseus-eng2.xml	Against Ctesiphon	Aeschines	Charles Darwin Adams; Charles Darwin Adams	Trustees of Tufts University	Medford, MA	Perseus 2.0	Aeschin. 1.33	grc; eng		The Annenberg CPB/Project	Gregory Crane	170921	30366	1919
tlg0026	tlg003	tlg0026.tlg003.perseus-grc2.xml	tlg0026/tlg003/tlg0026.tlg003.perseus-grc2.xml	Κατά Κτησιφώντος	Aeschines	Charles Darwin Adams; Charles Darwin Adams	Trustees of Tufts University	Medford, MA	Perseus 2.0	Aristot. Const. Ath. 43.1	grc; eng		The Annenberg CPB/Project	Gregory Crane	131920	20041	1919
tlg0026	tlg002	tlg0026.tlg002.perseus-eng2.xml	tlg0026/tlg002/tlg0026.tlg002.perseus-eng2.xml	On the Embassy	Aeschines	Charles Darwin Adams; Charles Darwin Adams	Trustees of Tufts University	Medford, MA	Perseus 2.0	Dem. 19.196	grc; eng		The Annenberg CPB/Project	Gregory Crane	120479	21426	1919
tlg0026	tlg002	tlg0026.tlg002.perseus-grc2.xml	tlg0026/tlg002/tlg0026.tlg002.perseus-grc2.xml	Περὶ τῆς παραπρεσβείας	Aeschines	Charles Darwin Adams; Charles Darwin Adams	Trustees of Tufts University	Medford, MA	Perseus 2.0	Aeschin. 3.258	grc; eng		The Annenberg CPB/Project	Gregory Crane	89532	13558	1919
tlg0648	tlg001	tlg0648.tlg001.perseus-grc2.xml	tlg0648/tlg001/tlg0648.tlg001.perseus-grc2.xml	Στρατηγικός	Onasander	William Abbott Oldfather; William Abbott Oldfather	Trustees of Tufts University	Medford, MA	Perseus 4.0		grc		Google Digital Humanities Awards Program	Gregory Crane	80833	12136	1923
tlg0028	tlg001	tlg0028.tlg001.perseus-eng2.xml	tlg0028/tlg001/tlg0028.tlg001.perseus-eng2.xml	Prosecution Of The Stepmother For Poisoning	Antiphon	Kenneth John Maidment; Kenneth John Maidment	Trustees of Tufts University	Medford, MA	Perseus 2.0	Antiph. 6.38	grc; lat; eng		The Annenberg CPB/Project	Gregory Crane	14905	2571	1941
tlg0028	tlg001	tlg0028.tlg001.perseus-grc2.xml	tlg0028/tlg001/tlg0028.tlg001.perseus-grc2.xml	Φαρμακείας κατὰ τῆς μητρυιᾶς	Antiphon	Kenneth John Maidment; Kenneth John Maidment	Trustees of Tufts University	Medford, MA	Perseus 2.0		grc; lat; eng		The Annenberg CPB/Project	Gregory Crane	12129	1906	1941
tlg0028	tlg006	tlg0028.tlg006.perseus-grc2.xml	tlg0028/tlg006/tlg0028.tlg006.perseus-grc2.xml	Περὶ τοῦ χορευτοῦ	Antiphon	Kenneth John Maidment; Kenneth John Maidment	Trustees of Tufts University	Medford, MA	Perseus 2.0		grc; lat; eng		The Annenberg CPB/Project	Gregory Crane	25241	3916	1941
tlg0028	tlg006	tlg0028.tlg006.perseus-eng2.xml	tlg0028/tlg006/tlg0028.tlg006.perseus-eng2.xml	On the Choreutes	Antiphon	Kenneth John Maidment; Kenneth John Maidment	Trustees of Tufts University	Medford, MA	Perseus 2.0	Antiph. 5.14	grc; lat; eng		The Annenberg CPB/Project	Gregory Crane	35112	6061	1941
tlg0028	tlg003	tlg0028.tlg003.perseus-grc2.xml	tlg0028/tlg003/tlg0028.tlg003.perseus-grc2.xml	Τετραλογία Β΄	Antiphon	Kenneth John Maidment; Kenneth John Maidment	Trustees of Tufts University	Medford, MA	Perseus 2.0		grc; lat; eng		The Annenberg CPB/Project	Gregory Crane	15625	2407	1941
tlg0028	tlg003	tlg0028.tlg003.perseus-eng2.xml	tlg0028/tlg003/tlg0028.tlg003.perseus-eng2.xml	The Second Tetralogy: Prosecution for Accidental Homicide	Antiphon	Kenneth John Maidment; Kenneth John Maidment	Trustees of Tufts University	Medford, MA	Perseus 2.0	Antiph. 6.34	grc; lat; eng		The Annenberg CPB/Project	Gregory Crane	24117	4407	1941
tlg0028	tlg004	tlg0028.tlg004.perseus-eng2.xml	tlg0028/tlg004/tlg0028.tlg004.perseus-eng2.xml	The Third Tetralogy: Prosecution for Murder Of One Who Pleads That He Was Acting in Self-Defence	Antiphon	Kenneth John Maidment; Kenneth John Maidment	Trustees of Tufts University	Medford, MA	Perseus 2.0	Antiph. 4.3.4	grc; lat; eng		The Annenberg CPB/Project	Gregory Crane	21267	3860	1941
tlg0028	tlg004	tlg0028.tlg004.perseus-grc2.xml	tlg0028/tlg004/tlg0028.tlg004.perseus-grc2.xml	Τετραλογία Γ΄	Antiphon	Kenneth John Maidment; Kenneth John Maidment	Trustees of Tufts University	Medford, MA	Perseus 2.0		grc; lat; eng		The Annenberg CPB/Project	Gregory Crane	13554	2116	1941
tlg0028	tlg005	tlg0028.tlg005.perseus-eng2.xml	tlg0028/tlg005/tlg0028.tlg005.perseus-eng2.xml	On the Murder of Herodes	Antiphon	Kenneth John Maidment; Kenneth John Maidment	Trustees of Tufts University	Medford, MA	Perseus 2.0	Antiph. 5.79	grc; lat; eng		The Annenberg CPB/Project	Gregory Crane	64449	11540	1941
tlg0028	tlg005	tlg0028.tlg005.perseus-grc2.xml	tlg0028/tlg005/tlg0028.tlg005.perseus-grc2.xml	Περὶ τοῦ Ἡρῷδου φόνου	Antiphon	Kenneth John Maidment; Kenneth John Maidment	Trustees of Tufts University	Medford, MA	Perseus 2.0		grc; lat; eng		The Annenberg CPB/Project	Gregory Crane	45299	7408	1941
tlg0028	tlg002	tlg0028.tlg002.perseus-grc2.xml	tlg0028/tlg002/tlg0028.tlg002.perseus-grc2.xml	Τετραλογία Α΄	Antiphon	Kenneth John Maidment; Kenneth John Maidment	Trustees of Tufts University	Medford, MA	Perseus 2.0		grc; lat; eng		The Annenberg CPB/Project	Gregory Crane	17766	2699	1941
tlg0028	tlg002	tlg0028.tlg002.perseus-eng2.xml	tlg0028/tlg002/tlg0028.tlg002.perseus-eng2.xml	The First Tetralogy: Anonymous Prosecution for Murder	Antiphon	Kenneth John Maidment; Kenneth John Maidment	Trustees of Tufts University	Medford, MA	Perseus 2.0	Antiph. 2.4.5-6	grc; lat; eng		The Annenberg CPB/Project	Gregory Crane	31871	5440	1941
tlg0641	tlg001	tlg0641.tlg001.perseus-grc2.xml	tlg0641/tlg001/tlg0641.tlg001.perseus-grc2.xml	Τὰ κατὰ Ἀνθίαν καὶ Ἁβροκόμην	Xenophon of Ephesus	Rudolf Hercher; Rudolf Hercher	Trustees of Tufts University	Medford, MA	2011-09-12		grc; lat		Google Digital Humanities Awards Program		104331	16476	1858
tlg0017	tlg009	tlg0017.tlg009.perseus-eng2.xml	tlg0017/tlg009/tlg0017.tlg009.perseus-eng2.xml	On the Estate of Astyphilus	Isaeus	Edward Seymour Forster	Trustees of Tufts University	Medford, MA	Perseus 2.0	Isaeus 9.23	eng; grc; lat		The Annenberg CPB/Project	Gregory Crane	19750	3497	1962
tlg0017	tlg009	tlg0017.tlg009.perseus-grc2.xml	tlg0017/tlg009/tlg0017.tlg009.perseus-grc2.xml	Περὶ τοῦ Ἀστυφίλου κλήρου	Isaeus	Edward Seymour Forster; Edward Seymour Forster	Trustees of Tufts University	Medford, MA	Perseus 2.0		grc; eng		The Annenberg CPB/Project	Gregory Crane	15836	2328	1962
tlg0017	tlg007	tlg0017.tlg007.perseus-eng2.xml	tlg0017/tlg007/tlg0017.tlg007.perseus-eng2.xml	On The Estate of Apollodorus	Isaeus	Edward Seymour Forster; Edward Seymour Forster	Trustees of Tufts University	Medford, MA	Perseus 2.0	Isaeus 2	eng; grc; lat		The Annenberg CPB/Project	Gregory Crane	25284	4415	1962
tlg0017	tlg007	tlg0017.tlg007.perseus-grc2.xml	tlg0017/tlg007/tlg0017.tlg007.perseus-grc2.xml	Περὶ τοῦ Απολλοδώρου κλήρου	Isaeus	Edward Seymour Forster; Edward Seymour Forster	Trustees of Tufts University	Medford, MA	Perseus 2.0		grc; eng		The Annenberg CPB/Project	Gregory Crane	19183	2857	1962
tlg0017	tlg001	tlg0017.tlg001.perseus-grc2.xml	tlg0017/tlg001/tlg0017.tlg001.perseus-grc2.xml	Περὶ τοῦ Κλεωνύμου κλήρου	Isaeus	Edward Seymour Forster; Edward Seymour Forster	Trustees of Tufts University	Medford, MA	Perseus 2.0		grc; eng		The Annenberg CPB/Project	Gregory Crane	19154	2788	1962
tlg0017	tlg001	tlg0017.tlg001.perseus-eng2.xml	tlg0017/tlg001/tlg0017.tlg001.perseus-eng2.xml	On The Estate of Cleonymus	Isaeus	Edward Seymour Forster; Edward Seymour Forster	Trustees of Tufts University	Medford, MA	Perseus 2.0	Isaeus 1.31-32	eng; grc; lat		The Annenberg CPB/Project	Gregory Crane	22497	3911	1962
tlg0017	tlg006	tlg0017.tlg006.perseus-eng2.xml	tlg0017/tlg006/tlg0017.tlg006.perseus-eng2.xml	On the Estate of Philoctemon	Isaeus	Edward Seymour Forster; Edward Seymour Forster	Trustees of Tufts University	Medford, MA	Perseus 2.0	Isaeus 6.39	eng; grc; lat		The Annenberg CPB/Project	Gregory Crane	34104	5896	1962
tlg0017	tlg006	tlg0017.tlg006.perseus-grc2.xml	tlg0017/tlg006/tlg0017.tlg006.perseus-grc2.xml	Περὶ τοῦ Φιλοκτήμονος κλήρου	Isaeus	Edward Seymour Forster; Edward Seymour Forster	Trustees of Tufts University	Medford, MA	Perseus 2.0		grc; eng		The Annenberg CPB/Project	Gregory Crane	25457	3744	1962
tlg0017	tlg008	tlg0017.tlg008.perseus-eng2.xml	tlg0017/tlg008/tlg0017.tlg008.perseus-eng2.xml	On The Estate of Ciron	Isaeus	Edward Seymour Forster; Edward Seymour Forster	Trustees of Tufts University	Medford, MA	Perseus 2.0	Aristoph. Ach. 1166	eng; grc; lat		The Annenberg CPB/Project	Gregory Crane	28234	4990	1962
tlg0017	tlg008	tlg0017.tlg008.perseus-grc2.xml	tlg0017/tlg008/tlg0017.tlg008.perseus-grc2.xml	Περὶ τοῦ Κίρωνος κλήρου	Isaeus	Edward Seymour Forster; Edward Seymour Forster	Trustees of Tufts University	Medford, MA	Perseus 2.0		grc; eng		The Annenberg CPB/Project	Gregory Crane	21986	3279	1962
