rule_uid	file_id	criteria	rule	group	resource	directionality	verbatim	contemporary	factuality	reasoning	confidence	author	work_title	impact_year	group_specificity	is_historical	secondary_reasoning	resource_materiality	materiality_reasoning	group_immutability	immutability_reasoning	resource_generality	resource_generality_reasoning	resource_persistence	persistence_reasoning	tautological	tautology_reasoning	perseus_id	work_factuality	sampled_for
tlg0627.tlg010.perseus-eng2#0	tlg0627.tlg010.perseus-eng2	Health	Patient self-reduction of joints	Those subject to frequent dislocations	Right to perform medical reduction	MORE	[§2] Those who are subject to frequent dislocations at the shoulder-joint, are for the most part competent to effect the reduction themselves; for, having introduced the knuckles of the other hand into the armpit, they force the joint upward, and bring the elbow toward the breast.	1	1	The author notes that individuals with chronic joint issues are conventionally expected and able to perform their own medical procedures without a physician's intervention.	9.0	Hippocrates	The Art	-465	4	0	Broad societal group based on health condition; the author describes contemporary medical practices.	3	Right to perform medical reduction is access to a practice with tangible outcomes.	5	Frequent dislocations imply a chronic, likely birth-fixed or very hard to change physical condition.	2	Right to perform medical reduction is tied to a specific medical procedure.	4	The ability to self-reduce dislocations is a long-term skill for those with chronic issues.	0	Right to perform medical reduction is a medical skill/resource, not inherent in the definition of 'Those subject to frequent dislocations'.	tlg0627.tlg010	3	Health
tlg0010.tlg019.perseus-eng2#16	tlg0010.tlg019.perseus-eng2	Health	Generalship eligibility and robust physique	Men with non-robust physiques	Eligibility for the generalship	LESS	[§115-116] [115] ...some of the generals who have a high reputation among you and are thought to be great fighters have not been able to take even a village, while Timotheus, who lacks a robust physique... [116] For you elect as your generals men who have the most robust bodies and who have served in many campaigns with foreign armies, thinking that under their leadership you will have some success.	1	1	The text explicitly states that the Athenian assembly (the 'you') selects generals based on physical robustness, which functions as a barrier for those, like Timotheus, who lack it, despite his eventual success.	8.0	Isocrates	Antidosis	-400	4	0	The group is broad but specific (men with non-robust physiques); the author describes a contemporary selection criterion.	3	Eligibility for generalship is access to a social role with tangible outcomes.	5	Physical physique is a biologically fixed trait, strictly immutable.	2	Eligibility for the generalship is tied to a particular office and physical condition.	4	Eligibility for generalship based on physique is a long-term career barrier or enabler.	0	Eligibility for generalship based on physique is a selection criterion, not inherent in lacking a robust physique.	tlg0010.tlg019	4	Health
tlg0086.tlg010.perseus-eng2#219	tlg0086.tlg010.perseus-eng2	Lineage	Paternal prioritization of child welfare	male heirs	Right to parental care for welfare	MORE	[§1084] The relationship of father to sons is regal in type, since a father’s first care is for his children’s welfare. This is why Homer styles Zeus father, for the ideal of kingship is paternal government.	1	1	Aristotle describes the standard Greek familial structure as one where sons are the primary beneficiaries of the father's governance, contrasting it with the Persians who treat sons as slaves.	9.0	Aristotle	Nicomachean Ethics	-348	4	0	The group 'male heirs' is broad but still societal; Aristotle describes contemporary Greek familial structures.	4	Parental care for welfare directly impacts the material well-being of children.	5	Male heirs are defined by birth and lineage, a strictly immutable characteristic.	4	Parental care for welfare is a broad category of support, spanning many situations.	3	Parental care for welfare is a resource that lasts through childhood and into early adulthood.	0	While fathers care for children, the specific prioritization of male heirs is a social rule, not inherent to 'male heir' definition.	tlg0086.tlg010	3	Lineage
tlg0086.tlg010.perseus-eng2#193	tlg0086.tlg010.perseus-eng2	Lineage	Parental claim to service	Parents	Right to services and honor	MORE	[§1017] ...the friendship between parents and children will be enduring and equitable, when the children render to the parents the services due to the authors of one’s being... These friendships then involve a superiority of benefits on one side, which is why parents receive honor as well as service.	1	1	The text establishes that because parents are the source of existence, they have a social and moral claim to receive services and honor from their offspring.	10.0	Aristotle	Nicomachean Ethics	-348	5	0	Canonical societal group; the author describes a contemporary social norm.	3	Receiving 'services' implies tangible actions, while 'honor' is more symbolic. The former dominates.	5	Parental status is a birth-fixed trait; one cannot cease to be a biological parent.	5	Right to services and honor is a broad societal good, applicable to many life outcomes.	5	The claim to service and honor from children is lifelong, stemming from the act of being born.	0	The rule describes a social claim to services and honor, not an inherent part of being a parent.	tlg0086.tlg010	3	Lineage
tlg0086.tlg035.perseus-eng2#151	tlg0086.tlg035.perseus-eng2	Lineage	Hereditary office succession	Male heirs	Right to hold office	MORE	[§90] there comes about the third advance in oligarchy, which consists in their keeping the offices in their own hands, but under a law enacting that they are to be hereditary.	1	1	Aristotle identifies a specific rule in advanced oligarchies where political office is restricted to specific families through hereditary law.	10.0	Aristotle	Politics	-348	4	0	Broad societal group; Aristotle describes contemporary political structures.	3	Right to hold office is access to a social role with tangible outcomes.	5	Being a 'male heir' is a birth-fixed trait, strictly immutable.	5	The right to hold office is a fundamental aspect of political power.	5	Hereditary right to hold office is a lifelong and intergenerational status.	0	Hereditary office succession is a legal mechanism, not an inherent quality of being a 'male heir'.	tlg0086.tlg035	3	Lineage
tlg0086.tlg035.perseus-eng2#147	tlg0086.tlg035.perseus-eng2	Lineage	Hereditary magistracy succession	Male heirs	Political power	MORE	[§89] another variety of oligarchy is when son succeeds father in office; and a fourth kind is when the hereditary system just mentioned exists and also the magistrates govern and not the law.	1	1	Lineage is the primary criterion here for the transmission of political office, granting heirs access to power simply by virtue of birth.	9.0	Aristotle	Politics	-348	4	0	Broad societal group; Aristotle describes contemporary political structures.	3	Political power is access to a social role with tangible outcomes.	5	Being a 'male heir' is a birth-fixed trait, strictly immutable.	5	Political power is a high-level societal good applicable to many life outcomes.	5	Hereditary political power is a lifelong and intergenerational status.	0	Hereditary succession is a legal mechanism, not an inherent quality of being a 'male heir'.	tlg0086.tlg035	3	Lineage
tlg0086.tlg035.perseus-eng2#141	tlg0086.tlg035.perseus-eng2	Lineage	Noble monopoly on honors	Noble families	Eligibility for the archonship	MORE	[§85] neither is it a democracy if the free being few govern the majority who are not of free birth, as for instance at Apollonia on the Ionian Gulf and at Thera (for in each of these cities the offices of honor were filled by the specially noble families who had been the first settlers of the colonies, and these were few out of many)	1	1	Aristotle cites Apollonia and Thera as examples where lineage (being of the original settler families) granted exclusive access to high offices (honors).	9.0	Aristotle	Politics	-348	4	0	Broad societal group; Aristotle describes contemporary political structures.	3	Eligibility for archonship is access to a social role with tangible outcomes.	5	Nobility/lineage is a birth-fixed trait, strictly immutable.	5	Eligibility for archonship is a high-level political power, a foundational societal axis.	5	Eligibility for office based on noble birth is a lifelong and inherited status.	0	Noble monopoly on honors is a specific social/legal rule, not inherent to being from 'noble families'.	tlg0086.tlg035	3	Lineage
tlg0086.tlg035.perseus-eng2#131	tlg0086.tlg035.perseus-eng2	Nobility	Exemption from ostracism	Noble heirs	Protection from exile	MORE	[§78] For it is not seemly to put to death or banish, nor yet obviously to ostracize, such a man, nor is it seemly to call upon him to take his turn as a subject; for it is not in the order of nature for the part to overtop the whole, but the man that is so exceptionally outstanding has come to overtop the whole community.	1	1	For individuals or families of extreme 'virtue' (nobility/excellence), the usual rules of ostracism or punishment are suspended, granting them a special protection from state-enforced exile.	9.0	Aristotle	Politics	-348	4	0	Broad societal group; the author describes a contemporary political exception.	4	Protection from exile is a concrete legal right with direct material effect on freedom of movement.	4	Noble heirs are defined by lineage, a birth-status, very hard to change.	3	Protection from exile is a specific but broadly applicable legal protection.	5	Exemption from exile is a lifelong, structural protection for exceptionally virtuous individuals/families.	0	Protection from exile is a specific legal exemption, not inherent to being a 'noble heir'.	tlg0086.tlg035	3	Nobility
tlg0086.tlg035.perseus-eng2#219	tlg0086.tlg035.perseus-eng2	Nobility	Tyrannical suppression of notables	The notables	Protection from arbitrary execution	LESS	[§128] while it copies democracy in making war on the notables and destroying them secretly and openly and banishing them as plotting against it and obstructive to its rule. Hence comes the advice of Periander to Thrasybulus, his docking of the prominent cornstalks, meaning that the prominent citizens must always be made away with.	1	1	The text describes a political norm in tyrannies where prominent or noble citizens are systematically targeted for removal or death to prevent challenges to power.	9.0	Aristotle	Politics	-348	4	0	The group 'The notables' is broad; Aristotle describes contemporary tyrannical suppression, referencing a historical anecdote.	5	Protection from arbitrary execution is a fundamental bodily entitlement.	5	Notables are defined by birth/lineage, a strictly immutable trait.	5	Protection from arbitrary execution relates to bodily integrity, a foundational societal axis.	4	Protection from execution is a long-term status, but can be revoked by tyrannical rule.	0	Notables are not defined by a lack of protection from execution; it's a specific tyrannical action.	tlg0086.tlg035	3	Nobility
tlg0086.tlg035.perseus-eng2#184	tlg0086.tlg035.perseus-eng2	Nobility	Noble access to supreme offices		Right to hold office	MORE	[§107] and the aristocratic one for the offices to be filled by the notables, and this will be the case when it is impossible to make money from office; for the poor will not want to hold office because of making nothing out of it, but rather to attend to their own affairs, while the wealthy will be able to hold office because they have no need to add to their resources from the public funds.	1	1	Aristotle explains the aristocratic rule where high offices are reserved for the 'notables' or noble-born, effectively excluding the poor from political power despite theoretical rights.	9.0	Aristotle	Politics	-348	5	0	Nobility is a canonical societal group; the author describes contemporary political systems.	4	Right to hold office is a concrete legal right with direct material effects on power and status.	4	Nobility is a legal/structural birth-status, very hard to change.	4	Right to hold office is a broad category of political participation.	4	The right to hold office is long-term, often for a career, but can be revoked or lost.	0	Noble birth does not inherently mean access to supreme offices; it's a social rule.	tlg0086.tlg035	3	Nobility
tlg0026.tlg001.perseus-eng2#3	tlg0026.tlg001.perseus-eng2	Occupation	Prostitution penalty for male children	male heirs	Exemption from paternal support obligations	MORE	[§13] Moreover the law frees a son, when he has become a man, from all obligation to support or to furnish a home to a father by whom he has been hired out for prostitution; but when the father is dead, the son is to bury him and perform the other customary rites.	1	1	If a father hires his son out for prostitution, the son is legally granted an exemption from the standard duty to support the father in old age.	9.0	Aeschines	Against Timarchus	-354	4	0	The group 'male heirs' is broad but specific; the rule describes a contemporary legal exemption.	4	Exemption from support obligations has a direct, concrete material effect on the son's finances.	5	Membership is based on biological sex and lineage (son), which are birth-fixed traits.	4	Exemption from a major societal obligation (paternal support) is a broad category.	5	This exemption from filial duty would likely last for the son's entire life, as it's a permanent legal status.	0	Exemption from paternal support is a specific legal right, not inherent in being a 'male heir'.	tlg0026.tlg001	4	Occupation
tlg0026.tlg001.perseus-eng2#10	tlg0026.tlg001.perseus-eng2	Occupation	Military service speaker requirement	Citizens	Right to address the assembly	LESS	[§29] Whom did he, in the second place, forbid to speak? Or the man who has failed to perform all the military service demanded of him, or who has thrown away his shield.	1	1	Citizens who failed their military obligations or showed cowardice (throwing away shields) were legally barred from advising the state/speaking.	10.0	Aeschines	Against Timarchus	-354	5	0	Citizens are a canonical societal group; the rule describes a contemporary restriction based on military service.	3	Right to address the assembly is access to a social practice with tangible outcomes.	4	Citizenship is a legal status, but the exclusion is based on past actions (military failure).	5	The right to address the assembly is a fundamental aspect of political voice.	4	This right is revoked due to past military failures and would likely remain revoked for a long time, if not permanently.	0	The right to address the assembly is a specific legal right, not inherent in being a 'citizen'.	tlg0026.tlg001	4	Occupation
tlg0086.tlg035.perseus-eng2#308	tlg0086.tlg035.perseus-eng2	Occupation	Vulgar art training exclusion	free men	Protection from degrading labor	MORE	[§185] A task and also an art or a science must be deemed vulgar if it renders the body or soul or mind of free men useless for the employments and actions of virtue. Hence we entitle vulgar all such arts as deteriorate the condition of the body, and also the industries that earn wages; for they make the mind preoccupied and degraded.	1	1	The text identifies a class of 'vulgar' occupations and wages that are culturally and legally separated from the education of free men to protect their capacity for virtue.	9.0	Aristotle	Politics	-348	4	0	Broad societal group with a specific status; Aristotle describes contemporary social distinctions.	4	Protection from degrading labor is a concrete legal/social exemption with direct material effect on status.	4	'Free men' refers to a legal status (not enslaved) which is very hard to change.	4	Protection from degrading labor is a broad category of exemption.	4	Protection from degrading labor is a long-term status for free men, revocable if they engage in such work.	0	Protection from degrading labor is a social and legal right, not part of the definition of 'free men'.	tlg0086.tlg035	3	Occupation
tlg1419.tlg001.perseus-eng1#128	tlg1419.tlg001.perseus-eng1	Occupation	Maiden tower guard duty	Maidens	Right to remain at the tower during rest	MORE	[§653] [1] And the six men commanded all the builders to retire a little and rest, but they commanded the maidens not to go away from the tower. [...] [§672] [3] But the maidens stood round the tower guarding it.	1	1	During the construction pause, a distinction is made between the 'builders' (who are commanded to leave and rest) and the 'maidens' (who are commanded to stay and guard the structure).	9.0	Hermas	The Shepherd of Hermas	150	5	0	Canonical societal group based on gender; the author describes a contemporary religious allegory.	3	Remaining at the tower for guard duty is access to a social role with tangible outcomes (security).	5	Maidens are young women, a sex and age-defined group, biologically fixed.	2	Right to remain at the tower during rest is tied to a particular institution and setting.	3	The right to remain at the tower is a recurring duty during rest periods.	0	Guard duty is a specific assigned task, not inherent to being 'maidens'.	tlg1419.tlg001	3	Occupation
tlg0030.tlg004.perseus-eng2#3	tlg0030.tlg004.perseus-eng2	Occupation	Private citizen trial protection	private citizens	Protection from impeachment	MORE	[§4] [4] ...which lays it down that impeachments shall be reserved for the orators themselves, when they speak against the interests of the people, but shall not apply to every Athenian. [§9] [9] You would have been insane if you had framed the law in any other way; if, when the orators enjoy both the honors and the profits of speaking, you had exposed the ordinary citizen to the risks that go with them.	1	1	The law distinguishes between professional politicians (orators) and private citizens, protecting the latter from the specific high-risk legal mechanism of impeachment (eisangelia) for political speech.	9.0	Hyperides		-360	4	0	Broad societal group; the author describes a contemporary legal distinction.	4	Protection from impeachment is a concrete legal right with direct material effect.	4	Being a private citizen is a legal status, often birth-fixed, very hard to change.	3	Protection from impeachment is a specific but broadly applicable legal protection.	4	Protection from impeachment is a long-term status for private citizens, but can be revoked.	0	Protection from impeachment is a specific legal distinction, not inherent in the definition of a private citizen.	tlg0030.tlg004	4	Occupation
tlg1216.tlg001.perseus-eng1#22	tlg1216.tlg001.perseus-eng1	Religion	Jewish exclusion from the Temple	Jewish people	Right to a physical temple	LESS	[§178] Again, it was made manifest that the city and the temple and the people of Israel were to be delivered up. For the Scripture says, And it shall come to pass in the last days that the Lord shall deliver the sheep of his pasture, and the sheep-fold, and their tower to destruction.	1	1	The author notes the destruction of the physical temple as a divine decree against the 'people of Israel', removing their access to a physical holy site.	9.0	Barnabas	Epistle of Barnabas	36	5	0	Canonical societal group; the author refers to the recent destruction of the Temple.	5	A physical temple is a tangible property, and its loss has direct material effect.	5	Jewish people are defined by birth and lineage, a strictly immutable characteristic.	3	Right to a physical temple is specific but broadly applicable for religious practice.	5	The destruction of a physical temple is a structural, long-lasting loss of a resource.	0	Jewish people are not defined by lacking a physical temple; this is a historical event and theological interpretation.	tlg1216.tlg001	3	Religion
tlg0557.tlg002.perseus-eng4#6	tlg0557.tlg002.perseus-eng4	Religion	Traditional sacrifice and libation	Citizens	Freedom of religious practice	LESS	[§31] But it also becomes incumbent on every one to offer libations and sacrifices and first-fruits, according to the customs of his country, purely, and not heedlessly nor negligently; not avariciously, nor yet extravagantly.	1	1	The author notes that performing specific religious rituals according to national custom is 'incumbent on every one', indicating a social and religious rule governing behavior.	9.0	Epictetus	Enchiridion of Epictetus	85	5	0	Canonical societal group; the rule describes a contemporary religious obligation for citizens.	2	Freedom of religious practice is primarily symbolic, with some concrete practices but weak material payoff.	4	Citizenship is a legal/structural birth-status, very hard to change.	4	Freedom of religious practice is a major recognizable right.	5	Freedom of religious practice is a lifelong right/duty for citizens.	0	Freedom of religious practice is a right, not inherently restricted by the definition of a citizen, though customs may apply.	tlg0557.tlg002	3	Religion
tlg1443.tlg001.perseus-eng1#34	tlg1443.tlg001.perseus-eng1	Religion	Judaizing teaching restriction	Uncircumcised persons	Right to teach Judaism in Church	LESS	[§219] But if anyone interpret Judaism to you do not listen to him; for it is better to hear Christianity from the circumcised than Judaism from the uncircumcised.	1	1	The text establishes a rule regarding who may provide religious interpretation, specifically barring the uncircumcised from teaching Judaism to the community, thereby restricting their influence and teaching rights.	9.0	Ignatius of Antioch	Epistle of Ignatius to the Trallians	70	5	0	Canonical societal group defined by religious practice; describes a contemporary norm.	3	Access to a social role (teaching) that produces tangible outcomes (influence, community standing).	5	Circumcision status is a birth-fixed or early-life physical trait, very hard to change.	3	Right to teach is specific but recurring in religious contexts.	5	The inability to teach Judaism due to being uncircumcised is a lifelong status.	0	Being uncircumcised does not inherently mean one cannot teach Judaism; this is a specific religious restriction.	tlg1443.tlg001	3	Religion
tlg0031.tlg005.perseus-eng2#24	tlg0031.tlg005.perseus-eng2	Religion	Gentile inclusion in baptism	Gentiles	Right to receive baptism	MORE	"[§392] ""Can any man forbid the water, that these who have received the Holy Spirit as well as we should not be baptized?"" [§393] He commanded them to be baptized in the name of Jesus Christ."	1	1	The passage establishes a shift where Gentiles, previously excluded from the specific rites of the community (implied by the shock of the 'circumcision' group), are now granted the right to baptism based on divine approval.	9.0	New Testament		100	5	0	Canonical societal group; the rule describes a contemporary religious practice.	3	Access to baptism is a social practice with tangible outcomes for group membership.	5	Gentiles are defined by birth/ethnicity, a strictly immutable characteristic.	3	The right to receive baptism is a specific but recurring religious rite.	4	The right to receive baptism grants long-term religious standing, revocable by apostasy.	0	Being a Gentile does not inherently mean one cannot be baptized; this is a religious inclusion, not a definition.	tlg0031.tlg005	3	Religion
tlg0031.tlg005.perseus-eng2#26	tlg0031.tlg005.perseus-eng2	Religion	Jewish restriction on commensality	Gentiles	Right to shared meals	LESS	[§397] saying, 'You went in to uncircumcised men, and ate with them!'	1	1	The text describes a contention based on traditional Jewish social boundaries where eating with uncircumcised individuals (Gentiles) was viewed as a violation of social/religious norms.	9.0	New Testament		100	5	0	Canonical societal group; the rule describes a contemporary social norm.	3	Right to shared meals is a social practice with tangible outcomes (commensality).	5	Gentiles are defined by birth/ethnicity, a strictly immutable characteristic.	3	The right to shared meals is a specific but broadly applicable social interaction.	4	The right to shared meals is a long-term social custom, revocable by individual choice or new doctrine.	0	Being a Gentile does not inherently mean one cannot share meals; this is a specific social/religious norm.	tlg0031.tlg005	3	Religion
tlg0086.tlg010.perseus-eng2#261	tlg0086.tlg010.perseus-eng2	Wealth / Properties	Inherited wealth effort exemption	Wealthy heirs	Exemption from labor to acquire capital	MORE	[§1182] Again, everybody loves a thing more if it has cost him trouble: for instance those who have made money love money more than those who have inherited it. Now to receive a benefit seems to involve no labor, but to confer one is an effort.	1	1	The text identifies a group of people who possess money through inheritance rather than through the labor of making it, establishing that specific groups have access to resources (wealth) without the corresponding labor.	9.0	Aristotle	Nicomachean Ethics	-348	4	0	Broad societal group; author describes a contemporary norm.	5	Exemption from labor to acquire capital is a direct access to wealth, a tangible property.	4	Inherited wealth is a status largely determined by birth and family lineage.	5	Exemption from labor to acquire capital relates to wealth and property.	5	Exemption from labor to acquire capital through inheritance is a lifelong structural advantage.	0	Exemption from labor to acquire capital is an economic condition, not inherent in being 'Wealthy heirs'.	tlg0086.tlg010	3	Wealth / Properties
tlg0086.tlg010.perseus-eng2#292	tlg0086.tlg010.perseus-eng2	Wealth / Properties	Prince and potentate bodily pleasure pursuit	Princes and potentates	Access to intellectual pleasure	LESS	[§1278] But (i) perhaps princes and potentates are not good evidence. Virtue and intelligence, which are the sources of man’s higher activities, do not depend on the possession of power; and if these persons, having no taste for pure and liberal pleasure, have recourse to the pleasures of the body, we must not on that account suppose that bodily pleasures are the more desirable.	1	0	The text characterizes the wealthy ruling class as often lacking the 'taste' for higher, liberal pleasures, resulting in a focus on bodily amusements rather than intellectual activities.	8.0	Aristotle	Nicomachean Ethics	-348	4	0	Broad societal group defined by status; the author describes a contemporary observation about rulers.	2	Access to intellectual pleasure is a role-based access with weak material payoff.	4	Princes and potentates implies nobility/social status, which is very hard to change.	4	Access to intellectual pleasure is a broad category of personal enrichment.	4	Access to intellectual pleasure is a long-term disposition, but can change with taste.	0	Lack of taste for intellectual pleasure is a behavioral observation, not definitional for 'princes and potentates'.	tlg0086.tlg010	3	Wealth / Properties
tlg0086.tlg010.perseus-eng2#304	tlg0086.tlg010.perseus-eng2	Wealth / Properties	Parental authority over household education	male heirs	Personalized household education	MORE	[§1307] Paternal exhortations and family habits have authority in the household, just as legal enactments and national customs have authority in the state... Moreover individual treatment is better than a common system, in education as in medicine.	1	1	In societies where the community neglects regulation, the rule of the head of household (paternal authority) governs the members (children/friends), providing a specific immaterial resource: education tailored to the individual rather than a generic public system.	7.0	Aristotle	Nicomachean Ethics	-348	4	0	The group 'male heirs' is a broad, compound societal group; Aristotle describes a contemporary social arrangement.	3	Personalized household education is access to a social practice with tangible outcomes (education).	5	Male heir is a lineage/birth-fixed trait, strictly immutable.	3	Personalized household education is a specific but broadly applicable form of upbringing.	3	Household education is typically bounded to the period of childhood/youth within the household.	0	Personalized household education is a specific form of upbringing, not the definition of a male heir.	tlg0086.tlg010	3	Wealth / Properties
tlg0086.tlg035.perseus-eng2#236	tlg0086.tlg035.perseus-eng2	Wealth / Properties	Abolition of property qualifications	Citizens	Eligibility for the archonship	MORE	[§140] ...the following institutions are democratic in character: ... no property-qualification for office, or only a very low one;	1	1	This describes a rule in democratic systems where the lack of wealth does not bar a citizen from holding public office.	10.0	Aristotle	Politics	-348	5	0	Canonical societal group; the author describes a contemporary democratic institution.	3	Eligibility for archonship is access to a social role with tangible outcomes.	4	Citizenship is a legal status, hard to change, often acquired by birth or naturalization.	3	Eligibility for the archonship is a specific but recurring political office.	4	Eligibility for office can last for many years but is subject to changes in law.	0	Eligibility for office is a legal provision, not inherent to being a citizen.	tlg0086.tlg035	3	Wealth / Properties
tlg0086.tlg035.perseus-eng2#64	tlg0086.tlg035.perseus-eng2	Wealth / Properties	Exemption from all taxes	Fathers of four sons	Exemption from all taxes	MORE	[§41] for they have a law releasing the man who has been father of three sons from military service, and exempting the father of four from all taxes.	1	1	Similar to the military exemption, the law grants a material financial resource (tax exemption) based on meeting the criteria of fathering four sons.	10.0	Aristotle	Politics	-348	4	0	Fathers of four sons is a broad, compound group; Aristotle describes a contemporary Spartan law.	4	Exemption from all taxes is a concrete legal exemption with direct material financial effect.	5	Fatherhood is a biological/birth-fixed trait, strictly immutable.	4	Exemption from all taxes is a major recognizable right or exemption.	4	Exemption from all taxes is a long-term benefit, potentially lasting for many years.	0	Exemption from taxes is a specific legal privilege, not inherent to the definition of 'father of four sons'.	tlg0086.tlg035	3	Wealth / Properties
