rule_uid	file_id	rule_name	rule_category	group	resource	resource_category	directionality	proof	reasoning	specificity	specificity_reasoning	confidence	criteria	is_contemporary	verbatim_type	sampled_for	valid	comment	factuality
tlg0033.tlg002.perseus-eng3#18	tlg0033.tlg002.perseus-eng3	Exclusion from homecoming joy	Social exclusion from victory	Defeated athletes	Right to public celebration and honorable return	Economic privileges	LESS	[§8] And you fell from above on the bodies of four opponents, with grim intent; to them no cheerful homecoming was allotted, as it was to you, at the Pythian festival; nor, when they returned to their mothers, did sweet laughter awaken joy. They slink along the back-streets, away from their enemies, bitten by misfortune.	The text describes a customary lack of 'cheerful homecoming' and social shaming ('slink along the back-streets') for those who lose in sacred games, contrasted with the victor's rights to public processions and joy.	5	While any man could be an athlete, this specifically governs the subset of participants who lose in major competitions.	8	Occupation	1	fact	Occupation			1
tlg0061.tlg001.perseus-eng1#10	tlg0061.tlg001.perseus-eng1	Slave labor commodification	Economic exploitation	Domestic slaves	Exemption from third-party labor hire	Economic privileges	LESS	[§23] [28] ...the man in charge of the mares left me in the possession of his wife, Megapole, for domestic service, and she harnessed me in the mill, and made me grind wheat and barley at her bidding. It is true that it was no great evil to a grateful ass to turn a mill for his own masters, but the worthy woman hired out my wretched neck to the other peasants of the district, who were numerous, taking her pay in flour.	The text illustrates that domestic laborers (represented by the ass-man) were not only required to serve their immediate masters but could be hired out as a commodity to third parties for the master's profit, with no personal gain or protection for the laborer.	4	This applies to a broad class of domestic slaves in rural contexts where labor was frequently shared or rented out.	9	Freedom|Occupation	1	fact	Occupation			2
tlg0057.tlg010.perseus-eng2#10	tlg0057.tlg010.perseus-eng2	Divinatory dismissal	Exclusion from religious participation	Atomist philosophers	Right to participate in divinatory practices	Religious access	LESS	[§13] This school also despises dreams, birds, omens, and the whole of astrology, subjects with which we have dealt at greater length in another work, in which we discuss the views of Asclepiades the physician.	Galen identifies a specific school of thought (the atomists/Asclepiadeans) that systematically rejects and is excluded from the traditional Roman/Greek civic religious and divinatory framework (omens, astrology, etc.).	5	This applies to a specific intellectual/philosophical group within the broader society of the 2nd century AD.	8	Education|Religion	1	fact	Religion			3
tlg1419.tlg001.perseus-eng1#44	tlg1419.tlg001.perseus-eng1	Limited post-baptismal repentance	Access to judicial/communal mercy	Baptized Christians	Right to single post-baptismal repentance	Legal standing	MORE	[§230] But I tell you, said he, after that great and holy calling, if a man be tempted by the devil and sin, he has one repentance, but if he sin and repent repeatedly it is unprofitable for such a man, for scarcely shall he live.	Hermas articulates a specific community rule regarding legal/spiritual standing: after the 'holy calling' (baptism), a member is granted exactly one opportunity for formal repentance for grave sins. This is a concrete limit on their standing within the group.	3	This applies to all members of the specific religious society (the 'servants of God').	9	Religion	1	fact	Religion			3
tlg0031.tlg005.perseus-eng2#37	tlg0031.tlg005.perseus-eng2	Proselyte assembly participation	Access to religious assembly	Proselytes	Right to attend synagogue services	Religious access	MORE	[§494] Now when the synagogue broke up, many of the Jews and of the devout proselytes followed Paul and Barnabas; who, speaking to them, urged them to continue in the grace of God.	The text identifies 'devout proselytes' (converts to Judaism) as legitimate participants in the synagogue service and the subsequent theological discussions, showing they shared the resource of religious assembly with natural-born Jews.	5	Proselytes are a distinct minority group within the broader society defined by their conversion status.	10	Religion	1	fact	Religion			3
tlg0031.tlg005.perseus-eng2#32	tlg0031.tlg005.perseus-eng2	Jewish-Gentile commensality restriction	Restriction of social association	Jews	Right to eat with uncircumcised persons	Freedom	LESS	[§396] When Peter had come up to Jerusalem, those who were of the circumcision contended with him, [§397] saying, 'You went in to uncircumcised men, and ate with them!'	The text describes a pre-existing social and religious rule among the 'circumcision' (Jews) that prohibited entering the homes of or eating with uncircumcised Gentiles. Peter's action is treated as a violation of a known norm that maintained a social barrier between these groups.	3	This rule applied to the entire Jewish population in their interactions with the non-Jewish world, representing a significant portion of the society described.	10	Ethnicity|Religion	1	fact	Religion			3
tlg0031.tlg005.perseus-eng2#26	tlg0031.tlg005.perseus-eng2	Religious extra-territorial arrest	Restriction of personal freedom	Christians	Protection from extra-territorial arrest by religious authorities	Freedom	LESS	[§303] and asked for letters from him to the synagogues of Damascus, that if he found any who were of the Way, whether men or women, he might bring them bound to Jerusalem. | [§315] Here he has authority from the chief priests to bind all who call on your name.	The text describes a legal/customary arrangement where the high priest in Jerusalem could issue warrants ('letters') to synagogues in foreign cities (Damascus) to authorize the arrest and extradition of members of a specific religious group ('the Way').	4	This rule targets a specific emerging religious minority but applies to all its members regardless of their location within the reach of the synagogue network.	10	Religion	1	fact	Religion			3
tlg0027.tlg004.perseus-eng2#13	tlg0027.tlg004.perseus-eng2	Inheritance protection through state donation	Protection of property	Property owners	Right to bequeath property to the state to prevent private seizure	Property and inheritance	MORE	[§17] [15] Callias himself... for fear that his wealth would cost him his life, made over his property to the state in the event of his dying without issue.	The text describes a legal mechanism where a citizen, fearing for his life due to his wealth, can legally designate the state as his heir to remove the incentive for his assassination by private parties.	6	This applies to wealthy individuals without direct heirs who face specific threats of violence.	9	Wealth / Properties	1	fact	Wealth / Properties			3
tlg1419.tlg001.perseus-eng1#27	tlg1419.tlg001.perseus-eng1	Destitute right to subsistence	Access to public resources	The poor	Access to communal food resources	Economic privileges	MORE	[§114] ...but give also a part to those who lack. For some are contracting illness in the flesh by too much eating, and are injuring their flesh, and the flesh of the others who have nothing to eat is being injured by their not having sufficient food and their body is being destroyed.	The text asserts a right for those who 'lack' or 'have nothing to eat' to receive a portion of the goods held by others. It identifies the physical destruction of the poor's bodies as a result of the rich withholding resources, implying the poor have a legitimate claim on the community's surplus.	3	This applies to the broad class of the destitute or hungry within the society addressed.	8	Wealth / Properties	1	fact	Wealth / Properties			3
tlg1419.tlg001.perseus-eng1#33	tlg1419.tlg001.perseus-eng1	Poor relief for distressed	Access to public resources	The poor	Right to receive charity without penalty	Economic privileges	MORE	[§190] Do good, and of all your toil which God gives you, give in simplicity to all who need, not doubting to whom you shall give and to whom not: give to all, for to all God wishes gifts to be made of his own bounties. Those then who receive shall render an account to God why they received it and for what. For those who accepted through distress shall not be punished, but those who accepted in hypocrisy shall pay the penalty.	The text establishes a social rule within the community regarding the distribution of resources (alms/charity). It explicitly protects those in 'distress' from the social or divine 'penalty' associated with taking resources under false pretenses, effectively granting them a legitimate claim to community support.	3	This rule applies broadly to the 'needy' or 'distressed' within the community, which constitutes a significant segment of the population addressed.	9	Wealth / Properties	1	fact	Wealth / Properties			3
tlg1419.tlg001.perseus-eng1#120	tlg1419.tlg001.perseus-eng1	Religious housing allocation	Access to communal resources	Wealthy believers	Right to reside in central communal housing	Economic privileges	LESS	[§601] And those who gave up their sticks two-thirds dry, and one-third green, these are they who were faithful, but became rich and in honour among the heathen; then they put on great haughtiness and became high-minded, and abandoned the truth, and did not cleave to the righteous, but lived together with the heathen, and this way pleased them better. [...] For these, then, who became double-minded because of their deeds there is still repentance, but their repentance must be speedy that their dwelling may be within the tower. But for those who do not repent, but remain in their pleasures, death is near.	The text describes a specific spatial organization of the community (the tower vs outside/death). Wealthy members who prioritize their riches and social status among 'the heathen' lose their right to 'dwell in the tower' (the symbol for the community of the saved), unless they quickly repent and divest from their haughtiness.	4	This rule targets a specific socio-economic subset (the wealthy) within the religious community.	9	Wealth / Properties|Religion	1	fact	Wealth / Properties			3
tlg0062.tlg066.perseus-eng3#22	tlg0062.tlg066.perseus-eng3	Testamentary freedom of property	Grant of economic privilege	Property owners	Right to designate heirs by will	Property and inheritance	MORE	[§75] So I thought of another clever move, and decided to make my will public. I’ve left him all my property in it, hoping he in turn would emulate me, and do the same by me.	Cnemon's ability to publicly declare a will and designate a non-relative (Hermolaus) as his heir demonstrates that property owners have the concrete legal right to dispose of their goods via testament to whoever they choose.	2	This rule applies to anyone in the society who possesses enough wealth to warrant a will, encompassing a large portion of the free population.	10	Wealth / Properties	1	fact	Wealth / Properties			3
