period	group_cat	resource_meta	has_right
Classical (500–360 BCE)	Philosophers	Right to vote in the Ekklesia	0
Classical (500–360 BCE)	Physicians	Access to education	0
Classical (500–360 BCE)	Physicians	Access to public honors	0
Classical (500–360 BCE)	Physicians	Access to religious rites	0
Classical (500–360 BCE)	Physicians	Access to the gymnasium	0
Classical (500–360 BCE)	Physicians	Eligibility for public office	0
Classical (500–360 BCE)	Physicians	Exemption from compulsory public financing	0
Classical (500–360 BCE)	Physicians	Exemption from legal audit	0
Classical (500–360 BCE)	Physicians	Exemption from manual labor	0
Classical (500–360 BCE)	Physicians	Exemption from military service	0
Classical (500–360 BCE)	Physicians	Exemption from public service financing	0
Classical (500–360 BCE)	Physicians	Exemption from taxes	0
Classical (500–360 BCE)	Physicians	Political power	0
Classical (500–360 BCE)	Physicians	Protection from arbitrary banishment	0
Classical (500–360 BCE)	Physicians	Protection from capital punishment	0
Classical (500–360 BCE)	Physicians	Protection from corporal punishment	0
Classical (500–360 BCE)	Physicians	Protection from enslavement	0
Classical (500–360 BCE)	Physicians	Protection from legal prosecution	0
Classical (500–360 BCE)	Physicians	Protection from public libel	0
Classical (500–360 BCE)	Physicians	Right to a dowry	0
Classical (500–360 BCE)	Physicians	Right to a legal trial	0
Classical (500–360 BCE)	Physicians	Right to address the assembly	0
Classical (500–360 BCE)	Physicians	Right to adopt	0
Classical (500–360 BCE)	Physicians	Right to bear arms	0
Classical (500–360 BCE)	Physicians	Right to bodily autonomy	0
Classical (500–360 BCE)	Physicians	Right to burial	0
Classical (500–360 BCE)	Physicians	Right to citizenship	0
Classical (500–360 BCE)	Physicians	Right to dispose of property	0
Classical (500–360 BCE)	Physicians	Right to free speech	0
Classical (500–360 BCE)	Physicians	Right to freedom of movement	0
Classical (500–360 BCE)	Physicians	Right to inherit divine covenant	0
Classical (500–360 BCE)	Physicians	Right to inherit property	0
Classical (500–360 BCE)	Physicians	Right to marry	0
Classical (500–360 BCE)	Physicians	Right to military protection	0
Classical (500–360 BCE)	Physicians	Right to own land	0
Classical (500–360 BCE)	Physicians	Right to own property	0
Classical (500–360 BCE)	Physicians	Right to professional judgement	0
Classical (500–360 BCE)	Physicians	Right to remuneration for office	0
Classical (500–360 BCE)	Physicians	Right to reside in the city	0
Classical (500–360 BCE)	Physicians	Right to retain own earnings	1
Classical (500–360 BCE)	Physicians	Right to retain property	0
Classical (500–360 BCE)	Physicians	Right to speak first in assembly	0
Classical (500–360 BCE)	Physicians	Right to valid professional opinion	0
Classical (500–360 BCE)	Physicians	Right to vote in the Ekklesia	0
Classical (500–360 BCE)	Poets	Access to education	0
Classical (500–360 BCE)	Poets	Access to public honors	0
Classical (500–360 BCE)	Poets	Access to religious rites	1
Classical (500–360 BCE)	Poets	Access to the gymnasium	0
Classical (500–360 BCE)	Poets	Eligibility for public office	0
Classical (500–360 BCE)	Poets	Exemption from compulsory public financing	0
Classical (500–360 BCE)	Poets	Exemption from legal audit	0
Classical (500–360 BCE)	Poets	Exemption from manual labor	0
Classical (500–360 BCE)	Poets	Exemption from military service	0
Classical (500–360 BCE)	Poets	Exemption from public service financing	0
Classical (500–360 BCE)	Poets	Exemption from taxes	0
Classical (500–360 BCE)	Poets	Political power	0
Classical (500–360 BCE)	Poets	Protection from arbitrary banishment	0
Classical (500–360 BCE)	Poets	Protection from capital punishment	0
Classical (500–360 BCE)	Poets	Protection from corporal punishment	0
Classical (500–360 BCE)	Poets	Protection from enslavement	0
Classical (500–360 BCE)	Poets	Protection from legal prosecution	0
Classical (500–360 BCE)	Poets	Protection from public libel	0
Classical (500–360 BCE)	Poets	Right to a dowry	0
Classical (500–360 BCE)	Poets	Right to a legal trial	0
Classical (500–360 BCE)	Poets	Right to address the assembly	0
Classical (500–360 BCE)	Poets	Right to adopt	0
Classical (500–360 BCE)	Poets	Right to bear arms	0
Classical (500–360 BCE)	Poets	Right to bodily autonomy	0
Classical (500–360 BCE)	Poets	Right to burial	0
Classical (500–360 BCE)	Poets	Right to citizenship	0
Classical (500–360 BCE)	Poets	Right to dispose of property	0
Classical (500–360 BCE)	Poets	Right to free speech	0
Classical (500–360 BCE)	Poets	Right to freedom of movement	0
Classical (500–360 BCE)	Poets	Right to inherit divine covenant	0
Classical (500–360 BCE)	Poets	Right to inherit property	0
Classical (500–360 BCE)	Poets	Right to marry	0
Classical (500–360 BCE)	Poets	Right to military protection	0
Classical (500–360 BCE)	Poets	Right to own land	0
Classical (500–360 BCE)	Poets	Right to own property	0
Classical (500–360 BCE)	Poets	Right to professional judgement	0
Classical (500–360 BCE)	Poets	Right to remuneration for office	0
Classical (500–360 BCE)	Poets	Right to reside in the city	0
Classical (500–360 BCE)	Poets	Right to retain own earnings	0
Classical (500–360 BCE)	Poets	Right to retain property	0
Classical (500–360 BCE)	Poets	Right to speak first in assembly	0
Classical (500–360 BCE)	Poets	Right to valid professional opinion	0
Classical (500–360 BCE)	Poets	Right to vote in the Ekklesia	0
Classical (500–360 BCE)	Priests	Access to education	0
Classical (500–360 BCE)	Priests	Access to public honors	0
Classical (500–360 BCE)	Priests	Access to religious rites	1
Classical (500–360 BCE)	Priests	Access to the gymnasium	0
Classical (500–360 BCE)	Priests	Eligibility for public office	1
Classical (500–360 BCE)	Priests	Exemption from compulsory public financing	0
Classical (500–360 BCE)	Priests	Exemption from legal audit	0
Classical (500–360 BCE)	Priests	Exemption from manual labor	0
Classical (500–360 BCE)	Priests	Exemption from military service	1
Classical (500–360 BCE)	Priests	Exemption from public service financing	0
Classical (500–360 BCE)	Priests	Exemption from taxes	0
Classical (500–360 BCE)	Priests	Political power	0
Classical (500–360 BCE)	Priests	Protection from arbitrary banishment	0
Classical (500–360 BCE)	Priests	Protection from capital punishment	0
Classical (500–360 BCE)	Priests	Protection from corporal punishment	0
Classical (500–360 BCE)	Priests	Protection from enslavement	0
Classical (500–360 BCE)	Priests	Protection from legal prosecution	0
Classical (500–360 BCE)	Priests	Protection from public libel	0
Classical (500–360 BCE)	Priests	Right to a dowry	0
Classical (500–360 BCE)	Priests	Right to a legal trial	0
Classical (500–360 BCE)	Priests	Right to address the assembly	0
Classical (500–360 BCE)	Priests	Right to adopt	0
Classical (500–360 BCE)	Priests	Right to bear arms	0
Classical (500–360 BCE)	Priests	Right to bodily autonomy	0
Classical (500–360 BCE)	Priests	Right to burial	0
Classical (500–360 BCE)	Priests	Right to citizenship	0
Classical (500–360 BCE)	Priests	Right to dispose of property	0
Classical (500–360 BCE)	Priests	Right to free speech	0
Classical (500–360 BCE)	Priests	Right to freedom of movement	0
Classical (500–360 BCE)	Priests	Right to inherit divine covenant	0
Classical (500–360 BCE)	Priests	Right to inherit property	0
Classical (500–360 BCE)	Priests	Right to marry	0
Classical (500–360 BCE)	Priests	Right to military protection	0
Classical (500–360 BCE)	Priests	Right to own land	0
Classical (500–360 BCE)	Priests	Right to own property	0
Classical (500–360 BCE)	Priests	Right to professional judgement	0
Classical (500–360 BCE)	Priests	Right to remuneration for office	0
Classical (500–360 BCE)	Priests	Right to reside in the city	0
Classical (500–360 BCE)	Priests	Right to retain own earnings	1
Classical (500–360 BCE)	Priests	Right to retain property	0
Classical (500–360 BCE)	Priests	Right to speak first in assembly	0
Classical (500–360 BCE)	Priests	Right to valid professional opinion	0
Classical (500–360 BCE)	Priests	Right to vote in the Ekklesia	0
Classical (500–360 BCE)	Romans	Access to education	0
Classical (500–360 BCE)	Romans	Access to public honors	0
Classical (500–360 BCE)	Romans	Access to religious rites	0
Classical (500–360 BCE)	Romans	Access to the gymnasium	0
Classical (500–360 BCE)	Romans	Eligibility for public office	0
Classical (500–360 BCE)	Romans	Exemption from compulsory public financing	0
Classical (500–360 BCE)	Romans	Exemption from legal audit	0
Classical (500–360 BCE)	Romans	Exemption from manual labor	0
Classical (500–360 BCE)	Romans	Exemption from military service	0
Classical (500–360 BCE)	Romans	Exemption from public service financing	0
Classical (500–360 BCE)	Romans	Exemption from taxes	0
Classical (500–360 BCE)	Romans	Political power	0
Classical (500–360 BCE)	Romans	Protection from arbitrary banishment	0
Classical (500–360 BCE)	Romans	Protection from capital punishment	0
Classical (500–360 BCE)	Romans	Protection from corporal punishment	0
Classical (500–360 BCE)	Romans	Protection from enslavement	0
Classical (500–360 BCE)	Romans	Protection from legal prosecution	0
Classical (500–360 BCE)	Romans	Protection from public libel	0
Classical (500–360 BCE)	Romans	Right to a dowry	0
Classical (500–360 BCE)	Romans	Right to a legal trial	0
Classical (500–360 BCE)	Romans	Right to address the assembly	0
Classical (500–360 BCE)	Romans	Right to adopt	0
Classical (500–360 BCE)	Romans	Right to bear arms	0
Classical (500–360 BCE)	Romans	Right to bodily autonomy	0
Classical (500–360 BCE)	Romans	Right to burial	0
Classical (500–360 BCE)	Romans	Right to citizenship	0
Classical (500–360 BCE)	Romans	Right to dispose of property	0
Classical (500–360 BCE)	Romans	Right to free speech	0
Classical (500–360 BCE)	Romans	Right to freedom of movement	0
Classical (500–360 BCE)	Romans	Right to inherit divine covenant	0
Classical (500–360 BCE)	Romans	Right to inherit property	0
Classical (500–360 BCE)	Romans	Right to marry	0
Classical (500–360 BCE)	Romans	Right to military protection	0
Classical (500–360 BCE)	Romans	Right to own land	0
Classical (500–360 BCE)	Romans	Right to own property	0
Classical (500–360 BCE)	Romans	Right to professional judgement	0
Classical (500–360 BCE)	Romans	Right to remuneration for office	0
Classical (500–360 BCE)	Romans	Right to reside in the city	0
Classical (500–360 BCE)	Romans	Right to retain own earnings	0
Classical (500–360 BCE)	Romans	Right to retain property	0
Classical (500–360 BCE)	Romans	Right to speak first in assembly	0
Classical (500–360 BCE)	Romans	Right to valid professional opinion	0
Classical (500–360 BCE)	Romans	Right to vote in the Ekklesia	0
Classical (500–360 BCE)	Scythians	Access to education	0
Classical (500–360 BCE)	Scythians	Access to public honors	0
Classical (500–360 BCE)	Scythians	Access to religious rites	0
Classical (500–360 BCE)	Scythians	Access to the gymnasium	0
Classical (500–360 BCE)	Scythians	Eligibility for public office	1
Classical (500–360 BCE)	Scythians	Exemption from compulsory public financing	0
Classical (500–360 BCE)	Scythians	Exemption from legal audit	0
Classical (500–360 BCE)	Scythians	Exemption from manual labor	0
Classical (500–360 BCE)	Scythians	Exemption from military service	0
Classical (500–360 BCE)	Scythians	Exemption from public service financing	0
Classical (500–360 BCE)	Scythians	Exemption from taxes	0
Classical (500–360 BCE)	Scythians	Political power	1
Classical (500–360 BCE)	Scythians	Protection from arbitrary banishment	0
Classical (500–360 BCE)	Scythians	Protection from capital punishment	0
Classical (500–360 BCE)	Scythians	Protection from corporal punishment	0
Classical (500–360 BCE)	Scythians	Protection from enslavement	0
Classical (500–360 BCE)	Scythians	Protection from legal prosecution	0
Classical (500–360 BCE)	Scythians	Protection from public libel	0
Classical (500–360 BCE)	Scythians	Right to a dowry	0
Classical (500–360 BCE)	Scythians	Right to a legal trial	0
Classical (500–360 BCE)	Scythians	Right to address the assembly	0
Classical (500–360 BCE)	Scythians	Right to adopt	0
Classical (500–360 BCE)	Scythians	Right to bear arms	0
Classical (500–360 BCE)	Scythians	Right to bodily autonomy	0
Classical (500–360 BCE)	Scythians	Right to burial	0
Classical (500–360 BCE)	Scythians	Right to citizenship	0
Classical (500–360 BCE)	Scythians	Right to dispose of property	0
Classical (500–360 BCE)	Scythians	Right to free speech	0
Classical (500–360 BCE)	Scythians	Right to freedom of movement	0
Classical (500–360 BCE)	Scythians	Right to inherit divine covenant	0
Classical (500–360 BCE)	Scythians	Right to inherit property	0
Classical (500–360 BCE)	Scythians	Right to marry	0
Classical (500–360 BCE)	Scythians	Right to military protection	0
Classical (500–360 BCE)	Scythians	Right to own land	0
Classical (500–360 BCE)	Scythians	Right to own property	0
Classical (500–360 BCE)	Scythians	Right to professional judgement	0
Classical (500–360 BCE)	Scythians	Right to remuneration for office	0
Classical (500–360 BCE)	Scythians	Right to reside in the city	0
Classical (500–360 BCE)	Scythians	Right to retain own earnings	0
Classical (500–360 BCE)	Scythians	Right to retain property	0
Classical (500–360 BCE)	Scythians	Right to speak first in assembly	0
Classical (500–360 BCE)	Scythians	Right to valid professional opinion	0
Classical (500–360 BCE)	Scythians	Right to vote in the Ekklesia	0
Classical (500–360 BCE)	Sick	Access to education	0
Classical (500–360 BCE)	Sick	Access to public honors	0
Classical (500–360 BCE)	Sick	Access to religious rites	0
Classical (500–360 BCE)	Sick	Access to the gymnasium	0
Classical (500–360 BCE)	Sick	Eligibility for public office	0
Classical (500–360 BCE)	Sick	Exemption from compulsory public financing	0
Classical (500–360 BCE)	Sick	Exemption from legal audit	0
Classical (500–360 BCE)	Sick	Exemption from manual labor	0
Classical (500–360 BCE)	Sick	Exemption from military service	0
Classical (500–360 BCE)	Sick	Exemption from public service financing	0
Classical (500–360 BCE)	Sick	Exemption from taxes	0
Classical (500–360 BCE)	Sick	Political power	0
Classical (500–360 BCE)	Sick	Protection from arbitrary banishment	0
Classical (500–360 BCE)	Sick	Protection from capital punishment	0
Classical (500–360 BCE)	Sick	Protection from corporal punishment	0
Classical (500–360 BCE)	Sick	Protection from enslavement	0
Classical (500–360 BCE)	Sick	Protection from legal prosecution	0
Classical (500–360 BCE)	Sick	Protection from public libel	0
Classical (500–360 BCE)	Sick	Right to a dowry	0
Classical (500–360 BCE)	Sick	Right to a legal trial	0
Classical (500–360 BCE)	Sick	Right to address the assembly	0
Classical (500–360 BCE)	Sick	Right to adopt	0
Classical (500–360 BCE)	Sick	Right to bear arms	0
Classical (500–360 BCE)	Sick	Right to bodily autonomy	1
Classical (500–360 BCE)	Sick	Right to burial	0
Classical (500–360 BCE)	Sick	Right to citizenship	0
Classical (500–360 BCE)	Sick	Right to dispose of property	0
Classical (500–360 BCE)	Sick	Right to free speech	1
Classical (500–360 BCE)	Sick	Right to freedom of movement	0
Classical (500–360 BCE)	Sick	Right to inherit divine covenant	0
Classical (500–360 BCE)	Sick	Right to inherit property	0
Classical (500–360 BCE)	Sick	Right to marry	0
Classical (500–360 BCE)	Sick	Right to military protection	0
Classical (500–360 BCE)	Sick	Right to own land	0
Classical (500–360 BCE)	Sick	Right to own property	0
Classical (500–360 BCE)	Sick	Right to professional judgement	0
Classical (500–360 BCE)	Sick	Right to remuneration for office	0
Classical (500–360 BCE)	Sick	Right to reside in the city	0
Classical (500–360 BCE)	Sick	Right to retain own earnings	0
Classical (500–360 BCE)	Sick	Right to retain property	0
Classical (500–360 BCE)	Sick	Right to speak first in assembly	0
Classical (500–360 BCE)	Sick	Right to valid professional opinion	0
Classical (500–360 BCE)	Sick	Right to vote in the Ekklesia	0
Classical (500–360 BCE)	Slaves	Access to education	0
Classical (500–360 BCE)	Slaves	Access to public honors	0
Classical (500–360 BCE)	Slaves	Access to religious rites	0
Classical (500–360 BCE)	Slaves	Access to the gymnasium	0
Classical (500–360 BCE)	Slaves	Eligibility for public office	0
Classical (500–360 BCE)	Slaves	Exemption from compulsory public financing	0
Classical (500–360 BCE)	Slaves	Exemption from legal audit	0
Classical (500–360 BCE)	Slaves	Exemption from manual labor	0
Classical (500–360 BCE)	Slaves	Exemption from military service	0
Classical (500–360 BCE)	Slaves	Exemption from public service financing	0
Classical (500–360 BCE)	Slaves	Exemption from taxes	0
Classical (500–360 BCE)	Slaves	Political power	0
Classical (500–360 BCE)	Slaves	Protection from arbitrary banishment	0
Classical (500–360 BCE)	Slaves	Protection from capital punishment	0
Classical (500–360 BCE)	Slaves	Protection from corporal punishment	1
Classical (500–360 BCE)	Slaves	Protection from enslavement	0
Classical (500–360 BCE)	Slaves	Protection from legal prosecution	1
Classical (500–360 BCE)	Slaves	Protection from public libel	0
Classical (500–360 BCE)	Slaves	Right to a dowry	0
Classical (500–360 BCE)	Slaves	Right to a legal trial	1
Classical (500–360 BCE)	Slaves	Right to address the assembly	1
Classical (500–360 BCE)	Slaves	Right to adopt	0
Classical (500–360 BCE)	Slaves	Right to bear arms	0
Classical (500–360 BCE)	Slaves	Right to bodily autonomy	0
Classical (500–360 BCE)	Slaves	Right to burial	0
Classical (500–360 BCE)	Slaves	Right to citizenship	1
Classical (500–360 BCE)	Slaves	Right to dispose of property	0
Classical (500–360 BCE)	Slaves	Right to free speech	0
Classical (500–360 BCE)	Slaves	Right to freedom of movement	0
Classical (500–360 BCE)	Slaves	Right to inherit divine covenant	0
Classical (500–360 BCE)	Slaves	Right to inherit property	0
Classical (500–360 BCE)	Slaves	Right to marry	0
Classical (500–360 BCE)	Slaves	Right to military protection	0
Classical (500–360 BCE)	Slaves	Right to own land	0
Classical (500–360 BCE)	Slaves	Right to own property	0
Classical (500–360 BCE)	Slaves	Right to professional judgement	0
Classical (500–360 BCE)	Slaves	Right to remuneration for office	0
Classical (500–360 BCE)	Slaves	Right to reside in the city	0
Classical (500–360 BCE)	Slaves	Right to retain own earnings	0
Classical (500–360 BCE)	Slaves	Right to retain property	1
Classical (500–360 BCE)	Slaves	Right to speak first in assembly	0
Classical (500–360 BCE)	Slaves	Right to valid professional opinion	0
Classical (500–360 BCE)	Slaves	Right to vote in the Ekklesia	0
Classical (500–360 BCE)	Soldiers	Access to education	0
Classical (500–360 BCE)	Soldiers	Access to public honors	0
Classical (500–360 BCE)	Soldiers	Access to religious rites	0
Classical (500–360 BCE)	Soldiers	Access to the gymnasium	0
Classical (500–360 BCE)	Soldiers	Eligibility for public office	0
Classical (500–360 BCE)	Soldiers	Exemption from compulsory public financing	0
Classical (500–360 BCE)	Soldiers	Exemption from legal audit	0
Classical (500–360 BCE)	Soldiers	Exemption from manual labor	0
Classical (500–360 BCE)	Soldiers	Exemption from military service	0
Classical (500–360 BCE)	Soldiers	Exemption from public service financing	0
Classical (500–360 BCE)	Soldiers	Exemption from taxes	0
Classical (500–360 BCE)	Soldiers	Political power	1
Classical (500–360 BCE)	Soldiers	Protection from arbitrary banishment	0
Classical (500–360 BCE)	Soldiers	Protection from capital punishment	0
Classical (500–360 BCE)	Soldiers	Protection from corporal punishment	0
Classical (500–360 BCE)	Soldiers	Protection from enslavement	0
Classical (500–360 BCE)	Soldiers	Protection from legal prosecution	0
Classical (500–360 BCE)	Soldiers	Protection from public libel	0
Classical (500–360 BCE)	Soldiers	Right to a dowry	0
Classical (500–360 BCE)	Soldiers	Right to a legal trial	1
Classical (500–360 BCE)	Soldiers	Right to address the assembly	0
Classical (500–360 BCE)	Soldiers	Right to adopt	0
Classical (500–360 BCE)	Soldiers	Right to bear arms	0
Classical (500–360 BCE)	Soldiers	Right to bodily autonomy	0
Classical (500–360 BCE)	Soldiers	Right to burial	0
Classical (500–360 BCE)	Soldiers	Right to citizenship	0
Classical (500–360 BCE)	Soldiers	Right to dispose of property	0
Classical (500–360 BCE)	Soldiers	Right to free speech	0
Classical (500–360 BCE)	Soldiers	Right to freedom of movement	0
Classical (500–360 BCE)	Soldiers	Right to inherit divine covenant	0
Classical (500–360 BCE)	Soldiers	Right to inherit property	0
Classical (500–360 BCE)	Soldiers	Right to marry	0
Classical (500–360 BCE)	Soldiers	Right to military protection	0
Classical (500–360 BCE)	Soldiers	Right to own land	0
Classical (500–360 BCE)	Soldiers	Right to own property	0
Classical (500–360 BCE)	Soldiers	Right to professional judgement	0
Classical (500–360 BCE)	Soldiers	Right to remuneration for office	0
Classical (500–360 BCE)	Soldiers	Right to reside in the city	0
Classical (500–360 BCE)	Soldiers	Right to retain own earnings	1
Classical (500–360 BCE)	Soldiers	Right to retain property	0
Classical (500–360 BCE)	Soldiers	Right to speak first in assembly	0
Classical (500–360 BCE)	Soldiers	Right to valid professional opinion	0
Classical (500–360 BCE)	Soldiers	Right to vote in the Ekklesia	0
Classical (500–360 BCE)	Spartans	Access to education	0
Classical (500–360 BCE)	Spartans	Access to public honors	0
Classical (500–360 BCE)	Spartans	Access to religious rites	0
Classical (500–360 BCE)	Spartans	Access to the gymnasium	0
Classical (500–360 BCE)	Spartans	Eligibility for public office	0
Classical (500–360 BCE)	Spartans	Exemption from compulsory public financing	0
Classical (500–360 BCE)	Spartans	Exemption from legal audit	0
Classical (500–360 BCE)	Spartans	Exemption from manual labor	0
Classical (500–360 BCE)	Spartans	Exemption from military service	0
Classical (500–360 BCE)	Spartans	Exemption from public service financing	0
Classical (500–360 BCE)	Spartans	Exemption from taxes	0
Classical (500–360 BCE)	Spartans	Political power	0
Classical (500–360 BCE)	Spartans	Protection from arbitrary banishment	0
Classical (500–360 BCE)	Spartans	Protection from capital punishment	0
Classical (500–360 BCE)	Spartans	Protection from corporal punishment	0
Classical (500–360 BCE)	Spartans	Protection from enslavement	0
Classical (500–360 BCE)	Spartans	Protection from legal prosecution	0
Classical (500–360 BCE)	Spartans	Protection from public libel	0
Classical (500–360 BCE)	Spartans	Right to a dowry	0
Classical (500–360 BCE)	Spartans	Right to a legal trial	0
Classical (500–360 BCE)	Spartans	Right to address the assembly	0
Classical (500–360 BCE)	Spartans	Right to adopt	0
Classical (500–360 BCE)	Spartans	Right to bear arms	0
Classical (500–360 BCE)	Spartans	Right to bodily autonomy	0
Classical (500–360 BCE)	Spartans	Right to burial	0
Classical (500–360 BCE)	Spartans	Right to citizenship	0
Classical (500–360 BCE)	Spartans	Right to dispose of property	0
Classical (500–360 BCE)	Spartans	Right to free speech	0
Classical (500–360 BCE)	Spartans	Right to freedom of movement	0
Classical (500–360 BCE)	Spartans	Right to inherit divine covenant	0
Classical (500–360 BCE)	Spartans	Right to inherit property	0
Classical (500–360 BCE)	Spartans	Right to marry	0
Classical (500–360 BCE)	Spartans	Right to military protection	0
Classical (500–360 BCE)	Spartans	Right to own land	0
Classical (500–360 BCE)	Spartans	Right to own property	0
Classical (500–360 BCE)	Spartans	Right to professional judgement	0
Classical (500–360 BCE)	Spartans	Right to remuneration for office	0
Classical (500–360 BCE)	Spartans	Right to reside in the city	0
Classical (500–360 BCE)	Spartans	Right to retain own earnings	0
Classical (500–360 BCE)	Spartans	Right to retain property	0
Classical (500–360 BCE)	Spartans	Right to speak first in assembly	0
Classical (500–360 BCE)	Spartans	Right to valid professional opinion	0
Classical (500–360 BCE)	Spartans	Right to vote in the Ekklesia	0
Classical (500–360 BCE)	The educated	Access to education	0
Classical (500–360 BCE)	The educated	Access to public honors	0
Classical (500–360 BCE)	The educated	Access to religious rites	0
Classical (500–360 BCE)	The educated	Access to the gymnasium	1
Classical (500–360 BCE)	The educated	Eligibility for public office	0
Classical (500–360 BCE)	The educated	Exemption from compulsory public financing	0
Classical (500–360 BCE)	The educated	Exemption from legal audit	0
Classical (500–360 BCE)	The educated	Exemption from manual labor	0
Classical (500–360 BCE)	The educated	Exemption from military service	0
Classical (500–360 BCE)	The educated	Exemption from public service financing	0
Classical (500–360 BCE)	The educated	Exemption from taxes	0
Classical (500–360 BCE)	The educated	Political power	0
Classical (500–360 BCE)	The educated	Protection from arbitrary banishment	0
Classical (500–360 BCE)	The educated	Protection from capital punishment	0
Classical (500–360 BCE)	The educated	Protection from corporal punishment	0
Classical (500–360 BCE)	The educated	Protection from enslavement	0
Classical (500–360 BCE)	The educated	Protection from legal prosecution	0
Classical (500–360 BCE)	The educated	Protection from public libel	0
Classical (500–360 BCE)	The educated	Right to a dowry	0
Classical (500–360 BCE)	The educated	Right to a legal trial	0
Classical (500–360 BCE)	The educated	Right to address the assembly	0
Classical (500–360 BCE)	The educated	Right to adopt	0
Classical (500–360 BCE)	The educated	Right to bear arms	0
Classical (500–360 BCE)	The educated	Right to bodily autonomy	0
Classical (500–360 BCE)	The educated	Right to burial	0
Classical (500–360 BCE)	The educated	Right to citizenship	0
Classical (500–360 BCE)	The educated	Right to dispose of property	0
Classical (500–360 BCE)	The educated	Right to free speech	0
Classical (500–360 BCE)	The educated	Right to freedom of movement	0
Classical (500–360 BCE)	The educated	Right to inherit divine covenant	0
Classical (500–360 BCE)	The educated	Right to inherit property	0
Classical (500–360 BCE)	The educated	Right to marry	0
Classical (500–360 BCE)	The educated	Right to military protection	0
Classical (500–360 BCE)	The educated	Right to own land	0
Classical (500–360 BCE)	The educated	Right to own property	0
Classical (500–360 BCE)	The educated	Right to professional judgement	0
Classical (500–360 BCE)	The educated	Right to remuneration for office	0
Classical (500–360 BCE)	The educated	Right to reside in the city	0
Classical (500–360 BCE)	The educated	Right to retain own earnings	0
Classical (500–360 BCE)	The educated	Right to retain property	0
Classical (500–360 BCE)	The educated	Right to speak first in assembly	0
Classical (500–360 BCE)	The educated	Right to valid professional opinion	0
Classical (500–360 BCE)	The educated	Right to vote in the Ekklesia	0
Classical (500–360 BCE)	The multitude	Access to education	0
Classical (500–360 BCE)	The multitude	Access to public honors	0
Classical (500–360 BCE)	The multitude	Access to religious rites	0
Classical (500–360 BCE)	The multitude	Access to the gymnasium	0
Classical (500–360 BCE)	The multitude	Eligibility for public office	0
Classical (500–360 BCE)	The multitude	Exemption from compulsory public financing	0
Classical (500–360 BCE)	The multitude	Exemption from legal audit	0
Classical (500–360 BCE)	The multitude	Exemption from manual labor	0
Classical (500–360 BCE)	The multitude	Exemption from military service	0
Classical (500–360 BCE)	The multitude	Exemption from public service financing	0
Classical (500–360 BCE)	The multitude	Exemption from taxes	0
Classical (500–360 BCE)	The multitude	Political power	0
Classical (500–360 BCE)	The multitude	Protection from arbitrary banishment	0
Classical (500–360 BCE)	The multitude	Protection from capital punishment	0
Classical (500–360 BCE)	The multitude	Protection from corporal punishment	0
Classical (500–360 BCE)	The multitude	Protection from enslavement	0
Classical (500–360 BCE)	The multitude	Protection from legal prosecution	0
Classical (500–360 BCE)	The multitude	Protection from public libel	0
Classical (500–360 BCE)	The multitude	Right to a dowry	0
Classical (500–360 BCE)	The multitude	Right to a legal trial	0
Classical (500–360 BCE)	The multitude	Right to address the assembly	0
Classical (500–360 BCE)	The multitude	Right to adopt	0
Classical (500–360 BCE)	The multitude	Right to bear arms	0
Classical (500–360 BCE)	The multitude	Right to bodily autonomy	0
Classical (500–360 BCE)	The multitude	Right to burial	0
Classical (500–360 BCE)	The multitude	Right to citizenship	1
Classical (500–360 BCE)	The multitude	Right to dispose of property	0
Classical (500–360 BCE)	The multitude	Right to free speech	0
Classical (500–360 BCE)	The multitude	Right to freedom of movement	0
Classical (500–360 BCE)	The multitude	Right to inherit divine covenant	0
Classical (500–360 BCE)	The multitude	Right to inherit property	0
Classical (500–360 BCE)	The multitude	Right to marry	0
Classical (500–360 BCE)	The multitude	Right to military protection	0
Classical (500–360 BCE)	The multitude	Right to own land	0
Classical (500–360 BCE)	The multitude	Right to own property	0
Classical (500–360 BCE)	The multitude	Right to professional judgement	0
Classical (500–360 BCE)	The multitude	Right to remuneration for office	0
Classical (500–360 BCE)	The multitude	Right to reside in the city	0
Classical (500–360 BCE)	The multitude	Right to retain own earnings	0
Classical (500–360 BCE)	The multitude	Right to retain property	0
Classical (500–360 BCE)	The multitude	Right to speak first in assembly	0
Classical (500–360 BCE)	The multitude	Right to valid professional opinion	0
Classical (500–360 BCE)	The multitude	Right to vote in the Ekklesia	0
Classical (500–360 BCE)	The poor	Access to education	0
Classical (500–360 BCE)	The poor	Access to public honors	0
Classical (500–360 BCE)	The poor	Access to religious rites	0
Classical (500–360 BCE)	The poor	Access to the gymnasium	0
Classical (500–360 BCE)	The poor	Eligibility for public office	1
Classical (500–360 BCE)	The poor	Exemption from compulsory public financing	0
Classical (500–360 BCE)	The poor	Exemption from legal audit	0
Classical (500–360 BCE)	The poor	Exemption from manual labor	0
Classical (500–360 BCE)	The poor	Exemption from military service	0
Classical (500–360 BCE)	The poor	Exemption from public service financing	0
Classical (500–360 BCE)	The poor	Exemption from taxes	0
Classical (500–360 BCE)	The poor	Political power	0
Classical (500–360 BCE)	The poor	Protection from arbitrary banishment	0
Classical (500–360 BCE)	The poor	Protection from capital punishment	0
Classical (500–360 BCE)	The poor	Protection from corporal punishment	0
